trip_id,stop_id,stop_sequence,delay,category,operator
9237018948149025827,8003400,1,0,RE,800647
9237018948149025827,8000073,4,120,RE,800647
9237018948149025827,8000073,4,120,RE,800647
9237018948149025827,8001790,5,120,RE,800647
9237018948149025827,8001790,5,60,RE,800647
9237018948149025827,8000182,6,60,RE,800647
9237018948149025827,8000182,6,60,RE,800647
9237018948149025827,8002214,7,0,RE,800647
9237018948149025827,8002214,7,0,RE,800647
9237018948149025827,8000077,8,60,RE,800647
9237018948149025827,8000077,8,60,RE,800647
9237018948149025827,8000366,9,120,RE,800647
9237018948149025827,8000366,9,120,RE,800647
9237018948149025827,8005644,10,60,RE,800647
9237018948149025827,8005644,10,60,RE,800647
9237018948149025827,8005902,11,60,RE,800647
9237018948149025827,8005902,11,120,RE,800647
9237018948149025827,8003001,12,120,RE,800647
9237018948149025827,8003001,12,120,RE,800647
9237018948149025827,8000333,13,60,RE,800647
9237018948149025827,8000333,13,0,RE,800647
9237018948149025827,8002621,14,0,RE,800647
9237018948149025827,8002621,14,0,RE,800647
9237018948149025827,8005688,15,0,RE,800647
9237018948149025827,8005688,15,0,RE,800647
9237018948149025827,8000942,16,0,RE,800647
9237018948149025827,8000942,16,0,RE,800647
9237018948149025827,8002235,17,60,RE,800647
9237018948149025827,8002235,17,60,RE,800647
9237018948149025827,8004639,18,60,RE,800647
9237018948149025827,8004639,18,0,RE,800647
9237018948149025827,8000290,19,0,RE,800647
9241315746327032043,8001865,1,0,SBB,L712
9244521817004226787,8005090,10,0,SWE,S6
9248081142642266681,8001865,1,0,SBB,L712
9259504405900148591,8083368,11,60,S,8003S
9259504405900148591,8083368,11,0,S,8003S
9267191224377384762,8002365,2,0,RB,800631
9267191224377384762,8002365,2,0,RB,800631
9267191224377384762,8006629,3,0,RB,800631
9267191224377384762,8006629,3,0,RB,800631
9267191224377384762,8000932,6,0,RB,800631
9267191224377384762,8000932,6,0,RB,800631
9267191224377384762,8001174,8,0,RB,800631
9267191224377384762,8001174,8,0,RB,800631
9267191224377384762,8005255,9,0,RB,800631
9267191224377384762,8005255,9,0,RB,800631
9267191224377384762,8000463,13,0,RB,800631
9267191224377384762,8000463,13,0,RB,800631
9267191224377384762,8001491,14,0,RB,800631
9267191224377384762,8001491,14,0,RB,800631
9267191224377384762,8006167,15,0,RB,800631
9272215797658935949,8005911,1,60,HzL,R7
9272215797658935949,8007646,2,60,HzL,R7
9272638545951808177,8000412,14,0,S,A6S32
9277107518286654618,8000412,1,180,S,A6S5
9286107648972304263,8000965,4,60,RB,8006SH
9286107648972304263,8000965,4,60,RB,8006SH
9286107648972304263,8002337,5,60,RB,8006SH
9286107648972304263,8002337,5,60,RB,8006SH
9286107648972304263,8000073,6,60,RB,8006SH
9299245526214523989,8083368,9,60,S,800352
9299245526214523989,8083368,9,120,S,800352
9309787692091857291,8083368,13,0,S,08
9309787692091857291,8083368,13,60,S,08
9315466974371192304,8000322,3,180,RE,NZ
9315466974371192304,8000322,3,180,RE,NZ
9315466974371192304,8000163,4,240,RE,NZ
9315466974371192304,8000163,4,240,RE,NZ
9315466974371192304,8000073,5,0,RE,NZ
9317320761559969744,8000107,1,0,SWE,S6
9317320761559969744,8002067,2,0,SWE,S6
9317320761559969744,8002067,2,0,SWE,S6
9317320761559969744,8002071,3,0,SWE,S6
9317320761559969744,8002071,3,0,SWE,S6
9317320761559969744,8002465,4,0,SWE,S6
9317320761559969744,8002465,4,0,SWE,S6
9317320761559969744,8001415,5,0,SWE,S6
9317320761559969744,8001415,5,0,SWE,S6
9322658637300332601,8006272,1,0,SBB,L721
9322658637300332601,8003729,8,60,SBB,L721
