from_stop_id,to_stop_id,avg_delay,median_delay,max_delay
8000001,8000001,115,30,1290
8000001,8000207,381,240,960
8000001,8000406,76,0,1350
8000001,8002806,90,90,90
8000001,8070704,80,30,1200
8000002,8000002,264,240,930
8000002,8000329,88,60,270
8000002,8001751,375,300,930
8000002,8004549,37,15,120
8000002,8005997,120,120,120
8000002,8006217,560,360,3540
8000004,8000004,100,0,1560
8000004,8000196,280,360,480
8000004,8000297,139,30,1500
8000004,8003000,-2,0,60
8000004,8005283,8,0,60
8000004,8005708,0,0,30
8000004,8006449,173,15,1380
8000007,8000007,306,240,1680
8000007,8000468,270,240,1740
8000007,8000558,283,150,1680
8000007,8000602,251,60,1410
8000007,8001813,45,45,60
8000007,8007474,339,210,840
8000009,8000009,140,60,1740
8000009,8000067,48,30,180
8000009,8000091,60,60,60
8000009,8000122,142,150,270
8000009,8000260,90,90,90
8000009,8000284,401,195,1740
8000009,8003664,109,90,480
8000009,8004521,48,30,240
8000009,8005250,158,90,1560
8000009,8005907,124,30,600
8000009,8006390,56,0,330
8000010,8000010,316,60,2340
8000010,8000105,367,90,2250
8000010,8000150,495,495,990
8000010,8000260,579,255,2160
8000010,8000618,55,30,300
8000010,8000619,36,30,120
8000010,8002696,234,120,840
8000010,8002918,138,105,330
8000010,8003143,0,0,0
8000010,8003314,52,30,510
8000010,8003334,30,30,30
8000010,8004560,34,0,210
8000012,8000012,574,360,4200
8000012,8001928,550,510,750
8000012,8005164,362,180,3600
8000012,8005356,393,270,1170
8000012,8006501,828,450,4200
8000013,8000009,30,30,30
8000013,8000013,396,180,6270
8000013,8000057,41,30,150
8000013,8000078,147,90,360
8000013,8000139,362,210,2040
8000013,8000170,250,90,1860
8000013,8000261,426,345,1470
8000013,8000658,388,300,1260
8000013,8000660,444,60,2160
8000013,8000662,259,60,1890
8000013,8001033,42,30,150
8000013,8004158,810,210,6150
8000014,8000014,67,15,660
8000014,8000559,85,0,450
8000014,8000746,129,30,690
8000014,8000763,102,30,1560
8000014,8000943,-11,0,60
8000014,8004049,65,30,150
8000014,8004965,56,30,300
8000016,8000016,298,60,4590
8000016,8000235,41,30,360
8000016,8004681,177,90,1350
