from_stop_id,to_stop_id,avg_delay,median_delay,max_delay
8000001,8000001,227,30,3360
8000001,8000085,336,150,2700
8000001,8000086,450,450,450
8000001,8000207,681,570,1290
8000001,8000208,431,90,2700
8000002,8000002,425,180,3780
8000002,8000078,236,150,960
8000002,8000170,13,0,120
8000002,8000329,308,60,3930
8000002,8001751,232,180,600
8000004,8000004,142,0,2220
8000004,8000036,71,30,210
8000004,8000152,50,15,300
8000004,8000162,74,0,1020
8000004,8000196,374,90,2220
8000004,8000297,123,30,1020
8000009,8000009,112,60,3300
8000009,8000067,240,30,3270
8000009,8000091,42,30,180
8000009,8000122,28,30,210
8000009,8000260,0,0,0
8000009,8000284,91,90,600
8000013,8000009,30,30,30
8000013,8000013,383,150,4980
8000013,8000057,55,30,600
8000013,8000078,233,105,2220
8000013,8000139,235,120,1530
8000013,8000170,174,60,1800
8000013,8000261,717,300,2130
8000013,8004158,520,225,4980
8000025,8000025,128,60,1020
8000025,8000228,86,30,750
8000025,8000260,115,60,540
8000025,8000284,126,120,210
8000025,8001844,189,180,540
8000025,8010101,108,0,630
8000029,8000029,131,90,1230
8000029,8000115,199,120,1260
8000029,8000128,30,30,60
8000029,8003200,106,30,870
8000029,8010097,115,75,540
8000031,8000031,293,120,3120
8000031,8000068,269,90,2460
8000031,8000244,210,210,210
8000031,8000377,280,75,3090
8000036,8000004,180,150,750
8000036,8000036,639,180,6540
8000036,8000149,677,255,3780
8000036,8000152,988,780,3540
8000036,8000162,299,30,6570
8000036,8000252,-60,-60,-60
8000036,8000732,4260,4260,4260
8000036,8002461,155,30,3840
8000039,8000039,233,150,1020
8000039,8000045,222,165,900
8000039,8000189,131,90,480
8000039,8000206,375,405,750
8000039,8000236,90,90,90
8000039,8000240,253,150,1020
8000041,8000041,479,150,11760
8000041,8000080,707,240,11730
8000041,8000098,343,90,6120
8000041,8000192,72,60,180
8000041,8000251,102,30,600
8000041,8000961,489,435,1500
8000044,8000044,476,0,6600
8000044,8000206,1680,1680,1680
8000044,8000207,403,0,3150
8000044,8000310,488,0,6600
8000045,8000039,219,150,1020
8000045,8000045,246,150,1470
8000045,8000206,234,180,1410
8000046,8000046,708,660,4110
8000046,8000074,882,765,4200
8000046,8000532,765,765,1290
8000046,8003020,248,60,1680
8000046,8005556,223,225,1320
8000049,8000049,379,120,5760
8000049,8000128,126,60,360
8000049,8000152,248,60,1710
8000049,8000159,118,60,510
8000049,8004760,0,0,0
8000049,8006552,395,390,870
8000049,8010224,1106,270,5790
8000049,8010404,420,180,1230
8000050,8000050,362,90,5670
8000050,8000070,93,60,330
8000050,8000147,1542,990,5610
8000050,8000152,30,30,60
8000050,8000168,50,30,150
8000050,8000263,130,120,180
8000050,8000294,165,60,990
8000050,8001443,127,60,630
8000050,8006076,63,30,360
8000055,8000055,119,60,1830
8000055,8000096,152,60,960
8000055,8000156,0,0,0
8000055,8000191,147,90,510
8000055,8000236,90,90,150
8000055,8000339,55,60,180
8000055,8003184,155,60,1620
8000055,8006053,52,15,180
8000055,8006421,116,60,810
8000057,8000013,271,120,1650
8000057,8000057,332,90,8460
8000057,8000194,327,30,8520
8000057,8000249,493,90,7080
8000057,8004158,243,90,1740
8000058,8000058,206,90,1560
8000058,8002549,345,240,1020
8000058,8002554,225,75,1350
8000058,8010216,78,60,180
8000058,8010324,240,165,660
8000059,8000059,147,90,960
8000059,8000162,133,60,540
8000059,8000252,90,60,210
8000059,8000294,226,150,1110
8000059,8000732,270,270,510
8000064,8000064,254,60,1440
8000064,8000152,73,60,450
8000064,8000168,420,180,1410
8000067,8000009,146,60,750
8000067,8000067,219,60,3210
8000067,8000096,116,120,270
8000067,8001751,472,60,3240
8000068,8000031,290,120,3240
8000068,8000068,268,90,3360
8000068,8000096,210,210,210
8000068,8000105,243,150,2460
8000068,8000156,1440,1440,1440
8000068,8000377,30,30,30
8000068,8002041,211,90,1020
8000068,8010205,-15,-15,330
8000068,8070003,60,60,60
8000070,8000050,83,30,540
8000070,8000070,101,60,600
8000070,8000291,30,30,60
8000070,8000522,98,60,360
8000073,8000073,89,0,930
8000073,8000163,214,180,570
8000073,8001790,79,30,660
8000073,8003400,151,0,1080
8000074,8000046,353,240,930
8000074,8000074,626,255,4200
8000074,8000383,403,120,4200
8000076,8000076,220,60,2160
8000076,8000149,173,75,1470
8000076,8000571,277,60,2220
8000076,8000961,114,30,810
8000078,8000002,402,180,3000
8000078,8000013,154,60,1230
8000078,8000078,124,60,1170
8000078,8000122,190,90,1140
8000078,8000284,40,60,90
8000080,8000041,458,150,6120
8000080,8000080,604,150,6270
8000080,8000098,210,210,210
8000080,8000118,240,240,240
8000080,8000142,185,120,1410
8000080,8000149,604,195,6240
8000080,8000192,171,60,2310
8000080,8000251,177,60,2160
8000080,8000263,808,135,6120
8000080,8000307,220,180,780
8000080,8000961,65,30,300
8000082,8000082,459,210,4800
8000082,8000085,496,240,4620
8000082,8000086,511,210,4920
8000085,8000001,624,315,2100
8000085,8000082,475,180,4800
8000085,8000085,504,210,11760
8000085,8000086,1324,480,11790
8000085,8000087,556,465,1860
8000085,8000098,299,90,3000
8000085,8000207,594,300,6120
8000085,8000266,385,210,3210
8000085,8003368,1004,540,5580
8000085,8073368,885,390,8100
8000086,8000001,1500,1500,1500
8000086,8000082,329,120,3720
8000086,8000085,702,330,6120
8000086,8000086,541,180,11760
8000086,8000098,1224,510,11730
8000086,8000118,690,690,690
8000086,8000259,445,180,4560
8000086,8000286,635,120,6570
8000087,8000085,348,150,1500
8000087,8000087,550,120,6690
8000087,8000207,220,180,600
8000087,8000266,909,240,6630
8000087,8003368,196,60,2490
8000087,8073368,536,255,1530
8000091,8000009,88,15,510
8000091,8000091,77,0,540
8000091,8000260,125,30,870
8000095,8000095,104,90,990
8000095,8000298,1050,1050,1050
8000095,8000301,0,0,0
8000095,8000309,52,30,120
8000096,8000055,204,120,660
8000096,8000067,210,90,1410
8000096,8000096,622,240,4410
8000096,8000127,3120,3120,3120
8000096,8000156,456,225,2160
8000096,8000170,1040,630,4590
8000096,8000191,15,15,150
8000096,8000235,138,45,660
8000096,8000244,375,150,2880
8000096,8000302,60,60,60
8000096,8000329,215,135,630
8000096,8000377,240,240,240
8000096,8001055,135,90,810
8000096,8001920,123,60,510
8000096,8005424,338,330,1170
8000096,8005776,48,0,180
8000096,8006053,403,150,4140
8000096,8006421,352,150,1110
8000098,8000041,554,180,11760
8000098,8000080,480,480,480
8000098,8000085,249,150,2130
8000098,8000086,507,150,6120
8000098,8000098,437,180,11730
8000098,8000118,423,150,9540
8000098,8000259,304,120,3720
8000098,8000263,882,540,1560
8000098,8000266,232,150,1830
8000098,8000307,293,225,1080
8000098,8002549,945,945,1860
8000101,8000101,122,60,840
8000101,8000177,215,135,990
8000101,8000191,180,180,180
8000101,8000299,30,30,30
8000101,8001833,66,30,270
8000102,8000102,306,60,3450
8000102,8002370,212,60,1590
8000102,8004838,390,90,3480
8000103,8000103,225,225,390
8000103,8000312,570,570,570
8000103,8005362,85,60,510
8000105,8000068,265,75,3120
8000105,8000096,330,330,330
8000105,8000105,599,270,4050
8000105,8000111,100,120,210
8000105,8000115,578,360,2280
8000105,8000150,658,420,2970
8000105,8000152,1410,1410,1410
8000105,8000156,660,0,2130
8000105,8000191,1510,1980,2520
8000105,8000240,136,75,510
8000105,8000244,673,420,3780
8000105,8000260,900,330,4080
8000105,8002041,245,90,2400
8000105,8002042,93,60,990
8000105,8003200,1044,690,2580
8000105,8010101,415,90,1890
8000105,8010159,270,270,270
8000105,8010404,60,60,60
8000105,8070003,248,120,2670
8000105,8070004,81,0,1050
8000107,8000107,246,60,4590
8000107,8000191,120,120,120
8000107,8000290,157,60,2040
8000107,8000774,63,30,450
8000108,8000108,221,60,2040
8000108,8000116,176,135,570
8000111,8000105,259,180,960
8000111,8000111,186,120,1110
8000111,8000124,222,180,840
8000111,8000150,66,45,300
8000111,8000728,142,90,780
8000111,8002042,185,120,1110
8000114,8000114,177,120,2220
8000114,8000260,217,90,1350
8000114,8000284,186,120,2220
8000114,8001844,171,120,1740
8000115,8000029,204,60,1530
8000115,8000105,516,120,3390
8000115,8000115,378,180,3390
8000115,8000150,277,150,2370
8000115,8000260,325,150,1050
8000115,8002041,240,240,390
8000115,8003200,434,240,1560
8000115,8010097,517,135,2310
8000116,8000108,738,300,2130
8000116,8000116,495,120,2250
8000116,8004885,150,60,540
8000116,8005940,120,120,120
8000118,8000098,363,180,3780
8000118,8000118,350,120,8820
8000118,8000192,290,120,6690
8000118,8000263,1020,855,1980
8000118,8000286,160,60,1860
8000118,8000307,3610,1230,8850
8000122,8000009,84,30,540
8000122,8000078,34,15,240
8000122,8000122,106,60,1140
8000122,8000261,203,90,1500
8000122,8000284,142,60,1200
8000124,8000111,301,240,1020
8000124,8000124,214,180,1020
8000124,8000337,172,150,840
8000124,8000383,103,60,630
8000124,8000728,184,150,870
8000127,8000096,420,420,420
8000127,8000127,254,60,3150
8000127,8000170,272,90,3120
8000127,8000302,228,60,1290
8000128,8000049,501,585,1440
8000128,8000128,380,210,2580
8000128,8000150,1440,1440,1440
8000128,8000152,505,330,2610
8000128,8000260,0,0,0
8000128,8003200,246,150,1410
8000128,8010136,93,60,390
8000129,8000129,274,180,1050
8000129,8000337,238,195,1050
8000129,8000368,322,270,870
8000129,8003200,60,60,120
8000139,8000013,377,210,1830
8000139,8000139,295,120,1920
8000139,8000170,260,150,1440
8000142,8000080,937,210,6420
8000142,8000142,496,120,6420
8000142,8000149,645,180,3540
8000142,8000196,114,120,840
8000142,8000227,136,30,1860
8000142,8000251,214,60,2940
8000142,8000266,300,120,4680
8000147,8000050,163,75,1050
8000147,8000147,496,150,5520
8000147,8000152,244,120,1110
8000147,8000238,167,90,540
8000147,8002549,851,300,5610
8000149,8000036,940,480,3510
8000149,8000076,177,30,2040
8000149,8000080,421,90,4350
8000149,8000118,330,330,330
8000149,8000142,299,90,2970
8000149,8000149,440,120,6360
8000149,8000227,2220,2220,4200
8000149,8000263,365,90,3390
8000149,8000961,60,60,90
8000149,8002461,523,150,6450
8000150,8000105,410,90,2700
8000150,8000111,92,30,840
8000150,8000115,505,360,2640
8000150,8000128,0,0,0
8000150,8000150,379,180,3000
8000150,8000260,305,120,2790
8000150,8002041,259,90,2640
8000150,8003200,1860,1860,1860
8000150,8010101,180,180,180
8000150,8070004,137,90,780
8000152,8000004,33,0,180
8000152,8000036,520,165,2580
8000152,8000049,647,120,5700
8000152,8000050,175,120,600
8000152,8000064,182,60,1350
8000152,8000080,0,0,0
8000152,8000128,247,90,1170
8000152,8000147,183,210,360
8000152,8000152,334,90,9240
8000152,8000162,70,90,120
8000152,8000238,610,360,1320
8000152,8000252,184,75,1200
8000152,8000279,151,15,5070
8000152,8000294,135,135,150
8000152,8000732,540,540,540
8000152,8002549,566,390,2280
8000152,8003487,63,0,360
8000152,8004760,120,120,210
8000152,8006552,1303,840,9180
8000152,8010404,702,600,2190
8000155,8000155,127,60,1050
8000155,8000181,153,30,990
8000155,8003102,50,45,150
8000156,8000055,420,420,420
8000156,8000068,-30,-30,-30
8000156,8000096,891,660,2790
8000156,8000105,0,0,0
8000156,8000156,259,120,2700
8000156,8000191,1050,1050,1050
8000156,8000244,198,120,2670
8000156,8000377,267,90,2130
8000156,8006053,714,390,1770
8000156,8006421,217,60,1890
8000159,8000049,168,90,930
8000159,8000159,183,150,1020
8000159,8010224,133,60,540
8000162,8000004,82,30,960
8000162,8000036,165,30,3900
8000162,8000059,104,75,540
8000162,8000152,590,570,1140
8000162,8000162,234,60,6540
8000162,8000252,1526,540,6480
8000162,8000732,177,30,1170
8000163,8000073,157,120,540
8000163,8000163,197,150,840
8000163,8000170,157,90,720
8000163,8000322,248,180,660
8000163,8001790,434,450,870
8000163,8005616,154,180,420
8000168,8000050,106,60,360
8000168,8000064,114,90,540
8000168,8000152,105,105,180
8000168,8000168,258,105,1290
8000168,8000238,380,150,1350
8000168,8010310,79,90,240
8000170,8000002,3,0,30
8000170,8000013,1111,660,4860
8000170,8000073,180,180,180
8000170,8000096,268,150,1560
8000170,8000127,208,60,1380
8000170,8000139,395,195,1950
8000170,8000163,68,60,120
8000170,8000170,515,150,4800
8000170,8000249,153,120,510
8000170,8003693,378,75,2910
8000176,8000176,77,30,930
8000176,8000189,45,45,90
8000176,8000323,72,30,870
8000176,8003515,76,30,540
8000177,8000101,78,60,240
8000177,8000177,209,120,990
8000177,8000299,240,135,1260
8000177,8000322,90,90,180
8000177,8001055,282,120,960
8000177,8001080,206,150,630
8000177,8002785,30,30,30
8000177,8005791,236,90,900
8000181,8000155,96,30,600
8000181,8000181,128,30,960
8000181,8004343,190,90,930
8000181,8005362,27,0,210
8000189,8000039,43,15,360
8000189,8000176,370,60,1020
8000189,8000189,111,60,1080
8000189,8000240,30,30,30
8000189,8000244,60,30,150
8000189,8000275,75,60,450
8000189,8000323,260,360,420
8000189,8003515,83,60,360
8000191,8000055,51,15,300
8000191,8000068,30,30,150
8000191,8000096,120,120,150
8000191,8000101,0,0,0
8000191,8000105,390,390,390
8000191,8000107,1680,1680,1680
8000191,8000191,585,210,4800
8000191,8000236,252,120,630
8000191,8000244,132,30,2040
8000191,8000275,155,60,1770
8000191,8000290,1309,660,4710
8000191,8000299,41,30,90
8000191,8000774,386,90,2340
8000191,8003184,67,30,780
8000192,8000041,64,60,270
8000192,8000080,137,90,870
