from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay
8000001,8000001,59,77,396,120,5010
8000001,8000085,10,18,535,30,3960
8000001,8000086,13,18,137,75,870
8000001,8000207,8,9,830,240,4050
8000001,8000208,28,35,449,60,5400
8000002,8000002,11,14,199,75,1230
8000002,8000078,7,16,58,0,450
8000002,8000170,6,7,167,120,450
8000002,8000329,10,15,136,60,1260
8000002,8001751,5,7,146,90,390
8000004,8000004,31,90,51,0,600
8000004,8000036,9,13,106,90,270
8000004,8000152,9,16,56,30,450
8000004,8000162,11,16,64,60,180
8000004,8000196,5,13,53,0,390
8000004,8000297,28,45,111,60,660
8000009,8000009,41,53,133,60,960
8000009,8000067,7,16,62,0,390
8000009,8000284,34,55,97,60,960
8000013,8000013,140,185,350,120,8700
8000013,8000057,14,37,23,0,390
8000013,8000078,35,56,137,60,1260
8000013,8000139,25,30,307,150,2250
8000013,8000170,26,28,150,105,540
8000013,8000261,4,5,384,90,1110
8000013,8000262,2,3,190,120,450
8000013,8004158,59,79,538,90,8670
8000025,8000025,83,109,298,90,9240
8000025,8000150,1,2,30,30,60
8000025,8000228,39,51,388,120,9180
8000025,8000260,27,33,132,60,2070
8000025,8000284,4,6,110,90,270
8000025,8001844,59,67,260,120,2220
8000025,8010101,13,15,238,120,1440
8000029,8000029,44,55,169,90,1290
8000029,8000115,14,20,216,105,1320
8000029,8000128,1,1,330,330,330
8000029,8003200,13,28,78,0,870
8000029,8010097,3,8,101,0,750
8000031,8000031,122,136,253,120,2430
8000031,8000068,59,66,230,90,2490
8000031,8000244,1,1,30,30,30
8000031,8000377,68,87,223,90,1560
8000036,8000004,13,14,255,135,930
8000036,8000036,100,109,982,360,3420
8000036,8000149,21,21,941,420,3660
8000036,8000152,23,23,1946,1920,3120
8000036,8000162,53,69,520,120,3480
8000036,8000252,1,1,2100,2100,2100
8000036,8000732,1,1,1680,1680,1680
8000036,8002461,57,63,240,90,1950
8000039,8000039,61,87,257,90,2730
8000039,8000045,23,36,170,30,1410
8000039,8000189,20,20,146,90,540
8000039,8000206,5,8,330,60,2250
8000039,8000240,29,36,342,75,2580
8000039,8000275,2,2,75,75,90
8000041,8000041,293,358,700,210,8040
8000041,8000080,130,150,932,450,6360
8000041,8000098,137,176,655,120,8280
8000041,8000192,22,22,94,60,360
8000041,8000251,24,32,375,105,4590
8000044,8000044,105,152,483,180,7200
8000044,8000206,17,18,1558,945,6960
8000044,8000207,55,73,309,150,1740
8000044,8000310,53,62,456,210,3060
8000045,8000039,30,36,234,135,1290
8000045,8000045,56,73,215,120,1560
8000045,8000206,29,37,176,60,1470
8000046,8000046,16,16,349,195,1140
8000046,8000074,8,10,318,150,840
8000046,8000532,2,2,45,45,60
8000046,8003020,17,26,168,60,1020
8000049,8000049,38,50,304,135,1740
8000049,8000128,5,9,243,90,1050
8000049,8000152,15,16,334,180,2220
8000049,8000159,14,26,205,60,1680
8000049,8006552,8,9,320,60,1470
8000049,8010224,7,8,334,270,870
8000050,8000050,100,108,805,240,6870
8000050,8000070,22,27,241,120,1440
8000050,8000147,18,19,2970,2310,6990
8000050,8000152,1,2,105,105,210
8000050,8000263,4,4,1260,1275,2430
8000050,8000294,14,19,668,480,2070
8000050,8000307,1,1,60,60,60
8000050,8001443,13,20,78,60,330
8000050,8006076,21,24,69,30,240
8000055,8000055,194,269,101,60,1710
8000055,8000096,2,2,120,120,150
8000055,8000156,1,1,120,120,120
8000055,8000191,9,12,88,60,390
8000055,8000236,2,2,195,195,270
8000055,8000339,11,11,109,120,210
8000055,8001920,5,5,192,240,270
8000055,8003184,87,122,120,60,1680
8000055,8006421,40,65,104,30,840
8000057,8000013,35,37,294,210,960
8000057,8000057,107,138,211,120,1440
8000057,8000194,31,41,83,60,600
8000057,8000249,19,26,156,105,1200
8000057,8004158,34,47,216,180,1080
8000058,8000058,33,39,240,90,3600
8000058,8002549,1,5,102,0,540
8000058,8002554,12,21,234,30,3570
8000058,8010216,7,8,345,180,1170
8000058,8010324,12,14,129,105,330
8000059,8000059,51,67,249,90,1710
8000059,8000162,22,29,340,210,1560
8000059,8000252,3,3,900,690,1680
8000059,8000294,16,21,176,120,870
8000059,8000732,1,1,900,900,900
8000064,8000064,12,22,405,30,2160
8000064,8000152,21,48,142,0,2370
8000064,8000168,6,11,483,30,2010
8000067,8000009,16,17,212,120,1020
8000067,8000067,27,32,165,75,1020
8000067,8000096,10,10,153,135,390
8000067,8001751,6,7,180,30,840
8000068,8000031,62,70,278,150,1590
8000068,8000068,121,139,245,90,2550
8000068,8000105,60,66,299,180,2520
8000068,8000156,1,1,180,180,180
8000068,8000377,1,1,120,120,120
8000068,8002041,43,46,209,60,2220
8000070,8000050,20,27,43,30,270
8000070,8000070,41,54,150,60,1410
8000070,8000291,2,2,450,450,630
8000070,8000522,17,25,208,90,1350
8000073,8000073,20,52,35,0,600
8000073,8000290,2,2,90,90,120
8000073,8001790,4,17,18,0,180
8000073,8003400,10,20,58,15,540
8000074,8000046,9,9,380,120,1140
8000074,8000074,10,12,355,120,1140
8000074,8000383,16,21,290,90,990
8000076,8000076,54,84,175,60,2970
8000076,8000149,33,42,110,60,930
8000076,8000571,38,42,291,90,3030
8000078,8000002,15,18,100,90,300
8000078,8000013,40,55,155,30,1260
8000078,8000078,56,73,162,60,1170
8000078,8000122,18,26,174,90,1140
8000078,8000284,1,5,0,0,30
8000080,8000041,121,144,655,165,7890
8000080,8000080,193,231,887,330,7830
8000080,8000098,1,2,120,120,240
8000080,8000142,19,20,540,225,3270
8000080,8000149,93,105,983,660,5340
8000080,8000192,59,82,165,60,2310
8000080,8000251,81,88,254,120,2100
8000080,8000263,13,13,2536,1680,5790
8000080,8000307,17,18,190,150,1260
8000082,8000082,218,301,556,120,8520
8000082,8000085,115,147,663,150,8550
8000082,8000086,116,154,474,90,5550
8000085,8000001,15,18,840,285,5250
8000085,8000082,112,154,456,90,5490
8000085,8000085,471,687,430,60,8100
8000085,8000086,51,60,1440,1200,5400
8000085,8000087,38,40,331,240,1710
8000085,8000098,25,41,65,30,990
8000085,8000207,85,100,923,480,8130
8000085,8000266,83,102,172,60,2430
8000085,8003368,22,78,439,0,7680
8000085,8073368,12,23,412,390,1350
8000086,8000001,10,19,390,30,4140
8000086,8000082,103,147,639,120,8520
8000086,8000085,50,63,667,210,5490
8000086,8000086,365,463,674,180,8520
8000086,8000098,62,75,1347,1200,5790
8000086,8000259,116,139,472,180,5670
8000086,8000286,19,19,219,90,1470
8000087,8000080,0,1,0,0,0
8000087,8000085,26,42,100,30,780
8000087,8000087,107,123,584,300,6090
8000087,8000207,16,18,780,615,3720
8000087,8000266,58,61,818,390,6030
8000087,8003368,40,49,249,120,1320
8000091,8000260,14,15,346,240,1410
8000095,8000095,29,37,105,30,1950
8000095,8000301,1,2,30,30,60
8000095,8000309,3,3,2690,90,7950
