from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8000033,8000033,347,120,3540,Arnsberg
8000033,8001795,712,180,3600,Arnsberg
8000033,8002268,192,60,960,Arnsberg
8000033,8005488,84,30,930,Arnsberg
8000033,8006719,302,180,2400,Arnsberg
8000037,8000037,275,60,4140,Arnsberg
8000037,8000113,60,45,210,Arnsberg
8000037,8000171,915,915,1320,Arnsberg
8000037,8000392,658,150,3390,Arnsberg
8000037,8001524,27,0,210,Arnsberg
8000037,8001795,248,150,1950,Arnsberg
8000037,8001836,147,150,570,Arnsberg
8000054,8000054,161,90,1770,Arnsberg
8000054,8001137,125,105,330,Arnsberg
8000054,8001182,197,90,900,Arnsberg
8000054,8002992,290,90,1740,Arnsberg
8000054,8004676,90,60,300,Arnsberg
8000054,8006453,42,0,390,Arnsberg
8000081,8000081,188,30,3540,Arnsberg
8000081,8001531,146,60,2010,Arnsberg
8000081,8001542,26,0,120,Arnsberg
8000081,8003946,8,0,120,Arnsberg
8000081,8004230,383,180,2070,Arnsberg
8000113,8000037,221,90,1650,Arnsberg
8000113,8000113,182,120,1620,Arnsberg
8000113,8001066,-15,-30,60,Arnsberg
8000113,8006389,180,120,540,Arnsberg
8000164,8000164,177,90,4080,Arnsberg
8000164,8000887,152,90,660,Arnsberg
8000164,8001327,156,90,870,Arnsberg
8000164,8001900,106,75,330,Arnsberg
8000164,8001909,177,120,630,Arnsberg
8000164,8002223,350,75,3960,Arnsberg
8000164,8002227,187,30,2250,Arnsberg
8000164,8002779,96,60,510,Arnsberg
8000171,8000037,2250,2250,4230,Arnsberg
8000171,8000171,321,90,4320,Arnsberg
8000171,8000392,123,60,1710,Arnsberg
8000171,8001061,682,165,3420,Arnsberg
8000171,8003788,111,60,660,Arnsberg
8000171,8003925,15,0,240,Arnsberg
8000171,8006226,335,300,930,Arnsberg
8000171,8006449,510,480,1050,Arnsberg
8000186,8003090,0,0,0,Arnsberg
8000186,8003657,0,0,0,Arnsberg
8000239,8000239,118,30,570,Arnsberg
8000239,8001097,46,0,300,Arnsberg
8000239,8004883,112,45,600,Arnsberg
8000239,8006348,133,75,420,Arnsberg
8000358,8000358,387,180,3510,Arnsberg
8000358,8004269,437,180,3510,Arnsberg
8000358,8004474,344,120,2010,Arnsberg
8000392,8000037,180,60,1710,Arnsberg
8000392,8000171,386,90,3390,Arnsberg
8000392,8000392,255,60,3420,Arnsberg
8000392,8001545,61,30,330,Arnsberg
8000605,8000605,221,120,1920,Arnsberg
8000605,8004228,174,90,1590,Arnsberg
8000605,8004642,264,150,1920,Arnsberg
8000745,8000745,96,30,600,Arnsberg
8000745,8001093,125,60,840,Arnsberg
8000745,8001394,94,0,510,Arnsberg
8000793,8000793,55,0,360,Arnsberg
8000793,8002180,111,60,360,Arnsberg
8000793,8005289,0,0,0,Arnsberg
8000904,8000904,160,180,270,Arnsberg
8000904,8001137,120,120,210,Arnsberg
8000904,8003998,187,225,240,Arnsberg
8000927,8000927,208,150,1860,Arnsberg
8000927,8000966,356,360,540,Arnsberg
8000927,8003993,148,60,1560,Arnsberg
8000927,8004676,242,120,1860,Arnsberg
8000966,8000927,133,90,420,Arnsberg
8000966,8000966,232,210,510,Arnsberg
8000966,8005555,307,300,480,Arnsberg
8000977,8000977,69,30,540,Arnsberg
8000977,8006226,0,0,0,Arnsberg
8000977,8006386,43,0,540,Arnsberg
8000977,8006510,15,15,30,Arnsberg
8000978,8000978,55,0,360,Arnsberg
8000978,8003638,0,0,0,Arnsberg
8000978,8006109,98,60,330,Arnsberg
8001035,8001035,63,60,390,Arnsberg
8001035,8006710,124,120,420,Arnsberg
8001038,8001038,129,60,900,Arnsberg
8001038,8002639,180,120,900,Arnsberg
8001038,8006194,60,0,570,Arnsberg
8001039,8001039,334,120,3540,Arnsberg
8001039,8004474,446,240,3540,Arnsberg
8001039,8006227,225,60,1920,Arnsberg
8001045,8001045,124,60,1140,Arnsberg
8001045,8001061,0,0,0,Arnsberg
8001045,8002680,97,60,450,Arnsberg
8001045,8003986,143,90,1140,Arnsberg
