from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000033,8000033,121,193,214,60,2100,Arnsberg
8000033,8001795,43,54,298,180,1350,Arnsberg
8000033,8002268,16,42,100,0,1620,Arnsberg
8000033,8005488,15,43,26,0,510,Arnsberg
8000033,8006719,45,54,364,180,2100,Arnsberg
8000037,8000037,129,147,231,120,2220,Arnsberg
8000037,8000113,20,21,161,90,540,Arnsberg
8000037,8000171,2,2,360,360,450,Arnsberg
8000037,8000392,28,33,258,150,1020,Arnsberg
8000037,8001524,16,19,101,60,480,Arnsberg
8000037,8001795,31,33,353,240,2160,Arnsberg
8000037,8001836,16,20,282,180,960,Arnsberg
8000054,8000054,12,20,70,45,480,Arnsberg
8000054,8001137,3,6,25,15,60,Arnsberg
8000054,8001182,6,10,72,30,450,Arnsberg
8000054,8002992,10,11,38,30,60,Arnsberg
8000054,8006453,5,14,9,0,90,Arnsberg
8000081,8000081,95,160,69,30,690,Arnsberg
8000081,8001531,34,43,104,30,450,Arnsberg
8000081,8001542,13,37,71,0,1320,Arnsberg
8000081,8003946,5,37,11,0,180,Arnsberg
8000113,8000037,16,18,163,60,1560,Arnsberg
8000113,8000113,57,67,331,180,1920,Arnsberg
8000113,8001066,4,16,9,-30,150,Arnsberg
8000113,8001522,3,3,120,120,210,Arnsberg
8000113,8006389,35,35,525,300,2220,Arnsberg
8000164,8000164,128,176,109,60,780,Arnsberg
8000164,8001327,50,90,78,30,810,Arnsberg
8000164,8001900,22,24,199,135,870,Arnsberg
8000164,8001909,22,24,112,90,630,Arnsberg
8000164,8002223,12,15,102,30,630,Arnsberg
8000164,8002227,13,23,52,30,240,Arnsberg
8000164,8002779,11,17,55,60,240,Arnsberg
8000171,8000037,2,2,435,435,750,Arnsberg
8000171,8000171,68,131,171,30,2220,Arnsberg
8000171,8000392,30,65,153,0,2220,Arnsberg
8000171,8001061,30,33,344,210,1350,Arnsberg
8000171,8002745,7,30,37,0,420,Arnsberg
8000171,8003925,19,37,35,30,210,Arnsberg
8000186,8003090,0,19,0,0,0,Arnsberg
8000186,8003657,1,32,8,0,240,Arnsberg
8000239,8000239,62,77,367,210,2340,Arnsberg
8000239,8001097,11,18,93,75,480,Arnsberg
8000239,8004883,33,39,430,240,2340,Arnsberg
8000239,8006348,18,21,521,540,1260,Arnsberg
8000392,8000037,26,32,260,45,2220,Arnsberg
8000392,8000171,40,64,155,30,1050,Arnsberg
8000392,8000392,47,67,256,120,2220,Arnsberg
8000392,8001545,1,1,1200,1200,1200,Arnsberg
8000605,8000605,50,67,350,180,2280,Arnsberg
8000605,8004228,17,32,117,30,960,Arnsberg
8000605,8004642,35,35,557,360,2310,Arnsberg
8000745,8000745,42,68,311,60,4050,Arnsberg
8000745,8001093,20,33,323,60,3000,Arnsberg
8000745,8001394,20,34,422,45,8250,Arnsberg
8000793,8000793,6,34,22,0,270,Arnsberg
8000793,8002180,6,19,35,0,240,Arnsberg
8000793,8005289,0,15,0,0,0,Arnsberg
8000904,8000904,4,6,30,30,90,Arnsberg
8000904,8001137,0,2,0,0,0,Arnsberg
8000904,8003998,4,4,45,45,60,Arnsberg
8000927,8000927,25,29,483,300,2280,Arnsberg
8000927,8000966,14,16,602,450,2250,Arnsberg
8000927,8003993,13,32,106,0,960,Arnsberg
8000966,8000927,11,14,364,120,1440,Arnsberg
8000966,8000966,20,25,536,450,2250,Arnsberg
8000966,8005555,12,12,742,525,2280,Arnsberg
8000977,8000977,51,92,83,30,540,Arnsberg
8000977,8006386,16,46,37,0,420,Arnsberg
8000978,8000978,6,34,21,0,240,Arnsberg
8000978,8003638,0,15,0,0,0,Arnsberg
8000978,8006109,6,19,35,0,240,Arnsberg
8001035,8001035,27,44,76,30,780,Arnsberg
8001035,8006710,22,22,162,120,840,Arnsberg
8001045,8001045,58,72,186,90,720,Arnsberg
8001045,8002680,15,17,74,60,180,Arnsberg
8001045,8003986,32,34,319,330,720,Arnsberg
8001045,8006323,14,21,69,30,480,Arnsberg
8001061,8000171,23,33,245,60,2220,Arnsberg
8001061,8001061,58,66,309,150,2220,Arnsberg
8001061,8001558,17,17,454,300,1440,Arnsberg
8001066,8000113,15,15,106,90,270,Arnsberg
8001066,8001066,19,31,47,30,270,Arnsberg
8001066,8003967,6,16,41,0,210,Arnsberg
8001093,8000745,22,35,171,60,2280,Arnsberg
8001093,8001093,39,69,223,30,3000,Arnsberg
8001093,8006323,21,34,300,45,3000,Arnsberg
8001097,8000239,17,17,196,180,570,Arnsberg
8001097,8001097,33,35,107,90,570,Arnsberg
8001097,8005526,18,18,155,135,510,Arnsberg
8001137,8000054,4,6,140,60,600,Arnsberg
8001137,8000904,4,4,68,60,120,Arnsberg
8001137,8001137,20,34,56,30,600,Arnsberg
8001137,8002992,5,7,56,30,240,Arnsberg
8001137,8003896,6,17,16,0,60,Arnsberg
8001182,8000054,9,10,69,30,300,Arnsberg
8001213,8002535,9,16,21,30,60,Arnsberg
8001357,8001357,36,40,320,225,1170,Arnsberg
8001357,8002514,19,20,328,210,1170,Arnsberg
8001357,8005227,16,20,346,270,1080,Arnsberg
8001358,8001358,4,4,398,300,780,Arnsberg
8001358,8002835,2,2,495,495,780,Arnsberg
8001358,8003424,2,2,315,315,360,Arnsberg
8001394,8000745,19,32,220,75,1650,Arnsberg
8001394,8001394,38,66,274,30,8400,Arnsberg
8001394,8001692,19,34,424,30,8400,Arnsberg
8001505,8001505,74,86,90,30,660,Arnsberg
8001505,8001525,32,43,109,60,420,Arnsberg
8001505,8001531,42,43,77,30,630,Arnsberg
8001515,8001515,42,63,349,90,2910,Arnsberg
8001515,8001522,1,1,660,660,660,Arnsberg
8001515,8001537,22,31,495,210,2940,Arnsberg
8001515,8001543,13,14,118,75,510,Arnsberg
8001515,8006226,14,17,307,180,1290,Arnsberg
8001516,8001549,36,38,25,60,390,Arnsberg
8001517,8001517,52,74,75,60,360,Arnsberg
8001517,8001529,24,37,69,60,240,Arnsberg
8001517,8001535,22,37,66,30,330,Arnsberg
8001518,8001518,44,74,62,30,540,Arnsberg
8001518,8001520,12,37,21,0,180,Arnsberg
8001518,8003946,30,37,116,60,570,Arnsberg
8001519,8001519,46,86,69,30,660,Arnsberg
8001519,8001525,16,43,52,0,660,Arnsberg
8001519,8001543,30,43,89,30,390,Arnsberg
8001520,8001518,19,37,75,30,480,Arnsberg
8001520,8001520,38,74,58,30,480,Arnsberg
8001520,8003916,33,37,51,30,210,Arnsberg
8001521,8001521,30,38,318,180,1260,Arnsberg
8001521,8001522,12,19,240,120,720,Arnsberg
8001521,8001534,16,19,407,210,1230,Arnsberg
8001522,8000113,5,5,678,570,1440,Arnsberg
8001522,8001515,1,1,990,990,990,Arnsberg
8001522,8001521,19,19,414,240,1260,Arnsberg
8001522,8001522,83,93,295,210,1200,Arnsberg
8001522,8001523,0,1,0,0,0,Arnsberg
8001522,8001524,26,26,307,210,750,Arnsberg
8001522,8001533,1,1,90,90,90,Arnsberg
8001523,8001522,1,1,1200,1200,1200,Arnsberg
8001523,8001523,1,2,600,600,1200,Arnsberg
8001523,8001545,0,1,0,0,0,Arnsberg
8001524,8000037,26,26,350,210,900,Arnsberg
8001524,8001522,16,19,189,180,510,Arnsberg
8001524,8001524,42,45,247,150,930,Arnsberg
8001525,8001505,13,43,46,0,660,Arnsberg
8001525,8001519,30,43,93,30,420,Arnsberg
8001525,8001525,44,86,77,30,660,Arnsberg
8001526,8001526,47,74,52,30,300,Arnsberg
8001526,8001529,32,37,97,60,360,Arnsberg
8001526,8003936,14,37,37,0,240,Arnsberg
8001527,8001527,72,82,96,90,390,Arnsberg
8001527,8001536,30,41,81,60,300,Arnsberg
8001528,8001329,14,17,145,90,630,Arnsberg
8001528,8001528,29,34,117,60,660,Arnsberg
8001528,8001539,14,17,76,60,210,Arnsberg
8001529,8001517,28,37,91,60,360,Arnsberg
8001529,8001526,15,37,41,0,240,Arnsberg
8001529,8001529,56,74,75,60,360,Arnsberg
8001530,8001530,67,80,379,195,2340,Arnsberg
8001530,8001533,33,39,454,300,2340,Arnsberg
