from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8010041,8010041,79,30,540,Berlin
8010041,8011901,110,60,510,Berlin
8010403,5100082,150,150,150,Berlin
8010403,8010280,150,120,600,Berlin
8010403,8010373,189,135,630,Berlin
8010403,8010403,240,60,3330,Berlin
8010403,8011306,348,90,2310,Berlin
8010403,8011430,368,60,3330,Berlin
8010403,8011695,129,60,600,Berlin
8010403,8013479,14,0,120,Berlin
8010403,8080040,42,30,360,Berlin
8011003,8011003,19,0,150,Berlin
8011003,8011004,37,30,180,Berlin
8011041,8010053,28,30,120,Berlin
8011041,8010215,98,75,390,Berlin
8011041,8011041,110,60,1200,Berlin
8011041,8011118,148,60,1140,Berlin
8011041,8013100,134,120,360,Berlin
8011046,8011046,53,30,510,Berlin
8011046,8012910,42,0,270,Berlin
8011046,8089056,46,30,510,Berlin
8011046,8089057,50,0,510,Berlin
8011118,8010214,170,60,1110,Berlin
8011118,8011041,55,30,480,Berlin
8011118,8011118,94,30,1140,Berlin
8011118,8011167,140,120,660,Berlin
8011118,8011691,90,60,360,Berlin
8011118,8013470,280,120,1230,Berlin
8011155,8011155,184,0,3600,Berlin
8011155,8011250,121,90,210,Berlin
8011155,8011306,90,0,3570,Berlin
8011155,8013188,210,180,450,Berlin
8011155,8013376,377,60,1740,Berlin
8011155,8013477,361,120,1770,Berlin
8011167,8011118,83,30,630,Berlin
8011167,8011167,106,60,690,Berlin
8011167,8013021,136,120,600,Berlin
8011167,8080040,87,45,990,Berlin
8011306,8010403,99,30,3420,Berlin
8011306,8011155,290,45,2340,Berlin
8011306,8011306,196,0,3540,Berlin
8011306,8013479,42,0,420,Berlin
8011306,8080040,0,0,0,Berlin
8011343,8010341,45,0,420,Berlin
8011343,8011343,91,0,840,Berlin
8011901,8010041,72,45,270,Berlin
8011901,8010214,90,90,90,Berlin
8011901,8011901,43,0,450,Berlin
8011901,8012831,26,0,210,Berlin
8011901,8013470,30,30,30,Berlin
8013021,8011167,63,30,510,Berlin
8013021,8013021,77,30,510,Berlin
8013021,8080260,87,45,450,Berlin
8089004,8089004,82,60,1020,Berlin
8089004,8089030,62,30,600,Berlin
8089004,8089104,54,0,660,Berlin
8089004,8089168,118,60,1020,Berlin
8089014,8089014,94,30,1740,Berlin
8089014,8089040,90,60,1740,Berlin
8089014,8089117,133,90,1590,Berlin
8089030,8089004,108,60,1020,Berlin
8089030,8089030,75,30,1020,Berlin
8089030,8089043,74,30,630,Berlin
8089040,8089014,112,60,1560,Berlin
8089040,8089031,84,30,990,Berlin
8089040,8089040,108,60,1650,Berlin
8089040,8089059,90,60,1590,Berlin
8089052,8089007,76,60,720,Berlin
8089052,8089052,117,60,1110,Berlin
8089052,8089054,166,120,840,Berlin
8089052,8089063,148,90,1110,Berlin
8089054,8089016,141,90,930,Berlin
8089054,8089052,56,30,690,Berlin
8089054,8089054,94,60,900,Berlin
8089063,8080340,134,90,720,Berlin
8089063,8089052,53,30,420,Berlin
8089063,8089063,100,60,750,Berlin
8089080,8089008,44,30,540,Berlin
8089080,8089080,50,30,540,Berlin
8089080,8089081,46,0,390,Berlin
8089093,8089117,60,30,1770,Berlin
8089114,8089113,24,30,60,Berlin
8089114,8089114,27,30,180,Berlin
8089114,8089115,32,30,150,Berlin
