from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8010041,8010041,53,70,242,90,2850,Berlin
8010041,8011901,16,17,349,180,1680,Berlin
8010403,8010280,13,22,113,30,720,Berlin
8010403,8010373,10,17,65,30,330,Berlin
8010403,8010403,58,110,106,30,1230,Berlin
8010403,8011306,40,43,239,210,1110,Berlin
8010403,8011430,19,21,107,60,690,Berlin
8010403,8013479,4,18,17,0,120,Berlin
8010403,8080040,6,24,18,0,150,Berlin
8011041,8010215,16,18,282,60,2130,Berlin
8011041,8011041,52,76,329,60,3960,Berlin
8011041,8011118,29,38,218,30,2550,Berlin
8011041,8013100,15,20,648,180,3960,Berlin
8011046,8011046,115,226,50,30,750,Berlin
8011046,8012910,14,36,30,0,240,Berlin
8011046,8089056,34,113,36,0,570,Berlin
8011046,8089057,47,113,45,0,720,Berlin
8011118,8010214,10,10,243,120,990,Berlin
8011118,8011041,27,38,456,90,4020,Berlin
8011118,8011118,119,179,411,60,7980,Berlin
8011118,8011167,42,49,308,90,2610,Berlin
8011118,8011691,8,9,1210,180,7830,Berlin
8011118,8012831,1,1,2670,2670,2670,Berlin
8011118,8013470,18,19,283,240,1140,Berlin
8011155,8011155,29,52,148,45,990,Berlin
8011155,8011306,11,26,33,0,360,Berlin
8011155,8013477,21,25,260,180,930,Berlin
8011167,8011118,29,48,318,90,2250,Berlin
8011167,8011167,90,132,248,60,2640,Berlin
8011167,8013021,19,34,199,30,2610,Berlin
8011167,8080040,24,32,189,45,960,Berlin
8011306,8010403,22,61,35,0,600,Berlin
8011306,8011155,24,26,283,240,990,Berlin
8011306,8011306,39,52,177,105,1020,Berlin
8011343,8010341,12,19,238,30,2070,Berlin
8011343,8011343,26,38,220,105,1320,Berlin
8011901,8010041,14,18,160,120,540,Berlin
8011901,8011901,51,65,175,90,1680,Berlin
8011901,8012831,10,12,165,120,510,Berlin
8011901,8013470,1,1,60,60,60,Berlin
8013021,8011167,24,34,159,60,2070,Berlin
8013021,8013021,32,68,161,0,2610,Berlin
8013021,8080260,11,34,179,0,2640,Berlin
8089004,8089004,286,532,42,30,690,Berlin
8089004,8089030,83,95,26,30,30,Berlin
8089004,8089104,110,266,38,0,420,Berlin
8089004,8089168,143,266,43,30,450,Berlin
8089030,8089004,0,95,0,0,0,Berlin
8089030,8089030,0,190,0,0,0,Berlin
8089030,8089043,1,95,-3,0,60,Berlin
8089040,8089031,110,118,65,30,330,Berlin
8089040,8089040,248,371,56,30,1170,Berlin
8089040,8089059,157,185,42,30,300,Berlin
8089040,8089117,60,68,87,30,1170,Berlin
8089052,8089007,183,266,40,30,270,Berlin
8089052,8089052,377,532,38,30,330,Berlin
8089052,8089054,41,128,25,0,270,Berlin
8089052,8089063,85,138,24,30,240,Berlin
8089054,8089016,63,128,35,0,270,Berlin
8089054,8089052,92,128,34,30,210,Berlin
8089054,8089054,101,256,23,0,270,Berlin
8089063,8081580,11,68,11,0,240,Berlin
8089063,8089052,62,138,35,0,300,Berlin
8089063,8089063,54,130,26,0,270,Berlin
8089080,8089015,112,113,85,60,570,Berlin
8089080,8089039,13,68,11,0,150,Berlin
8089080,8089080,241,348,49,30,810,Berlin
8089080,8089081,84,174,48,0,780,Berlin
8089093,8089117,24,68,13,0,150,Berlin
8089114,8089113,96,107,79,60,570,Berlin
8089114,8089114,189,214,67,30,570,Berlin
8089114,8089115,93,107,58,30,240,Berlin
