from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8010004,8010004,99,60,1140,Brandenburg
8010004,8010093,81,90,210,Brandenburg
8010004,8010282,11,0,60,Brandenburg
8010004,8011314,25,0,210,Brandenburg
8010004,8012611,270,270,300,Brandenburg
8010004,8012637,58,30,330,Brandenburg
8010004,8013313,152,45,1020,Brandenburg
8010017,8010017,242,30,2250,Brandenburg
8010017,8011034,254,0,2220,Brandenburg
8010017,8011531,252,60,1020,Brandenburg
8010025,8010025,36,0,300,Brandenburg
8010025,8012910,0,0,0,Brandenburg
8010025,8013227,60,60,300,Brandenburg
8010025,8013429,88,60,300,Brandenburg
8010025,8081300,0,0,0,Brandenburg
8010028,8010028,31,0,360,Brandenburg
8010028,8011079,16,0,60,Brandenburg
8010029,8010029,30,30,90,Brandenburg
8010029,8011284,35,30,90,Brandenburg
8010029,8012551,13,0,60,Brandenburg
8010031,8010031,361,210,1620,Brandenburg
8010031,8010376,456,345,1590,Brandenburg
8010031,8011100,183,90,1050,Brandenburg
8010031,8011271,0,0,60,Brandenburg
8010053,8010053,107,0,1440,Brandenburg
8010053,8011041,219,60,1560,Brandenburg
8010053,8011340,98,0,990,Brandenburg
8010064,8010064,76,0,1290,Brandenburg
8010064,8010093,36,0,210,Brandenburg
8010064,8011314,211,120,1290,Brandenburg
8010064,8011671,5,0,60,Brandenburg
8010069,8010069,222,90,1740,Brandenburg
8010069,8011318,75,45,210,Brandenburg
8010069,8011542,160,30,690,Brandenburg
8010069,8011667,108,30,570,Brandenburg
8010069,8012084,46,0,390,Brandenburg
8010069,8012257,225,150,750,Brandenburg
8010069,8012897,500,270,1710,Brandenburg
8010093,8010004,75,90,180,Brandenburg
8010093,8010064,108,0,1260,Brandenburg
8010093,8010093,109,60,1260,Brandenburg
8010093,8011188,30,30,30,Brandenburg
8010093,8012329,31,30,120,Brandenburg
8010093,8012485,172,0,2340,Brandenburg
8010093,8013470,74,0,630,Brandenburg
8010100,8010100,82,30,750,Brandenburg
8010100,8011078,90,30,900,Brandenburg
8010100,8012650,69,45,750,Brandenburg
8010100,8012681,20,0,120,Brandenburg
8010103,8010103,127,120,480,Brandenburg
8010103,8011078,22,0,90,Brandenburg
8010103,8011131,259,180,630,Brandenburg
8010103,8011537,50,0,510,Brandenburg
8010103,8011542,210,210,480,Brandenburg
8010103,8011867,134,0,870,Brandenburg
8010103,8012734,3,0,60,Brandenburg
8010103,8013160,81,0,750,Brandenburg
8010111,5100159,0,0,0,Brandenburg
8010111,8012043,1,0,30,Brandenburg
8010117,8010347,3,0,30,Brandenburg
8010120,8010120,432,120,2760,Brandenburg
8010120,8011154,681,600,2160,Brandenburg
8010120,8011471,851,300,2700,Brandenburg
8010120,8011533,146,30,1170,Brandenburg
8010120,8011591,66,30,360,Brandenburg
8010120,8011818,188,0,1470,Brandenburg
8010120,8013477,156,0,900,Brandenburg
8010150,8010150,21,0,120,Brandenburg
8010150,8012370,20,0,120,Brandenburg
8010150,8012895,4,0,60,Brandenburg
8010167,8010167,75,15,240,Brandenburg
8010167,8010214,50,30,120,Brandenburg
8010167,8012239,145,150,240,Brandenburg
8010171,8010171,47,30,270,Brandenburg
8010171,8010308,61,60,180,Brandenburg
8010171,8012175,46,30,240,Brandenburg
8010175,8010175,193,30,1770,Brandenburg
8010175,8010246,222,30,1800,Brandenburg
8010175,8011125,236,90,1500,Brandenburg
8010175,8012703,183,15,1710,Brandenburg
8010182,8010182,140,60,1380,Brandenburg
8010182,8012260,129,60,870,Brandenburg
8010182,8012487,182,60,1350,Brandenburg
8010182,8012552,90,60,270,Brandenburg
8010183,8010183,137,60,1650,Brandenburg
8010183,8010327,189,60,1620,Brandenburg
8010183,8011098,76,90,210,Brandenburg
8010183,8011756,88,90,240,Brandenburg
8010183,8012469,47,30,210,Brandenburg
8010189,8011674,5,0,60,Brandenburg
8010189,8011788,38,60,60,Brandenburg
8010214,8010167,125,120,210,Brandenburg
8010214,8010214,210,60,4080,Brandenburg
8010214,8011118,880,60,3960,Brandenburg
8010214,8011149,35,-30,690,Brandenburg
8010214,8011691,113,30,480,Brandenburg
8010214,8011776,47,0,360,Brandenburg
8010215,8010215,136,60,1410,Brandenburg
8010215,8011041,150,120,660,Brandenburg
8010215,8012260,208,105,1410,Brandenburg
8010215,8013123,52,0,360,Brandenburg
8010215,8080170,117,30,930,Brandenburg
8010233,8010233,141,30,1410,Brandenburg
8010233,8010378,148,0,1380,Brandenburg
8010233,8012733,21,0,150,Brandenburg
8010233,8013468,46,0,510,Brandenburg
8010233,8013492,185,30,1140,Brandenburg
8010236,8010236,63,60,420,Brandenburg
8010236,8011788,60,30,180,Brandenburg
8010236,8012537,99,60,420,Brandenburg
8010236,8012735,40,30,90,Brandenburg
8010239,8010239,185,105,1860,Brandenburg
8010239,8012614,225,105,1980,Brandenburg
8010239,8013472,44,0,630,Brandenburg
8010239,8013479,57,30,270,Brandenburg
8010246,8010175,86,0,1140,Brandenburg
8010246,8010246,131,30,1770,Brandenburg
8010246,8010384,85,60,210,Brandenburg
8010246,8013222,210,30,1800,Brandenburg
8010248,8010248,140,30,1920,Brandenburg
8010248,8011258,189,60,1920,Brandenburg
8010248,8011585,87,0,390,Brandenburg
8010248,8013363,39,0,240,Brandenburg
8010279,8010279,38,0,360,Brandenburg
8010279,8010280,17,0,120,Brandenburg
8010279,8011308,0,0,0,Brandenburg
8010279,8012957,26,0,360,Brandenburg
8010280,8010279,15,0,210,Brandenburg
8010280,8010280,138,0,5580,Brandenburg
8010280,8010377,150,30,1830,Brandenburg
8010280,8010403,680,870,930,Brandenburg
8010280,8011306,686,510,3210,Brandenburg
8010280,8011695,93,30,1140,Brandenburg
8010282,8010004,117,120,270,Brandenburg
8010282,8010282,122,60,930,Brandenburg
8010282,8011044,30,30,30,Brandenburg
8010282,8012418,150,0,900,Brandenburg
8010282,8012968,47,30,210,Brandenburg
8010287,8010287,63,0,1530,Brandenburg
8010287,8011730,96,0,1470,Brandenburg
8010287,8011848,15,0,120,Brandenburg
8010287,8012842,22,0,90,Brandenburg
8010287,8017346,0,0,0,Brandenburg
8010308,8010171,56,15,300,Brandenburg
8010308,8010308,53,30,480,Brandenburg
8010308,8010327,46,30,300,Brandenburg
8010308,8012169,15,0,60,Brandenburg
8010308,8012565,97,120,210,Brandenburg
8010308,8012941,50,60,180,Brandenburg
8010327,8010183,52,30,600,Brandenburg
8010327,8010308,66,30,330,Brandenburg
8010327,8010327,61,30,570,Brandenburg
8010327,8012941,94,60,300,Brandenburg
8010330,8010330,15,0,90,Brandenburg
8010330,8011097,47,60,150,Brandenburg
8010330,8012870,9,0,90,Brandenburg
8010341,8010341,71,60,360,Brandenburg
8010341,8011343,91,90,300,Brandenburg
8010341,8011863,48,0,360,Brandenburg
8010347,8010117,33,0,360,Brandenburg
8010347,8010347,13,0,360,Brandenburg
8010347,8011815,3,0,60,Brandenburg
8010353,8010353,357,90,1530,Brandenburg
8010353,8011409,173,90,870,Brandenburg
8010353,8011542,486,270,1410,Brandenburg
8010353,8011668,498,240,1320,Brandenburg
8010353,8013210,566,540,1380,Brandenburg
8010371,8010371,198,45,2010,Brandenburg
8010371,8011672,129,90,480,Brandenburg
8010371,8011788,40,30,120,Brandenburg
8010371,8012205,223,30,1080,Brandenburg
8010371,8012973,563,450,2040,Brandenburg
8010373,8010373,416,210,2610,Brandenburg
8010373,8010377,410,150,2910,Brandenburg
8010373,8010403,691,405,2730,Brandenburg
8010373,8011725,691,480,1980,Brandenburg
8010373,8012011,386,300,1500,Brandenburg
8010376,8010031,220,60,930,Brandenburg
8010376,8010376,355,225,1590,Brandenburg
8010376,8011952,723,585,1560,Brandenburg
8010376,8012322,307,330,630,Brandenburg
8010377,8010280,173,0,5640,Brandenburg
8010377,8010373,535,300,1920,Brandenburg
8010377,8010377,166,30,5700,Brandenburg
8010377,8013481,46,0,720,Brandenburg
8010378,8010233,164,0,1200,Brandenburg
8010378,8010378,152,0,1350,Brandenburg
8010378,8012733,148,0,1380,Brandenburg
8010384,8010246,55,30,120,Brandenburg
8010384,8010384,104,60,1800,Brandenburg
8010384,8011408,92,90,240,Brandenburg
8010384,8012226,120,15,1740,Brandenburg
8010386,8010386,356,150,2130,Brandenburg
8010386,8011034,157,0,930,Brandenburg
8010386,8012475,453,120,2010,Brandenburg
8010389,8010389,84,30,750,Brandenburg
8010389,8011302,120,0,690,Brandenburg
