from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8010004,8010004,49,57,327,180,2130,Brandenburg
8010004,8010093,9,13,99,30,390,Brandenburg
8010004,8010282,11,12,332,240,720,Brandenburg
8010004,8011314,15,21,240,90,2070,Brandenburg
8010004,8012637,8,17,254,0,1890,Brandenburg
8010004,8012944,1,1,30,30,30,Brandenburg
8010004,8013238,9,12,375,120,1620,Brandenburg
8010017,8010017,10,34,34,0,420,Brandenburg
8010017,8011034,5,17,41,0,390,Brandenburg
8010017,8011531,6,17,19,0,120,Brandenburg
8010025,8010025,24,72,168,0,2760,Brandenburg
8010025,8013227,9,20,132,0,780,Brandenburg
8010025,8013429,11,17,385,60,2760,Brandenburg
8010025,8081300,5,38,82,0,1200,Brandenburg
8010028,8010028,10,36,25,0,180,Brandenburg
8010028,8011079,6,18,15,0,90,Brandenburg
8010028,8011080,6,18,40,0,180,Brandenburg
8010029,8010029,24,34,34,30,150,Brandenburg
8010029,8011284,15,18,38,30,120,Brandenburg
8010029,8012551,6,18,18,0,60,Brandenburg
8010031,8010031,23,39,95,30,1260,Brandenburg
8010031,8010376,10,20,110,15,1230,Brandenburg
8010031,8011100,15,29,64,30,840,Brandenburg
8010031,8011271,5,7,47,30,180,Brandenburg
8010064,8010064,45,74,197,30,2040,Brandenburg
8010064,8010093,23,37,156,60,2010,Brandenburg
8010064,8011314,18,21,423,150,1860,Brandenburg
8010064,8011671,4,16,21,0,150,Brandenburg
8010069,8010069,55,75,199,150,840,Brandenburg
8010069,8011318,8,8,214,195,450,Brandenburg
8010069,8011542,8,9,217,210,390,Brandenburg
8010069,8011667,9,10,180,75,810,Brandenburg
8010069,8012084,9,11,71,60,180,Brandenburg
8010069,8012257,15,17,205,180,660,Brandenburg
8010069,8012897,10,18,213,75,900,Brandenburg
8010093,8010004,11,12,350,270,810,Brandenburg
8010093,8010064,18,37,220,0,1380,Brandenburg
8010093,8010093,50,63,296,120,1980,Brandenburg
8010093,8011188,0,1,0,0,0,Brandenburg
8010093,8012329,10,26,70,0,510,Brandenburg
8010093,8012485,4,17,49,0,510,Brandenburg
8010093,8013470,15,18,288,150,1980,Brandenburg
8010100,8010100,20,55,34,0,540,Brandenburg
8010100,8011078,6,20,22,0,240,Brandenburg
8010100,8012169,1,2,30,30,60,Brandenburg
8010100,8012650,10,26,52,0,540,Brandenburg
8010100,8012681,4,12,30,0,120,Brandenburg
8010103,8010103,27,36,178,120,900,Brandenburg
8010103,8011078,8,21,54,0,540,Brandenburg
8010103,8011131,13,17,111,90,240,Brandenburg
8010103,8011537,1,12,0,0,30,Brandenburg
8010103,8011542,9,9,390,300,870,Brandenburg
8010103,8011867,0,14,0,0,0,Brandenburg
8010103,8012734,1,9,7,0,90,Brandenburg
8010103,8013160,3,11,41,0,300,Brandenburg
8010111,5100159,0,4,0,0,0,Brandenburg
8010111,8012043,7,18,40,0,420,Brandenburg
8010117,8010347,5,18,50,0,420,Brandenburg
8010120,8010120,34,95,110,0,1380,Brandenburg
8010120,8011154,5,22,117,0,630,Brandenburg
8010120,8011471,6,8,341,105,1230,Brandenburg
8010120,8011533,9,18,35,15,150,Brandenburg
8010120,8011591,7,18,25,0,150,Brandenburg
8010120,8011818,5,21,137,0,690,Brandenburg
8010120,8013477,2,9,3,0,60,Brandenburg
8010150,8010150,25,37,33,30,120,Brandenburg
8010150,8012370,5,18,15,0,90,Brandenburg
8010150,8012895,7,19,16,0,90,Brandenburg
8010167,8010167,6,12,178,30,960,Brandenburg
8010167,8010214,5,6,55,60,90,Brandenburg
8010167,8012239,6,6,340,240,960,Brandenburg
8010171,8010171,15,35,40,0,420,Brandenburg
8010171,8010308,6,17,26,0,90,Brandenburg
8010171,8012175,8,18,52,0,390,Brandenburg
8010175,8010175,27,38,99,60,420,Brandenburg
8010175,8010246,14,20,108,75,480,Brandenburg
8010175,8011125,7,9,73,60,180,Brandenburg
8010175,8012703,7,10,108,90,270,Brandenburg
8010182,8010182,24,35,219,60,1140,Brandenburg
8010182,8011968,10,15,44,30,270,Brandenburg
8010182,8012260,24,33,218,90,2130,Brandenburg
8010182,8012487,8,13,212,60,1080,Brandenburg
8010182,8012552,9,11,281,90,1410,Brandenburg
8010183,8010183,53,105,65,30,870,Brandenburg
8010183,8010327,28,52,97,30,900,Brandenburg
8010183,8011098,7,12,40,30,120,Brandenburg
8010183,8011756,12,18,70,90,150,Brandenburg
8010183,8012469,3,7,51,0,180,Brandenburg
8010189,8011674,3,12,40,0,240,Brandenburg
8010189,8011788,6,7,51,30,120,Brandenburg
8010214,8010167,6,6,335,225,930,Brandenburg
8010214,8010214,34,57,194,30,1980,Brandenburg
8010214,8011149,6,18,282,0,1950,Brandenburg
8010214,8011691,6,9,183,30,660,Brandenburg
8010214,8011776,8,19,129,0,1110,Brandenburg
8010214,8011901,1,1,90,90,90,Brandenburg
8010215,8010215,52,72,222,120,2280,Brandenburg
8010215,8011041,11,17,316,120,2280,Brandenburg
8010215,8012260,12,16,210,135,1380,Brandenburg
8010215,8013123,15,20,182,165,600,Brandenburg
8010215,8080170,16,20,192,105,810,Brandenburg
8010233,8010233,35,66,108,30,1230,Brandenburg
8010233,8010378,15,26,97,30,840,Brandenburg
8010233,8012733,7,7,99,60,240,Brandenburg
8010233,8013492,12,34,95,0,1200,Brandenburg
8010236,8010236,19,38,41,15,210,Brandenburg
8010236,8011788,6,9,53,60,120,Brandenburg
8010236,8012537,3,9,43,0,210,Brandenburg
8010236,8012735,15,20,39,30,300,Brandenburg
