from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8000019,8004665,90,0,900,Braunschweig
8000043,8000043,31,0,690,Braunschweig
8000043,8000325,0,0,150,Braunschweig
8000043,8000352,48,0,660,Braunschweig
8000043,8003522,26,30,60,Braunschweig
8000043,8004127,42,60,120,Braunschweig
8000130,8000130,54,30,780,Braunschweig
8000130,8000364,58,30,150,Braunschweig
8000130,8003522,56,0,810,Braunschweig
8000130,8004665,7,0,30,Braunschweig
8000166,8000166,19,0,180,Braunschweig
8000166,8002641,13,0,150,Braunschweig
8000166,8002800,0,0,30,Braunschweig
8000166,8005324,8,0,120,Braunschweig
8000213,8000213,9,0,90,Braunschweig
8000213,8000352,-3,0,60,Braunschweig
8000213,8005264,15,15,30,Braunschweig
8000255,8000255,12,0,90,Braunschweig
8000255,8001429,0,0,30,Braunschweig
8000283,8000283,29,15,240,Braunschweig
8000283,8003209,25,15,180,Braunschweig
8000283,8004441,17,0,120,Braunschweig
8000283,8005264,52,45,150,Braunschweig
8000325,8000043,22,30,60,Braunschweig
8000325,8000325,3,0,120,Braunschweig
8000325,8005265,20,0,120,Braunschweig
8000352,8000043,11,0,60,Braunschweig
8000352,8000213,53,15,630,Braunschweig
8000352,8000352,30,0,660,Braunschweig
8000364,8000130,61,30,240,Braunschweig
8000364,8000364,86,60,300,Braunschweig
8000364,8011933,165,150,330,Braunschweig
8000364,8013432,96,90,180,Braunschweig
8000739,8000739,1,0,90,Braunschweig
8000739,8005324,14,0,90,Braunschweig
8000739,8006172,17,0,150,Braunschweig
8001050,8006041,0,0,0,Braunschweig
8001429,8000255,19,0,60,Braunschweig
8001429,8001429,2,0,30,Braunschweig
8001429,8005413,1,0,30,Braunschweig
8001717,8001723,0,0,0,Braunschweig
8001723,8001717,2,0,30,Braunschweig
8001723,8001723,5,0,60,Braunschweig
8001723,8005264,15,0,120,Braunschweig
8002080,8002080,111,0,2040,Braunschweig
8002080,8003382,148,0,2040,Braunschweig
8002080,8012302,24,0,150,Braunschweig
8002102,8000090,51,60,150,Braunschweig
8002102,8002102,58,30,540,Braunschweig
8002281,8002281,19,0,180,Braunschweig
8002281,8004127,51,30,390,Braunschweig
8002281,8004704,37,30,90,Braunschweig
8002594,8000283,0,0,0,Braunschweig
8002594,8002594,0,0,0,Braunschweig
8002641,8000166,41,30,180,Braunschweig
8002641,8002641,27,30,180,Braunschweig
8002641,8006592,15,0,120,Braunschweig
8002677,8002259,85,45,660,Braunschweig
8002677,8002677,81,30,630,Braunschweig
8002677,8006707,82,60,390,Braunschweig
8002800,8000166,1,0,30,Braunschweig
8002800,8002800,-38,0,90,Braunschweig
8002800,8004705,5,0,60,Braunschweig
8003209,8000283,35,15,120,Braunschweig
8003209,8003209,22,15,180,Braunschweig
8003209,8006592,45,45,180,Braunschweig
8003382,8002080,74,0,570,Braunschweig
8003382,8003382,115,0,2010,Braunschweig
8003382,8005320,148,30,2010,Braunschweig
8003522,8000043,51,0,780,Braunschweig
8003522,8000130,37,30,150,Braunschweig
8003522,8003522,44,0,840,Braunschweig
8004127,8000043,24,0,180,Braunschweig
8004127,8002281,56,30,120,Braunschweig
8004127,8004127,54,30,210,Braunschweig
8004441,8000283,53,30,270,Braunschweig
8004441,8004441,42,0,270,Braunschweig
8004665,8000019,33,15,150,Braunschweig
8004665,8000130,86,15,810,Braunschweig
8004665,8004665,48,0,870,Braunschweig
8004704,8002281,5,0,60,Braunschweig
8004704,8004704,20,30,90,Braunschweig
8004704,8004705,30,30,90,Braunschweig
8004705,8002800,-77,-120,90,Braunschweig
8004705,8004704,3,0,60,Braunschweig
8004705,8004705,19,0,90,Braunschweig
8005264,8000213,48,15,180,Braunschweig
8005264,8000283,3,0,60,Braunschweig
8005264,8001723,-2,0,30,Braunschweig
8005264,8005264,39,15,180,Braunschweig
8005265,8000325,45,30,120,Braunschweig
8005265,8005265,41,30,120,Braunschweig
8005269,8005269,1,0,30,Braunschweig
8005269,8005274,-1,0,0,Braunschweig
8005269,8005275,1,0,30,Braunschweig
8005270,8005275,0,0,0,Braunschweig
8005274,8005269,112,0,1800,Braunschweig
8005274,8005274,119,0,3600,Braunschweig
8005275,8005269,0,0,0,Braunschweig
8005275,8005270,0,0,0,Braunschweig
8005275,8005275,0,0,30,Braunschweig
8005320,8003382,81,0,600,Braunschweig
8005320,8005320,122,30,2010,Braunschweig
8005320,8006233,155,45,1980,Braunschweig
8005324,8000166,24,0,180,Braunschweig
8005324,8000739,8,0,90,Braunschweig
8005324,8005324,8,0,120,Braunschweig
8005413,8001429,3,0,30,Braunschweig
8006041,8006041,0,0,0,Braunschweig
8006041,8006112,0,0,0,Braunschweig
8006112,8002594,0,0,0,Braunschweig
8006112,8006112,0,0,0,Braunschweig
8006172,8000739,-5,-30,90,Braunschweig
8006172,8006172,24,0,180,Braunschweig
8006172,8011480,30,30,150,Braunschweig
8006233,8005320,105,60,660,Braunschweig
8006233,8006233,138,30,1980,Braunschweig
8006592,8002641,16,0,180,Braunschweig
8006592,8003209,6,0,90,Braunschweig
8006592,8006592,25,15,180,Braunschweig
8006707,8000193,120,120,120,Braunschweig
8006707,8002677,69,30,630,Braunschweig
8006707,8005623,67,30,330,Braunschweig
8006707,8006524,80,0,390,Braunschweig
8006707,8006707,83,60,930,Braunschweig
