from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000019,8004665,9,16,105,30,570,Braunschweig
8000043,8000043,61,74,154,120,690,Braunschweig
8000043,8000325,18,19,141,90,480,Braunschweig
8000043,8000352,13,19,87,60,240,Braunschweig
8000043,8003522,10,18,143,60,750,Braunschweig
8000043,8004127,17,18,225,135,600,Braunschweig
8000130,8000130,24,32,135,90,720,Braunschweig
8000130,8000364,16,18,123,90,330,Braunschweig
8000130,8003522,10,18,77,30,270,Braunschweig
8000130,8004665,11,16,148,45,690,Braunschweig
8000166,8000166,29,35,104,60,360,Braunschweig
8000166,8002641,14,20,106,90,360,Braunschweig
8000166,8002800,4,18,27,0,180,Braunschweig
8000166,8005324,12,17,69,30,330,Braunschweig
8000213,8000213,14,17,90,60,360,Braunschweig
8000213,8000352,10,19,99,30,360,Braunschweig
8000213,8000483,0,1,0,0,0,Braunschweig
8000213,8005264,4,8,41,15,360,Braunschweig
8000255,8000255,22,38,60,30,420,Braunschweig
8000255,8001429,7,19,47,0,210,Braunschweig
8000283,8000213,0,1,0,0,0,Braunschweig
8000283,8000283,40,67,69,30,600,Braunschweig
8000283,8002594,7,12,0,30,30,Braunschweig
8000283,8003209,12,20,38,30,420,Braunschweig
8000283,8004441,18,28,82,30,600,Braunschweig
8000283,8005264,10,15,90,60,360,Braunschweig
8000325,8000043,19,19,197,120,600,Braunschweig
8000325,8000325,34,38,144,120,660,Braunschweig
8000325,8005265,19,19,219,150,600,Braunschweig
8000352,8000043,11,19,126,60,660,Braunschweig
8000352,8000213,16,19,112,90,300,Braunschweig
8000352,8000352,25,38,113,60,660,Braunschweig
8000364,8000130,18,18,150,120,390,Braunschweig
8000364,8000364,35,36,168,150,420,Braunschweig
8000364,8011933,8,8,202,180,330,Braunschweig
8000364,8013432,10,10,183,180,360,Braunschweig
8000739,8000739,28,35,57,30,330,Braunschweig
8000739,8005324,16,18,58,30,300,Braunschweig
8000739,8006172,13,17,72,60,330,Braunschweig
8001050,8006041,2,14,41,0,540,Braunschweig
8001429,8000255,12,19,55,30,330,Braunschweig
8001429,8001429,15,38,36,0,420,Braunschweig
8001429,8005413,8,19,49,0,390,Braunschweig
8001717,8001717,3,12,65,0,600,Braunschweig
8001717,8001719,3,6,110,30,540,Braunschweig
8001717,8001723,2,23,1,0,30,Braunschweig
8001719,8001717,0,6,0,0,0,Braunschweig
8001723,8001717,13,23,107,60,630,Braunschweig
8001723,8001723,21,46,53,0,450,Braunschweig
8001723,8005264,8,23,25,0,210,Braunschweig
8002080,8002080,25,36,267,45,1320,Braunschweig
8002080,8003382,12,18,378,330,1350,Braunschweig
8002080,8012302,16,17,184,60,870,Braunschweig
8002102,8000090,34,42,115,60,540,Braunschweig
8002102,8002102,63,84,184,45,1530,Braunschweig
8002281,8002281,33,36,137,120,510,Braunschweig
8002281,8004127,18,18,175,105,570,Braunschweig
8002281,8004704,16,18,135,90,480,Braunschweig
8002594,8000283,2,14,66,0,900,Braunschweig
8002594,8002594,10,26,58,0,720,Braunschweig
8002594,8006112,7,12,90,30,720,Braunschweig
8002641,8000166,16,20,87,60,390,Braunschweig
8002641,8002641,26,40,91,60,390,Braunschweig
8002641,8006592,13,20,90,75,330,Braunschweig
8002677,8002259,24,25,300,150,1110,Braunschweig
8002677,8002677,47,50,256,150,1350,Braunschweig
8002677,8006707,23,25,228,150,1350,Braunschweig
8002800,8000166,17,18,237,210,600,Braunschweig
