from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8001155,8001155,4,4,105,60,270,Bremen
8001155,8001160,1,1,120,120,120,Bremen
8001155,8001164,1,1,90,90,90,Bremen
8001157,8001157,4,5,96,30,390,Bremen
8001157,8001561,2,2,60,60,90,Bremen
8001157,8003292,1,2,15,15,30,Bremen
8001160,8000413,24,31,170,30,1590,Bremen
8001160,8001155,2,2,75,75,90,Bremen
8001160,8001160,45,61,184,60,1620,Bremen
8001160,8001164,3,3,500,150,1200,Bremen
8001160,8004702,3,4,68,45,180,Bremen
8001164,8001160,4,4,218,75,690,Bremen
8001164,8001164,7,7,343,150,1230,Bremen
