from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8010005,8010005,37,30,150,Chemnitz
8010005,8011045,10,0,60,Chemnitz
8010005,8012976,75,75,180,Chemnitz
8010010,8010010,45,0,330,Chemnitz
8010010,8012176,18,0,240,Chemnitz
8010010,8012873,60,30,300,Chemnitz
8010044,8010044,2,0,60,Chemnitz
8010044,8017219,4,0,60,Chemnitz
8010074,8012976,15,15,30,Chemnitz
8010108,8010108,96,60,690,Chemnitz
8010108,8010128,65,60,180,Chemnitz
8010108,8010253,109,90,480,Chemnitz
8010108,8011528,93,90,210,Chemnitz
8010108,8011529,61,30,240,Chemnitz
8010108,8011904,79,30,390,Chemnitz
8010108,8013114,155,120,690,Chemnitz
8010128,8010108,111,60,360,Chemnitz
8010128,8010128,113,90,330,Chemnitz
8010128,8011497,142,120,300,Chemnitz
8010129,8010129,66,45,420,Chemnitz
8010129,8010130,110,90,360,Chemnitz
8010129,8010331,34,0,360,Chemnitz
8010129,8010397,44,0,390,Chemnitz
8010129,8011904,95,90,210,Chemnitz
8010129,8012323,3,0,30,Chemnitz
8010130,8010129,27,0,120,Chemnitz
8010130,8010130,70,60,360,Chemnitz
8010130,8012388,99,60,330,Chemnitz
8010185,8010185,93,60,420,Chemnitz
8010185,8011971,100,90,390,Chemnitz
8010185,8013450,82,60,240,Chemnitz
8010229,8001969,0,0,0,Chemnitz
8010229,8010229,160,60,870,Chemnitz
8010229,8010317,201,60,960,Chemnitz
8010229,8013396,162,30,840,Chemnitz
8010253,8010108,103,90,270,Chemnitz
8010253,8010253,100,60,480,Chemnitz
8010253,8013450,93,90,300,Chemnitz
8010275,8002924,54,30,300,Chemnitz
8010275,8010229,0,0,0,Chemnitz
8010275,8010275,35,30,330,Chemnitz
8010275,8012739,28,30,120,Chemnitz
8010277,8010277,70,0,750,Chemnitz
8010277,8012201,73,15,330,Chemnitz
8010277,8012426,74,0,600,Chemnitz
8010317,8001969,180,30,930,Chemnitz
8010317,8010229,90,0,450,Chemnitz
8010317,8010317,113,60,960,Chemnitz
8010317,8011790,30,30,30,Chemnitz
8010323,8010323,29,0,240,Chemnitz
8010323,8012938,26,0,180,Chemnitz
8010323,8012939,37,30,210,Chemnitz
8010331,8010129,84,60,240,Chemnitz
8010331,8010331,53,30,360,Chemnitz
8010331,8011904,39,30,360,Chemnitz
8010333,8010333,38,30,150,Chemnitz
8010333,8010372,40,30,120,Chemnitz
8010333,8012224,30,30,120,Chemnitz
8010372,8010333,16,0,90,Chemnitz
8010372,8010372,38,30,300,Chemnitz
8010372,8010397,16,0,210,Chemnitz
8010372,8011325,81,30,300,Chemnitz
8010372,8013280,32,30,60,Chemnitz
8010379,8010379,78,30,750,Chemnitz
8010379,8011305,111,15,750,Chemnitz
8010379,8012996,46,30,180,Chemnitz
8010388,8010388,99,60,360,Chemnitz
8010388,8011770,83,60,360,Chemnitz
8010388,8011904,105,90,300,Chemnitz
8010397,8010129,54,60,180,Chemnitz
8010397,8010372,65,30,330,Chemnitz
8010397,8010397,38,0,390,Chemnitz
8010397,8012224,32,30,150,Chemnitz
8010397,8012739,51,30,390,Chemnitz
8010397,8013433,38,30,90,Chemnitz
8010397,8013434,6,0,60,Chemnitz
8011033,8011033,42,30,90,Chemnitz
8011033,8012369,80,60,180,Chemnitz
8011033,8012593,15,15,30,Chemnitz
8011045,8010005,61,0,390,Chemnitz
8011045,8011045,41,0,390,Chemnitz
8011045,8011047,30,0,120,Chemnitz
8011047,8011045,70,0,390,Chemnitz
8011047,8011047,53,30,420,Chemnitz
8011047,8013310,19,0,90,Chemnitz
8011049,8011049,88,60,360,Chemnitz
8011049,8011263,151,120,420,Chemnitz
8011049,8011505,78,60,240,Chemnitz
8011185,8011185,2,0,60,Chemnitz
8011185,8011315,0,0,0,Chemnitz
8011185,8017220,4,0,60,Chemnitz
8011212,8011212,75,30,540,Chemnitz
8011212,8012426,63,15,240,Chemnitz
8011212,8012571,90,60,510,Chemnitz
8011263,8011049,48,30,180,Chemnitz
8011263,8011263,91,60,420,Chemnitz
8011263,8011506,132,120,420,Chemnitz
8011297,8010238,240,90,1650,Chemnitz
8011297,8011297,282,60,3180,Chemnitz
8011305,8010379,13,0,120,Chemnitz
8011305,8011305,57,0,750,Chemnitz
8011305,8013434,110,0,780,Chemnitz
8011315,8011185,4,0,60,Chemnitz
8011315,8011315,2,0,60,Chemnitz
8011315,8012412,0,0,0,Chemnitz
8011325,8010134,151,90,480,Chemnitz
8011325,8010372,48,30,390,Chemnitz
8011325,8011325,71,60,450,Chemnitz
8011325,8012661,98,60,240,Chemnitz
8011325,8012947,13,0,90,Chemnitz
8011497,8010128,90,60,330,Chemnitz
8011497,8011497,105,75,360,Chemnitz
8011497,8011856,123,120,390,Chemnitz
8011505,8011049,109,90,330,Chemnitz
8011505,8011505,81,90,330,Chemnitz
8011505,8012938,60,60,270,Chemnitz
8011506,8011263,36,30,150,Chemnitz
8011506,8011506,73,30,360,Chemnitz
8011506,8011967,98,90,360,Chemnitz
8011507,8011507,37,30,210,Chemnitz
8011507,8012369,36,0,360,Chemnitz
8011507,8012946,9,0,120,Chemnitz
8011524,8011524,111,90,540,Chemnitz
8011524,8011823,120,120,300,Chemnitz
8011524,8013307,120,60,600,Chemnitz
8011528,8010108,116,90,480,Chemnitz
8011528,8011528,105,90,450,Chemnitz
8011528,8011870,105,105,270,Chemnitz
8011529,8010108,52,60,120,Chemnitz
8011529,8011529,50,30,240,Chemnitz
8011529,8012550,52,30,240,Chemnitz
8011548,8011548,110,0,780,Chemnitz
