from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8010005,8010005,7,12,65,45,210,Chemnitz
8010005,8011045,10,17,48,30,330,Chemnitz
8010005,8012976,4,6,90,60,240,Chemnitz
8010010,8010010,10,35,35,0,300,Chemnitz
8010010,8012176,0,18,0,0,0,Chemnitz
8010010,8012873,6,18,42,0,270,Chemnitz
8010044,8010044,0,30,0,0,0,Chemnitz
8010044,8017219,0,15,0,0,0,Chemnitz
8010074,8012976,4,6,45,45,120,Chemnitz
8010108,8010108,104,140,65,30,510,Chemnitz
8010108,8010128,14,17,116,60,540,Chemnitz
8010108,8010253,46,53,79,60,540,Chemnitz
8010108,8011528,7,16,28,0,120,Chemnitz
8010108,8011529,17,20,63,30,420,Chemnitz
8010108,8013114,12,17,48,30,150,Chemnitz
8010128,8010108,17,17,113,60,510,Chemnitz
8010128,8010128,34,34,140,105,540,Chemnitz
8010128,8011497,17,17,173,120,540,Chemnitz
8010129,8010129,56,86,60,30,420,Chemnitz
8010129,8010130,15,27,38,30,240,Chemnitz
8010129,8010331,9,26,28,0,300,Chemnitz
8010129,8010397,8,16,58,15,330,Chemnitz
8010129,8011904,17,17,122,90,390,Chemnitz
8010129,8012323,2,8,8,0,30,Chemnitz
8010130,8010129,12,26,39,0,300,Chemnitz
8010130,8010130,28,53,47,30,300,Chemnitz
8010130,8012388,19,27,67,60,300,Chemnitz
8010229,8001969,0,1,0,0,0,Chemnitz
8010229,8010229,9,15,30,30,90,Chemnitz
8010229,8010317,5,7,43,60,60,Chemnitz
8010229,8013396,4,7,34,30,90,Chemnitz
8010253,8010108,47,53,101,90,510,Chemnitz
8010253,8010253,96,106,90,60,570,Chemnitz
8010253,8013450,20,20,80,45,390,Chemnitz
8010275,8002924,14,16,176,135,420,Chemnitz
8010275,8010229,1,1,30,30,30,Chemnitz
8010275,8010275,28,34,107,60,420,Chemnitz
8010275,8012739,12,17,35,30,150,Chemnitz
8010277,8010277,20,32,32,30,120,Chemnitz
8010277,8012201,12,16,58,60,120,Chemnitz
8010277,8012426,14,17,58,60,150,Chemnitz
8010317,8001969,2,6,10,0,30,Chemnitz
8010317,8010229,2,7,21,0,90,Chemnitz
8010317,8010317,9,14,30,30,90,Chemnitz
8010317,8011790,1,1,30,30,30,Chemnitz
8010323,8010323,14,35,39,0,300,Chemnitz
8010323,8012938,3,17,37,0,270,Chemnitz
8010323,8012939,12,19,51,30,270,Chemnitz
8010331,8010129,12,27,27,0,240,Chemnitz
8010331,8010331,12,53,18,0,270,Chemnitz
8010331,8011904,9,26,28,0,270,Chemnitz
8010333,8010333,14,22,67,30,750,Chemnitz
8010333,8010372,6,11,90,30,750,Chemnitz
8010333,8012224,8,11,44,30,210,Chemnitz
8010372,8010333,5,11,22,0,120,Chemnitz
8010372,8010372,37,57,107,30,1170,Chemnitz
8010372,8010397,6,18,97,0,900,Chemnitz
8010372,8011325,15,17,166,30,1140,Chemnitz
8010372,8013280,9,11,98,30,720,Chemnitz
8010379,8010379,21,36,59,30,360,Chemnitz
8010379,8011305,10,18,50,30,240,Chemnitz
8010379,8012996,10,18,62,30,360,Chemnitz
8010388,8010388,47,53,65,60,330,Chemnitz
8010388,8011770,25,26,58,30,330,Chemnitz
8010388,8011904,22,27,48,30,270,Chemnitz
8010397,8010129,15,17,85,30,390,Chemnitz
8010397,8010372,14,17,129,30,1200,Chemnitz
8010397,8010397,15,33,59,0,360,Chemnitz
8010397,8012224,6,11,46,30,360,Chemnitz
8010397,8012739,16,17,143,150,420,Chemnitz
8010397,8013433,7,26,16,0,150,Chemnitz
8010397,8013434,3,18,25,0,330,Chemnitz
8011033,8011033,2,5,12,0,30,Chemnitz
8011033,8012369,1,3,20,0,60,Chemnitz
8011033,8012593,0,2,0,0,0,Chemnitz
8011045,8010005,10,17,64,30,330,Chemnitz
8011045,8011045,16,34,52,0,330,Chemnitz
8011045,8011047,7,17,46,0,330,Chemnitz
8011047,8011045,13,17,81,30,270,Chemnitz
8011047,8011047,25,34,71,30,330,Chemnitz
8011047,8013310,11,17,46,30,330,Chemnitz
8011049,8011049,20,35,81,30,420,Chemnitz
8011049,8011263,9,17,118,60,510,Chemnitz
8011049,8011505,11,18,88,30,420,Chemnitz
8011185,8011185,0,30,0,0,0,Chemnitz
8011185,8011315,0,15,0,0,0,Chemnitz
8011185,8017220,0,15,0,0,0,Chemnitz
8011212,8011212,24,33,67,60,210,Chemnitz
8011212,8012426,11,16,64,75,180,Chemnitz
8011212,8012571,13,17,44,30,120,Chemnitz
8011263,8011049,11,18,70,30,420,Chemnitz
8011263,8011263,20,35,88,30,480,Chemnitz
8011263,8011506,9,17,102,60,450,Chemnitz
8011297,8010238,14,19,109,30,600,Chemnitz
8011297,8011297,22,38,100,60,840,Chemnitz
8011305,8010379,8,18,45,0,360,Chemnitz
8011305,8011305,11,36,40,0,360,Chemnitz
8011305,8013434,5,18,47,0,300,Chemnitz
8011315,8011185,0,15,0,0,0,Chemnitz
8011315,8011315,0,30,0,0,0,Chemnitz
8011315,8012412,0,15,0,0,0,Chemnitz
8011325,8010134,17,17,201,90,1140,Chemnitz
8011325,8010372,13,18,135,30,1050,Chemnitz
8011325,8011325,44,57,138,30,1140,Chemnitz
8011325,8012661,11,11,207,180,720,Chemnitz
8011325,8012947,4,11,22,0,150,Chemnitz
8011497,8010128,16,17,115,90,510,Chemnitz
8011497,8011497,33,34,139,90,540,Chemnitz
8011497,8011856,17,17,180,180,570,Chemnitz
8011505,8011049,10,17,88,90,390,Chemnitz
8011505,8011505,20,35,85,30,420,Chemnitz
8011505,8012938,9,18,75,15,420,Chemnitz
8011506,8011263,9,18,63,15,420,Chemnitz
8011506,8011506,17,35,78,0,480,Chemnitz
8011506,8011967,8,17,97,0,480,Chemnitz
8011507,8011507,14,38,17,0,150,Chemnitz
8011507,8012369,8,19,17,0,60,Chemnitz
8011507,8012946,5,19,6,0,60,Chemnitz
8011524,8011524,23,36,63,45,360,Chemnitz
8011524,8011823,11,18,62,60,360,Chemnitz
8011524,8013307,13,18,65,30,240,Chemnitz
8011528,8010108,10,16,22,30,60,Chemnitz
8011528,8011528,20,32,31,30,120,Chemnitz
8011528,8011870,11,16,41,30,120,Chemnitz
8011529,8010108,17,20,45,30,120,Chemnitz
8011529,8011529,27,40,46,30,420,Chemnitz
8011529,8012550,9,20,45,0,420,Chemnitz
8011548,8011548,21,32,50,60,180,Chemnitz
8011548,8011777,10,16,41,45,120,Chemnitz
8011548,8012740,11,16,49,30,180,Chemnitz
8011556,8011556,20,40,38,15,390,Chemnitz
8011556,8012037,14,20,52,30,390,Chemnitz
8011556,8012550,6,20,18,0,120,Chemnitz
8011770,8010388,10,27,31,0,270,Chemnitz
8011770,8011770,28,53,27,30,300,Chemnitz
8011770,8011980,23,26,57,30,300,Chemnitz
8011777,8011548,10,16,56,60,180,Chemnitz
8011777,8011777,25,32,49,30,180,Chemnitz
8011777,8012208,15,16,54,60,120,Chemnitz
8011790,8001969,4,8,15,15,30,Chemnitz
8011790,8011790,1,1,30,30,30,Chemnitz
8011823,8011524,9,18,55,15,270,Chemnitz
8011823,8011823,21,36,63,45,360,Chemnitz
8011823,8012873,12,18,80,60,330,Chemnitz
8011856,8011497,16,17,104,60,480,Chemnitz
8011856,8011856,32,34,131,105,540,Chemnitz
8011856,8013328,16,17,155,120,510,Chemnitz
8011870,8011528,16,16,38,30,90,Chemnitz
8011870,8011870,26,32,42,30,150,Chemnitz
8011870,8011892,9,16,47,60,150,Chemnitz
8011892,8011870,10,16,26,30,60,Chemnitz
8011892,8011892,25,32,44,30,150,Chemnitz
8011892,8012208,14,16,71,60,180,Chemnitz
8011904,8010129,16,16,103,90,300,Chemnitz
8011904,8010331,11,27,20,0,240,Chemnitz
8011904,8010388,22,26,45,30,270,Chemnitz
8011904,8011904,51,86,59,30,360,Chemnitz
8011904,8011980,17,17,132,90,360,Chemnitz
8011912,8017218,0,15,0,0,0,Chemnitz
8011967,8011506,9,18,48,15,300,Chemnitz
8011970,8011970,1,5,6,0,30,Chemnitz
8011970,8012528,1,3,10,0,30,Chemnitz
8011980,8011770,14,27,18,30,90,Chemnitz
8011980,8011904,15,16,68,30,270,Chemnitz
8012037,8011556,5,20,18,0,120,Chemnitz
8012037,8012037,21,40,35,30,360,Chemnitz
8012037,8012408,13,20,40,30,360,Chemnitz
8012176,8010010,7,19,43,0,270,Chemnitz
8012176,8012176,14,37,29,0,270,Chemnitz
8012176,8012939,8,18,22,0,120,Chemnitz
8012201,8010277,11,16,56,60,120,Chemnitz
8012201,8012201,23,32,58,60,150,Chemnitz
8012201,8012740,13,16,81,75,180,Chemnitz
8012208,8011777,12,16,54,30,180,Chemnitz
8012208,8011892,11,16,28,30,90,Chemnitz
8012208,8012208,25,32,57,60,210,Chemnitz
8012220,8012220,0,30,0,0,0,Chemnitz
8012220,8012407,0,15,0,0,0,Chemnitz
8012220,8017219,0,15,0,0,0,Chemnitz
8012224,8010333,8,11,95,30,750,Chemnitz
8012224,8010397,6,11,22,30,150,Chemnitz
8012224,8012224,13,22,59,30,750,Chemnitz
8012323,8010129,2,8,15,0,90,Chemnitz
8012323,8010134,3,8,11,0,30,Chemnitz
8012323,8012323,3,16,15,0,150,Chemnitz
8012369,8011033,0,2,0,0,0,Chemnitz
8012369,8011507,7,19,25,0,210,Chemnitz
8012369,8012369,13,38,19,0,210,Chemnitz
8012388,8010130,17,26,37,30,330,Chemnitz
8012388,8012388,34,53,57,30,330,Chemnitz
8012388,8012534,21,27,70,60,270,Chemnitz
8012407,8012220,0,15,0,0,0,Chemnitz
8012407,8012407,0,30,0,0,0,Chemnitz
8012407,8012412,0,15,0,0,0,Chemnitz
8012408,8012037,15,19,39,30,120,Chemnitz
8012408,8012408,22,40,36,30,390,Chemnitz
8012408,8012483,8,20,39,0,420,Chemnitz
8012412,8011315,0,15,0,0,0,Chemnitz
8012412,8012407,0,15,0,0,0,Chemnitz
8012412,8012412,0,30,0,0,0,Chemnitz
8012426,8010277,10,16,36,30,120,Chemnitz
8012426,8011212,15,17,67,60,150,Chemnitz
8012426,8012426,25,33,55,60,180,Chemnitz
8012483,8012044,6,20,28,0,360,Chemnitz
8012483,8012408,12,20,36,30,120,Chemnitz
8012483,8012483,24,40,42,30,390,Chemnitz
8012528,8011970,0,2,0,0,0,Chemnitz
8012528,8012528,0,5,0,0,0,Chemnitz
8012528,8012593,1,3,10,0,30,Chemnitz
8012534,8012388,6,26,23,0,300,Chemnitz
8012534,8012534,27,53,41,30,300,Chemnitz
8012534,8013433,19,27,70,60,300,Chemnitz
8012550,8011529,13,20,39,30,120,Chemnitz
8012550,8011556,18,20,62,30,390,Chemnitz
8012550,8012550,30,40,46,30,420,Chemnitz
8012558,8012558,20,24,59,60,150,Chemnitz
8012558,8012559,11,12,95,120,150,Chemnitz
8012558,8012571,9,16,30,30,120,Chemnitz
8012559,8012558,9,12,60,60,120,Chemnitz
8012571,8011212,12,16,58,60,180,Chemnitz
8012571,8012558,14,17,62,60,150,Chemnitz
8012571,8012571,26,33,53,60,150,Chemnitz
8012593,8011033,1,3,10,0,30,Chemnitz
8012593,8012528,0,2,0,0,0,Chemnitz
8012593,8012593,1,5,6,0,30,Chemnitz
8012727,8012727,0,30,0,0,0,Chemnitz
8012727,8017218,0,15,0,0,0,Chemnitz
8012727,8017220,0,15,0,0,0,Chemnitz
8012739,8010275,17,17,203,180,450,Chemnitz
8012739,8010397,10,17,51,30,180,Chemnitz
8012739,8012739,27,34,127,75,480,Chemnitz
8012740,8011548,13,16,54,30,120,Chemnitz
8012740,8012201,7,16,19,0,60,Chemnitz
8012740,8012740,20,32,52,30,150,Chemnitz
8012853,8012853,25,34,129,105,570,Chemnitz
8012853,8013235,16,17,235,240,600,Chemnitz
8012853,8013312,12,17,83,60,360,Chemnitz
8012873,8010010,12,18,63,60,300,Chemnitz
8012873,8011823,14,18,63,30,240,Chemnitz
8012873,8012873,26,36,66,45,330,Chemnitz
8012938,8010323,7,18,65,0,390,Chemnitz
8012938,8011505,7,17,48,0,360,Chemnitz
8012938,8012938,14,35,59,0,420,Chemnitz
8012939,8010323,7,18,13,0,60,Chemnitz
8012939,8012176,8,19,46,0,270,Chemnitz
8012939,8012939,15,37,31,0,270,Chemnitz
8012946,8010359,12,19,39,30,210,Chemnitz
8012946,8011507,7,19,13,0,60,Chemnitz
8012946,8012946,15,38,19,0,120,Chemnitz
8012947,8011325,10,11,142,90,660,Chemnitz
8012947,8012947,17,22,80,30,720,Chemnitz
8012947,8013280,7,11,30,30,150,Chemnitz
8012976,8010005,5,6,35,30,90,Chemnitz
8012976,8010074,5,6,155,90,360,Chemnitz
8012976,8012976,10,12,88,60,270,Chemnitz
8012996,8010379,12,18,58,30,270,Chemnitz
8012996,8012996,22,36,58,30,360,Chemnitz
8012996,8013307,8,18,40,0,360,Chemnitz
8013116,8013116,32,34,99,60,360,Chemnitz
8013116,8013310,15,17,131,90,330,Chemnitz
8013116,8013343,16,17,62,30,360,Chemnitz
8013212,8013212,26,34,104,75,480,Chemnitz
8013212,8013311,17,17,154,150,510,Chemnitz
8013212,8013328,13,17,74,60,240,Chemnitz
8013235,8012853,8,17,60,0,300,Chemnitz
8013235,8013235,24,34,125,75,570,Chemnitz
8013235,8013343,12,17,122,120,540,Chemnitz
8013280,8010372,10,11,44,30,120,Chemnitz
8013280,8012947,10,11,142,60,750,Chemnitz
8013280,8013280,20,22,82,45,720,Chemnitz
8013307,8011524,9,18,60,15,360,Chemnitz
8013307,8012996,12,18,75,45,300,Chemnitz
8013307,8013307,20,36,58,30,360,Chemnitz
8013310,8011047,13,17,109,90,270,Chemnitz
8013310,8013116,10,17,58,60,360,Chemnitz
8013310,8013310,23,34,84,45,360,Chemnitz
8013311,8013212,12,17,88,90,240,Chemnitz
8013311,8013311,26,34,117,105,540,Chemnitz
8013311,8013427,14,17,131,120,510,Chemnitz
8013312,8012853,16,17,154,120,510,Chemnitz
8013312,8013312,30,34,113,60,480,Chemnitz
8013312,8013427,14,17,83,60,240,Chemnitz
8013328,8011856,15,17,101,90,240,Chemnitz
8013328,8013212,14,17,143,120,510,Chemnitz
8013328,8013328,29,34,130,120,540,Chemnitz
8013343,8013116,16,17,176,120,360,Chemnitz
8013343,8013235,16,17,90,60,300,Chemnitz
8013343,8013343,32,34,133,120,510,Chemnitz
8013427,8013311,14,17,81,60,210,Chemnitz
8013427,8013312,15,17,161,150,510,Chemnitz
8013427,8013427,28,34,119,90,510,Chemnitz
8013433,8010397,19,27,53,30,300,Chemnitz
8013433,8012534,7,26,17,0,150,Chemnitz
8013433,8013433,26,53,43,0,300,Chemnitz
8013434,8010397,5,18,28,0,210,Chemnitz
8013434,8011305,4,18,27,0,360,Chemnitz
8013434,8013434,7,36,32,0,360,Chemnitz
8013450,8010253,18,20,78,30,420,Chemnitz
8013450,8013450,27,40,63,30,420,Chemnitz
8017218,8011912,0,15,0,0,0,Chemnitz
8017218,8012727,0,15,0,0,0,Chemnitz
8017218,8017218,0,30,0,0,0,Chemnitz
8017219,8010044,0,15,0,0,0,Chemnitz
8017219,8012220,0,15,0,0,0,Chemnitz
8017219,8017219,0,30,0,0,0,Chemnitz
8017220,8011185,0,15,0,0,0,Chemnitz
8017220,8012727,0,15,0,0,0,Chemnitz
8017220,8017220,0,30,0,0,0,Chemnitz
