from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000106,8000106,278,348,148,60,3180,Darmstadt
8000106,8002049,70,126,96,30,720,Darmstadt
8000106,8002051,109,127,198,120,1680,Darmstadt
8000106,8002872,13,16,131,105,360,Darmstadt
8000106,8002935,27,33,82,30,360,Darmstadt
8000117,8000117,82,89,273,120,2100,Darmstadt
8000117,8002526,19,21,193,120,780,Darmstadt
8000117,8002532,23,24,396,180,1590,Darmstadt
8000117,8003550,21,22,179,120,600,Darmstadt
8000117,8006132,18,22,348,105,2070,Darmstadt
8000126,8000126,39,41,560,390,3780,Darmstadt
8000126,8002386,18,19,791,480,3810,Darmstadt
8000126,8003605,35,39,116,60,720,Darmstadt
8000126,8005740,20,21,484,510,990,Darmstadt
8000158,8000158,68,108,50,30,480,Darmstadt
8000158,8000632,17,30,57,30,510,Darmstadt
8000158,8001701,9,25,30,0,180,Darmstadt
8000158,8004713,17,29,42,30,150,Darmstadt
8000158,8006465,4,24,15,0,150,Darmstadt
8000241,8000241,199,209,479,270,4620,Darmstadt
8000241,8000615,40,41,537,390,1920,Darmstadt
8000241,8001237,1,1,450,450,450,Darmstadt
8000241,8003816,15,16,617,270,2490,Darmstadt
8000241,8003818,44,45,597,450,2040,Darmstadt
8000241,8005220,21,21,1193,420,4770,Darmstadt
8000241,8005221,75,85,247,180,1260,Darmstadt
8000250,8000020,1,1,240,240,240,Darmstadt
8000250,8000250,4,4,82,90,120,Darmstadt
8000250,8000257,0,1,0,0,0,Darmstadt
8000250,8003680,2,2,30,30,30,Darmstadt
8000250,8003816,1,1,150,150,150,Darmstadt
8000250,8006404,85,131,95,30,1110,Darmstadt
8000277,8000741,1,1,120,120,120,Darmstadt
8000285,8000285,30,45,48,30,210,Darmstadt
8000285,8001814,7,23,31,0,180,Darmstadt
8000285,8005156,14,61,13,0,180,Darmstadt
8000285,8006031,32,35,35,30,120,Darmstadt
8000347,8002288,6,24,40,0,450,Darmstadt
8000349,8000349,136,149,283,180,1350,Darmstadt
8000349,8002040,18,21,224,150,1470,Darmstadt
8000349,8003143,8,11,46,60,90,Darmstadt
8000349,8003550,17,19,201,60,840,Darmstadt
8000349,8004645,20,21,319,210,930,Darmstadt
8000349,8006548,23,24,351,165,1380,Darmstadt
8000362,8004171,4,23,12,0,180,Darmstadt
8000503,8000257,3,3,520,570,570,Darmstadt
8000503,8000503,69,77,487,210,4410,Darmstadt
8000503,8001034,21,26,250,120,1110,Darmstadt
8000503,8002391,33,37,467,150,3810,Darmstadt
8000503,8002934,8,19,156,0,1020,Darmstadt
8000503,8098360,15,17,965,570,4440,Darmstadt
8000538,8000538,21,49,39,0,360,Darmstadt
8000538,8002886,9,24,35,0,300,Darmstadt
8000538,8003698,7,25,40,0,330,Darmstadt
8000632,8000158,21,29,43,30,150,Darmstadt
8000632,8000632,30,59,45,30,570,Darmstadt
8000632,8001312,1,1,120,120,120,Darmstadt
8000632,8004712,11,15,122,90,570,Darmstadt
8000712,8000712,108,132,111,60,1110,Darmstadt
8000712,8004596,39,72,38,30,600,Darmstadt
8000712,8005544,57,66,145,60,1110,Darmstadt
8000741,8000277,2,2,300,300,360,Darmstadt
8000741,8000741,3,3,240,300,300,Darmstadt
8000741,8002501,1,1,120,120,120,Darmstadt
8000752,8005799,11,43,31,0,450,Darmstadt
8000760,8000760,158,219,156,60,1350,Darmstadt
8000760,8000761,53,72,224,120,1230,Darmstadt
8000760,8001504,1,1,300,300,300,Darmstadt
8000760,8001514,46,70,111,60,1380,Darmstadt
8000760,8002382,15,25,50,30,360,Darmstadt
8000760,8004712,15,18,135,90,330,Darmstadt
8000851,8000851,2,3,130,90,300,Darmstadt
8000851,8001504,1,1,60,60,60,Darmstadt
8000851,8006232,1,2,135,135,270,Darmstadt
8000877,8000877,59,82,158,90,1710,Darmstadt
8000877,8002757,23,41,64,60,360,Darmstadt
8000877,8006687,34,41,257,120,1710,Darmstadt
8000891,8000891,48,56,243,120,1980,Darmstadt
8000891,8002010,18,25,272,90,1950,Darmstadt
8000891,8003016,3,4,240,180,600,Darmstadt
8000891,8005261,3,4,330,375,570,Darmstadt
8000891,8005690,21,22,176,105,540,Darmstadt
8000891,8005720,7,10,72,45,330,Darmstadt
8000891,8006132,1,1,180,180,180,Darmstadt
8000948,8000948,93,112,154,90,1740,Darmstadt
8000948,8001379,36,41,266,180,1740,Darmstadt
8000948,8002498,20,41,43,0,180,Darmstadt
8000948,8003523,14,15,62,30,180,Darmstadt
8000948,8006687,13,15,214,120,1140,Darmstadt
8000951,8000951,38,41,585,510,3840,Darmstadt
8000951,8002249,20,21,534,540,1020,Darmstadt
8000951,8005740,18,20,654,300,3840,Darmstadt
8000984,8000332,1,1,360,360,360,Darmstadt
8000984,8000984,53,60,128,120,420,Darmstadt
8000984,8005026,29,29,128,120,330,Darmstadt
8000996,8000996,13,18,92,45,420,Darmstadt
8000996,8002048,7,9,73,30,420,Darmstadt
8000996,8002877,8,9,133,150,240,Darmstadt
8001034,8000503,20,25,298,90,1680,Darmstadt
8001034,8001034,42,51,287,90,1740,Darmstadt
8001034,8098360,20,26,260,120,1110,Darmstadt
8001196,8001196,71,81,216,120,1350,Darmstadt
8001196,8004353,40,40,261,195,1260,Darmstadt
8001199,8001199,48,59,77,30,570,Darmstadt
8001199,8002572,22,29,66,60,480,Darmstadt
8001199,8004713,13,30,66,0,540,Darmstadt
8001236,8001236,172,225,123,60,1200,Darmstadt
8001236,8003526,48,77,159,60,1200,Darmstadt
8001236,8004246,58,95,93,30,990,Darmstadt
8001236,8005636,22,35,61,30,240,Darmstadt
8001248,8001248,19,49,31,0,330,Darmstadt
8001248,8003255,8,23,21,0,150,Darmstadt
8001248,8004367,0,1,0,0,0,Darmstadt
8001248,8006465,13,25,40,30,360,Darmstadt
8001312,8000234,1,1,780,780,780,Darmstadt
8001312,8001312,112,124,285,180,2070,Darmstadt
8001312,8001618,9,9,307,180,930,Darmstadt
8001312,8002269,10,10,345,180,1020,Darmstadt
8001312,8003262,37,41,138,120,570,Darmstadt
8001312,8004712,34,43,285,180,960,Darmstadt
8001377,8001377,55,82,168,90,1710,Darmstadt
8001377,8001379,19,41,57,0,270,Darmstadt
8001377,8003523,38,41,222,120,1680,Darmstadt
8001378,8001378,56,87,117,30,1080,Darmstadt
8001378,8006528,17,44,61,0,750,Darmstadt
8001379,8000948,21,41,48,30,270,Darmstadt
8001379,8001377,36,41,271,180,1710,Darmstadt
8001379,8001379,57,82,162,90,1740,Darmstadt
8001427,8001427,33,41,141,120,1380,Darmstadt
8001427,8003143,21,21,150,150,390,Darmstadt
8001427,8003314,9,17,148,30,1410,Darmstadt
8001427,8005208,3,3,120,120,120,Darmstadt
8001504,8000851,2,2,180,180,330,Darmstadt
8001504,8001504,3,3,150,60,330,Darmstadt
8001511,8001511,68,76,289,120,1800,Darmstadt
8001511,8002386,39,39,208,120,1680,Darmstadt
8001511,8003605,33,37,447,300,1800,Darmstadt
8001514,8000760,66,72,240,165,1230,Darmstadt
8001514,8001514,117,142,180,90,1410,Darmstadt
8001514,8002388,62,70,125,60,1380,Darmstadt
8001554,8001554,51,70,68,30,300,Darmstadt
8001554,8002315,29,35,93,60,330,Darmstadt
8001554,8079151,26,35,67,30,300,Darmstadt
8001648,8001648,3,3,180,180,240,Darmstadt
8001648,8002265,1,1,90,90,90,Darmstadt
8001648,8002501,2,2,300,300,360,Darmstadt
8001672,8001672,69,87,110,30,1080,Darmstadt
8001672,8001864,35,43,147,90,1080,Darmstadt
8001672,8003523,42,44,103,60,750,Darmstadt
8001701,8000158,14,24,50,30,360,Darmstadt
8001701,8001701,22,49,37,0,330,Darmstadt
8001701,8002886,11,25,28,0,120,Darmstadt
8001814,8000285,8,23,26,0,240,Darmstadt
8001814,8001814,16,46,24,0,240,Darmstadt
8001814,8004171,5,23,18,0,120,Darmstadt
8001815,8001815,100,118,156,90,1230,Darmstadt
8001815,8001816,52,60,220,120,1260,Darmstadt
8001815,8003754,55,58,110,90,750,Darmstadt
8001816,8001815,55,58,121,60,780,Darmstadt
8001816,8001816,108,118,164,90,1260,Darmstadt
8001816,8004382,53,60,214,120,1230,Darmstadt
8001864,8001672,11,44,48,0,690,Darmstadt
8001864,8001864,68,87,114,30,1080,Darmstadt
8001864,8006528,37,43,172,90,1080,Darmstadt
8001871,8001870,69,84,162,90,870,Darmstadt
8001871,8001871,147,169,126,60,900,Darmstadt
8001871,8002052,79,85,110,60,960,Darmstadt
8002039,8002039,17,19,125,90,480,Darmstadt
8002039,8002048,9,9,133,120,270,Darmstadt
8002040,8000349,21,21,660,720,1140,Darmstadt
8002040,8002040,170,184,395,270,2100,Darmstadt
8002040,8002050,66,71,430,300,2130,Darmstadt
8002040,8002060,84,90,455,300,2040,Darmstadt
8002040,8006648,36,37,343,330,1230,Darmstadt
8002046,8002046,210,256,146,90,1620,Darmstadt
8002046,8002049,115,130,197,120,1620,Darmstadt
8002046,8098105,105,126,143,75,690,Darmstadt
8002048,8000996,9,9,123,150,240,Darmstadt
8002048,8002039,8,9,87,30,450,Darmstadt
8002048,8002048,16,18,103,60,450,Darmstadt
8002050,8002040,65,69,465,300,1980,Darmstadt
8002050,8002050,207,220,549,330,4920,Darmstadt
8002050,8005220,15,16,581,240,2520,Darmstadt
8002050,8006175,17,19,327,330,840,Darmstadt
8002050,8098105,47,47,456,270,1830,Darmstadt
8002051,8000106,105,126,133,60,870,Darmstadt
8002051,8002051,205,253,163,90,1680,Darmstadt
8002051,8002053,52,64,197,120,1200,Darmstadt
8002051,8002055,50,62,208,120,1680,Darmstadt
8002051,8002935,0,1,0,0,0,Darmstadt
8002052,8001871,73,84,162,90,870,Darmstadt
8002052,8002052,252,314,120,60,1050,Darmstadt
8002052,8006304,60,73,150,60,1050,Darmstadt
8002052,8079632,108,157,94,60,960,Darmstadt
8002055,8002051,59,60,147,90,780,Darmstadt
8002055,8002055,115,122,182,120,1710,Darmstadt
8002055,8003442,56,62,233,120,1710,Darmstadt
8002108,8005544,29,66,56,0,480,Darmstadt
8002150,8003731,4,31,4,0,30,Darmstadt
8002249,8000951,18,20,648,285,3840,Darmstadt
8002249,8002249,37,41,599,480,3840,Darmstadt
8002249,8002391,20,21,597,540,1230,Darmstadt
8002265,8001648,2,2,150,150,270,Darmstadt
8002265,8002265,3,3,150,90,300,Darmstadt
8002265,8004995,1,1,120,120,120,Darmstadt
8002288,8000347,8,25,41,0,360,Darmstadt
8002288,8002288,20,49,47,0,510,Darmstadt
8002288,8003698,8,24,55,0,510,Darmstadt
8002315,8001554,17,35,50,0,300,Darmstadt
8002315,8002315,63,70,63,30,300,Darmstadt
8002315,8004653,14,35,42,0,300,Darmstadt
8002382,8000760,9,24,16,0,120,Darmstadt
8002382,8002382,33,49,47,30,360,Darmstadt
8002382,8004367,20,25,71,30,360,Darmstadt
8002386,8000126,19,20,416,405,990,Darmstadt
8002386,8001511,35,37,444,300,1770,Darmstadt
8002386,8002386,112,115,450,270,3840,Darmstadt
8002386,8004065,57,58,465,240,2970,Darmstadt
8002388,8001514,55,72,220,165,1260,Darmstadt
8002388,8002388,79,81,258,150,1410,Darmstadt
8002388,8004664,38,41,201,120,1410,Darmstadt
8002391,8000503,36,40,515,270,4410,Darmstadt
8002391,8002249,19,20,632,240,3840,Darmstadt
8002391,8002391,39,41,659,450,3810,Darmstadt
8002400,8000349,1,1,30,30,30,Darmstadt
8002400,8002400,17,40,34,0,300,Darmstadt
8002400,8002425,11,20,56,30,300,Darmstadt
8002400,8002573,2,3,20,30,30,Darmstadt
8002425,8000349,1,1,210,210,210,Darmstadt
8002425,8002400,8,20,26,0,120,Darmstadt
8002425,8002425,21,42,46,15,270,Darmstadt
8002425,8003143,9,20,44,0,210,Darmstadt
8002498,8000948,34,41,262,150,1740,Darmstadt
8002498,8002498,54,82,151,90,1740,Darmstadt
8002498,8006687,20,41,50,0,180,Darmstadt
8002501,8000741,2,2,315,315,360,Darmstadt
8002501,8001648,1,1,120,120,120,Darmstadt
8002501,8002501,3,3,250,270,360,Darmstadt
8002526,8000117,21,24,361,150,1860,Darmstadt
8002526,8002526,40,45,271,150,1830,Darmstadt
8002526,8004395,20,21,184,120,750,Darmstadt
8002532,8000117,17,21,134,120,540,Darmstadt
8002532,8002532,38,45,269,150,1590,Darmstadt
8002532,8006499,22,24,378,150,1590,Darmstadt
8002572,8001199,27,30,99,45,570,Darmstadt
8002572,8002572,41,59,92,60,600,Darmstadt
8002573,8002400,3,3,120,150,180,Darmstadt
8002573,8002573,15,18,135,75,540,Darmstadt
8002573,8002574,6,9,53,30,270,Darmstadt
8002573,8003143,6,6,225,195,600,Darmstadt
8002574,8002573,8,9,190,180,510,Darmstadt
8002574,8002574,15,18,122,75,510,Darmstadt
8002574,8002877,7,9,70,60,300,Darmstadt
8002757,8000877,38,41,263,180,1710,Darmstadt
8002757,8002748,15,16,193,150,1110,Darmstadt
8002757,8002757,115,150,172,90,1740,Darmstadt
8002757,8003571,43,59,132,90,840,Darmstadt
8002757,8006687,7,15,40,0,210,Darmstadt
8002857,8000369,30,37,294,150,1860,Darmstadt
8002857,8002857,62,72,208,75,1860,Darmstadt
8002857,8004218,26,35,113,30,870,Darmstadt
8002872,8000106,15,17,138,60,510,Darmstadt
8002872,8000257,4,7,81,60,540,Darmstadt
8002872,8000615,40,43,224,150,1170,Darmstadt
8002872,8002013,45,54,187,90,990,Darmstadt
8002872,8002872,107,120,178,120,1140,Darmstadt
8002872,8003816,1,2,75,75,150,Darmstadt
8002877,8000996,7,9,80,30,480,Darmstadt
8002877,8002574,8,9,167,150,360,Darmstadt
8002877,8002877,16,19,109,60,420,Darmstadt
8002886,8000538,12,25,32,0,180,Darmstadt
8002886,8001701,8,24,41,0,330,Darmstadt
8002886,8002886,21,49,34,0,300,Darmstadt
8002934,8000257,30,40,163,120,1080,Darmstadt
8002934,8000503,8,19,33,0,270,Darmstadt
8002934,8002934,53,80,105,60,1050,Darmstadt
8002934,8098360,18,21,99,60,300,Darmstadt
8002935,8000106,24,29,214,60,3180,Darmstadt
8002935,8002051,1,3,40,0,120,Darmstadt
8002935,8002935,155,184,158,90,3180,Darmstadt
8002935,8003442,55,60,115,90,750,Darmstadt
8002935,8003754,57,60,242,165,1260,Darmstadt
8002935,8004400,27,34,98,60,330,Darmstadt
8003041,8001322,9,9,110,90,270,Darmstadt
8003041,8003041,53,66,147,60,3180,Darmstadt
8003041,8004400,21,32,175,60,3180,Darmstadt
8003041,8006535,19,25,110,60,390,Darmstadt
8003129,8003129,15,20,70,60,240,Darmstadt
8003129,8004583,9,16,60,45,270,Darmstadt
8003129,8005720,9,10,69,60,150,Darmstadt
8003143,8000349,10,10,177,165,330,Darmstadt
8003143,8001427,16,20,146,75,1380,Darmstadt
8003143,8002425,11,22,41,15,210,Darmstadt
8003143,8002573,6,6,105,90,270,Darmstadt
8003143,8003143,54,76,77,30,990,Darmstadt
8003143,8070164,3,17,11,0,60,Darmstadt
8003228,8002060,86,88,329,210,1560,Darmstadt
8003228,8003228,170,172,402,270,1770,Darmstadt
8003228,8004962,81,86,434,300,1800,Darmstadt
8003255,8001248,12,25,42,0,330,Darmstadt
8003255,8003255,26,48,38,30,330,Darmstadt
8003255,8004523,13,23,27,30,120,Darmstadt
8003262,8001312,33,43,297,210,1020,Darmstadt
8003262,8003262,71,84,221,120,1050,Darmstadt
8003262,8003520,33,41,127,90,540,Darmstadt
8003442,8002055,51,60,116,60,780,Darmstadt
8003442,8002935,52,62,210,120,1710,Darmstadt
8003442,8003442,106,122,165,90,1680,Darmstadt
8003447,8087063,13,42,19,0,210,Darmstadt
8003503,8003503,74,84,426,180,3630,Darmstadt
8003503,8003843,4,6,295,75,900,Darmstadt
8003503,8003848,34,37,548,270,2670,Darmstadt
8003503,8098360,34,41,367,120,2940,Darmstadt
8003523,8000948,14,15,212,150,1260,Darmstadt
8003523,8001377,37,41,109,90,450,Darmstadt
8003523,8001672,38,43,169,120,1080,Darmstadt
8003523,8003523,168,204,144,90,1620,Darmstadt
8003523,8003526,59,78,114,60,1020,Darmstadt
8003550,8000117,17,21,287,120,1230,Darmstadt
8003550,8000349,20,21,219,120,1050,Darmstadt
8003550,8002877,1,1,60,60,60,Darmstadt
8003550,8003550,73,88,246,150,1920,Darmstadt
8003550,8004395,19,24,332,180,1890,Darmstadt
8003550,8004402,16,21,201,180,720,Darmstadt
8003605,8000126,35,37,358,240,1770,Darmstadt
8003605,8001511,26,39,106,60,690,Darmstadt
8003605,8003605,70,76,270,120,1800,Darmstadt
8003698,8000538,9,24,49,0,450,Darmstadt
8003698,8002288,12,25,47,0,330,Darmstadt
8003698,8003698,21,49,48,0,480,Darmstadt
8003731,8002150,26,29,95,90,300,Darmstadt
8003731,8003731,51,60,74,60,300,Darmstadt
8003731,8005098,27,31,40,30,120,Darmstadt
8003754,8001815,50,60,204,120,1230,Darmstadt
8003754,8002935,46,58,106,60,720,Darmstadt
8003754,8003754,111,118,175,105,1260,Darmstadt
8003755,8003755,41,42,126,105,450,Darmstadt
8003755,8005089,21,21,113,90,270,Darmstadt
8003818,8000241,41,45,200,120,960,Darmstadt
8003818,8003816,44,45,608,510,2010,Darmstadt
8003818,8003818,85,90,401,270,2040,Darmstadt
8004065,8002386,54,57,415,360,1590,Darmstadt
8004065,8004065,111,115,411,270,2100,Darmstadt
8004065,8006175,56,58,432,240,2130,Darmstadt
8004066,8004066,57,60,132,120,360,Darmstadt
8004066,8005026,28,31,123,60,360,Darmstadt
8004066,8006672,29,29,148,120,360,Darmstadt
8004171,8000362,18,23,59,60,150,Darmstadt
8004171,8001814,7,23,23,0,240,Darmstadt
8004171,8004171,26,46,33,30,210,Darmstadt
8004246,8001236,80,93,161,60,1200,Darmstadt
8004246,8002047,51,78,105,60,1020,Darmstadt
8004246,8004246,119,165,137,60,1230,Darmstadt
8004353,8001196,29,41,169,60,1350,Darmstadt
8004353,8004353,79,81,249,180,1380,Darmstadt
8004353,8004664,40,40,329,225,1290,Darmstadt
8004367,8002382,17,24,31,30,90,Darmstadt
8004367,8004367,33,49,47,30,330,Darmstadt
8004367,8004523,11,25,43,0,330,Darmstadt
8004382,8001816,52,58,100,60,750,Darmstadt
