from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8000106,8000106,89,30,1530,Darmstadt
8000106,8002049,53,0,1350,Darmstadt
8000106,8002051,93,30,2160,Darmstadt
8000106,8002872,114,90,330,Darmstadt
8000106,8002935,105,90,420,Darmstadt
8000117,8000117,325,120,2670,Darmstadt
8000117,8002526,154,60,840,Darmstadt
8000117,8002532,287,60,1320,Darmstadt
8000117,8003550,390,195,2610,Darmstadt
8000117,8006132,489,210,2730,Darmstadt
8000126,8000126,633,300,3510,Darmstadt
8000126,8002386,1073,750,3750,Darmstadt
8000126,8003605,164,30,570,Darmstadt
8000126,8005740,315,150,1560,Darmstadt
8000158,8000158,65,30,1440,Darmstadt
8000158,8000632,112,0,1380,Darmstadt
8000158,8001701,32,0,150,Darmstadt
8000158,8004713,44,30,180,Darmstadt
8000158,8006465,13,0,120,Darmstadt
8000241,8000241,188,120,1230,Darmstadt
8000241,8000615,292,240,840,Darmstadt
8000241,8001237,510,510,510,Darmstadt
8000241,8003816,190,105,1170,Darmstadt
8000241,8003818,197,120,1140,Darmstadt
8000241,8005220,217,150,810,Darmstadt
8000241,8005221,156,120,1020,Darmstadt
8000250,8000020,55,0,270,Darmstadt
8000250,8000250,165,15,630,Darmstadt
8000250,8000257,60,60,60,Darmstadt
8000250,8003680,-15,-15,30,Darmstadt
8000250,8003816,330,330,330,Darmstadt
8000250,8006404,50,30,390,Darmstadt
8000277,8000741,120,120,120,Darmstadt
8000285,8000285,74,30,1080,Darmstadt
8000285,8001814,33,0,330,Darmstadt
8000285,8005156,8,0,270,Darmstadt
8000285,8006031,57,30,1080,Darmstadt
8000347,8002288,13,0,180,Darmstadt
8000349,8000349,313,180,2610,Darmstadt
8000349,8003143,204,210,450,Darmstadt
8000349,8003550,468,240,2520,Darmstadt
8000349,8006548,292,180,1470,Darmstadt
8000362,8004171,56,0,1020,Darmstadt
8000503,8000503,716,600,3000,Darmstadt
8000503,8001034,18,0,90,Darmstadt
8000503,8002391,913,690,3000,Darmstadt
8000503,8002934,315,210,1290,Darmstadt
8000503,8098360,811,870,1620,Darmstadt
8000538,8000538,21,0,90,Darmstadt
8000538,8002886,13,0,60,Darmstadt
8000538,8003698,15,0,120,Darmstadt
8000632,8000158,52,30,210,Darmstadt
8000632,8000632,72,0,1320,Darmstadt
8000632,8001312,60,60,60,Darmstadt
8000632,8004712,194,90,1050,Darmstadt
8000712,8000712,90,60,720,Darmstadt
8000712,8004596,26,0,420,Darmstadt
8000712,8005544,129,120,690,Darmstadt
8000741,8000277,285,285,330,Darmstadt
8000741,8000741,200,240,240,Darmstadt
8000741,8002501,120,120,120,Darmstadt
8000752,8005799,60,0,900,Darmstadt
8000760,8000760,108,30,1230,Darmstadt
8000760,8000761,133,30,1230,Darmstadt
8000760,8001504,195,195,270,Darmstadt
8000760,8001514,94,0,930,Darmstadt
8000760,8002382,57,0,540,Darmstadt
8000760,8004712,67,30,420,Darmstadt
8000851,8000851,210,210,270,Darmstadt
8000851,8001504,120,120,120,Darmstadt
8000851,8006232,240,240,270,Darmstadt
8000877,8000877,291,90,3120,Darmstadt
8000877,8002757,289,30,3120,Darmstadt
8000877,8006687,294,180,1080,Darmstadt
8000891,8000891,402,180,2970,Darmstadt
8000891,8002010,426,240,2880,Darmstadt
8000891,8003016,600,435,1470,Darmstadt
8000891,8005261,142,120,270,Darmstadt
8000891,8005690,342,150,2550,Darmstadt
8000891,8005720,225,180,840,Darmstadt
8000891,8006132,300,300,300,Darmstadt
8000948,8000948,282,90,2970,Darmstadt
8000948,8001379,306,210,1020,Darmstadt
8000948,8002498,269,0,2820,Darmstadt
8000948,8003523,260,120,2430,Darmstadt
8000948,8006687,186,180,540,Darmstadt
8000951,8000951,622,270,3150,Darmstadt
8000951,8002249,354,120,2310,Darmstadt
8000951,8005740,961,735,3450,Darmstadt
8000984,8000332,300,300,300,Darmstadt
8000984,8000984,79,90,210,Darmstadt
8000984,8005026,91,90,180,Darmstadt
8000996,8000996,146,75,750,Darmstadt
8000996,8002048,70,30,300,Darmstadt
8000996,8002877,236,210,780,Darmstadt
8001034,8000503,200,120,360,Darmstadt
8001034,8001034,48,30,180,Darmstadt
8001034,8098360,24,0,120,Darmstadt
8001196,8001196,193,120,1200,Darmstadt
8001196,8004353,218,165,1200,Darmstadt
8001199,8001199,97,30,1320,Darmstadt
8001199,8002572,50,30,210,Darmstadt
8001199,8004713,121,0,1380,Darmstadt
8001236,8001236,131,60,1290,Darmstadt
8001236,8003526,100,60,660,Darmstadt
8001236,8004246,128,60,1290,Darmstadt
8001236,8005636,92,60,330,Darmstadt
8001248,8001248,41,0,510,Darmstadt
8001248,8003255,20,0,90,Darmstadt
8001248,8004367,0,0,0,Darmstadt
8001248,8006465,62,30,510,Darmstadt
8001312,8000234,180,180,180,Darmstadt
8001312,8001312,169,120,870,Darmstadt
8001312,8001618,210,150,480,Darmstadt
8001312,8002269,156,150,360,Darmstadt
8001312,8003262,117,30,750,Darmstadt
8001312,8004712,161,120,840,Darmstadt
8001377,8001377,308,135,3330,Darmstadt
8001377,8001379,315,60,3300,Darmstadt
8001377,8003523,248,150,930,Darmstadt
8001378,8001378,244,180,990,Darmstadt
8001378,8006528,225,180,1020,Darmstadt
8001379,8000948,324,90,3090,Darmstadt
8001379,8001377,297,180,960,Darmstadt
8001379,8001379,312,120,3180,Darmstadt
8001427,8001427,239,150,2130,Darmstadt
8001427,8003143,214,120,2160,Darmstadt
8001427,8003314,300,210,1020,Darmstadt
8001427,8005208,100,60,240,Darmstadt
8001504,8000851,255,255,300,Darmstadt
