from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8010013,8010013,92,30,930,Dessau
8010013,8010194,103,90,360,Dessau
8010013,8011184,120,60,510,Dessau
8010013,8011605,93,30,930,Dessau
8010043,8010043,85,30,630,Dessau
8010043,8011170,54,30,360,Dessau
8010043,8011605,91,30,510,Dessau
8010043,8011929,117,90,600,Dessau
8010152,8010009,60,60,60,Dessau
8010152,8010043,0,0,0,Dessau
8010152,8010152,211,60,3210,Dessau
8010152,8010311,192,60,1200,Dessau
8010152,8010332,780,150,3180,Dessau
8010152,8011632,116,75,690,Dessau
8010152,8011929,56,0,240,Dessau
8010152,8012467,169,30,540,Dessau
8010154,8010154,207,90,2040,Dessau
8010154,8012263,182,90,2010,Dessau
8010154,8013389,214,165,1020,Dessau
8010194,8010013,137,15,870,Dessau
8010194,8010194,180,30,1350,Dessau
8010194,8011133,260,30,2730,Dessau
8010194,8011402,285,150,1320,Dessau
8010231,8010231,178,30,1110,Dessau
8010231,8010302,267,60,1110,Dessau
8010231,8012040,129,60,720,Dessau
8010281,8010281,98,60,540,Dessau
8010281,8011150,85,30,600,Dessau
8010281,8013418,50,60,60,Dessau
8010302,8010231,72,30,330,Dessau
8010302,8010302,232,90,2130,Dessau
8010302,8011322,97,60,240,Dessau
8010302,8011952,201,30,1050,Dessau
8010302,8012777,191,120,2130,Dessau
8010343,8010343,132,60,1590,Dessau
8010343,8012506,171,30,1590,Dessau
8010343,8013259,87,60,300,Dessau
8011048,8011048,95,45,1020,Dessau
8011048,8011537,92,60,300,Dessau
8011048,8011960,72,0,1020,Dessau
8011053,8011053,135,60,1590,Dessau
8011053,8013259,153,30,1560,Dessau
8011053,8013357,138,90,570,Dessau
8011133,8010194,199,30,1380,Dessau
8011133,8010311,307,60,2760,Dessau
8011133,8011133,244,30,2760,Dessau
8011150,8010281,103,60,540,Dessau
8011150,8011150,98,60,780,Dessau
8011150,8012704,104,60,780,Dessau
8011169,8011169,99,30,540,Dessau
8011169,8011170,129,30,510,Dessau
8011169,8012507,75,30,390,Dessau
8011170,8010043,114,15,480,Dessau
8011170,8011169,81,60,360,Dessau
8011170,8011170,105,60,510,Dessau
8011184,8010013,66,30,450,Dessau
8011184,8011184,103,60,570,Dessau
8011184,8011484,86,45,330,Dessau
8011184,8011571,95,30,540,Dessau
8011260,8011260,68,60,330,Dessau
8011260,8012147,79,60,300,Dessau
8011260,8012788,72,60,330,Dessau
8011290,8011290,90,30,900,Dessau
8011290,8013371,106,30,930,Dessau
8011290,8013418,77,0,840,Dessau
8011296,8011296,99,60,690,Dessau
8011296,8011683,148,60,720,Dessau
8011296,8012409,66,30,270,Dessau
8011322,8010302,220,150,390,Dessau
8011322,8011322,209,60,1140,Dessau
8011322,8011703,178,60,780,Dessau
8011322,8012040,271,60,1110,Dessau
8011322,8012282,112,60,300,Dessau
8011363,8011363,73,30,600,Dessau
8011363,8011364,57,30,270,Dessau
8011364,8011184,30,30,30,Dessau
8011364,8011363,97,60,600,Dessau
8011364,8011364,67,30,600,Dessau
8011364,8011484,52,15,300,Dessau
8011484,8011184,105,60,390,Dessau
8011484,8011364,80,30,600,Dessau
8011484,8011484,76,30,600,Dessau
8011484,8011571,30,0,150,Dessau
8011486,8011486,131,60,960,Dessau
8011486,8011960,162,120,420,Dessau
8011486,8012393,75,0,930,Dessau
8011571,8010013,90,90,90,Dessau
8011571,8011184,70,60,120,Dessau
8011571,8011484,111,60,570,Dessau
8011571,8011571,67,30,540,Dessau
8011605,8010013,100,60,540,Dessau
8011605,8010043,91,30,930,Dessau
8011605,8010194,360,360,360,Dessau
8011605,8011605,101,30,960,Dessau
8011683,8011296,61,30,270,Dessau
8011683,8011683,185,120,720,Dessau
8011683,8012704,237,225,750,Dessau
8011699,8011699,117,60,660,Dessau
8011699,8012629,63,0,540,Dessau
8011699,8012788,51,30,360,Dessau
8011699,8013335,191,120,720,Dessau
8011703,8011322,264,60,1140,Dessau
8011703,8011703,220,60,1140,Dessau
8011703,8012282,168,60,840,Dessau
8011909,8011867,32,0,240,Dessau
8011909,8011909,68,0,810,Dessau
8011909,8012233,85,0,780,Dessau
8011929,8010043,60,0,420,Dessau
8011929,8010152,147,90,630,Dessau
8011929,8011929,108,60,630,Dessau
8011952,8010302,447,330,1500,Dessau
8011952,8010376,471,540,1020,Dessau
8011952,8011952,309,150,1500,Dessau
8011952,8012322,36,30,180,Dessau
8011960,8011048,134,120,360,Dessau
8011960,8011486,79,0,990,Dessau
8011960,8011960,107,30,1020,Dessau
8012040,8010231,250,30,1080,Dessau
8012040,8011322,146,60,720,Dessau
8012040,8012040,205,60,1080,Dessau
8012233,8011909,70,30,210,Dessau
8012233,8012233,83,30,810,Dessau
8012233,8013384,95,0,840,Dessau
8012263,8010154,205,135,1020,Dessau
8012263,8012263,200,90,2010,Dessau
8012263,8012678,170,60,2010,Dessau
8012280,8012280,128,30,840,Dessau
8012280,8012282,104,90,690,Dessau
8012280,8013275,170,90,600,Dessau
8012282,8011322,220,150,360,Dessau
8012282,8011703,186,90,690,Dessau
8012282,8012280,173,60,840,Dessau
8012282,8012282,142,75,870,Dessau
8012393,8011486,166,90,510,Dessau
8012393,8012393,111,30,930,Dessau
8012393,8013275,68,0,930,Dessau
8012409,8011296,147,90,750,Dessau
8012409,8012409,113,60,750,Dessau
8012409,8012629,77,60,210,Dessau
8012409,8012788,60,60,90,Dessau
8012507,8010071,90,45,450,Dessau
8012507,8011169,141,45,570,Dessau
8012507,8012507,117,60,600,Dessau
8012629,8010076,62,30,570,Dessau
8012629,8011699,197,210,420,Dessau
8012629,8012409,135,75,510,Dessau
8012629,8012629,99,60,540,Dessau
8012678,8011673,208,120,2040,Dessau
8012678,8012263,236,210,1050,Dessau
8012678,8012678,200,120,2040,Dessau
8012704,8011150,106,60,540,Dessau
8012704,8011683,33,0,210,Dessau
8012704,8012704,62,30,540,Dessau
8012777,8010302,187,120,960,Dessau
8012777,8012777,212,180,2190,Dessau
8012777,8013389,250,180,2160,Dessau
8012788,8011260,65,45,270,Dessau
8012788,8011699,88,60,210,Dessau
8012788,8012409,60,60,120,Dessau
8012788,8012788,72,60,330,Dessau
8013259,8010343,167,60,1560,Dessau
8013259,8011053,82,60,300,Dessau
8013259,8013259,126,60,1560,Dessau
8013275,8012280,163,60,780,Dessau
8013275,8012393,136,120,360,Dessau
8013275,8013275,117,60,930,Dessau
8013335,8011699,68,30,540,Dessau
8013357,8011053,219,90,1680,Dessau
8013357,8012830,194,60,1380,Dessau
8013357,8013357,204,90,1710,Dessau
8013371,8011210,53,0,390,Dessau
8013371,8011290,77,0,900,Dessau
8013371,8013371,110,30,1080,Dessau
8013389,8010154,192,90,2100,Dessau
8013389,8011673,60,60,60,Dessau
8013389,8012777,175,120,960,Dessau
8013389,8013389,187,90,2100,Dessau
8013418,8010281,37,30,60,Dessau
8013418,8011290,94,30,900,Dessau
8013418,8013418,85,30,930,Dessau
