from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8010013,8010013,29,54,48,30,210,Dessau
8010013,8010194,6,8,64,60,120,Dessau
8010013,8011184,16,18,62,60,150,Dessau
8010013,8011605,16,28,59,30,240,Dessau
8010043,8010043,20,50,29,0,180,Dessau
8010043,8011170,2,8,8,0,30,Dessau
8010043,8011605,7,26,27,0,210,Dessau
8010043,8011929,14,19,81,30,240,Dessau
8010152,8010043,0,1,0,0,0,Dessau
8010152,8010152,28,57,48,0,390,Dessau
8010152,8010311,5,9,30,30,90,Dessau
8010152,8010332,5,8,94,45,330,Dessau
8010152,8011632,11,21,51,30,210,Dessau
8010152,8011929,2,17,16,0,240,Dessau
8010152,8012467,4,9,40,0,270,Dessau
8010194,8010013,6,9,77,90,210,Dessau
8010194,8010194,28,54,83,30,570,Dessau
8010194,8011133,7,17,99,0,540,Dessau
8010194,8011402,7,12,80,30,390,Dessau
8010231,8010231,28,32,57,30,210,Dessau
8010231,8010302,15,16,92,90,270,Dessau
8010231,8012040,15,16,68,60,210,Dessau
8010281,8010281,32,38,65,30,510,Dessau
8010281,8011150,14,18,37,30,150,Dessau
8010281,8013418,0,1,0,0,0,Dessau
8010302,8010231,15,16,66,30,210,Dessau
8010302,8010302,77,90,174,120,1650,Dessau
8010302,8011361,2,2,135,135,210,Dessau
8010302,8011952,5,10,90,30,450,Dessau
8010302,8012777,18,19,363,270,1650,Dessau
8010302,8013335,15,15,286,240,600,Dessau
8010343,8010343,31,37,98,30,990,Dessau
8010343,8012506,19,19,129,60,540,Dessau
8010343,8013259,15,18,92,30,990,Dessau
8011048,8011048,0,16,-2,0,0,Dessau
8011048,8011537,0,8,0,0,0,Dessau
8011048,8011960,0,8,0,0,0,Dessau
8011053,8011053,30,37,96,30,990,Dessau
8011053,8013259,8,19,77,0,510,Dessau
8011133,8010194,7,19,66,0,480,Dessau
8011133,8010311,14,17,150,60,750,Dessau
8011133,8011133,23,36,102,30,660,Dessau
8011150,8010281,16,20,70,60,480,Dessau
8011150,8011150,33,38,56,30,480,Dessau
8011150,8012704,17,18,53,30,150,Dessau
8011169,8011169,4,16,13,0,60,Dessau
8011169,8011170,2,8,15,0,60,Dessau
8011169,8012507,1,8,8,0,60,Dessau
8011170,8010043,2,8,8,0,60,Dessau
8011170,8011169,2,8,15,0,60,Dessau
8011170,8011170,4,16,17,0,90,Dessau
8011184,8010013,15,19,74,60,270,Dessau
8011184,8011184,36,37,80,60,300,Dessau
8011184,8011571,3,9,23,0,120,Dessau
8011260,8011260,32,40,94,30,570,Dessau
8011260,8012147,16,20,116,45,570,Dessau
8011260,8012788,16,20,74,30,540,Dessau
8011290,8011290,11,22,140,15,2100,Dessau
8011290,8013371,8,11,46,30,120,Dessau
8011290,8013418,5,11,245,0,2100,Dessau
8011296,8011296,37,38,128,60,960,Dessau
8011296,8011683,20,20,189,120,960,Dessau
8011296,8012409,17,18,82,45,420,Dessau
8011322,8011322,30,32,77,60,240,Dessau
8011322,8011703,13,16,81,60,270,Dessau
8011322,8012040,14,16,69,60,180,Dessau
8011361,8011361,38,42,254,240,1650,Dessau
8011361,8012305,19,19,172,120,480,Dessau
8011361,8012707,1,1,660,660,660,Dessau
8011361,8013335,1,1,210,210,210,Dessau
8011486,8011960,1,8,4,0,30,Dessau
8011571,8011184,12,12,112,60,300,Dessau
8011571,8011571,16,21,80,30,420,Dessau
8011605,8010013,8,26,36,0,210,Dessau
8011605,8010043,14,28,47,15,210,Dessau
8011605,8011605,22,54,46,0,240,Dessau
8011683,8011296,17,18,80,45,390,Dessau
8011683,8011683,36,38,211,90,960,Dessau
8011683,8012704,19,20,256,285,600,Dessau
8011699,8010076,1,1,540,540,540,Dessau
8011699,8011699,37,40,191,195,630,Dessau
8011699,8012629,9,9,180,210,240,Dessau
8011699,8012788,9,9,247,150,540,Dessau
8011699,8013335,18,21,77,30,360,Dessau
8011703,8011322,15,16,66,60,210,Dessau
8011703,8011703,30,32,73,60,270,Dessau
8011703,8012282,9,16,47,30,210,Dessau
8011909,8011867,7,11,365,60,2190,Dessau
8011909,8011909,11,22,269,15,2250,Dessau
8011909,8012233,4,11,155,0,1020,Dessau
8011929,8010043,4,17,16,0,180,Dessau
8011929,8010152,15,19,92,60,390,Dessau
8011929,8011929,12,36,57,0,420,Dessau
8011952,8010302,9,10,240,135,570,Dessau
8011952,8011952,14,20,152,75,540,Dessau
8011952,8012322,6,10,60,45,240,Dessau
8011960,8011048,0,8,0,0,0,Dessau
8011960,8011486,2,8,8,0,30,Dessau
8011960,8011960,1,16,2,0,30,Dessau
8011961,8011961,40,41,223,180,840,Dessau
8011961,8012707,21,21,173,120,570,Dessau
8011961,8013335,20,20,346,300,810,Dessau
8012040,8010231,9,16,41,60,180,Dessau
8012040,8011322,16,16,82,60,270,Dessau
8012040,8012040,29,32,68,60,240,Dessau
8012233,8011909,9,11,442,150,2310,Dessau
