from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8000048,8000048,272,60,3780,Detmold
8000048,8000233,240,240,240,Detmold
8000048,8000315,57,30,510,Detmold
8000048,8001118,5280,5280,5280,Detmold
8000048,8003096,253,90,2280,Detmold
8000215,8000215,110,0,1080,Detmold
8000215,8001420,119,0,810,Detmold
8000215,8001686,125,0,690,Detmold
8000215,8002916,131,0,1050,Detmold
8000215,8004630,118,0,840,Detmold
8000215,8005810,90,15,720,Detmold
8000233,8000233,271,30,2460,Detmold
8000233,8000315,220,45,1530,Detmold
8000233,8000733,81,30,540,Detmold
8000233,8001118,0,0,0,Detmold
8000233,8003288,282,60,2100,Detmold
8000233,8004868,492,135,2430,Detmold
8000315,8000048,72,30,390,Detmold
8000315,8000233,733,240,2550,Detmold
8000315,8000315,300,90,2640,Detmold
8000315,8002801,217,0,2580,Detmold
8000315,8003096,511,210,3690,Detmold
8000315,8004626,228,90,2190,Detmold
8000733,8000233,286,30,2250,Detmold
8000733,8000733,188,15,2280,Detmold
8000733,8006091,65,30,300,Detmold
8000744,8000744,114,60,900,Detmold
8000744,8005415,91,0,900,Detmold
8000953,8000953,185,120,780,Detmold
8000953,8079069,161,120,750,Detmold
8000957,8000957,144,120,600,Detmold
8000957,8003288,180,150,570,Detmold
8000957,8070734,141,120,600,Detmold
8001118,8000048,1890,1890,1890,Detmold
8001118,8001118,247,60,6780,Detmold
8001118,8002824,112,90,450,Detmold
8001335,8000846,301,30,2580,Detmold
8001335,8001335,164,30,2580,Detmold
8001335,8002801,63,0,600,Detmold
8001420,8000215,58,30,450,Detmold
8001420,8001420,97,30,960,Detmold
8001420,8003000,149,30,1110,Detmold
8001686,8000215,126,0,720,Detmold
8001686,8001686,120,0,780,Detmold
8001686,8002737,138,30,690,Detmold
8001894,8001894,60,0,540,Detmold
8001894,8003772,11,0,60,Detmold
8001894,8004919,88,30,510,Detmold
8002737,8001686,115,0,780,Detmold
8002737,8002737,125,0,750,Detmold
8002737,8004630,131,30,690,Detmold
8002801,8000315,56,0,630,Detmold
8002801,8001335,225,0,2580,Detmold
8002801,8002801,132,0,2580,Detmold
8002824,8001118,144,90,510,Detmold
8002824,8002824,141,90,540,Detmold
8002824,8003288,146,120,540,Detmold
8002916,8000215,114,0,750,Detmold
8002916,8002916,116,0,1020,Detmold
8002916,8003633,133,0,1020,Detmold
8002978,8002978,96,60,600,Detmold
8002978,8003772,118,60,600,Detmold
8002978,8070734,116,60,360,Detmold
8003000,8001420,55,0,570,Detmold
8003000,8003000,77,15,990,Detmold
8003000,8003655,49,30,360,Detmold
8003096,8000048,580,270,3750,Detmold
8003096,8000315,244,75,2280,Detmold
8003096,8003096,405,150,3720,Detmold
8003288,8000233,165,90,510,Detmold
8003288,8000957,139,120,570,Detmold
8003288,8001201,129,90,540,Detmold
8003288,8002824,157,120,540,Detmold
8003288,8003288,175,120,2100,Detmold
8003633,8002916,100,0,750,Detmold
8003633,8003633,104,0,1020,Detmold
8003633,8003634,153,30,1020,Detmold
8003634,8003633,31,0,450,Detmold
8003655,8003000,47,30,180,Detmold
8003655,8003655,46,0,360,Detmold
8003655,8005283,61,60,300,Detmold
8003772,8001894,109,60,570,Detmold
8003772,8002978,9,0,90,Detmold
8003772,8003772,62,0,600,Detmold
8004630,8000215,190,45,780,Detmold
8004630,8000953,0,0,0,Detmold
8004630,8002737,106,0,660,Detmold
8004630,8004630,157,30,960,Detmold
8004630,8005930,140,30,660,Detmold
8004777,8000335,187,90,870,Detmold
8004777,8004777,144,75,810,Detmold
8004777,8004868,112,75,270,Detmold
8004868,8000233,122,15,930,Detmold
8004868,8004777,168,30,840,Detmold
8004868,8004868,304,45,2400,Detmold
8004919,8001894,1,0,30,Detmold
8005276,8002262,90,60,1080,Detmold
8005276,8005276,120,60,1080,Detmold
8005276,8005322,146,60,840,Detmold
8005283,8003655,38,30,150,Detmold
8005283,8005283,58,30,270,Detmold
8005322,8005276,107,60,1080,Detmold
8005322,8005322,108,30,1080,Detmold
8005322,8006449,25,0,120,Detmold
8005336,8002933,145,135,300,Detmold
8005336,8005336,230,150,1470,Detmold
8005336,8006379,333,180,1800,Detmold
8005415,8000744,118,60,750,Detmold
8005415,8005415,96,0,900,Detmold
8005415,8005810,94,0,900,Detmold
8005708,8005340,-3,0,30,Detmold
8005708,8005708,13,0,450,Detmold
8005810,8000215,91,0,900,Detmold
8005810,8005415,100,15,720,Detmold
8005810,8005810,96,0,900,Detmold
8005930,8004630,156,105,720,Detmold
8005930,8005930,157,60,720,Detmold
8005930,8079069,183,75,660,Detmold
8006091,8000733,335,15,3030,Detmold
8006091,8005104,51,0,330,Detmold
8006091,8006091,211,30,3780,Detmold
8006449,8000171,450,195,1560,Detmold
8006449,8002933,364,90,1380,Detmold
8006449,8005322,218,60,1020,Detmold
8006449,8006449,249,120,1560,Detmold
8070734,8000957,108,90,300,Detmold
8070734,8002978,128,90,600,Detmold
8070734,8070734,119,120,600,Detmold
8079069,8000953,191,105,630,Detmold
8079069,8005930,161,120,720,Detmold
8079069,8079069,182,120,720,Detmold
