from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000048,8000048,68,72,281,210,2730,Detmold
8000048,8000233,1,1,2610,2610,2610,Detmold
8000048,8000315,12,14,212,195,930,Detmold
8000048,8001118,1,1,60,60,60,Detmold
8000048,8003096,19,20,138,120,360,Detmold
8000215,8000215,75,101,325,150,2040,Detmold
8000215,8001420,23,33,324,150,1680,Detmold
8000215,8001686,13,16,542,360,1890,Detmold
8000215,8002916,15,18,520,285,2100,Detmold
8000215,8004630,12,16,332,180,1110,Detmold
8000215,8005810,14,18,178,120,1020,Detmold
8000233,8000233,46,76,289,30,5220,Detmold
8000233,8000315,16,18,200,105,1590,Detmold
8000233,8000733,13,16,54,30,210,Detmold
8000233,8001118,0,1,0,0,0,Detmold
8000233,8003288,7,10,126,90,360,Detmold
8000233,8004868,5,9,330,30,2520,Detmold
8000315,8000048,16,17,219,180,780,Detmold
8000315,8000233,15,18,675,180,5850,Detmold
8000315,8000315,85,108,303,180,6360,Detmold
8000315,8002801,10,16,204,90,930,Detmold
8000315,8003096,20,21,384,240,2400,Detmold
8000315,8004626,33,37,299,240,1440,Detmold
8000733,8000233,13,16,154,30,510,Detmold
8000733,8000733,24,32,119,60,540,Detmold
8000733,8006091,12,16,64,60,240,Detmold
8000744,8000744,23,37,144,60,1020,Detmold
8000744,8005415,8,19,88,0,840,Detmold
8000953,8000953,32,35,489,270,1800,Detmold
8000953,8079069,16,18,362,195,1320,Detmold
8000957,8000957,30,33,282,120,1530,Detmold
8000957,8003288,15,16,369,150,1500,Detmold
8000957,8070734,15,17,196,90,870,Detmold
8001118,8000048,1,1,60,60,60,Detmold
8001118,8001118,53,74,129,45,1440,Detmold
8001118,8002824,29,33,95,90,480,Detmold
8001335,8000846,11,16,210,105,960,Detmold
8001335,8001335,27,35,203,120,960,Detmold
8001335,8002801,15,19,185,90,840,Detmold
8001420,8000215,22,34,132,90,990,Detmold
8001420,8001420,49,64,229,90,1680,Detmold
8001420,8003000,25,32,364,210,1740,Detmold
8001686,8000215,15,18,508,315,2040,Detmold
8001686,8001686,27,34,514,300,2100,Detmold
8001686,8002737,15,16,562,330,1920,Detmold
8001894,8001894,23,33,114,30,780,Detmold
8001894,8003772,11,16,32,30,150,Detmold
8001894,8004919,12,17,178,60,780,Detmold
8002737,8001686,13,18,485,240,2100,Detmold
8002737,8002737,28,34,523,300,2100,Detmold
8002737,8004630,14,16,553,315,1890,Detmold
8002801,8000315,12,19,156,60,780,Detmold
8002801,8001335,10,16,206,90,960,Detmold
8002801,8002801,26,35,183,90,930,Detmold
8002824,8001118,30,32,253,135,1470,Detmold
8002824,8002824,55,65,197,90,1500,Detmold
8002824,8003288,29,33,149,60,720,Detmold
8002916,8000215,13,17,318,270,1230,Detmold
8002916,8002916,26,35,404,210,2100,Detmold
8002916,8003633,15,18,530,285,2100,Detmold
8002978,8002978,24,33,199,60,930,Detmold
8002978,8003772,13,17,214,60,840,Detmold
8002978,8070734,12,16,326,120,1500,Detmold
8003000,8001420,19,33,67,30,360,Detmold
8003000,8003000,41,62,207,60,1650,Detmold
8003000,8003655,7,9,280,60,1440,Detmold
8003000,8005283,5,8,68,30,270,Detmold
8003096,8000048,20,21,504,360,2760,Detmold
8003096,8000315,19,20,219,180,480,Detmold
8003096,8003096,38,41,309,210,2760,Detmold
8003288,8000233,8,8,169,135,390,Detmold
8003288,8000957,15,17,173,60,780,Detmold
8003288,8001201,11,16,116,105,330,Detmold
8003288,8002824,24,32,262,120,1500,Detmold
8003288,8003288,69,83,195,120,1500,Detmold
8003633,8002916,11,17,291,60,1260,Detmold
8003633,8003633,26,35,417,240,2100,Detmold
8003633,8003634,16,18,550,315,2100,Detmold
8003634,8003633,10,17,282,30,1260,Detmold
8003655,8003000,4,9,50,0,150,Detmold
8003655,8003655,11,18,170,60,1440,Detmold
8003655,8005283,7,9,310,60,1440,Detmold
8003772,8001894,14,17,205,90,810,Detmold
8003772,8002978,8,16,28,15,120,Detmold
8003772,8003772,20,33,117,30,840,Detmold
8004630,8000215,12,14,549,555,1710,Detmold
8004630,8000953,1,1,30,30,30,Detmold
8004630,8002737,13,18,490,255,2100,Detmold
8004630,8004630,54,64,482,300,1920,Detmold
8004630,8005930,14,16,540,345,1830,Detmold
8004777,8000335,7,8,409,45,2460,Detmold
8004777,8004777,11,16,300,30,2280,Detmold
8004777,8004868,6,8,259,135,1410,Detmold
8004868,8000233,5,10,207,60,1230,Detmold
8004868,8004777,3,8,356,0,2340,Detmold
8004868,8004868,12,19,291,30,2460,Detmold
8004919,8001894,4,16,21,0,150,Detmold
8005276,8002262,0,35,0,0,0,Detmold
8005276,8005276,0,69,0,0,0,Detmold
8005276,8005322,0,34,0,0,0,Detmold
8005283,8003000,6,8,71,45,270,Detmold
8005283,8003655,6,9,57,30,180,Detmold
8005283,8005283,24,34,132,30,1470,Detmold
8005322,8005276,0,35,0,0,0,Detmold
8005322,8005322,0,69,0,0,0,Detmold
8005322,8006449,0,7,0,0,0,Detmold
8005336,8005336,26,34,63,60,150,Detmold
8005336,8006379,16,17,101,90,180,Detmold
8005415,8000744,14,18,205,165,1020,Detmold
8005415,8005415,23,37,147,60,1020,Detmold
8005415,8005810,9,19,104,0,840,Detmold
8005708,8005340,5,18,83,0,1560,Detmold
8005708,8005708,8,36,48,0,1590,Detmold
8005810,8000215,9,19,92,0,810,Detmold
8005810,8005415,14,18,192,150,1020,Detmold
8005810,8005810,22,37,146,60,1020,Detmold
8005930,8004630,16,18,368,165,1350,Detmold
8005930,8005930,30,34,438,240,1830,Detmold
8005930,8079069,16,16,576,495,1830,Detmold
8006091,8000733,11,16,172,60,570,Detmold
8006091,8005104,12,17,203,120,660,Detmold
8006091,8006091,25,32,167,90,630,Detmold
8006449,8002933,4,5,528,120,2250,Detmold
8006449,8005322,0,7,0,0,0,Detmold
8006449,8006449,9,24,219,0,2340,Detmold
8070734,8000957,12,16,347,165,1560,Detmold
8070734,8002978,13,17,198,60,840,Detmold
8070734,8070734,24,33,256,90,1560,Detmold
8079069,8000953,16,16,664,615,1800,Detmold
8079069,8005930,16,18,355,210,1320,Detmold
8079069,8079069,32,34,485,300,1800,Detmold
