from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8010072,8010072,45,30,450,Dresden
8010072,8012471,22,0,120,Dresden
8010072,8012701,30,0,180,Dresden
8010072,8013267,45,30,390,Dresden
8010072,8013444,57,30,270,Dresden
8010072,8013490,111,45,420,Dresden
8010088,8010088,8,0,180,Dresden
8010088,8011417,28,30,90,Dresden
8010088,8011418,8,0,180,Dresden
8010088,8012150,14,0,120,Dresden
8010088,8013269,13,0,30,Dresden
8010091,8010091,11,0,60,Dresden
8010091,8011855,0,0,0,Dresden
8010091,8012249,3,0,30,Dresden
8010116,8010116,20,0,150,Dresden
8010116,8011569,10,0,120,Dresden
8010116,8011570,22,0,150,Dresden
8010131,8010131,25,0,270,Dresden
8010131,8011656,4,0,60,Dresden
8010131,8012061,56,15,600,Dresden
8010163,8010163,46,30,300,Dresden
8010163,8011398,0,0,0,Dresden
8010163,8011428,23,0,300,Dresden
8010163,8011843,41,30,300,Dresden
8010174,8010174,33,0,480,Dresden
8010174,8012061,20,0,180,Dresden
8010174,8013165,31,0,420,Dresden
8010177,8011922,98,0,630,Dresden
8010177,8012942,31,30,180,Dresden
8010249,8010249,2,0,30,Dresden
8010249,8012113,0,0,0,Dresden
8010249,8012163,0,0,0,Dresden
8010272,8010272,27,30,270,Dresden
8010272,8011844,5,0,240,Dresden
8010272,8012540,6,0,210,Dresden
8010272,8012640,3,0,30,Dresden
8010285,8010285,61,30,540,Dresden
8010285,8011749,34,0,360,Dresden
8010285,8012482,86,60,510,Dresden
8010285,8012523,45,15,210,Dresden
8010285,8013267,42,0,240,Dresden
8010292,8010292,32,0,540,Dresden
8010292,8011427,27,0,540,Dresden
8010292,8012700,13,0,60,Dresden
8010370,8010370,18,0,240,Dresden
8010370,8012767,18,0,120,Dresden
8010370,8012870,18,0,210,Dresden
8011019,8011609,0,0,0,Dresden
8011039,8011039,28,0,90,Dresden
8011039,8012959,41,45,60,Dresden
8011039,8013168,0,0,0,Dresden
8011091,8011091,0,0,0,Dresden
8011091,8011095,0,0,0,Dresden
8011091,8011636,0,0,0,Dresden
8011095,8011091,0,0,0,Dresden
8011095,8011095,0,0,0,Dresden
8011095,8012170,0,0,0,Dresden
8011298,8011298,0,0,0,Dresden
8011298,8012394,0,0,0,Dresden
8011298,8013247,0,0,0,Dresden
8011320,8011320,70,30,390,Dresden
8011320,8011425,87,30,360,Dresden
8011320,8012503,30,30,90,Dresden
8011398,8010163,33,30,120,Dresden
8011398,8011398,3,0,30,Dresden
8011398,8012079,-3,0,0,Dresden
8011398,8013247,30,30,30,Dresden
8011399,8011417,10,0,180,Dresden
8011416,8011416,41,30,540,Dresden
8011416,8011423,8,0,60,Dresden
8011416,8013444,36,30,480,Dresden
8011417,8010088,12,0,180,Dresden
8011417,8011399,30,30,90,Dresden
8011417,8011417,22,0,180,Dresden
8011418,8010088,14,0,90,Dresden
8011418,8011418,16,0,180,Dresden
8011418,8013444,23,30,150,Dresden
8011419,8011419,63,30,300,Dresden
8011419,8011421,78,75,150,Dresden
8011419,8013475,57,30,300,Dresden
8011420,8011420,38,30,300,Dresden
8011420,8011422,58,60,300,Dresden
8011420,8011424,47,30,240,Dresden
8011421,8011419,51,0,300,Dresden
8011421,8011421,60,30,330,Dresden
8011421,8011425,63,75,150,Dresden
8011422,8011420,40,30,240,Dresden
8011422,8011422,36,30,300,Dresden
8011422,8011428,41,30,300,Dresden
8011423,8011416,81,60,570,Dresden
8011423,8011423,39,30,570,Dresden
8011423,8011427,18,0,90,Dresden
8011424,8011420,43,30,330,Dresden
8011424,8011424,43,30,330,Dresden
8011424,8011426,30,0,210,Dresden
8011425,8011320,42,30,90,Dresden
8011425,8011421,99,60,390,Dresden
8011425,8011425,82,60,390,Dresden
8011426,8011424,14,0,300,Dresden
8011426,8011426,36,30,330,Dresden
8011426,8011431,58,60,180,Dresden
8011427,8010292,43,60,120,Dresden
8011427,8011423,53,30,570,Dresden
8011427,8011427,38,30,570,Dresden
8011428,8010163,45,45,300,Dresden
8011428,8011422,25,0,270,Dresden
8011428,8011428,34,30,300,Dresden
8011451,8011451,28,30,210,Dresden
8011451,8012044,27,30,60,Dresden
8011451,8013114,49,30,240,Dresden
8011563,8011563,117,60,540,Dresden
8011563,8012681,48,0,390,Dresden
8011563,8013368,192,120,540,Dresden
8011569,8010116,21,0,180,Dresden
8011569,8011569,17,0,210,Dresden
8011569,8013445,14,0,120,Dresden
8011570,8010116,22,0,150,Dresden
8011570,8011570,17,0,150,Dresden
8011570,8013114,15,0,120,Dresden
8011609,8011019,0,0,0,Dresden
8011609,8011609,5,0,30,Dresden
8011609,8011825,20,0,60,Dresden
8011636,8011091,0,0,0,Dresden
8011636,8011636,0,0,0,Dresden
8011636,8012170,0,0,0,Dresden
8011636,8012535,0,0,0,Dresden
8011636,8013247,0,0,0,Dresden
8011637,8011637,107,60,390,Dresden
8011637,8012523,115,90,390,Dresden
8011637,8013461,76,60,210,Dresden
8011656,8010131,42,30,390,Dresden
8011656,8011656,28,0,420,Dresden
8011656,8011799,2,0,30,Dresden
8011676,8011676,22,0,60,Dresden
8011676,8012662,0,0,0,Dresden
8011676,8013168,52,60,60,Dresden
8011712,8011712,56,30,390,Dresden
8011712,8012680,56,30,330,Dresden
8011712,8013124,22,30,60,Dresden
8011749,8010285,96,60,510,Dresden
8011749,8011749,54,30,480,Dresden
8011749,8012145,30,30,210,Dresden
8011749,8013368,42,30,240,Dresden
8011795,8011795,36,30,360,Dresden
8011795,8012767,44,30,330,Dresden
8011795,8013165,24,15,120,Dresden
8011799,8011656,48,0,420,Dresden
8011825,8011609,0,0,0,Dresden
8011825,8011825,5,0,30,Dresden
8011825,8012170,0,0,0,Dresden
8011855,8010091,0,0,0,Dresden
8011855,8011855,0,0,0,Dresden
8011855,8013057,3,0,30,Dresden
8011861,8011861,18,0,120,Dresden
8011861,8012596,1,0,30,Dresden
8011861,8013268,11,0,90,Dresden
8011922,8010177,107,0,450,Dresden
8011922,8011922,85,0,630,Dresden
8011922,8012250,90,0,630,Dresden
8011988,8011199,1,0,30,Dresden
8012044,8011451,28,0,210,Dresden
8012044,8012044,20,0,210,Dresden
8012044,8012483,27,30,90,Dresden
8012047,8012047,42,0,540,Dresden
8012047,8012391,85,0,540,Dresden
8012047,8013166,8,0,60,Dresden
8012061,8010131,36,0,420,Dresden
8012061,8010174,70,30,540,Dresden
8012061,8012061,50,0,570,Dresden
8012061,8013493,30,30,60,Dresden
8012067,8012174,5,0,30,Dresden
8012072,8012072,19,30,180,Dresden
8012072,8012138,30,30,60,Dresden
8012079,8011398,0,0,0,Dresden
8012079,8012079,-1,0,0,Dresden
8012079,8013247,0,0,0,Dresden
8012105,8012105,18,0,150,Dresden
8012105,8012719,26,30,90,Dresden
8012105,8012888,46,30,210,Dresden
8012113,8010249,0,0,0,Dresden
8012113,8012113,0,0,0,Dresden
8012113,8012959,0,0,0,Dresden
8012138,8012072,11,0,180,Dresden
8012138,8012138,16,0,180,Dresden
