from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8010006,8010006,1,2,15,15,30,Dresden
8010006,8012699,0,2,0,0,0,Dresden
8010072,8010072,152,191,178,60,9270,Dresden
8010072,8012471,35,45,91,60,840,Dresden
8010072,8012701,32,45,70,60,720,Dresden
8010072,8013267,41,50,157,60,1950,Dresden
8010072,8013444,36,37,469,90,8820,Dresden
8010072,8013490,16,21,93,30,1020,Dresden
8010088,8010088,80,174,54,0,1140,Dresden
8010088,8011417,27,39,73,30,1140,Dresden
8010088,8011418,57,87,64,30,1020,Dresden
8010088,8012150,13,30,56,0,780,Dresden
8010088,8013269,12,18,38,30,330,Dresden
8010091,8010091,19,34,30,30,120,Dresden
8010091,8011855,6,17,16,0,90,Dresden
8010091,8012249,11,17,46,60,120,Dresden
8010116,8010116,44,82,38,30,450,Dresden
8010116,8011569,13,41,20,0,360,Dresden
8010116,8011570,26,41,51,60,420,Dresden
8010131,8010131,33,35,423,330,1350,Dresden
8010131,8011656,14,18,397,210,1260,Dresden
8010131,8012061,25,31,248,60,960,Dresden
8010163,8010163,120,160,72,60,1470,Dresden
8010163,8011398,9,18,30,15,210,Dresden
8010163,8011428,36,80,24,0,180,Dresden
8010163,8011843,60,80,98,60,1410,Dresden
8010174,8010174,36,41,378,240,1500,Dresden
8010174,8012061,18,21,433,270,1440,Dresden
8010174,8013165,15,20,405,180,1440,Dresden
8010177,8011922,2,11,65,0,540,Dresden
8010177,8012942,10,17,42,30,300,Dresden
8010249,8010249,4,23,8,0,60,Dresden
8010249,8012113,0,12,0,0,0,Dresden
8010249,8012163,1,17,9,0,150,Dresden
8010272,8010272,62,78,63,30,450,Dresden
8010272,8011844,14,80,12,0,180,Dresden
8010272,8012540,16,39,42,0,270,Dresden
8010272,8012640,5,17,12,0,60,Dresden
8010285,8010285,83,101,274,60,9630,Dresden
8010285,8011749,24,30,221,60,1920,Dresden
8010285,8012482,27,34,107,60,990,Dresden
8010285,8012523,15,20,92,60,270,Dresden
8010285,8013267,14,17,891,120,9630,Dresden
8010292,8010072,0,1,0,0,0,Dresden
8010292,8010292,70,91,83,60,810,Dresden
8010292,8011427,24,45,65,30,690,Dresden
8010292,8012700,33,45,80,60,780,Dresden
8010370,8010370,23,40,383,60,2220,Dresden
8010370,8012767,14,21,293,60,1500,Dresden
8010370,8012870,12,20,514,240,2190,Dresden
8011019,8011609,3,18,15,0,150,Dresden
8011039,8011039,7,18,103,0,600,Dresden
8011039,8012959,6,9,160,30,540,Dresden
8011039,8013168,1,9,7,0,60,Dresden
8011091,8011091,8,36,45,0,540,Dresden
8011091,8011095,4,18,60,0,540,Dresden
8011091,8011636,4,18,28,0,270,Dresden
8011095,8011091,4,18,33,0,300,Dresden
8011095,8011095,9,36,48,0,540,Dresden
8011095,8012170,5,18,58,0,510,Dresden
8011298,8011298,7,36,54,0,540,Dresden
8011298,8012394,4,18,53,0,300,Dresden
8011298,8013247,3,18,53,0,510,Dresden
8011320,8011320,31,41,236,60,3270,Dresden
8011320,8011425,15,21,93,30,1050,Dresden
8011320,8012503,15,20,358,30,3270,Dresden
8011398,8010163,17,18,127,45,630,Dresden
8011398,8011398,20,36,66,30,570,Dresden
8011398,8012079,4,18,50,0,270,Dresden
8011399,8011417,12,39,35,0,930,Dresden
8011416,8011416,69,90,85,60,720,Dresden
8011416,8011423,19,45,56,0,780,Dresden
8011416,8013444,39,45,80,30,690,Dresden
8011417,8010088,20,39,47,30,960,Dresden
8011417,8011399,34,39,75,30,1140,Dresden
8011417,8011417,46,78,60,30,1170,Dresden
8011418,8010088,49,87,52,30,1170,Dresden
8011418,8011418,112,174,63,30,1140,Dresden
8011418,8013444,47,69,82,30,1200,Dresden
8011419,8011419,32,41,209,30,3300,Dresden
8011419,8011421,18,20,357,90,3300,Dresden
8011419,8013475,14,21,96,30,1050,Dresden
8011420,8011420,124,160,68,60,1380,Dresden
8011420,8011422,60,80,96,60,1380,Dresden
8011420,8011424,65,80,56,60,180,Dresden
8011421,8011419,11,21,74,30,990,Dresden
8011421,8011421,30,41,215,60,3270,Dresden
8011421,8011425,17,20,350,60,3270,Dresden
8011422,8011420,43,80,40,30,180,Dresden
8011422,8011422,111,160,63,30,1410,Dresden
8011422,8011428,69,80,99,60,1410,Dresden
8011423,8011416,42,45,125,90,720,Dresden
8011423,8011423,75,90,86,30,810,Dresden
8011423,8011427,33,45,79,60,840,Dresden
8011424,8011420,71,80,93,60,1410,Dresden
8011424,8011424,141,160,73,60,1380,Dresden
8011424,8011426,59,80,46,30,180,Dresden
8011425,8011320,16,20,364,60,3270,Dresden
8011425,8011421,16,21,110,60,1050,Dresden
8011425,8011425,33,41,230,60,3300,Dresden
8011426,8011424,41,80,63,30,1320,Dresden
8011426,8011426,113,160,63,30,1350,Dresden
8011426,8011431,67,77,66,60,210,Dresden
8011427,8010292,41,45,106,60,840,Dresden
8011427,8011423,34,45,85,60,720,Dresden
8011427,8011427,75,90,84,45,840,Dresden
8011428,8010163,72,80,106,60,1530,Dresden
8011428,8011422,40,80,29,15,180,Dresden
8011428,8011428,111,160,65,30,1470,Dresden
8011451,8011451,27,40,41,30,450,Dresden
8011451,8012044,11,20,20,30,60,Dresden
8011451,8013114,16,20,80,60,480,Dresden
8011563,8011563,19,24,219,90,1980,Dresden
8011563,8012681,9,12,308,75,1980,Dresden
8011563,8013368,10,12,142,90,780,Dresden
8011569,8010116,22,41,46,30,450,Dresden
8011569,8011569,43,82,36,30,450,Dresden
8011569,8013445,19,41,31,0,360,Dresden
8011570,8010116,21,41,27,30,360,Dresden
8011570,8011570,39,82,33,0,420,Dresden
8011570,8013114,22,41,37,30,390,Dresden
8011609,8011019,4,18,42,0,450,Dresden
8011609,8011609,10,36,44,0,510,Dresden
8011609,8011825,5,18,38,0,300,Dresden
8011636,8011091,4,18,57,0,540,Dresden
8011636,8011636,9,36,52,0,600,Dresden
8011636,8012535,3,18,52,0,510,Dresden
8011637,8011637,39,40,136,120,450,Dresden
8011637,8012523,20,20,128,120,450,Dresden
8011637,8013461,20,20,108,105,210,Dresden
8011656,8010131,18,18,472,285,1140,Dresden
8011656,8011656,33,36,432,240,1260,Dresden
8011656,8011799,15,18,405,210,1230,Dresden
8011676,8011676,6,18,98,0,570,Dresden
8011676,8012662,1,9,7,0,60,Dresden
8011676,8013168,5,9,193,60,600,Dresden
8011712,8011712,18,28,36,30,180,Dresden
8011712,8012680,11,14,51,60,150,Dresden
8011712,8013124,4,14,11,0,60,Dresden
8011749,8010285,30,31,567,90,9600,Dresden
8011749,8011749,49,58,391,60,9510,Dresden
8011749,8012145,13,17,127,30,1380,Dresden
8011749,8013368,11,12,312,60,1980,Dresden
8011795,8011795,35,41,408,180,1560,Dresden
8011795,8012767,16,20,471,255,1560,Dresden
8011795,8013165,19,21,400,180,1560,Dresden
8011799,8011656,17,18,427,240,1170,Dresden
8011825,8011609,5,18,58,0,510,Dresden
8011825,8011825,9,36,41,0,480,Dresden
8011825,8012170,4,18,28,0,270,Dresden
8011855,8010091,1,17,7,0,120,Dresden
8011855,8011855,7,34,11,0,120,Dresden
8011855,8013057,6,17,25,0,120,Dresden
8011861,8011861,22,36,27,30,330,Dresden
8011861,8012596,5,18,28,0,270,Dresden
8011861,8013268,8,18,20,0,150,Dresden
8011922,8010177,7,11,169,150,690,Dresden
8011922,8011922,9,22,125,0,720,Dresden
8011922,8012250,2,11,65,0,540,Dresden
8011988,8011199,7,30,38,0,540,Dresden
8012044,8011451,14,20,56,30,420,Dresden
8012044,8012044,18,40,29,0,420,Dresden
8012044,8012483,15,20,28,30,90,Dresden
8012047,8012047,13,22,123,30,600,Dresden
8012047,8012391,7,11,98,60,570,Dresden
8012047,8013166,7,11,172,120,600,Dresden
8012061,8010131,27,32,375,195,1440,Dresden
8012061,8010174,18,20,314,150,960,Dresden
8012061,8012061,56,63,315,180,1440,Dresden
8012061,8013493,11,11,175,60,600,Dresden
8012067,8012174,4,18,12,0,90,Dresden
8012072,8012072,57,78,47,30,240,Dresden
8012072,8012138,30,39,49,30,240,Dresden
8012079,8011398,3,18,52,0,510,Dresden
8012079,8012079,7,36,49,0,480,Dresden
8012079,8013247,4,18,52,0,270,Dresden
8012105,8012105,12,20,160,30,660,Dresden
8012105,8012719,5,9,193,30,600,Dresden
8012105,8012888,8,10,156,60,630,Dresden
8012113,8010249,0,12,0,0,0,Dresden
8012113,8012113,0,24,0,0,0,Dresden
8012113,8012959,1,12,2,0,30,Dresden
8012138,8012072,22,39,52,30,240,Dresden
8012138,8012138,43,78,40,30,240,Dresden
8012138,8013022,11,39,23,0,180,Dresden
8012145,8011749,17,17,904,120,9540,Dresden
8012145,8012145,31,34,518,90,9450,Dresden
8012145,8012565,14,17,155,60,1380,Dresden
8012150,8010088,13,30,75,0,630,Dresden
8012150,8012150,21,60,58,0,750,Dresden
8012150,8012699,6,30,45,0,720,Dresden
8012163,8010249,7,17,21,0,120,Dresden
8012163,8012163,8,34,19,0,180,Dresden
8012163,8012164,1,17,9,0,150,Dresden
8012164,8012163,6,17,25,0,120,Dresden
8012164,8012164,7,34,16,0,120,Dresden
8012164,8013057,1,17,7,0,120,Dresden
8012170,8011095,5,18,37,0,300,Dresden
8012170,8011825,5,18,58,0,510,Dresden
8012170,8012170,10,36,48,0,510,Dresden
8012174,8012067,13,18,68,60,240,Dresden
8012174,8012174,16,36,35,0,270,Dresden
8012174,8012595,3,18,0,0,60,Dresden
8012175,8010171,12,17,55,30,240,Dresden
8012175,8012175,23,35,55,30,270,Dresden
8012175,8012942,13,18,50,30,240,Dresden
8012249,8010091,14,17,64,60,150,Dresden
8012249,8012249,25,34,41,30,120,Dresden
8012249,8012641,15,17,41,30,120,Dresden
8012250,8011922,7,11,177,180,690,Dresden
8012250,8012250,9,22,115,0,660,Dresden
8012250,8013166,2,11,65,0,540,Dresden
8012391,8012047,8,11,183,150,630,Dresden
8012391,8012391,15,22,138,45,630,Dresden
8012391,8012628,7,11,104,30,570,Dresden
8012394,8011298,3,18,55,0,540,Dresden
8012394,8012394,7,36,53,0,540,Dresden
8012394,8012497,4,18,53,0,300,Dresden
8012482,8010285,33,33,225,120,1950,Dresden
8012482,8012482,60,67,158,90,1950,Dresden
8012482,8013267,26,34,97,45,990,Dresden
8012497,8012394,3,18,52,0,510,Dresden
8012497,8012497,7,36,52,0,510,Dresden
8012497,8012535,4,18,50,0,240,Dresden
8012503,8011320,17,21,114,60,1050,Dresden
8012503,8012503,32,41,225,30,3240,Dresden
8012503,8013490,16,20,386,60,3270,Dresden
8012523,8010285,16,20,88,75,450,Dresden
8012523,8011637,19,20,123,105,360,Dresden
8012523,8012523,36,40,108,90,450,Dresden
8012535,8011636,4,18,60,0,450,Dresden
8012535,8012497,3,18,53,0,510,Dresden
8012535,8012535,7,36,50,0,480,Dresden
8012594,8012594,18,36,35,15,240,Dresden
8012594,8012595,9,18,25,15,210,Dresden
8012594,8012596,5,18,13,0,120,Dresden
8012595,8012174,11,18,52,30,270,Dresden
8012595,8012594,13,18,35,30,120,Dresden
8012595,8012595,20,36,27,30,240,Dresden
8012596,8011861,12,18,32,30,180,Dresden
8012596,8012594,17,18,50,30,240,Dresden
8012596,8012596,19,36,29,30,240,Dresden
8012628,8012391,7,11,158,60,600,Dresden
8012628,8012628,13,22,132,30,600,Dresden
8012628,8013493,5,11,95,0,540,Dresden
8012640,8010272,16,17,65,60,180,Dresden
8012640,8012640,21,34,40,45,150,Dresden
8012640,8012641,5,17,14,0,90,Dresden
8012641,8012249,2,17,5,0,60,Dresden
8012641,8012640,13,17,41,30,120,Dresden
8012641,8012641,18,34,27,30,120,Dresden
8012662,8011676,5,9,190,60,570,Dresden
8012662,8012662,6,18,100,0,600,Dresden
8012662,8012719,1,9,7,0,60,Dresden
8012699,8011758,5,9,57,30,240,Dresden
8012699,8012036,5,21,54,0,690,Dresden
8012699,8012150,14,30,70,0,570,Dresden
8012699,8012699,23,60,60,0,720,Dresden
8012719,8012105,5,9,83,30,330,Dresden
8012719,8012662,5,9,193,60,600,Dresden
8012719,8012719,6,18,98,0,570,Dresden
8012767,8010370,14,20,500,270,1980,Dresden
8012767,8011795,16,21,351,120,1560,Dresden
8012767,8012767,30,41,416,180,1740,Dresden
8012870,8010330,12,20,390,210,1890,Dresden
8012870,8010370,9,20,249,0,1440,Dresden
8012870,8012870,22,40,334,45,2040,Dresden
8012888,8012105,6,10,210,75,690,Dresden
8012888,8012888,14,20,218,135,780,Dresden
8012888,8012898,8,10,192,150,630,Dresden
8012942,8010177,10,18,33,30,210,Dresden
