from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8000099,8000099,332,150,3090,Düsseldorf
8000099,8001898,263,150,2760,Düsseldorf
8000099,8001912,387,120,2430,Düsseldorf
8000099,8001913,277,150,1290,Düsseldorf
8000099,8001914,841,480,3060,Düsseldorf
8000133,8000133,250,120,1500,Düsseldorf
8000133,8003130,254,60,1500,Düsseldorf
8000133,8005159,209,120,990,Düsseldorf
8000138,8000138,142,30,2040,Düsseldorf
8000138,8002490,125,60,780,Düsseldorf
8000138,8002869,76,30,510,Düsseldorf
8000138,8006718,176,30,1980,Düsseldorf
8000198,8000198,214,90,1350,Düsseldorf
8000198,8001915,286,120,1440,Düsseldorf
8000198,8003245,180,90,750,Düsseldorf
8000211,8000212,321,180,1230,Düsseldorf
8000212,8000211,300,120,1470,Düsseldorf
8000212,8000212,295,150,1500,Düsseldorf
8000212,8003426,444,450,1260,Düsseldorf
8000212,8004694,183,60,1140,Düsseldorf
8000242,8000242,330,330,540,Düsseldorf
8000242,8002109,368,60,3000,Düsseldorf
8000242,8003943,540,540,540,Düsseldorf
8000242,8006098,570,510,1260,Düsseldorf
8000253,8000253,267,195,1890,Düsseldorf
8000253,8000274,167,45,960,Düsseldorf
8000253,8000318,144,60,1860,Düsseldorf
8000253,8001745,137,75,840,Düsseldorf
8000253,8003412,340,330,510,Düsseldorf
8000253,8003427,166,105,840,Düsseldorf
8000274,8000253,257,225,1620,Düsseldorf
8000274,8000274,189,120,2130,Düsseldorf
8000274,8000438,187,120,900,Düsseldorf
8000274,8001261,129,60,720,Düsseldorf
8000274,8001506,187,90,1020,Düsseldorf
8000274,8001585,192,120,1530,Düsseldorf
8000274,8004317,246,150,1350,Düsseldorf
8000274,8004320,179,90,2160,Düsseldorf
8000274,8004694,219,120,1260,Düsseldorf
8000317,8000317,401,255,3480,Düsseldorf
8000317,8000887,436,330,1590,Düsseldorf
8000317,8002941,279,105,1320,Düsseldorf
8000317,8003427,631,360,3450,Düsseldorf
8000317,8005065,404,360,1200,Düsseldorf
8000318,8000253,215,90,2100,Düsseldorf
8000318,8000318,188,90,2100,Düsseldorf
8000318,8001839,430,330,1890,Düsseldorf
8000318,8005073,228,150,1050,Düsseldorf
8000318,8006391,-47,60,270,Düsseldorf
8000388,8000388,247,120,1680,Düsseldorf
8000388,8001587,211,90,1590,Düsseldorf
8000388,8002828,252,150,1650,Düsseldorf
8000390,8000390,252,120,1500,Düsseldorf
