from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000099,8000099,171,233,283,150,3420,Düsseldorf
8000099,8001898,95,115,266,180,1380,Düsseldorf
8000099,8001913,63,79,188,150,1080,Düsseldorf
8000099,8001914,36,38,719,300,3420,Düsseldorf
8000133,8000133,30,38,508,150,2160,Düsseldorf
8000133,8003130,17,19,731,270,2160,Düsseldorf
8000133,8005159,12,19,284,60,1380,Düsseldorf
8000138,8000138,104,136,278,60,3060,Düsseldorf
8000138,8002490,20,26,427,135,3090,Düsseldorf
8000138,8002869,25,41,67,30,330,Düsseldorf
8000138,8006718,57,69,350,150,2190,Düsseldorf
8000174,8000174,78,109,273,60,3270,Düsseldorf
8000174,8000211,9,15,38,30,150,Düsseldorf
8000174,8000253,35,55,331,30,3060,Düsseldorf
8000174,8000584,15,23,262,120,1980,Düsseldorf
8000174,8001571,7,16,180,0,900,Düsseldorf
8000190,8000190,20,32,141,60,900,Düsseldorf
8000190,8001180,8,16,51,30,210,Düsseldorf
8000190,8400644,12,16,227,60,900,Düsseldorf
8000198,8000198,62,83,87,60,480,Düsseldorf
8000198,8001915,26,42,84,45,480,Düsseldorf
8000198,8003245,36,41,91,60,420,Düsseldorf
8000211,8000174,14,15,1084,690,3420,Düsseldorf
8000211,8000211,58,77,362,90,4410,Düsseldorf
8000211,8000212,22,31,265,150,1890,Düsseldorf
8000211,8002027,15,24,151,45,1800,Düsseldorf
8000211,8003427,18,22,91,75,660,Düsseldorf
8000212,8000211,21,30,234,60,1890,Düsseldorf
8000212,8000212,46,61,259,120,1920,Düsseldorf
8000212,8003426,14,16,339,225,1920,Düsseldorf
8000212,8004694,11,15,200,60,810,Düsseldorf
8000242,8000242,0,1,0,0,0,Düsseldorf
8000242,8002109,9,10,591,495,1440,Düsseldorf
8000242,8003943,0,1,0,0,0,Düsseldorf
8000242,8006098,4,7,206,180,480,Düsseldorf
8000253,8000174,41,54,177,60,2010,Düsseldorf
8000253,8000253,78,103,293,90,4770,Düsseldorf
8000253,8000274,22,33,101,30,870,Düsseldorf
8000253,8000318,43,56,370,75,4770,Düsseldorf
8000253,8001745,34,40,62,30,540,Düsseldorf
8000253,8003427,2,2,645,645,1230,Düsseldorf
8000274,8000253,28,33,589,240,4800,Düsseldorf
8000274,8000274,308,374,406,150,12510,Düsseldorf
8000274,8000438,30,34,870,315,12030,Düsseldorf
8000274,8001261,34,39,205,210,510,Düsseldorf
8000274,8001506,37,46,814,270,5130,Düsseldorf
8000274,8001585,22,46,80,0,1320,Düsseldorf
8000274,8004317,37,39,204,180,1050,Düsseldorf
8000274,8004320,102,114,224,60,1920,Düsseldorf
8000274,8004542,5,5,606,600,1440,Düsseldorf
8000274,8004694,7,14,227,45,930,Düsseldorf
8000274,8006226,7,7,1341,810,4050,Düsseldorf
8000317,8000317,66,81,456,120,5460,Düsseldorf
8000317,8000887,15,17,748,570,2610,Düsseldorf
8000317,8002941,19,24,190,75,1980,Düsseldorf
8000317,8003427,17,17,1325,810,5460,Düsseldorf
8000317,8005065,18,23,295,180,2010,Düsseldorf
8000318,8000253,48,55,431,210,2070,Düsseldorf
8000318,8000318,92,111,420,180,4800,Düsseldorf
8000318,8001839,19,19,688,210,4830,Düsseldorf
8000318,8005073,18,19,286,30,1410,Düsseldorf
