from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8000077,8000077,93,30,870,Freiburg
8000077,8000182,118,30,390,Freiburg
8000077,8000366,117,60,930,Freiburg
8000077,8001485,0,0,0,Freiburg
8000077,8002214,110,60,360,Freiburg
8000077,8003014,22,30,60,Freiburg
8000182,8000077,115,15,780,Freiburg
8000182,8000182,125,60,750,Freiburg
8000182,8000880,73,30,240,Freiburg
8000182,8002096,120,120,120,Freiburg
8000182,8002214,155,150,330,Freiburg
8000182,8004111,136,60,390,Freiburg
8000182,8006321,15,15,30,Freiburg
8000182,8079056,60,60,60,Freiburg
8000333,8000333,175,120,1680,Freiburg
8000333,8000942,300,300,300,Freiburg
8000333,8002621,254,180,1650,Freiburg
8000333,8003001,91,0,420,Freiburg
8000356,8000356,30,30,30,Freiburg
8000356,8005490,30,30,30,Freiburg
8000366,8000077,101,30,480,Freiburg
8000366,8000366,170,90,1200,Freiburg
8000366,8003854,0,0,0,Freiburg
8000366,8003857,0,0,0,Freiburg
8000366,8005644,176,60,1470,Freiburg
8000393,8000393,15,15,30,Freiburg
8000393,8005490,30,30,30,Freiburg
8000393,8005911,30,30,30,Freiburg
8000412,8000412,145,30,3060,Freiburg
8000412,8001252,153,30,3090,Freiburg
8000412,8005037,72,30,330,Freiburg
8000436,8000436,15,0,60,Freiburg
8000436,8000544,33,30,90,Freiburg
8000436,8005371,8,0,60,Freiburg
8000456,8000456,0,0,0,Freiburg
8000456,8004235,0,0,0,Freiburg
8000463,8000463,58,30,360,Freiburg
8000463,8001491,45,30,180,Freiburg
8000463,8003586,66,30,360,Freiburg
8000544,8000436,4,0,60,Freiburg
8000544,8000544,25,30,90,Freiburg
8000544,8001971,19,0,60,Freiburg
8000596,8000596,135,60,1740,Freiburg
8000596,8000942,100,30,450,Freiburg
8000596,8002235,84,45,390,Freiburg
8000596,8003494,41,30,120,Freiburg
8000596,8005037,238,30,3180,Freiburg
8000657,8000657,123,60,540,Freiburg
8000657,8004124,143,150,390,Freiburg
8000657,8005364,110,45,540,Freiburg
8000718,8000718,167,90,1650,Freiburg
8000718,8001415,41,15,150,Freiburg
8000718,8002727,156,90,810,Freiburg
8000718,8004464,198,120,1530,Freiburg
8000718,8005317,312,165,1830,Freiburg
8000864,8000864,117,60,540,Freiburg
8000864,8001671,180,195,390,Freiburg
8000864,8004124,60,60,60,Freiburg
8000864,8005068,106,45,540,Freiburg
8000864,8005364,106,60,390,Freiburg
8000932,8000932,65,60,360,Freiburg
8000932,8005064,78,60,390,Freiburg
8000932,8005497,47,30,270,Freiburg
8000942,8000596,370,120,1620,Freiburg
8000942,8000942,194,90,1620,Freiburg
8000942,8002235,120,60,300,Freiburg
8000942,8002621,154,90,510,Freiburg
8000942,8005688,67,45,180,Freiburg
8000965,8000965,600,600,600,Freiburg
8000965,8002337,870,870,870,Freiburg
8001059,8000880,45,45,60,Freiburg
8001059,8001059,15,15,30,Freiburg
8001059,8079616,15,15,30,Freiburg
8001174,8001174,53,30,360,Freiburg
8001174,8005255,33,0,210,Freiburg
8001174,8005497,62,30,330,Freiburg
8001262,8001262,153,120,720,Freiburg
8001262,8002727,145,120,420,Freiburg
8001262,8004124,145,90,720,Freiburg
8001405,8001405,45,45,90,Freiburg
8001405,8005911,30,30,30,Freiburg
8001415,8000718,258,60,840,Freiburg
8001415,8001415,184,60,2340,Freiburg
8001415,8001643,240,240,240,Freiburg
8001415,8001771,215,60,2580,Freiburg
8001415,8002067,330,330,330,Freiburg
8001415,8002465,215,30,1380,Freiburg
8001415,8003398,176,90,900,Freiburg
8001415,8005317,110,30,390,Freiburg
8001479,8000077,90,90,90,Freiburg
8001479,8001479,60,60,60,Freiburg
8001482,8001482,10,0,30,Freiburg
8001482,8001483,0,0,0,Freiburg
8001482,8001485,0,0,0,Freiburg
8001483,8001482,0,0,0,Freiburg
8001483,8001483,0,0,0,Freiburg
8001483,8003336,0,0,0,Freiburg
8001485,8000077,0,0,0,Freiburg
8001485,8001482,60,60,60,Freiburg
8001485,8001485,7,0,30,Freiburg
8001485,8003336,0,0,0,Freiburg
8001491,8000463,66,30,360,Freiburg
8001491,8001491,53,30,330,Freiburg
8001491,8006167,59,0,330,Freiburg
8001643,8001643,142,60,1680,Freiburg
8001643,8002069,191,60,1680,Freiburg
8001643,8002465,120,120,120,Freiburg
8001643,8005317,108,60,630,Freiburg
8001671,8000864,98,60,300,Freiburg
8001671,8001671,88,30,450,Freiburg
8001671,8001715,86,30,420,Freiburg
8001671,8002546,162,210,300,Freiburg
8001671,8003098,75,30,360,Freiburg
8001715,8001671,77,30,360,Freiburg
8001715,8001715,92,60,420,Freiburg
8001715,8002546,108,60,390,Freiburg
8001771,8000718,210,210,210,Freiburg
8001771,8001415,125,45,840,Freiburg
8001771,8001771,185,60,2580,Freiburg
8001771,8003398,222,45,1320,Freiburg
8001771,8005090,199,45,2580,Freiburg
8001771,8005101,0,0,0,Freiburg
8001771,8005836,203,75,900,Freiburg
8001865,8001865,114,30,960,Freiburg
8001865,8002373,270,270,270,Freiburg
8001865,8004552,285,285,330,Freiburg
8001865,8005871,82,0,1080,Freiburg
8001865,8503424,123,0,930,Freiburg
8001971,8000544,10,0,60,Freiburg
8001971,8001971,8,0,60,Freiburg
8001971,8005876,8,0,60,Freiburg
8002067,8001415,2100,2100,2100,Freiburg
8002067,8002067,346,120,2100,Freiburg
8002067,8002069,240,240,450,Freiburg
8002067,8002071,110,90,240,Freiburg
8002067,8005317,130,120,270,Freiburg
8002068,8002068,43,30,330,Freiburg
8002068,8002070,34,0,270,Freiburg
8002068,8003293,47,30,330,Freiburg
8002069,8001643,91,60,630,Freiburg
8002069,8002069,139,60,1680,Freiburg
8002069,8002465,0,0,0,Freiburg
8002071,8001643,30,30,30,Freiburg
8002071,8002067,10,0,30,Freiburg
8002071,8002071,47,0,210,Freiburg
8002071,8002465,100,120,180,Freiburg
8002096,8000182,150,150,300,Freiburg
8002096,8000933,105,45,300,Freiburg
8002096,8002096,140,60,390,Freiburg
8002096,8004111,117,60,360,Freiburg
8002123,8000596,120,120,210,Freiburg
8002123,8002123,216,60,2670,Freiburg
8002123,8003494,132,60,1110,Freiburg
8002214,8000077,127,105,360,Freiburg
8002214,8000182,108,60,360,Freiburg
8002214,8002214,120,60,360,Freiburg
8002214,8003066,30,30,30,Freiburg
8002235,8000596,170,120,480,Freiburg
8002235,8000942,72,60,180,Freiburg
8002235,8002235,131,90,480,Freiburg
8002235,8002621,124,60,480,Freiburg
8002235,8004639,0,0,0,Freiburg
8002337,8000880,1230,1230,1230,Freiburg
8002337,8002337,585,585,1170,Freiburg
8002365,8000026,58,0,420,Freiburg
8002365,8002365,70,60,420,Freiburg
8002365,8006629,72,60,300,Freiburg
8002373,8001865,45,45,120,Freiburg
8002373,8002373,140,120,300,Freiburg
8002373,8004552,300,300,300,Freiburg
8002465,8001415,138,60,900,Freiburg
