from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000077,8000077,64,83,130,60,720,Freiburg
8000077,8000182,12,15,312,210,870,Freiburg
8000077,8000366,37,39,124,90,660,Freiburg
8000077,8000880,0,1,0,0,0,Freiburg
8000077,8001485,1,2,45,45,90,Freiburg
8000077,8002214,13,17,116,60,330,Freiburg
8000077,8003014,16,19,104,60,360,Freiburg
8000182,8000077,8,14,96,30,600,Freiburg
8000182,8000182,54,62,208,90,1080,Freiburg
8000182,8000880,13,16,274,135,990,Freiburg
8000182,8002214,15,17,154,60,930,Freiburg
8000182,8006321,2,2,90,90,120,Freiburg
8000333,8000333,32,38,180,135,600,Freiburg
8000333,8000942,1,1,420,420,420,Freiburg
8000333,8002621,16,17,146,90,540,Freiburg
8000333,8003001,14,18,212,180,600,Freiburg
8000333,8005902,1,1,390,390,390,Freiburg
8000356,8000356,1,1,30,30,30,Freiburg
8000356,8005490,1,1,30,30,30,Freiburg
8000366,8000077,29,40,151,60,720,Freiburg
8000366,8000366,32,37,186,120,690,Freiburg
8000366,8003854,1,2,105,105,210,Freiburg
8000366,8003857,0,1,0,0,0,Freiburg
8000366,8005644,15,19,137,120,690,Freiburg
8000393,8000393,2,2,45,45,60,Freiburg
8000393,8005490,1,1,90,90,90,Freiburg
8000393,8005911,1,1,60,60,60,Freiburg
8000412,8000412,32,53,139,60,1110,Freiburg
8000412,8001252,32,43,169,60,1320,Freiburg
8000412,8005037,19,26,127,45,1110,Freiburg
8000436,8000436,9,32,12,0,60,Freiburg
8000436,8000544,9,17,19,30,60,Freiburg
8000436,8005371,7,15,22,0,90,Freiburg
8000463,8000463,48,58,126,90,810,Freiburg
8000463,8001491,29,30,253,225,870,Freiburg
8000463,8003586,14,28,61,15,480,Freiburg
8000544,8000436,3,15,14,0,90,Freiburg
8000544,8000544,14,32,22,0,120,Freiburg
8000544,8001971,4,17,11,0,60,Freiburg
8000596,8000596,32,53,140,60,1080,Freiburg
8000596,8000942,6,6,125,60,360,Freiburg
8000596,8002235,9,10,171,180,390,Freiburg
8000596,8003494,4,7,146,60,840,Freiburg
8000596,8005037,17,27,143,60,870,Freiburg
8000657,8000657,32,41,232,180,1260,Freiburg
8000657,8004124,14,19,189,120,1260,Freiburg
