from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8000065,8000065,91,30,570,Gießen
8000065,8000435,90,90,90,Gießen
8000065,8001256,98,120,270,Gießen
8000065,8003856,260,270,450,Gießen
8000065,8005291,96,90,270,Gießen
8000065,8006385,73,30,270,Gießen
8000161,8000161,76,30,390,Gießen
8000161,8001271,63,30,180,Gießen
8000161,8005577,80,60,390,Gießen
8000187,8000187,159,60,660,Gießen
8000187,8000954,162,60,630,Gießen
8000187,8003493,152,60,570,Gießen
8000218,8000218,64,0,450,Gießen
8000218,8000229,37,30,90,Gießen
8000234,8000234,96,30,540,Gießen
8000234,8002100,120,60,540,Gießen
8000234,8002134,30,30,30,Gießen
8000234,8002269,82,15,390,Gießen
8000234,8002410,270,270,270,Gießen
8000435,8000065,300,300,300,Gießen
8000435,8000435,218,225,960,Gießen
8000435,8000589,204,210,390,Gießen
8000435,8005661,262,180,1320,Gießen
8000589,8000435,150,150,300,Gießen
8000589,8000589,140,105,390,Gießen
8000589,8001256,198,180,390,Gießen
8000633,8000633,72,60,240,Gießen
8000633,8001618,71,60,240,Gießen
8000633,8006340,81,60,210,Gießen
8000952,8000952,163,75,600,Gießen
8000952,8000954,165,75,570,Gießen
8000952,8006446,162,75,600,Gießen
8000954,8000187,212,135,630,Gießen
8000954,8000952,175,90,630,Gießen
8000954,8000954,196,90,630,Gießen
8001228,8001228,87,30,480,Gießen
8001228,8001319,94,0,450,Gießen
8001228,8002101,34,45,150,Gießen
8001256,8000065,204,180,420,Gießen
8001256,8000589,107,90,270,Gießen
8001256,8001256,140,120,420,Gießen
8001271,8000161,61,30,360,Gießen
8001271,8001271,66,60,390,Gießen
8001271,8004405,53,15,210,Gießen
8001319,8001228,87,90,150,Gießen
8001319,8001319,108,90,480,Gießen
8001319,8005722,126,30,510,Gießen
8001322,8001322,70,60,450,Gießen
8001322,8004409,88,60,420,Gießen
8001322,8006535,34,30,90,Gießen
8001618,8000633,75,60,210,Gießen
8001618,8001312,168,210,270,Gießen
8001618,8001618,72,60,210,Gießen
8001618,8002269,240,240,240,Gießen
8001618,8002410,76,60,150,Gießen
8001668,8001668,78,30,330,Gießen
8001668,8003213,82,60,360,Gießen
8001668,8005577,110,90,240,Gießen
8001694,8001694,77,60,300,Gießen
8001694,8003213,93,60,240,Gießen
8001694,8006340,88,60,300,Gießen
8001883,8000229,61,30,270,Gießen
8001883,8001883,36,30,270,Gießen
8001883,8003696,27,30,180,Gießen
8002100,8000234,87,30,420,Gießen
8002100,8002100,100,30,540,Gießen
8002100,8002134,100,60,540,Gießen
8002101,8001228,113,30,480,Gießen
8002101,8002101,99,30,540,Gießen
8002101,8006446,156,60,570,Gießen
8002134,8000234,360,360,360,Gießen
8002134,8002100,73,0,390,Gießen
8002134,8002134,94,30,540,Gießen
8002134,8004417,107,60,510,Gießen
8002269,8000234,92,60,540,Gießen
8002269,8001312,232,225,420,Gießen
8002269,8002269,109,60,540,Gießen
8002269,8002410,106,60,330,Gießen
8002332,8002332,108,60,540,Gießen
8002332,8005291,113,0,510,Gießen
8002332,8005722,64,60,240,Gießen
8002410,8001618,60,60,120,Gießen
8002410,8002269,108,60,510,Gießen
8002410,8002410,89,60,540,Gießen
8002410,8003520,99,90,540,Gießen
8003213,8001668,80,60,240,Gießen
8003213,8001694,55,30,300,Gießen
8003213,8003213,78,60,330,Gießen
8003520,8001312,150,150,150,Gießen
8003520,8002410,81,60,300,Gießen
8003520,8003262,101,75,510,Gießen
8003520,8003520,86,60,540,Gießen
8003696,8001883,74,60,360,Gießen
8003696,8003696,65,30,420,Gießen
8003696,8004364,32,30,180,Gießen
8003856,8000065,98,60,240,Gießen
8003856,8003856,101,30,480,Gießen
8003856,8004417,360,360,360,Gießen
8003856,8004420,112,45,480,Gießen
8004164,8001854,46,60,120,Gießen
8004164,8004164,43,30,180,Gießen
8004164,8005573,16,0,60,Gießen
8004328,8001098,360,285,1380,Gießen
8004328,8004328,196,105,1350,Gießen
8004328,8005661,78,45,210,Gießen
8004328,8006401,15,15,30,Gießen
8004364,8003696,105,120,420,Gießen
8004364,8004364,80,60,390,Gießen
8004364,8004518,60,60,210,Gießen
8004405,8001271,77,60,420,Gießen
8004405,8004405,63,30,420,Gießen
8004409,8001322,45,30,150,Gießen
8004409,8004409,62,60,420,Gießen
8004409,8004518,94,90,420,Gießen
8004417,8002134,91,0,390,Gießen
8004417,8003856,0,0,0,Gießen
8004417,8004417,96,30,480,Gießen
8004417,8004420,90,60,480,Gießen
8004420,8003856,85,30,450,Gießen
8004420,8004417,94,0,450,Gießen
8004420,8004420,95,30,480,Gießen
8004518,8004364,112,90,390,Gießen
8004518,8004409,42,30,180,Gießen
8004518,8004518,82,90,420,Gießen
8005291,8000065,115,0,540,Gießen
8005291,8002332,109,120,240,Gießen
8005291,8005291,109,60,510,Gießen
8005573,8004164,127,90,300,Gießen
8005573,8005573,73,60,300,Gießen
8005573,8006385,8,0,30,Gießen
8005577,8000161,91,75,240,Gießen
8005577,8001668,52,0,330,Gießen
8005577,8005577,82,60,360,Gießen
8005661,8000435,126,120,360,Gießen
8005661,8004328,320,255,1380,Gießen
8005661,8005661,210,150,1350,Gießen
8005722,8001319,102,90,240,Gießen
8005722,8002332,120,0,540,Gießen
8005722,8005722,105,60,510,Gießen
8006340,8000633,64,60,270,Gießen
8006340,8001694,78,60,240,Gießen
8006340,8006340,82,60,300,Gießen
8006385,8000065,-2,0,30,Gießen
8006385,8005573,157,135,330,Gießen
8006385,8006385,79,30,330,Gießen
8006446,8000952,173,75,600,Gießen
8006446,8002101,175,75,600,Gießen
8006446,8006446,174,60,630,Gießen
