from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000065,8000065,37,47,112,30,600,Gießen
8000065,8000435,1,1,60,60,60,Gießen
8000065,8001256,6,7,261,270,540,Gießen
8000065,8003856,8,8,52,60,90,Gießen
8000065,8005291,6,8,82,90,210,Gießen
8000065,8006385,4,8,49,15,150,Gießen
8000161,8000161,28,31,322,90,2160,Gießen
8000161,8001271,14,15,374,120,2130,Gießen
8000161,8005577,13,15,316,60,1740,Gießen
8000187,8000187,15,15,328,210,750,Gießen
8000187,8000954,7,7,347,180,690,Gießen
8000187,8003493,8,8,278,180,660,Gießen
8000218,8000218,12,14,309,90,1830,Gießen
8000218,8000229,6,7,617,150,1860,Gießen
8000234,8000234,27,37,129,30,900,Gießen
8000234,8002100,16,18,235,180,900,Gießen
8000234,8002134,1,1,30,30,30,Gießen
8000234,8002269,9,17,44,30,240,Gießen
8000234,8002410,0,1,0,0,0,Gießen
8000386,8000161,1,1,30,30,30,Gießen
8000386,8000386,0,2,0,0,0,Gießen
8000435,8000065,1,1,30,30,30,Gießen
8000435,8000435,21,32,142,60,810,Gießen
8000435,8000589,1,7,26,0,180,Gießen
8000435,8005661,12,16,221,180,810,Gießen
8000589,8000435,6,7,266,330,510,Gießen
8000589,8000589,7,14,144,15,510,Gießen
8000589,8001256,1,7,17,0,120,Gießen
8000633,8000633,26,30,358,120,2160,Gießen
8000633,8001618,10,15,410,90,1770,Gießen
8000633,8006340,15,15,308,120,2160,Gießen
8000952,8000952,15,15,312,210,720,Gießen
8000952,8000954,8,8,285,165,720,Gießen
8000952,8006446,7,7,356,210,720,Gießen
8000954,8000187,8,8,349,240,750,Gießen
8000954,8000952,7,7,369,210,720,Gießen
8000954,8000954,15,15,352,210,780,Gießen
8001228,8001228,13,15,166,90,600,Gießen
8001228,8001319,5,7,227,60,570,Gießen
8001228,8002101,7,8,64,45,150,Gießen
8001256,8000065,1,7,17,0,120,Gießen
8001256,8000589,6,7,257,300,510,Gießen
8001256,8001256,7,14,137,30,540,Gießen
8001271,8000161,9,15,244,30,1680,Gießen
8001271,8001271,23,30,311,60,2130,Gießen
8001271,8004405,12,15,348,90,2130,Gießen
8001319,8001228,8,8,120,120,210,Gießen
8001319,8001319,15,15,182,150,540,Gießen
8001319,8005722,7,7,270,90,570,Gießen
8001322,8001322,22,43,28,30,150,Gießen
8001322,8004409,14,22,33,30,180,Gießen
8001322,8006535,4,21,6,0,60,Gießen
8001618,8000633,14,15,234,90,1110,Gießen
8001618,8001312,7,7,497,240,1380,Gießen
8001618,8001618,30,34,297,75,1800,Gießen
8001618,8002410,7,8,476,150,1710,Gießen
8001668,8001668,26,30,318,120,2160,Gießen
8001668,8003213,12,15,320,60,1740,Gießen
8001668,8005577,14,15,342,180,2160,Gießen
8001694,8001694,27,30,343,120,2160,Gießen
8001694,8003213,14,15,324,120,2160,Gießen
8001694,8006340,13,15,430,120,1740,Gießen
8001883,8000229,19,22,63,45,240,Gießen
8001883,8001883,12,43,19,0,210,Gießen
8001883,8003696,4,21,6,0,60,Gießen
8002100,8000234,13,17,60,30,270,Gießen
8002100,8002100,30,35,147,60,900,Gießen
8002100,8002134,18,18,228,180,900,Gießen
8002101,8001228,6,7,261,120,600,Gießen
8002101,8002101,14,15,224,90,660,Gießen
8002101,8006446,8,8,289,150,660,Gießen
8002134,8000234,0,1,0,0,0,Gießen
8002134,8002100,5,17,32,0,180,Gießen
8002134,8002134,23,37,125,30,900,Gießen
8002134,8004417,18,19,234,210,930,Gießen
8002269,8000234,15,18,203,105,870,Gießen
8002269,8001312,7,7,287,150,870,Gießen
8002269,8002269,32,35,141,60,870,Gießen
8002269,8002410,8,9,220,90,810,Gießen
8002332,8002332,14,15,166,60,600,Gießen
8002332,8005291,7,7,249,120,570,Gießen
8002332,8005722,7,8,86,45,180,Gießen
8002410,8000435,0,1,0,0,0,Gießen
8002410,8001618,8,8,101,60,480,Gießen
8002410,8002269,9,9,193,60,990,Gießen
8002410,8002410,43,57,189,60,1620,Gießen
8002410,8003520,24,28,284,60,1620,Gießen
8003213,8001668,14,15,314,120,2160,Gießen
8003213,8001694,10,15,302,60,1710,Gießen
8003213,8003213,25,30,316,120,2160,Gießen
8003520,8001312,1,1,60,60,60,Gießen
8003520,8002410,26,29,123,60,1080,Gießen
8003520,8003262,20,27,239,60,1620,Gießen
8003520,8003520,49,57,182,60,1620,Gießen
8003696,8001883,20,22,67,60,240,Gießen
8003696,8003696,25,43,37,30,240,Gießen
8003696,8004364,7,21,13,0,60,Gießen
8003856,8000065,8,8,259,255,510,Gießen
8003856,8003856,24,37,133,60,900,Gießen
8003856,8004417,1,1,60,60,60,Gießen
8003856,8004420,8,17,35,0,120,Gießen
8004164,8001854,5,8,41,30,150,Gießen
8004164,8004164,8,16,32,15,240,Gießen
8004164,8005573,1,8,8,0,60,Gießen
8004328,8001098,7,10,225,105,750,Gießen
8004328,8004328,16,20,168,60,720,Gießen
8004328,8005661,7,10,114,75,390,Gießen
8004364,8003696,14,22,42,30,240,Gießen
8004364,8004364,29,43,46,30,300,Gießen
8004364,8004518,14,21,29,30,90,Gießen
8004405,8001271,10,15,258,60,1740,Gießen
8004405,8004405,23,30,297,60,2100,Gießen
8004409,8001322,5,21,10,0,60,Gießen
8004409,8004409,21,43,28,0,210,Gießen
8004409,8004518,18,22,57,60,210,Gießen
8004417,8002134,7,18,32,0,150,Gießen
8004417,8003856,0,1,0,0,0,Gießen
8004417,8004417,23,37,139,60,930,Gießen
8004417,8004420,15,18,240,225,870,Gießen
8004420,8003856,14,18,232,225,900,Gießen
8004420,8004417,7,17,44,0,180,Gießen
8004420,8004420,25,35,142,60,870,Gießen
8004518,8004364,20,22,85,90,300,Gießen
8004518,8004409,11,21,17,30,90,Gießen
8004518,8004518,31,43,47,30,240,Gießen
8005291,8000065,6,7,227,90,600,Gießen
8005291,8002332,8,8,105,90,240,Gießen
8005291,8005291,14,15,162,90,570,Gießen
8005573,8004164,7,8,124,60,390,Gießen
8005573,8005573,8,16,66,30,390,Gießen
8005573,8006385,1,8,4,0,30,Gießen
8005577,8000161,14,15,388,120,2160,Gießen
8005577,8001668,11,15,296,60,1680,Gießen
8005577,8005577,27,30,335,120,2160,Gießen
8005661,8000435,14,16,79,30,360,Gießen
8005661,8004328,9,10,258,150,810,Gießen
8005661,8005661,17,20,186,105,810,Gießen
8005722,8001319,8,8,120,120,210,Gießen
8005722,8002332,7,7,240,60,600,Gießen
8005722,8005722,15,15,184,90,600,Gießen
8006340,8000633,11,15,408,90,1710,Gießen
8006340,8001694,13,15,314,120,2160,Gießen
8006340,8006340,26,30,366,120,2160,Gießen
8006385,8000065,2,8,11,0,60,Gießen
8006385,8005573,7,8,131,90,420,Gießen
8006385,8006385,8,16,62,15,330,Gießen
8006446,8000952,7,8,319,195,720,Gießen
8006446,8002101,7,7,373,240,780,Gießen
8006446,8006446,14,15,354,240,750,Gießen
