from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8010009,8010009,43,0,390,Halle
8010009,8010119,4,0,60,Halle
8010009,8010311,41,15,270,Halle
8010009,8011433,38,0,180,Halle
8010009,8011599,48,0,270,Halle
8010009,8011632,60,60,60,Halle
8010009,8012862,16,0,90,Halle
8010019,8010019,35,0,390,Halle
8010019,8010145,24,0,180,Halle
8010019,8010232,22,0,180,Halle
8010019,8012199,28,0,150,Halle
8010019,8013474,40,0,360,Halle
8010032,8010032,126,0,1020,Halle
8010032,8010256,60,0,270,Halle
8010032,8010312,0,0,0,Halle
8010032,8011657,306,150,1020,Halle
8010032,8012796,57,0,300,Halle
8010054,8010054,222,90,1140,Halle
8010054,8010312,343,150,1140,Halle
8010054,8012766,402,300,930,Halle
8010054,8013336,85,75,510,Halle
8010078,8010078,48,45,120,Halle
8010078,8010349,45,30,180,Halle
8010078,8012259,48,30,90,Halle
8010119,8010009,80,60,390,Halle
8010119,8010119,40,30,360,Halle
8010119,8012410,27,30,120,Halle
8010146,8010146,28,0,330,Halle
8010146,8011071,22,0,120,Halle
8010146,8012199,35,0,300,Halle
8010146,8012212,13,0,90,Halle
8010155,8010155,31,30,330,Halle
8010155,8011376,51,30,330,Halle
8010155,8080570,13,0,60,Halle
8010162,8010162,76,30,420,Halle
8010162,8012867,112,60,420,Halle
8010168,8010168,155,120,960,Halle
8010168,8010191,116,150,300,Halle
8010168,8010311,202,120,960,Halle
8010191,8010168,180,75,930,Halle
8010191,8010191,139,60,930,Halle
8010191,8010312,146,150,390,Halle
8010232,8010019,100,60,330,Halle
8010232,8010232,62,0,510,Halle
8010232,8012211,85,45,420,Halle
8010232,8012339,15,0,90,Halle
8010232,8012867,18,0,90,Halle
8010299,8010299,398,210,2220,Halle
8010299,8011038,495,330,2250,Halle
8010299,8011496,150,0,1170,Halle
8010299,8012279,292,120,1320,Halle
8010311,8010009,4,0,30,Halle
8010311,8010152,165,45,870,Halle
8010311,8010168,70,60,240,Halle
8010311,8010311,50,30,930,Halle
8010311,8011133,11,0,120,Halle
8010311,8011564,12,0,60,Halle
8010312,8010032,90,0,390,Halle
8010312,8010054,46,30,180,Halle
8010312,8010191,161,30,990,Halle
8010312,8010312,142,30,1110,Halle
8010312,8012440,24,0,90,Halle
8010312,8012532,22,0,120,Halle
8010312,8012766,240,150,570,Halle
8010312,8013217,351,195,1020,Halle
8010312,8013336,30,30,60,Halle
8010332,8010152,30,0,120,Halle
8010332,8010318,112,0,780,Halle
8010332,8010332,65,0,690,Halle
8010332,8011549,56,0,510,Halle
8010332,8012467,43,0,330,Halle
8010349,8010078,60,60,120,Halle
8010349,8010349,79,90,210,Halle
8010349,8012675,147,150,330,Halle
8010390,8010390,52,0,660,Halle
8010390,8012682,78,0,720,Halle
8010390,8013115,0,0,0,Halle
