from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8010009,8010009,23,41,178,60,1470,Halle
8010009,8010119,4,18,58,0,600,Halle
8010009,8010311,6,9,253,120,1380,Halle
8010009,8011433,9,11,278,60,1440,Halle
8010009,8011599,5,8,135,75,630,Halle
8010009,8011632,1,1,30,30,30,Halle
8010009,8012862,12,22,31,30,210,Halle
8010019,8010019,77,128,122,60,2310,Halle
8010019,8010145,23,36,87,60,420,Halle
8010019,8010232,4,17,41,0,390,Halle
8010019,8012199,31,39,168,120,1110,Halle
8010019,8013474,15,21,189,60,2280,Halle
8010032,8010032,31,44,348,195,1860,Halle
8010032,8010256,5,7,43,30,120,Halle
8010032,8010312,5,6,470,300,1140,Halle
8010032,8011657,14,15,334,210,1920,Halle
8010032,8012796,12,16,452,270,1560,Halle
8010054,8010054,27,36,310,210,1620,Halle
8010054,8010312,7,11,196,120,510,Halle
8010054,8012766,5,7,146,120,390,Halle
8010054,8013336,17,18,450,300,1590,Halle
8010078,8010078,16,20,38,30,90,Halle
8010078,8010349,10,10,54,60,90,Halle
8010078,8012259,7,10,21,30,30,Halle
8010119,8010009,11,15,248,120,1530,Halle
8010119,8010119,18,33,165,30,1560,Halle
8010119,8011599,1,1,150,150,150,Halle
8010119,8012410,6,17,136,0,990,Halle
8010146,8010146,65,84,190,120,3870,Halle
8010146,8011071,16,21,203,120,1080,Halle
8010146,8012199,30,41,234,120,3840,Halle
8010146,8012212,14,22,91,45,450,Halle
8010155,8010155,53,84,72,30,1110,Halle
8010155,8011376,32,42,74,30,1110,Halle
8010155,8080570,28,39,81,60,660,Halle
8010162,8010162,39,43,130,90,480,Halle
8010162,8012867,18,21,141,120,480,Halle
8010168,8010168,19,21,266,120,840,Halle
8010168,8010191,10,12,238,165,510,Halle
8010168,8010311,9,9,343,180,840,Halle
8010191,8010168,9,9,320,150,810,Halle
8010191,8010191,18,21,263,150,780,Halle
8010191,8010312,10,12,235,210,510,Halle
8010232,8010019,12,16,54,30,330,Halle
8010232,8010232,47,82,94,60,480,Halle
8010232,8012211,19,21,177,120,480,Halle
8010232,8012339,8,18,30,0,270,Halle
8010232,8012429,1,1,120,120,120,Halle
8010232,8012867,20,22,125,90,420,Halle
8010299,8010299,29,68,191,0,1440,Halle
8010299,8011038,16,20,258,165,870,Halle
8010299,8011496,11,19,74,30,360,Halle
8010299,8012279,2,16,4,0,30,Halle
8010311,8010009,5,8,112,45,720,Halle
8010311,8010152,9,9,313,120,780,Halle
8010311,8010168,10,12,195,120,480,Halle
8010311,8010311,48,60,224,90,1380,Halle
8010311,8011133,11,20,243,60,1380,Halle
8010311,8011433,1,1,60,60,60,Halle
8010311,8011564,8,10,141,90,690,Halle
8010312,8010032,3,7,21,0,90,Halle
8010312,8010054,11,12,595,420,1620,Halle
8010312,8010191,8,9,283,120,780,Halle
8010312,8010312,37,49,321,210,1680,Halle
8010312,8012440,4,6,65,30,240,Halle
8010312,8012532,9,14,144,30,630,Halle
8010312,8012766,2,6,120,0,510,Halle
