from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8001739,8001739,85,0,1080,Hamburg
8001739,8002555,95,0,840,Hamburg
8001739,8003460,103,0,1020,Hamburg
8002550,8002550,79,30,1080,Hamburg
8002550,8003541,84,0,960,Hamburg
8002550,8070146,94,30,1050,Hamburg
8002550,8098553,50,0,1110,Hamburg
8002555,8001739,99,0,1170,Hamburg
8002555,8002555,113,30,1170,Hamburg
8002555,8002559,110,30,900,Hamburg
8002557,8002556,175,60,1560,Hamburg
8002557,8006750,36,0,1080,Hamburg
8002558,8000446,216,30,1650,Hamburg
8002558,8002558,285,30,3570,Hamburg
8002558,8006197,370,60,3570,Hamburg
8002559,8002555,110,0,1170,Hamburg
8002559,8002559,119,30,1200,Hamburg
8002559,8003541,142,60,990,Hamburg
8002628,8002628,98,-30,3540,Hamburg
8002628,8003519,15,0,480,Hamburg
8002628,8006197,207,30,1650,Hamburg
8002628,8006198,79,0,1260,Hamburg
8005191,8000908,7,0,960,Hamburg
8005191,8005191,69,0,1200,Hamburg
8005191,8005870,94,-30,1170,Hamburg
8006197,8002558,207,0,1620,Hamburg
8006197,8002628,385,60,3540,Hamburg
8006197,8006197,284,0,3540,Hamburg
8070146,8002550,88,30,1080,Hamburg
8070146,8070146,77,30,1050,Hamburg
8070146,8098549,88,0,1050,Hamburg
8098553,8000780,-3,-30,270,Hamburg
8098553,8002550,24,0,390,Hamburg
8098553,8003541,68,15,1170,Hamburg
8098553,8006706,44,-30,990,Hamburg
8098553,8098553,57,0,1170,Hamburg
