from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8001739,8001739,53,231,10,0,330,Hamburg
8001739,8002555,4,121,4,0,270,Hamburg
8001739,8003460,26,115,15,0,420,Hamburg
8002550,8002550,147,241,57,30,1080,Hamburg
8002550,8070146,78,120,62,30,600,Hamburg
8002550,8098553,81,121,71,60,1080,Hamburg
8002555,8001739,90,119,27,30,330,Hamburg
8002555,8002555,99,240,30,0,360,Hamburg
8002555,8002559,6,121,3,0,300,Hamburg
8002557,8002556,40,59,101,60,360,Hamburg
8002557,8006750,146,213,119,60,2760,Hamburg
8002558,8000446,47,55,112,60,690,Hamburg
8002558,8002558,82,111,94,30,690,Hamburg
8002558,8006197,36,56,94,45,660,Hamburg
8002559,8002555,92,119,52,60,360,Hamburg
8002628,8002628,180,356,65,30,1110,Hamburg
8002628,8003519,50,119,27,0,240,Hamburg
8002628,8006197,21,55,55,0,720,Hamburg
8002628,8006198,86,122,128,60,1110,Hamburg
8005191,8000908,51,119,15,0,780,Hamburg
8005191,8005191,130,237,53,30,1170,Hamburg
8005191,8005870,54,118,59,0,1140,Hamburg
8006197,8002558,25,55,76,0,660,Hamburg
8006197,8002628,31,56,81,30,660,Hamburg
8006197,8006197,55,111,82,0,690,Hamburg
8070146,8002550,108,121,92,90,1110,Hamburg
8070146,8070146,159,241,68,30,1110,Hamburg
8070146,8098549,139,216,65,30,750,Hamburg
8098553,8000780,60,121,68,0,1050,Hamburg
8098553,8002550,46,120,29,0,450,Hamburg
8098553,8006706,181,240,87,75,450,Hamburg
8098553,8098553,162,238,102,60,1080,Hamburg
