from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8000022,8000022,84,30,1140,Hannover
8000022,8000797,96,30,1110,Hannover
8000022,8002634,62,30,450,Hannover
8000093,8000093,151,60,870,Hannover
8000093,8000282,41,0,180,Hannover
8000093,8004709,133,0,930,Hannover
8000148,8000148,128,30,2400,Hannover
8000148,8000725,37,0,420,Hannover
8000148,8001342,181,60,750,Hannover
8000148,8001777,172,30,2430,Hannover
8000148,8002812,176,0,720,Hannover
8000169,8000026,312,150,1230,Hannover
8000169,8000169,277,150,1530,Hannover
8000169,8001775,103,0,1410,Hannover
8000169,8002607,28,0,240,Hannover
8000169,8002830,12,0,90,Hannover
8000169,8005292,240,0,720,Hannover
8000226,8000226,69,30,540,Hannover
8000226,8000443,54,0,390,Hannover
8000226,8000489,87,60,600,Hannover
8000226,8005511,82,60,330,Hannover
8000268,8000268,119,30,1320,Hannover
8000268,8001393,88,0,780,Hannover
8000268,8002634,77,0,540,Hannover
8000268,8004322,105,30,630,Hannover
8000268,8004851,173,45,1290,Hannover
8000282,8000093,210,105,1110,Hannover
8000282,8000282,110,30,1140,Hannover
8000282,8001775,51,30,180,Hannover
8000335,8000335,294,60,2070,Hannover
8000335,8004777,183,30,1200,Hannover
8000342,8000342,96,30,2310,Hannover
8000342,8002586,63,30,270,Hannover
8000342,8002969,135,60,2310,Hannover
8000342,8003635,56,0,420,Hannover
8000342,8005160,106,30,1110,Hannover
8000354,8000354,114,60,1080,Hannover
8000354,8001123,120,120,120,Hannover
8000354,8005809,47,0,240,Hannover
8000354,8005929,132,60,1020,Hannover
8000443,8000226,78,60,450,Hannover
8000443,8000443,56,30,420,Hannover
8000443,8000578,59,30,420,Hannover
8000488,8000488,36,0,300,Hannover
8000488,8002607,50,30,270,Hannover
8000488,8005511,9,0,150,Hannover
8000489,8000226,62,0,390,Hannover
8000489,8000489,84,30,600,Hannover
8000489,8001279,109,90,600,Hannover
8000489,8070086,105,60,480,Hannover
8000578,8000443,51,30,390,Hannover
8000578,8000578,44,0,420,Hannover
8000578,8070086,38,0,390,Hannover
8000740,8000740,23,30,90,Hannover
8000740,8000759,21,0,90,Hannover
8000740,8001048,38,30,90,Hannover
8000759,8000740,19,0,90,Hannover
8000759,8000759,14,0,90,Hannover
8000759,8006358,15,0,120,Hannover
8000797,8000022,94,60,390,Hannover
8000797,8000797,97,60,1020,Hannover
8000797,8006482,83,0,960,Hannover
8000807,8000807,129,30,930,Hannover
8000807,8003632,276,75,1650,Hannover
8000807,8005929,85,30,360,Hannover
8000808,8000808,139,15,1680,Hannover
8000808,8001775,167,0,1680,Hannover
8000808,8005292,103,30,1410,Hannover
8000810,8000810,90,30,210,Hannover
8000810,8003292,90,90,90,Hannover
8000810,8005809,150,150,240,Hannover
8000812,8000812,83,30,1020,Hannover
8000812,8003267,93,0,1080,Hannover
8000812,8006482,87,60,450,Hannover
8000871,8003957,146,0,2190,Hannover
8001000,8001000,166,60,2310,Hannover
8001000,8003165,187,60,2310,Hannover
8001000,8003957,164,105,1320,Hannover
8001048,8000740,10,0,60,Hannover
8001123,8000354,210,210,300,Hannover
8001123,8001123,150,90,270,Hannover
8001123,8005809,60,60,60,Hannover
8001245,8001245,74,30,720,Hannover
8001245,8003286,133,30,720,Hannover
8001279,8000489,49,0,480,Hannover
8001279,8001279,80,30,570,Hannover
8001279,8004735,92,60,540,Hannover
8001342,8000148,135,30,870,Hannover
8001342,8001342,157,45,840,Hannover
8001342,8006104,196,90,720,Hannover
8001393,8000268,116,45,1230,Hannover
