from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000022,8000022,55,76,111,60,1260,Hannover
8000022,8000797,25,38,69,30,720,Hannover
8000022,8002634,29,38,139,90,1260,Hannover
8000093,8000093,31,38,165,90,1710,Hannover
8000093,8000282,6,18,120,0,1470,Hannover
8000093,8000935,1,1,150,150,150,Hannover
8000093,8004709,8,18,83,0,540,Hannover
8000148,8000148,51,87,116,30,1470,Hannover
8000148,8000725,16,38,50,0,300,Hannover
8000148,8001342,14,18,205,105,1470,Hannover
8000148,8001777,24,27,134,30,780,Hannover
8000148,8002812,12,18,132,60,540,Hannover
8000148,8005638,1,7,9,0,60,Hannover
8000169,8000026,6,7,261,330,780,Hannover
8000169,8000169,21,26,617,210,3480,Hannover
8000169,8001775,14,38,101,0,1320,Hannover
8000169,8002607,11,26,25,0,120,Hannover
8000169,8002830,5,19,14,0,120,Hannover
8000226,8000226,65,80,87,60,390,Hannover
8000226,8000443,20,40,56,15,300,Hannover
8000226,8000489,11,20,63,60,270,Hannover
8000226,8005511,22,26,108,90,330,Hannover
8000268,8000268,96,126,150,75,900,Hannover
8000268,8001393,18,40,104,0,840,Hannover
8000268,8002634,19,20,328,300,1020,Hannover
8000268,8004322,20,23,142,90,870,Hannover
8000268,8004851,18,20,170,75,570,Hannover
8000282,8000093,16,18,192,135,1140,Hannover
8000282,8000282,25,36,137,30,1470,Hannover
8000282,8001775,12,18,155,45,1470,Hannover
8000335,8000335,11,16,109,90,330,Hannover
8000335,8004777,5,8,49,30,150,Hannover
8000342,8000342,119,163,110,60,1440,Hannover
8000342,8001781,2,6,70,0,360,Hannover
8000342,8002586,31,38,92,60,390,Hannover
8000342,8002969,25,37,114,60,870,Hannover
8000342,8003635,18,38,99,0,1440,Hannover
8000342,8005160,32,38,120,75,420,Hannover
8000342,8006336,4,6,110,90,300,Hannover
8000354,8000354,27,40,112,60,540,Hannover
8000354,8001123,1,1,120,120,120,Hannover
8000354,8005809,15,19,90,30,480,Hannover
8000354,8005929,11,20,81,30,420,Hannover
8000443,8000226,35,40,105,90,390,Hannover
8000443,8000443,61,80,70,30,330,Hannover
8000443,8000578,27,40,75,45,360,Hannover
8000483,8000093,2,2,360,360,630,Hannover
8000483,8000483,2,2,345,345,630,Hannover
8000488,8000488,24,52,51,0,330,Hannover
8000488,8002607,16,26,81,60,330,Hannover
8000488,8005511,6,26,9,0,90,Hannover
8000489,8000226,18,20,124,120,390,Hannover
8000489,8000489,57,74,82,60,300,Hannover
8000489,8001279,33,37,105,90,300,Hannover
8000489,8070086,11,17,53,60,120,Hannover
8000578,8000443,29,40,62,30,330,Hannover
8000578,8000578,50,80,59,30,330,Hannover
8000578,8070086,19,40,61,0,300,Hannover
8000740,8000740,21,38,27,30,150,Hannover
8000740,8000759,10,19,32,30,150,Hannover
8000740,8001048,12,19,35,30,90,Hannover
8000759,8000740,7,19,14,0,90,Hannover
8000759,8000759,15,38,22,0,210,Hannover
8000759,8006358,8,19,27,0,120,Hannover
8000797,8000022,37,38,181,135,1260,Hannover
8000797,8000797,64,76,137,90,1440,Hannover
8000797,8006482,23,38,90,45,390,Hannover
8000807,8000807,29,40,107,45,630,Hannover
8000807,8003632,13,20,76,30,330,Hannover
8000807,8005929,20,20,135,105,600,Hannover
8000808,8000808,34,40,319,120,2100,Hannover
8000808,8001775,17,20,422,240,2100,Hannover
8000808,8005292,17,20,228,105,1290,Hannover
8000810,8000810,2,3,100,60,240,Hannover
8000810,8003292,1,1,60,60,60,Hannover
8000810,8005809,1,2,120,120,240,Hannover
8000812,8000812,65,76,139,90,1590,Hannover
8000812,8003267,27,38,113,60,420,Hannover
8000812,8006336,3,6,75,15,360,Hannover
8000812,8006482,34,38,174,120,1590,Hannover
8000871,8003957,18,37,84,0,480,Hannover
8001000,8001000,72,73,270,180,1830,Hannover
8001000,8003165,33,37,315,120,2100,Hannover
8001000,8003957,35,36,322,240,1080,Hannover
8001048,8000740,6,19,22,0,150,Hannover
8001123,8000354,2,2,165,165,270,Hannover
8001123,8001123,3,3,120,90,240,Hannover
8001123,8005809,1,1,60,60,60,Hannover
8001245,8001245,27,40,162,60,870,Hannover
8001245,8003286,11,20,164,60,840,Hannover
8001279,8000489,19,37,46,30,210,Hannover
8001279,8001279,46,74,77,60,300,Hannover
8001279,8004735,27,37,96,90,300,Hannover
8001342,8000148,12,18,120,30,630,Hannover
8001342,8001342,30,36,164,60,1440,Hannover
