from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8000042,8000042,86,30,570,Karlsruhe
8000042,8001056,4,0,30,Karlsruhe
8000042,8001707,33,30,120,Karlsruhe
8000042,8006661,138,90,540,Karlsruhe
8000053,8000053,89,60,570,Karlsruhe
8000053,8001138,0,0,0,Karlsruhe
8000053,8001152,126,120,510,Karlsruhe
8000053,8070012,4,0,30,Karlsruhe
8000053,8070179,135,120,390,Karlsruhe
8000053,8079059,124,90,360,Karlsruhe
8000063,8000063,138,30,1260,Karlsruhe
8000063,8000757,195,0,1260,Karlsruhe
8000063,8002852,75,0,720,Karlsruhe
8000110,8000110,18,0,150,Karlsruhe
8000110,8002087,15,0,180,Karlsruhe
8000110,8002445,41,0,180,Karlsruhe
8000131,8000131,102,30,4050,Karlsruhe
8000131,8002116,99,0,690,Karlsruhe
8000131,8002345,34,30,120,Karlsruhe
8000131,8003181,63,60,330,Karlsruhe
8000131,8004813,0,0,30,Karlsruhe
8000131,8006417,16,0,180,Karlsruhe
8000264,8000017,90,30,270,Karlsruhe
8000264,8000264,72,15,1410,Karlsruhe
8000264,8000369,53,30,210,Karlsruhe
8000264,8000973,48,30,270,Karlsruhe
8000264,8004095,87,0,1560,Karlsruhe
8000264,8004222,85,30,360,Karlsruhe
8000265,8000265,110,60,1110,Karlsruhe
8000265,8000369,105,45,330,Karlsruhe
8000265,8000794,61,30,360,Karlsruhe
8000265,8002684,104,60,1140,Karlsruhe
8000265,8002685,30,30,30,Karlsruhe
8000265,8003841,60,60,60,Karlsruhe
8000265,8003932,165,120,480,Karlsruhe
8000265,8004217,127,60,630,Karlsruhe
8000265,8005366,600,600,990,Karlsruhe
8000295,8000221,45,0,390,Karlsruhe
8000295,8000295,74,0,1350,Karlsruhe
8000295,8000423,15,0,60,Karlsruhe
8000295,8000424,80,0,240,Karlsruhe
8000295,8004050,132,30,1320,Karlsruhe
8000295,8005151,0,0,0,Karlsruhe
8000295,8005168,180,180,180,Karlsruhe
8000306,8000306,87,45,900,Karlsruhe
8000306,8000771,91,30,330,Karlsruhe
8000306,8001252,113,60,900,Karlsruhe
8000306,8002167,90,90,120,Karlsruhe
8000306,8004178,50,0,210,Karlsruhe
8000306,8004636,90,60,300,Karlsruhe
8000306,8004944,127,60,330,Karlsruhe
8000369,8000264,101,45,300,Karlsruhe
8000369,8000265,80,60,240,Karlsruhe
8000369,8000369,89,60,600,Karlsruhe
8000369,8002857,55,30,270,Karlsruhe
8000369,8003690,135,90,600,Karlsruhe
8000389,8000389,96,30,1320,Karlsruhe
8000389,8001944,76,0,1020,Karlsruhe
8000389,8002998,184,90,1830,Karlsruhe
8000389,8004202,18,0,150,Karlsruhe
8000423,8000295,111,60,480,Karlsruhe
8000423,8000423,70,30,540,Karlsruhe
8000423,8006661,13,0,60,Karlsruhe
8000424,8000295,60,60,60,Karlsruhe
8000424,8000424,52,0,210,Karlsruhe
8000424,8005536,60,0,180,Karlsruhe
8000631,8000631,79,60,780,Karlsruhe
8000631,8002687,106,30,840,Karlsruhe
8000631,8003489,83,90,300,Karlsruhe
8000631,8003841,165,165,270,Karlsruhe
8000631,8003847,30,30,30,Karlsruhe
8000631,8005494,92,60,360,Karlsruhe
8000643,8000643,128,120,330,Karlsruhe
8000643,8003532,191,150,360,Karlsruhe
8000643,8006291,69,45,330,Karlsruhe
8000649,8000649,96,60,570,Karlsruhe
8000649,8001366,46,30,180,Karlsruhe
8000649,8004577,173,120,600,Karlsruhe
8000721,8000721,127,0,1230,Karlsruhe
8000721,8002852,194,0,1230,Karlsruhe
8000721,8004077,70,0,1140,Karlsruhe
8000757,8000063,79,30,720,Karlsruhe
8000757,8000757,132,30,1110,Karlsruhe
8000757,8006432,148,30,990,Karlsruhe
8000771,8000306,21,0,210,Karlsruhe
8000771,8000771,60,30,360,Karlsruhe
8000771,8005588,61,30,330,Karlsruhe
8000775,8000775,25,0,210,Karlsruhe
8000775,8001252,15,0,180,Karlsruhe
8000775,8005587,11,0,210,Karlsruhe
8000782,8000782,107,120,330,Karlsruhe
8000782,8000789,105,120,240,Karlsruhe
8000782,8002091,130,105,300,Karlsruhe
8000782,8002126,40,0,150,Karlsruhe
8000782,8005409,120,90,180,Karlsruhe
8000789,8000782,135,120,300,Karlsruhe
8000789,8000789,63,60,150,Karlsruhe
8000789,8003343,0,0,0,Karlsruhe
8000794,8000265,131,45,1080,Karlsruhe
8000794,8000794,101,30,1110,Karlsruhe
8000794,8005015,83,60,360,Karlsruhe
8000823,8000823,130,120,900,Karlsruhe
8000823,8002306,122,120,420,Karlsruhe
8000823,8079078,218,180,930,Karlsruhe
8000968,8000968,47,30,300,Karlsruhe
8000968,8003376,86,0,600,Karlsruhe
8000968,8079090,77,60,270,Karlsruhe
8000973,8000264,133,90,630,Karlsruhe
8000973,8000973,99,60,660,Karlsruhe
8000973,8004216,45,0,300,Karlsruhe
8000998,8000998,149,150,360,Karlsruhe
8000998,8003480,171,195,360,Karlsruhe
8000998,8005186,260,210,450,Karlsruhe
8001002,8001002,99,60,1800,Karlsruhe
8001002,8002998,61,30,240,Karlsruhe
8001002,8005421,152,30,1770,Karlsruhe
8001009,8001009,68,30,660,Karlsruhe
8001009,8002116,28,30,90,Karlsruhe
8001009,8003185,117,30,660,Karlsruhe
8001056,8000042,12,0,90,Karlsruhe
8001056,8001056,6,0,90,Karlsruhe
8001056,8001226,0,0,0,Karlsruhe
8001131,8001131,22,0,120,Karlsruhe
8001131,8001138,45,0,180,Karlsruhe
8001131,8003332,15,0,60,Karlsruhe
8001138,8000053,60,30,180,Karlsruhe
8001138,8001131,15,15,30,Karlsruhe
8001138,8001138,33,15,180,Karlsruhe
8001144,8001144,73,60,510,Karlsruhe
8001144,8001152,180,180,210,Karlsruhe
8001144,8002307,360,360,360,Karlsruhe
8001144,8070093,36,0,540,Karlsruhe
8001144,8079060,118,120,420,Karlsruhe
8001152,8000053,72,0,390,Karlsruhe
8001152,8001144,360,360,360,Karlsruhe
8001152,8001152,123,120,540,Karlsruhe
8001152,8002307,142,120,330,Karlsruhe
8001152,8079060,34,0,540,Karlsruhe
8001197,8001197,51,0,1110,Karlsruhe
8001197,8005931,106,60,780,Karlsruhe
8001197,8005990,70,15,1110,Karlsruhe
8001197,8085001,10,0,150,Karlsruhe
8001198,8001198,65,30,630,Karlsruhe
8001198,8001926,28,0,150,Karlsruhe
8001198,8003832,88,30,630,Karlsruhe
8001214,8001212,60,60,300,Karlsruhe
8001214,8001214,46,30,300,Karlsruhe
8001214,8003181,39,30,120,Karlsruhe
8001226,8001056,25,0,120,Karlsruhe
8001226,8001226,17,0,120,Karlsruhe
8001226,8001227,4,0,30,Karlsruhe
8001227,8001226,12,0,60,Karlsruhe
8001227,8001227,8,0,60,Karlsruhe
8001227,8002529,4,0,30,Karlsruhe
8001252,8000306,49,15,180,Karlsruhe
8001252,8000412,81,30,840,Karlsruhe
8001252,8000775,31,0,240,Karlsruhe
8001252,8001252,61,0,870,Karlsruhe
8001366,8000649,141,90,540,Karlsruhe
8001366,8001366,95,60,570,Karlsruhe
8001366,8004215,21,0,150,Karlsruhe
8001510,8001510,66,0,1650,Karlsruhe
8001510,8001512,-6,0,30,Karlsruhe
8001510,8002445,130,0,1650,Karlsruhe
8001512,8001510,130,0,1620,Karlsruhe
8001512,8001512,74,30,1620,Karlsruhe
8001512,8005421,38,60,90,Karlsruhe
8001707,8000042,168,120,600,Karlsruhe
8001707,8001707,98,45,570,Karlsruhe
8001707,8004577,53,60,120,Karlsruhe
8001861,8001861,64,0,660,Karlsruhe
8001861,8003094,19,0,180,Karlsruhe
8001861,8079090,125,60,660,Karlsruhe
8001926,8001198,67,60,300,Karlsruhe
8001926,8001926,42,0,330,Karlsruhe
8001944,8000389,90,60,780,Karlsruhe
8001944,8001944,89,60,1020,Karlsruhe
8002005,8002005,99,90,240,Karlsruhe
8002005,8006633,167,180,360,Karlsruhe
8002005,8079078,92,60,240,Karlsruhe
8002022,8002022,154,150,450,Karlsruhe
8002022,8002197,67,60,210,Karlsruhe
8002022,8004961,187,180,420,Karlsruhe
8002022,8005409,120,90,360,Karlsruhe
8002022,8006291,98,90,240,Karlsruhe
8002087,8000110,50,30,300,Karlsruhe
8002087,8002087,28,0,210,Karlsruhe
8002087,8002090,0,0,30,Karlsruhe
8002090,8002087,33,0,240,Karlsruhe
8002090,8002090,31,30,210,Karlsruhe
8002090,8002091,33,30,180,Karlsruhe
8002091,8000782,47,30,90,Karlsruhe
8002091,8002090,56,60,300,Karlsruhe
8002091,8002091,47,30,270,Karlsruhe
8002091,8002126,41,30,210,Karlsruhe
8002116,8000131,27,15,90,Karlsruhe
8002116,8001009,95,30,660,Karlsruhe
8002116,8002116,67,30,660,Karlsruhe
8002126,8000782,137,150,270,Karlsruhe
8002126,8002091,49,30,180,Karlsruhe
8002126,8002126,73,90,270,Karlsruhe
8002167,8000306,120,120,180,Karlsruhe
8002167,8002167,145,120,360,Karlsruhe
8002167,8002248,55,60,90,Karlsruhe
8002167,8005187,198,210,360,Karlsruhe
8002167,8006733,144,120,300,Karlsruhe
8002197,8002022,200,150,480,Karlsruhe
8002197,8002197,139,120,480,Karlsruhe
8002197,8003532,87,60,240,Karlsruhe
8002248,8002167,137,120,240,Karlsruhe
8002248,8002248,124,120,330,Karlsruhe
8002248,8002250,121,120,240,Karlsruhe
8002248,8002910,144,150,300,Karlsruhe
8002248,8006291,15,15,30,Karlsruhe
8002250,8002248,118,90,360,Karlsruhe
8002250,8002250,92,90,360,Karlsruhe
8002250,8004594,5,0,60,Karlsruhe
8002306,8000823,130,90,810,Karlsruhe
8002306,8002306,95,60,480,Karlsruhe
8002306,8002307,100,90,450,Karlsruhe
8002307,8001144,165,165,180,Karlsruhe
8002307,8001152,215,240,360,Karlsruhe
8002307,8002306,44,0,540,Karlsruhe
8002307,8002307,120,90,510,Karlsruhe
8002307,8070093,153,120,480,Karlsruhe
8002307,8079078,176,165,390,Karlsruhe
8002326,8002326,36,0,210,Karlsruhe
8002326,8070011,4,0,30,Karlsruhe
8002326,8070012,78,60,240,Karlsruhe
8002430,8002430,105,60,600,Karlsruhe
8002430,8003489,101,15,690,Karlsruhe
8002430,8003792,136,120,360,Karlsruhe
8002445,8000110,108,0,1470,Karlsruhe
8002445,8001510,20,0,120,Karlsruhe
8002445,8002445,63,0,1560,Karlsruhe
8002529,8001227,12,0,60,Karlsruhe
8002529,8002529,6,0,60,Karlsruhe
8002529,8006176,4,0,30,Karlsruhe
8002633,8002470,72,30,330,Karlsruhe
8002633,8002633,71,0,1230,Karlsruhe
8002633,8004222,78,0,1260,Karlsruhe
8002684,8000265,113,60,660,Karlsruhe
8002684,8002684,110,60,1110,Karlsruhe
8002684,8005366,103,60,1080,Karlsruhe
8002685,8002681,131,60,1200,Karlsruhe
8002685,8002685,116,60,1140,Karlsruhe
8002685,8005366,105,60,660,Karlsruhe
8002686,8002686,102,60,780,Karlsruhe
8002686,8002687,92,60,780,Karlsruhe
8002686,8005181,30,30,30,Karlsruhe
8002686,8005648,134,60,810,Karlsruhe
8002687,8000631,62,30,270,Karlsruhe
8002687,8002681,151,120,480,Karlsruhe
8002687,8002686,147,60,660,Karlsruhe
8002687,8002687,125,60,870,Karlsruhe
8002687,8003842,125,90,810,Karlsruhe
8002688,8002688,30,0,150,Karlsruhe
8002688,8002734,37,15,150,Karlsruhe
8002688,8070010,12,0,60,Karlsruhe
8002734,8002688,25,0,90,Karlsruhe
8002734,8002734,26,0,150,Karlsruhe
8002734,8070011,45,0,180,Karlsruhe
8002748,8002748,99,30,510,Karlsruhe
8002748,8002757,49,30,270,Karlsruhe
8002748,8003489,85,60,210,Karlsruhe
8002748,8003571,144,60,720,Karlsruhe
8002748,8003792,84,30,480,Karlsruhe
8002808,8002808,86,90,270,Karlsruhe
8002808,8003343,69,60,210,Karlsruhe
8002808,8005135,77,60,360,Karlsruhe
8002837,8002837,135,120,360,Karlsruhe
8002837,8004594,103,90,360,Karlsruhe
8002837,8006291,167,150,300,Karlsruhe
8002852,8000063,195,0,1230,Karlsruhe
8002852,8000721,82,0,720,Karlsruhe
8002852,8002852,135,0,1230,Karlsruhe
8002883,8002883,52,0,840,Karlsruhe
8002883,8004304,60,0,780,Karlsruhe
8002883,8004658,35,0,300,Karlsruhe
8002910,8002248,144,150,300,Karlsruhe
8002910,8002910,136,150,300,Karlsruhe
8002910,8004722,148,150,300,Karlsruhe
8002931,8002931,111,30,1050,Karlsruhe
8002931,8003932,0,0,0,Karlsruhe
8002931,8005578,90,60,510,Karlsruhe
8002931,8006679,137,30,1380,Karlsruhe
8002998,8000389,60,60,240,Karlsruhe
8002998,8001002,152,30,1800,Karlsruhe
8002998,8002998,108,60,1800,Karlsruhe
8003034,8003034,43,30,210,Karlsruhe
8003034,8005135,7,0,150,Karlsruhe
8003034,8006715,0,0,0,Karlsruhe
8003094,8001861,113,60,660,Karlsruhe
8003094,8003094,67,0,660,Karlsruhe
8003127,8003127,69,30,720,Karlsruhe
8003127,8006539,87,60,750,Karlsruhe
8003127,8079058,64,60,300,Karlsruhe
8003181,8000131,36,30,180,Karlsruhe
8003181,8001214,71,60,300,Karlsruhe
8003181,8003181,48,30,300,Karlsruhe
8003183,8003183,53,30,240,Karlsruhe
8003183,8003187,20,0,120,Karlsruhe
8003185,8001009,43,60,120,Karlsruhe
8003185,8003185,72,30,660,Karlsruhe
8003186,8000254,90,90,90,Karlsruhe
8003186,8003186,65,60,240,Karlsruhe
8003186,8003187,68,60,240,Karlsruhe
8003186,8084067,16,0,60,Karlsruhe
8003187,8003183,90,60,240,Karlsruhe
8003187,8003186,60,60,120,Karlsruhe
8003187,8003187,60,30,240,Karlsruhe
