from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000042,8000042,28,36,132,120,630,Karlsruhe
8000042,8001056,2,7,4,0,30,Karlsruhe
8000042,8001707,14,18,80,75,240,Karlsruhe
8000042,8006661,14,18,185,150,600,Karlsruhe
8000053,8000053,103,134,102,60,1170,Karlsruhe
8000053,8001138,3,4,135,150,240,Karlsruhe
8000053,8001152,44,59,139,90,1230,Karlsruhe
8000053,8070012,2,7,17,0,60,Karlsruhe
8000053,8070179,15,19,122,60,420,Karlsruhe
8000053,8079059,36,36,136,90,750,Karlsruhe
8000063,8000063,17,30,52,30,360,Karlsruhe
8000063,8000757,8,15,58,60,360,Karlsruhe
8000063,8002852,8,15,50,30,300,Karlsruhe
8000110,8000110,8,15,68,30,270,Karlsruhe
8000110,8002087,15,35,41,0,360,Karlsruhe
8000110,8002091,1,1,60,60,60,Karlsruhe
8000110,8002445,9,17,62,60,420,Karlsruhe
8000131,8000131,60,94,68,30,750,Karlsruhe
8000131,8002116,12,23,106,30,690,Karlsruhe
8000131,8002345,12,19,43,30,240,Karlsruhe
8000131,8003181,13,19,62,30,330,Karlsruhe
8000131,8004813,5,6,80,60,210,Karlsruhe
8000131,8006417,15,36,26,0,180,Karlsruhe
8000264,8000017,6,8,255,135,990,Karlsruhe
8000264,8000264,76,118,124,45,1740,Karlsruhe
8000264,8000369,8,9,427,150,1740,Karlsruhe
8000264,8000973,22,31,76,60,420,Karlsruhe
8000264,8004095,43,68,108,30,660,Karlsruhe
8000264,8004222,11,19,60,30,300,Karlsruhe
8000265,8000265,160,189,159,90,1680,Karlsruhe
8000265,8000369,7,8,304,210,1080,Karlsruhe
8000265,8000794,30,47,82,60,390,Karlsruhe
8000265,8002684,60,73,95,60,510,Karlsruhe
8000265,8002685,1,1,90,90,90,Karlsruhe
8000265,8003841,4,5,324,150,810,Karlsruhe
8000265,8003932,8,10,237,90,930,Karlsruhe
8000265,8004217,31,34,219,135,720,Karlsruhe
8000295,8000221,12,16,126,60,570,Karlsruhe
8000295,8000295,24,34,116,30,510,Karlsruhe
8000295,8000423,6,18,42,0,210,Karlsruhe
8000295,8000424,1,2,330,330,660,Karlsruhe
8000295,8004050,11,15,120,60,390,Karlsruhe
8000295,8005151,0,1,0,0,0,Karlsruhe
8000295,8005168,1,1,300,300,300,Karlsruhe
8000306,8000306,111,145,188,90,2370,Karlsruhe
8000306,8000771,12,19,118,30,510,Karlsruhe
8000306,8001252,22,27,146,90,480,Karlsruhe
8000306,8002167,7,7,450,120,2310,Karlsruhe
8000306,8003480,1,1,60,60,60,Karlsruhe
8000306,8004032,1,1,240,240,240,Karlsruhe
8000306,8004178,15,23,70,60,270,Karlsruhe
