from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8000020,8000020,98,30,660,Kassel
8000020,8000026,210,210,210,Kassel
8000020,8000250,330,330,330,Kassel
8000020,8002103,67,30,240,Kassel
8000020,8002757,0,0,0,Kassel
8000020,8003016,80,0,240,Kassel
8000020,8004297,136,105,600,Kassel
8000020,8005182,45,30,120,Kassel
8000090,8000090,49,15,300,Kassel
8000090,8000753,52,0,300,Kassel
8000090,8002102,66,30,420,Kassel
8000090,8006524,53,30,240,Kassel
8000090,8011054,90,90,240,Kassel
8000090,8011849,76,30,270,Kassel
8000104,8000104,166,30,1050,Kassel
8000104,8000985,174,30,1020,Kassel
8000104,8002033,115,30,750,Kassel
8000140,8000140,82,45,630,Kassel
8000140,8000193,480,480,480,Kassel
8000140,8002374,48,15,150,Kassel
8000140,8005039,57,30,300,Kassel
8000193,8001098,56,30,150,Kassel
8000193,8002374,0,0,30,Kassel
8000193,8002484,90,30,810,Kassel
8000193,8003199,37,0,150,Kassel
8000193,8003961,33,30,120,Kassel
8000193,8004415,39,30,180,Kassel
8000193,8004597,0,0,0,Kassel
8000193,8006707,30,30,30,Kassel
8000210,8000210,100,30,720,Kassel
8000210,8003406,150,30,960,Kassel
8000210,8005928,326,180,2220,Kassel
8000210,8006043,73,30,450,Kassel
8000243,8000243,86,30,660,Kassel
8000243,8000859,86,30,660,Kassel
8000243,8003961,80,0,480,Kassel
8000520,8000520,45,30,120,Kassel
8000520,8002236,26,0,120,Kassel
8000520,8006546,56,45,120,Kassel
8000553,8000553,89,30,630,Kassel
8000553,8000859,110,30,510,Kassel
8000553,8002716,63,0,630,Kassel
8000609,8000609,353,90,2550,Kassel
8000609,8003467,280,90,2070,Kassel
8000609,8003970,444,0,2550,Kassel
8000753,8000090,49,30,150,Kassel
8000753,8000753,57,30,300,Kassel
8000753,8001895,52,0,300,Kassel
8000764,8006241,7,0,60,Kassel
8000859,8000243,108,60,480,Kassel
8000859,8000553,71,0,660,Kassel
8000859,8000859,87,30,660,Kassel
8000985,8000104,146,60,870,Kassel
8000985,8000985,168,60,1050,Kassel
8000985,8006413,164,30,1020,Kassel
8001098,8000140,390,390,390,Kassel
8001098,8000193,93,90,270,Kassel
8001098,8001098,126,120,360,Kassel
8001098,8004328,96,75,330,Kassel
8001106,8001106,88,30,330,Kassel
8001106,8002903,86,30,300,Kassel
8001106,8004589,71,30,270,Kassel
8001283,8001283,114,60,600,Kassel
8001283,8003016,145,120,600,Kassel
8001283,8004297,97,60,300,Kassel
8001664,8001664,230,120,1050,Kassel
8001664,8005382,243,150,1080,Kassel
8001664,8006082,252,90,990,Kassel
8001691,8001691,316,30,2700,Kassel
8001691,8006107,422,30,2760,Kassel
8001691,8006549,222,0,1800,Kassel
8001854,8001854,185,90,1050,Kassel
8001854,8004164,134,0,960,Kassel
8001854,8006413,241,120,1200,Kassel
8001884,8001884,30,30,30,Kassel
8001884,8001895,22,30,90,Kassel
8001895,8000753,44,30,120,Kassel
8001895,8001884,48,30,300,Kassel
8001895,8001895,36,0,300,Kassel
8001895,8005003,19,0,120,Kassel
8002010,8000891,97,45,540,Kassel
8002010,8002010,158,60,1590,Kassel
8002010,8004295,206,60,1590,Kassel
8002033,8000104,261,90,1080,Kassel
8002033,8002033,196,105,1080,Kassel
8002033,8006082,160,105,900,Kassel
8002103,8000020,107,90,600,Kassel
8002103,8002103,86,60,600,Kassel
8002103,8003711,81,60,390,Kassel
8002129,8002129,52,45,120,Kassel
8002129,8005968,22,15,90,Kassel
8002129,8006647,93,90,210,Kassel
8002236,8000520,60,30,150,Kassel
8002236,8001098,30,30,60,Kassel
8002236,8002236,41,30,180,Kassel
8002236,8006647,22,15,90,Kassel
8002259,8002259,54,30,300,Kassel
8002259,8002677,42,0,270,Kassel
8002259,8006524,50,30,180,Kassel
8002374,8000140,48,60,90,Kassel
8002374,8002236,30,30,60,Kassel
8002374,8002374,48,30,180,Kassel
8002374,8006546,63,30,210,Kassel
8002484,8000140,40,30,90,Kassel
8002484,8000193,86,30,510,Kassel
8002484,8002484,78,30,630,Kassel
8002484,8003961,80,30,630,Kassel
8002716,8000553,94,0,480,Kassel
8002716,8002716,87,30,660,Kassel
8002716,8005182,58,0,630,Kassel
8002802,8002802,193,105,1050,Kassel
8002802,8003406,160,150,240,Kassel
8002802,8005382,188,0,960,Kassel
8002802,8006082,100,60,180,Kassel
8002802,8006093,263,180,1050,Kassel
8002903,8001106,101,45,330,Kassel
8002903,8002903,95,30,360,Kassel
8002903,8005161,71,0,270,Kassel
