from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000020,8000020,52,74,287,90,2610,Kassel
8000020,8000250,7,7,557,270,2280,Kassel
8000020,8002103,14,22,78,60,300,Kassel
8000020,8003016,3,5,42,30,120,Kassel
8000020,8004297,16,20,314,195,1950,Kassel
8000020,8005182,11,15,58,30,270,Kassel
8000090,8000090,75,119,85,30,1260,Kassel
8000090,8000753,13,20,94,60,300,Kassel
8000090,8002102,26,42,88,30,1230,Kassel
8000090,8006524,28,40,106,60,570,Kassel
8000090,8011054,8,10,96,60,330,Kassel
8000090,8011849,6,8,52,30,210,Kassel
8000104,8000104,13,20,84,30,630,Kassel
8000104,8000985,8,14,43,30,270,Kassel
8000104,8002033,7,11,90,30,600,Kassel
8000140,8000140,72,93,145,120,600,Kassel
8000140,8000193,2,2,135,135,210,Kassel
8000140,8002374,9,9,150,180,240,Kassel
8000140,8002484,26,35,156,90,600,Kassel
8000140,8005039,37,46,148,120,570,Kassel
8000193,8000140,0,1,0,0,0,Kassel
8000193,8000193,1,1,420,420,420,Kassel
8000193,8001098,6,8,146,90,630,Kassel
8000193,8002374,2,2,255,255,270,Kassel
8000193,8002484,1,1,150,150,150,Kassel
8000193,8002933,3,3,70,60,120,Kassel
8000193,8003199,32,41,116,60,480,Kassel
8000193,8003961,2,2,45,45,60,Kassel
8000193,8004415,18,25,112,30,1170,Kassel
8000193,8005039,1,1,180,180,180,Kassel
8000210,8000210,10,16,45,30,210,Kassel
8000210,8003406,6,10,33,30,150,Kassel
8000210,8005928,10,18,100,105,240,Kassel
8000210,8006043,11,12,68,60,270,Kassel
8000243,8000243,31,47,157,90,630,Kassel
8000243,8000859,19,24,190,135,630,Kassel
8000243,8003961,16,23,130,60,600,Kassel
8000520,8000520,14,18,107,90,300,Kassel
8000520,8002236,5,9,67,90,180,Kassel
8000520,8006546,9,9,170,150,300,Kassel
8000530,8000530,1,1,240,240,240,Kassel
8000530,8004526,1,1,240,240,240,Kassel
8000553,8000553,32,47,160,90,660,Kassel
8000553,8000859,18,23,158,90,660,Kassel
8000553,8002716,16,24,168,90,540,Kassel
8000609,8000609,26,37,79,60,480,Kassel
8000609,8003467,17,18,90,90,210,Kassel
8000609,8003970,12,19,85,30,450,Kassel
8000753,8000090,18,20,46,30,270,Kassel
8000753,8000753,32,40,77,30,300,Kassel
8000753,8001895,16,20,111,90,300,Kassel
8000859,8000243,16,23,154,90,660,Kassel
8000859,8000553,16,24,166,90,600,Kassel
8000859,8000859,35,47,169,90,660,Kassel
8000985,8000104,10,14,120,90,660,Kassel
8000985,8000985,18,28,101,75,690,Kassel
8000985,8006413,9,14,58,30,270,Kassel
8001098,8000193,9,9,630,240,2490,Kassel
8001098,8001098,23,28,299,75,2310,Kassel
8001098,8004328,8,9,280,210,1050,Kassel
8001098,8005576,5,5,90,90,120,Kassel
8001098,8006663,3,5,78,30,270,Kassel
8001106,8001106,30,35,140,60,600,Kassel
8001106,8002903,14,18,60,30,330,Kassel
8001106,8004589,15,17,228,150,600,Kassel
8001283,8001283,34,41,206,90,1890,Kassel
8001283,8003016,17,20,312,210,1830,Kassel
8001283,8004297,16,21,113,60,300,Kassel
8001664,8001664,13,19,73,60,450,Kassel
8001664,8005382,8,10,102,60,450,Kassel
8001664,8006082,5,9,37,30,120,Kassel
8001691,8001691,27,36,86,60,390,Kassel
8001691,8006107,16,18,127,120,390,Kassel
8001691,8006549,13,18,65,60,270,Kassel
8001854,8001854,23,28,130,90,750,Kassel
8001854,8004164,9,14,43,30,120,Kassel
8001854,8006413,13,14,216,195,750,Kassel
8001884,8001884,3,3,150,90,330,Kassel
8001884,8001895,25,41,35,30,300,Kassel
8001895,8000753,13,20,40,30,300,Kassel
8001895,8001884,30,39,86,60,390,Kassel
8001895,8001895,49,80,61,60,420,Kassel
8001895,8005003,14,21,53,30,150,Kassel
8002010,8000891,7,24,-11,0,150,Kassel
8002010,8002010,24,49,102,0,780,Kassel
8002010,8004295,16,25,204,150,810,Kassel
8002033,8000104,10,10,90,75,330,Kassel
8002033,8002033,16,21,97,60,600,Kassel
8002033,8006082,6,11,104,30,630,Kassel
8002103,8000020,19,25,269,180,1980,Kassel
8002103,8002103,33,47,178,90,1980,Kassel
8002103,8003711,17,21,123,90,390,Kassel
8002236,8000520,9,9,153,90,360,Kassel
8002236,8001098,2,2,405,405,570,Kassel
8002236,8002236,18,22,135,90,570,Kassel
8002236,8002374,1,2,30,30,60,Kassel
8002236,8005576,1,1,60,60,60,Kassel
8002259,8002259,44,50,127,60,1320,Kassel
8002259,8002677,17,25,101,60,300,Kassel
8002259,8006524,21,25,134,30,1290,Kassel
8002374,8000140,9,11,158,120,480,Kassel
8002374,8002236,2,2,390,390,570,Kassel
8002374,8002374,21,22,162,135,540,Kassel
8002374,8006546,7,9,113,150,240,Kassel
8002484,8000140,22,38,99,60,540,Kassel
8002484,8002484,49,74,123,60,570,Kassel
8002484,8003388,30,35,170,90,540,Kassel
8002484,8003961,1,1,180,180,180,Kassel
8002716,8000553,13,23,150,60,660,Kassel
8002716,8002716,31,47,161,90,690,Kassel
8002716,8005182,16,24,155,45,540,Kassel
8002802,8002802,18,21,83,60,390,Kassel
8002802,8003406,1,1,120,120,120,Kassel
8002802,8005382,6,9,47,60,180,Kassel
8002802,8006082,1,1,60,60,60,Kassel
8002802,8006093,7,10,105,75,480,Kassel
8002903,8001106,15,17,226,150,600,Kassel
8002903,8002903,29,35,138,60,570,Kassel
8002903,8005161,13,18,60,30,330,Kassel
8002933,8000193,2,2,345,345,450,Kassel
8002933,8002933,13,14,343,270,960,Kassel
8002933,8006449,7,7,270,300,510,Kassel
8003016,8000020,4,6,105,75,330,Kassel
8003016,8000891,4,4,458,45,1710,Kassel
8003016,8001283,17,21,109,60,300,Kassel
8003016,8003016,38,52,169,90,1800,Kassel
8003016,8004295,2,2,90,90,120,Kassel
8003053,8003053,36,50,114,30,1320,Kassel
8003053,8004415,15,25,108,60,540,Kassel
8003053,8005623,21,25,143,60,1320,Kassel
8003199,8000193,35,46,115,60,510,Kassel
8003199,8003199,63,88,132,90,600,Kassel
8003199,8005039,28,42,146,105,630,Kassel
8003388,8002484,21,38,99,30,540,Kassel
8003388,8003388,56,73,140,90,570,Kassel
