from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8000021,8000021,48,0,390,Koblenz
8000021,8000121,9,0,60,Koblenz
8000021,8000726,80,30,360,Koblenz
8000021,8001177,4,0,60,Koblenz
8000021,8003075,26,30,60,Koblenz
8000021,8004601,80,90,120,Koblenz
8000034,8000034,153,60,780,Koblenz
8000034,8000427,241,105,810,Koblenz
8000034,8005338,660,660,660,Koblenz
8000034,8006501,51,30,360,Koblenz
8000094,8000094,63,45,270,Koblenz
8000094,8000276,54,60,240,Koblenz
8000094,8006054,35,0,180,Koblenz
8000229,8000218,8,0,60,Koblenz
8000229,8000229,17,0,120,Koblenz
8000229,8001457,9,0,120,Koblenz
8000229,8001883,9,0,90,Koblenz
8000248,8000248,30,0,270,Koblenz
8000248,8003415,12,0,210,Koblenz
8000248,8003924,49,0,300,Koblenz
8000276,8000094,60,30,240,Koblenz
8000276,8000276,229,180,1020,Koblenz
8000276,8003341,120,120,120,Koblenz
8000276,8003665,183,150,840,Koblenz
8000276,8006036,294,210,990,Koblenz
8000278,8000278,35,30,240,Koblenz
8000278,8000701,51,30,120,Koblenz
8000278,8002114,19,0,180,Koblenz
8000278,8003341,40,30,210,Koblenz
8000278,8003351,37,0,330,Koblenz
8000427,8000034,58,0,540,Koblenz
8000427,8000427,152,45,810,Koblenz
8000427,8001112,226,90,780,Koblenz
8000448,8000448,69,45,660,Koblenz
8000448,8000449,46,0,660,Koblenz
8000448,8000729,82,60,420,Koblenz
8000449,8000448,72,45,390,Koblenz
8000449,8000449,54,30,660,Koblenz
8000449,8006191,37,0,630,Koblenz
8000517,8000517,20,0,90,Koblenz
8000517,8000726,28,30,90,Koblenz
8000517,8002879,10,0,90,Koblenz
8000585,8000585,19,0,120,Koblenz
8000585,8001177,28,30,120,Koblenz
8000585,8003568,6,0,60,Koblenz
8000667,8000667,324,75,2970,Koblenz
8000667,8003330,435,435,780,Koblenz
8000667,8003680,430,150,2940,Koblenz
8000667,8800012,330,330,330,Koblenz
8000701,8000278,60,60,180,Koblenz
8000701,8000701,19,0,150,Koblenz
8000701,8000702,1,0,30,Koblenz
8000701,8001389,14,0,90,Koblenz
8000701,8004206,17,30,60,Koblenz
8000702,8000701,19,0,150,Koblenz
8000702,8000702,15,0,180,Koblenz
8000702,8004435,9,0,30,Koblenz
8000711,8000711,267,180,1080,Koblenz
8000711,8003660,191,120,810,Koblenz
8000711,8005062,331,285,1080,Koblenz
8000726,8000021,19,0,120,Koblenz
8000726,8000517,2,0,60,Koblenz
8000726,8000726,46,0,360,Koblenz
8000726,8004463,88,30,300,Koblenz
8000726,8005111,65,75,120,Koblenz
8000726,8005678,109,90,330,Koblenz
8000729,8000448,44,0,660,Koblenz
8000729,8000729,52,30,420,Koblenz
8000729,8002711,65,60,450,Koblenz
8000742,8000742,202,120,900,Koblenz
8000742,8002861,255,150,900,Koblenz
8000742,8005622,145,75,660,Koblenz
8000786,8000786,5,0,60,Koblenz
8000786,8001950,11,0,60,Koblenz
8000786,8003593,-22,-30,30,Koblenz
8001049,8001049,95,60,570,Koblenz
8001049,8002711,97,60,900,Koblenz
8001049,8004604,-126,-165,240,Koblenz
8001112,8000427,73,30,600,Koblenz
8001112,8001112,145,60,780,Koblenz
8001112,8004406,510,615,780,Koblenz
8001177,8000021,10,0,90,Koblenz
8001177,8000585,12,0,90,Koblenz
8001177,8001177,16,0,120,Koblenz
8001186,8004200,52,30,360,Koblenz
8001267,8000379,60,30,240,Koblenz
8001267,8000870,45,0,390,Koblenz
8001267,8001267,141,60,3210,Koblenz
8001267,8001340,149,150,390,Koblenz
8001267,8004223,333,30,3210,Koblenz
8001340,8001267,80,60,180,Koblenz
8001340,8001340,134,60,3180,Koblenz
8001340,8001666,48,0,330,Koblenz
8001340,8003179,125,120,360,Koblenz
8001340,8003344,351,60,3180,Koblenz
8001389,8000701,3,0,60,Koblenz
8001389,8001389,8,0,90,Koblenz
8001389,8004206,12,0,90,Koblenz
8001457,8000229,10,0,60,Koblenz
8001457,8001457,3,0,90,Koblenz
8001457,8001950,0,0,30,Koblenz
8001457,8004206,17,0,90,Koblenz
8001666,8001340,367,90,3270,Koblenz
8001666,8001666,206,45,3270,Koblenz
8001666,8004223,61,30,390,Koblenz
8001858,8001858,249,120,1080,Koblenz
8001858,8003708,334,240,1110,Koblenz
8001858,8005970,177,120,1080,Koblenz
8001928,8000012,570,570,570,Koblenz
8001928,8001928,438,570,720,Koblenz
8001928,8006501,412,465,720,Koblenz
8001950,8000786,1,0,30,Koblenz
8001950,8001457,0,0,30,Koblenz
8001950,8001950,4,0,60,Koblenz
8001991,8001991,30,30,120,Koblenz
8001991,8003040,22,30,60,Koblenz
8001991,8003298,68,60,210,Koblenz
8002114,8000278,24,0,240,Koblenz
8002114,8002114,17,0,180,Koblenz
8002114,8004435,24,0,180,Koblenz
8002454,8002454,194,90,2850,Koblenz
8002454,8003354,305,30,2820,Koblenz
8002454,8006481,91,60,570,Koblenz
8002643,8002643,258,90,3120,Koblenz
8002643,8003723,356,90,3090,Koblenz
8002643,8004096,147,30,1980,Koblenz
8002711,8000729,57,30,510,Koblenz
8002711,8001049,99,60,540,Koblenz
8002711,8002711,82,60,870,Koblenz
8002861,8000742,136,90,600,Koblenz
8002861,8002861,199,120,900,Koblenz
8002861,8005645,278,180,930,Koblenz
8002879,8000505,18,0,240,Koblenz
8002879,8000517,28,0,90,Koblenz
8002879,8002879,28,0,180,Koblenz
8002880,8002880,57,60,210,Koblenz
8002880,8003295,46,30,150,Koblenz
8002880,8003899,55,30,210,Koblenz
8002995,8002995,45,45,90,Koblenz
8002995,8004253,0,0,0,Koblenz
8002995,8004444,30,30,30,Koblenz
8003040,8001991,12,0,90,Koblenz
8003040,8003040,57,0,570,Koblenz
8003040,8003295,35,0,180,Koblenz
8003040,8003452,30,30,60,Koblenz
8003040,8004253,77,30,480,Koblenz
8003148,8007357,18,0,120,Koblenz
8003179,8001340,84,90,150,Koblenz
8003179,8003179,160,75,3180,Koblenz
8003179,8003350,122,120,360,Koblenz
8003179,8004101,347,90,3180,Koblenz
8003179,8004859,165,60,2040,Koblenz
8003211,8003211,236,60,3000,Koblenz
8003211,8003611,330,90,2970,Koblenz
8003211,8003723,148,60,1920,Koblenz
8003295,8002880,36,30,180,Koblenz
8003295,8003040,91,60,570,Koblenz
8003295,8003295,48,30,390,Koblenz
8003295,8003298,54,30,150,Koblenz
8003295,8005583,33,15,150,Koblenz
8003298,8001991,32,30,90,Koblenz
8003298,8003295,47,30,180,Koblenz
8003298,8003298,58,60,210,Koblenz
8003341,8000276,75,75,150,Koblenz
8003341,8000278,61,60,180,Koblenz
8003341,8003341,149,60,1080,Koblenz
8003341,8003352,112,60,630,Koblenz
8003341,8005070,163,120,630,Koblenz
8003341,8006035,55,30,240,Koblenz
8003341,8006036,109,60,750,Koblenz
8003344,8001340,142,30,1980,Koblenz
8003344,8003344,251,60,3210,Koblenz
8003344,8004859,358,60,3210,Koblenz
8003350,8003179,57,60,120,Koblenz
8003350,8003350,141,60,2970,Koblenz
8003350,8003611,136,60,1800,Koblenz
8003350,8006481,354,60,2970,Koblenz
