from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000021,8000021,61,121,114,30,1530,Koblenz
8000021,8000121,22,28,86,30,270,Koblenz
8000021,8000726,43,69,160,60,1530,Koblenz
8000021,8001177,2,24,1,0,60,Koblenz
8000021,8003075,9,13,122,120,450,Koblenz
8000021,8004601,4,6,230,30,1140,Koblenz
8000034,8000034,5,40,16,0,300,Koblenz
8000034,8000427,3,20,16,0,150,Koblenz
8000034,8005338,2,3,30,30,60,Koblenz
8000034,8006501,0,17,0,0,0,Koblenz
8000229,8000218,5,7,137,30,450,Koblenz
8000229,8000229,13,15,150,60,540,Koblenz
8000229,8001457,12,28,55,0,540,Koblenz
8000229,8001883,14,32,212,0,2610,Koblenz
8000248,8000248,27,33,121,90,600,Koblenz
8000248,8003415,21,33,111,60,540,Koblenz
8000248,8003924,14,17,145,90,600,Koblenz
8000276,8000276,43,76,167,90,1440,Koblenz
8000276,8003341,18,20,255,210,750,Koblenz
8000276,8003665,17,20,243,225,960,Koblenz
8000276,8005062,13,18,195,135,570,Koblenz
8000276,8006036,8,18,110,0,1410,Koblenz
8000276,8006054,12,17,115,60,600,Koblenz
8000278,8000278,59,69,247,120,4290,Koblenz
8000278,8000701,7,8,142,75,480,Koblenz
8000278,8002114,20,26,374,105,4260,Koblenz
8000278,8003341,14,17,256,120,1440,Koblenz
8000278,8003351,14,17,164,90,1260,Koblenz
8000427,8000034,2,20,9,0,120,Koblenz
8000427,8000427,4,40,8,0,180,Koblenz
8000427,8001112,1,18,8,0,150,Koblenz
8000427,8004406,0,2,0,0,0,Koblenz
8000448,8000448,30,62,88,0,1200,Koblenz
8000448,8000449,13,31,77,0,810,Koblenz
8000448,8000729,17,31,94,60,1170,Koblenz
8000449,8000448,17,31,66,30,1170,Koblenz
8000449,8000449,30,62,66,0,1170,Koblenz
8000449,8006191,13,31,60,0,780,Koblenz
8000517,8000517,23,41,87,30,420,Koblenz
8000517,8000726,15,21,94,60,390,Koblenz
8000517,8002879,8,20,81,0,360,Koblenz
8000585,8000585,14,47,20,0,480,Koblenz
8000585,8001177,7,23,30,0,480,Koblenz
8000585,8003568,7,25,7,0,60,Koblenz
