from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8000012,8000012,675,435,3270,Köln
8000012,8001928,550,630,930,Köln
8000012,8005164,462,210,2760,Köln
8000012,8005356,342,210,1350,Köln
8000012,8006501,1130,810,2940,Köln
8000030,8002290,68,0,600,Köln
8000084,8000084,750,180,7560,Köln
8000084,8000178,500,90,4080,Köln
8000084,8000348,7530,7530,7530,Köln
8000084,8003553,628,135,4800,Köln
8000084,8003990,210,30,1860,Köln
8000100,8000100,64,30,750,Köln
8000100,8002402,54,30,360,Köln
8000100,8003462,6,0,60,Köln
8000100,8003671,60,60,60,Köln
8000100,8003927,126,60,780,Köln
8000100,8005298,105,60,510,Köln
8000100,8006280,51,60,150,Köln
8000135,8000135,444,240,2820,Köln
8000135,8002104,656,630,2280,Köln
8000135,8002753,547,360,2820,Köln
8000135,8003330,303,270,870,Köln
8000135,8004869,407,330,1350,Köln
8000135,8005629,317,120,2790,Köln
8000178,8000084,1098,330,7590,Köln
8000178,8000178,440,120,5340,Köln
8000178,8000209,722,420,4290,Köln
8000178,8002389,189,60,2280,Köln
8000178,8004869,305,30,2670,Köln
8000178,8004907,87,30,600,Köln
8000178,8005575,417,225,1920,Köln
8000209,8000178,1385,690,4500,Köln
8000209,8000209,374,90,4470,Köln
8000209,8003310,232,150,1560,Köln
8000209,8003330,570,570,570,Köln
8000209,8003364,121,0,1170,Köln
8000209,8003367,0,0,0,Köln
8000209,8003369,272,90,2580,Köln
8000209,8003669,270,120,1650,Köln
8000209,8006713,891,660,4380,Köln
8000348,8000084,660,660,660,Köln
8000348,8000348,586,120,7500,Köln
8000348,8000406,1020,480,4740,Köln
8000348,8001712,97,0,1410,Köln
8000348,8001886,397,120,2340,Köln
8000348,8099506,413,0,4680,Köln
8000355,8000355,78,30,600,Köln
8000355,8004907,58,0,420,Köln
8000355,8006659,117,60,600,Köln
8000363,8000363,88,15,1050,Köln
8000363,8002462,169,90,1080,Köln
8000363,8005218,101,60,360,Köln
8000404,8000404,270,60,2910,Köln
8000404,8002806,202,0,2730,Köln
8000404,8003395,153,60,1290,Köln
8000404,8070704,381,120,2910,Köln
8000406,8000348,354,90,2340,Köln
8000406,8000406,417,60,4740,Köln
8000406,8001712,229,60,1860,Köln
8000406,8070704,82,0,1320,Köln
8000495,8000495,93,90,390,Köln
8000495,8001084,66,30,270,Köln
8000495,8006516,64,60,270,Köln
8000502,8000502,131,0,1530,Köln
8000502,8000507,0,0,30,Köln
8000502,8000521,276,150,1530,Köln
8000507,8000502,210,105,1560,Köln
8000507,8000507,97,0,1530,Köln
8000507,8002816,0,0,0,Köln
8000510,8000510,135,0,1560,Köln
8000510,8000527,6,0,120,Köln
8000510,8001917,251,120,1530,Köln
8000521,8000502,3,0,60,Köln
8000521,8000521,143,0,1530,Köln
8000521,8000527,295,210,1530,Köln
8000527,8000510,281,180,1530,Köln
8000527,8000521,4,0,90,Köln
8000527,8000527,156,15,1530,Köln
8000677,8000677,411,90,2970,Köln
8000677,8001113,373,165,3000,Köln
8000677,8001839,252,30,2820,Köln
8000677,8003697,928,690,2970,Köln
8000713,8000713,440,315,2130,Köln
8000713,8005074,251,225,870,Köln
8000713,8005970,628,525,2160,Köln
8000832,8003310,67,0,1140,Köln
8000853,8000853,382,120,3000,Köln
8000853,8001506,210,90,720,Köln
8000853,8003616,466,150,2970,Köln
8000853,8003669,259,105,2400,Köln
8000853,8006719,866,255,3150,Köln
8000899,8001566,188,60,1260,Köln
8001081,8001081,38,30,240,Köln
8001081,8001084,11,0,240,Köln
8001081,8001088,37,0,240,Köln
8001082,8001082,388,30,6600,Köln
8001082,8001085,83,0,1290,Köln
8001082,8001091,162,0,2100,Köln
8001082,8001215,918,600,3180,Köln
8001082,8004604,1446,615,6240,Köln
8001084,8000495,104,120,360,Köln
8001084,8001081,80,60,240,Köln
8001084,8001084,52,30,240,Köln
8001085,8001082,12,0,150,Köln
8001085,8001085,49,0,1290,Köln
8001085,8004604,38,30,240,Köln
8001085,8005153,104,0,1290,Köln
8001086,8001086,443,300,2190,Köln
8001086,8003966,264,210,960,Köln
8001086,8004366,612,585,2190,Köln
8001088,8001081,35,30,240,Köln
8001088,8001088,36,30,240,Köln
8001091,8001082,520,0,6600,Köln
8001091,8001091,351,0,6600,Köln
8001091,8001215,822,645,2250,Köln
8001091,8005152,19,0,420,Köln
8001113,8000677,144,60,1080,Köln
8001113,8001113,258,60,3000,Köln
8001113,8003697,336,135,2940,Köln
8001215,8000209,1020,675,3210,Köln
8001215,8001091,1313,405,6570,Köln
8001215,8001215,475,0,6540,Köln
8001215,8003160,0,0,0,Köln
8001215,8005499,79,0,780,Köln
8001264,8001264,325,120,1890,Köln
8001264,8003990,407,180,1890,Köln
8001264,8005575,265,90,1830,Köln
8001384,8001384,652,390,2850,Köln
8001384,8002768,532,300,2880,Köln
8001384,8005356,805,660,2820,Köln
8001416,8001416,97,60,540,Köln
8001416,8002402,141,90,570,Köln
8001416,8006280,62,60,300,Köln
8001557,8001557,153,105,600,Köln
8001557,8002720,226,195,630,Köln
8001557,8004519,91,0,420,Köln
8001566,8000899,328,150,2580,Köln
8001566,8001566,256,120,2610,Köln
8001566,8003367,199,60,1260,Köln
8001712,8000348,244,60,1920,Köln
8001712,8000406,90,0,1380,Köln
8001712,8001712,157,0,1860,Köln
8001736,8001736,623,390,2850,Köln
8001736,8002753,368,285,1320,Köln
8001736,8002768,802,600,3030,Köln
8001736,8003987,508,285,2850,Köln
8001789,8001789,137,60,1200,Köln
8001789,8004739,86,60,390,Köln
8001789,8005218,188,90,1170,Köln
8001839,8000318,282,90,2850,Köln
8001839,8000677,561,300,2400,Köln
8001839,8001839,407,90,2820,Köln
8001839,8002206,2520,2520,2520,Köln
8001839,8002784,352,0,2670,Köln
8001839,8006391,80,120,120,Köln
8001886,8000348,972,420,4740,Köln
8001886,8001886,652,180,4740,Köln
8001886,8003553,365,75,2040,Köln
8001887,8001888,1,0,60,Köln
8001888,8001887,23,0,180,Köln
8001888,8001888,16,0,210,Köln
8001888,8001889,6,0,90,Köln
8001889,8001888,19,0,180,Köln
8001889,8001889,4,0,120,Köln
8001889,8001893,16,0,120,Köln
8001893,8001889,1,0,120,Köln
8001893,8001893,16,0,180,Köln
8001893,8003553,24,0,180,Köln
8001917,8000510,15,0,150,Köln
8001917,8001917,131,30,1500,Köln
8001917,8098349,247,120,1500,Köln
8002104,8000135,229,120,900,Köln
8002104,8002104,447,300,2280,Köln
8002104,8003966,668,645,2280,Köln
8002206,8001839,300,300,300,Köln
8002206,8002206,410,120,2940,Köln
8002206,8002806,2520,2520,2520,Köln
8002206,8003697,233,90,2850,Köln
8002206,8005935,514,150,2940,Köln
8002290,8000030,94,0,570,Köln
8002290,8002290,92,30,600,Köln
8002290,8004746,70,60,600,Köln
8002389,8000178,382,180,2730,Köln
8002389,8002389,279,90,2730,Köln
8002389,8003383,186,60,2400,Köln
8002402,8000100,94,60,480,Köln
8002402,8001416,57,60,360,Köln
8002402,8002402,99,60,540,Köln
8002402,8006280,0,0,0,Köln
8002462,8000363,-26,0,270,Köln
8002462,8002462,128,90,600,Köln
8002462,8070483,250,180,600,Köln
8002718,8002718,160,120,600,Köln
8002718,8002719,99,30,450,Köln
8002718,8003697,211,165,600,Köln
8002719,8002718,220,180,600,Köln
8002719,8002719,162,120,600,Köln
8002719,8002720,109,45,420,Köln
8002720,8001557,96,30,420,Köln
8002720,8002719,237,195,630,Köln
8002720,8002720,159,120,630,Köln
8002721,8002725,15,0,300,Köln
8002725,8002721,136,60,480,Köln
8002725,8002725,77,0,480,Köln
8002725,8004519,111,75,450,Köln
8002753,8000135,315,120,2820,Köln
8002753,8001736,738,615,2700,Köln
8002753,8002753,561,330,2850,Köln
8002753,8002775,785,555,2850,Köln
8002768,8001384,779,540,2820,Köln
8002768,8001736,462,270,2880,Köln
8002768,8002768,633,390,3060,Köln
8002768,8005356,850,585,3150,Köln
8002775,8001006,651,480,2490,Köln
8002775,8002753,380,135,2820,Köln
8002775,8002775,590,330,4260,Köln
8002775,8003987,1126,1080,2820,Köln
8002804,8002804,72,0,1470,Köln
8002804,8002806,10,0,180,Köln
8002804,8002816,150,60,1500,Köln
8002806,8000404,957,720,2880,Köln
8002806,8002206,360,360,360,Köln
8002806,8002804,151,60,1470,Köln
8002806,8002806,285,60,2910,Köln
8002806,8003395,185,60,1650,Köln
8002806,8005935,242,90,2760,Köln
8002806,8400043,207,0,1800,Köln
8002806,8400548,157,60,1020,Köln
8002816,8000507,171,60,1500,Köln
8002816,8002804,0,0,0,Köln
8002816,8002816,80,0,1500,Köln
8002932,8002932,142,60,1350,Köln
8002932,8002988,209,120,1350,Köln
8002932,8004739,130,180,180,Köln
8002932,8005134,91,30,570,Köln
8002988,8002932,92,30,570,Köln
8002988,8002988,135,60,1320,Köln
8002988,8004739,150,60,1290,Köln
8003158,8003927,33,30,60,Köln
8003158,8005339,39,30,180,Köln
8003160,8001215,0,0,0,Köln
8003160,8003160,48,0,540,Köln
8003160,8003252,140,120,570,Köln
8003160,8003330,0,0,0,Köln
8003160,8003361,0,0,0,Köln
8003252,8003160,62,60,180,Köln
8003252,8003252,89,60,540,Köln
8003252,8003671,123,75,540,Köln
8003310,8000209,88,30,1230,Köln
8003310,8000832,314,240,1620,Köln
8003310,8003310,177,60,1560,Köln
8003320,8003320,275,90,2850,Köln
8003320,8003358,324,150,2700,Köln
8003320,8003370,275,120,1740,Köln
8003320,8003392,308,120,3000,Köln
8003330,8000010,240,240,240,Köln
8003330,8000135,426,360,1260,Köln
8003330,8000209,0,0,0,Köln
8003330,8000667,225,225,360,Köln
8003330,8001506,90,30,420,Köln
8003330,8003330,357,180,2760,Köln
8003330,8003358,351,180,2460,Köln
8003330,8003363,60,60,120,Köln
8003330,8004873,438,210,2730,Köln
8003330,8004898,418,330,1050,Köln
8003358,8003320,262,120,2520,Köln
8003358,8003330,444,210,2760,Köln
8003358,8003358,312,150,2760,Köln
8003358,8005143,222,120,1440,Köln
8003360,8003360,206,90,2490,Köln
8003360,8003371,266,150,2460,Köln
8003360,8003372,174,90,1470,Köln
8003361,8000100,30,30,30,Köln
8003361,8001215,1166,345,6450,Köln
8003361,8003160,88,0,540,Köln
8003361,8003252,90,90,90,Köln
8003361,8003361,329,90,6390,Köln
8003361,8003363,0,0,0,Köln
8003361,8003671,159,105,960,Köln
8003362,8003362,199,90,2520,Köln
8003362,8003365,265,150,2520,Köln
8003362,8003371,152,60,1320,Köln
8003363,8003330,0,0,0,Köln
8003363,8003361,99,30,930,Köln
8003363,8003363,89,30,870,Köln
8003364,8000209,247,90,2820,Köln
8003364,8003364,187,60,2790,Köln
8003364,8003392,177,60,1470,Köln
8003365,8003362,152,60,1200,Köln
8003365,8003365,215,120,2520,Köln
8003365,8003366,273,165,2520,Köln
8003366,8003365,172,90,1200,Köln
8003366,8003366,219,120,2520,Köln
