from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000012,8000012,27,40,146,60,1680,Köln
8000012,8001928,2,5,102,0,450,Köln
8000012,8005164,15,39,25,0,120,Köln
8000012,8005356,9,17,266,30,3330,Köln
8000012,8006501,14,15,162,120,660,Köln
8000030,8002290,15,35,51,0,720,Köln
8000084,8000084,53,83,505,90,5940,Köln
8000084,8000178,19,38,311,15,5310,Köln
8000084,8000348,1,1,150,150,150,Köln
8000084,8003553,32,60,480,30,5910,Köln
8000084,8003990,19,49,126,0,1320,Köln
8000100,8002402,20,25,104,60,660,Köln
8000100,8003361,1,1,30,30,30,Köln
8000100,8003462,11,44,15,0,150,Köln
8000100,8003671,1,1,30,30,30,Köln
8000100,8006280,14,17,58,60,210,Köln
8000135,8000135,228,360,203,60,4560,Köln
8000135,8002104,31,39,407,210,4560,Köln
8000135,8002753,96,141,147,60,2730,Köln
8000135,8003330,16,20,687,450,3840,Köln
8000135,8004869,36,39,354,90,3240,Köln
8000135,8005629,68,122,70,30,2550,Köln
8000178,8000084,33,40,740,210,5940,Köln
8000178,8000178,163,242,255,60,5940,Köln
8000178,8000209,18,21,553,60,5160,Köln
8000178,8002389,36,101,91,0,2760,Köln
8000178,8004869,14,17,106,90,390,Köln
8000178,8004907,21,35,83,30,600,Köln
8000178,8005575,47,62,130,45,1020,Köln
8000209,8000178,19,21,1129,330,5880,Köln
8000209,8000209,252,378,304,60,5820,Köln
8000209,8000853,3,3,3340,4740,5190,Köln
8000209,8003330,1,1,1500,1500,1500,Köln
8000209,8003363,26,30,638,240,4500,Köln
8000209,8003364,37,117,49,0,840,Köln
8000209,8003369,62,118,134,30,1260,Köln
8000209,8003669,33,40,571,195,4170,Köln
8000209,8006713,34,37,368,120,2100,Köln
8000348,8000084,1,1,30,30,30,Köln
8000348,8000348,82,121,380,60,6060,Köln
8000348,8000406,30,40,684,195,6210,Köln
8000348,8001712,15,39,80,0,990,Köln
8000348,8001886,33,40,352,60,5430,Köln
8000348,8099506,16,35,114,0,1110,Köln
8000355,8000355,35,70,73,15,780,Köln
8000355,8004907,7,35,46,0,540,Köln
8000355,8006659,22,35,117,60,960,Köln
8000404,8000404,160,236,182,60,5250,Köln
8000404,8002806,23,38,99,30,1650,Köln
8000404,8003395,61,80,232,60,5280,Köln
8000404,8070704,71,99,191,30,1890,Köln
8000406,8000348,36,40,362,60,5430,Köln
8000406,8000406,90,158,307,30,6390,Köln
8000406,8001712,19,39,98,0,720,Köln
