from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8010046,8010046,38,0,180,Leipzig
8010046,8010059,46,30,150,Leipzig
8010046,8012416,32,0,150,Leipzig
8010059,8010046,42,0,180,Leipzig
8010059,8010059,31,30,150,Leipzig
8010059,8011491,27,0,120,Leipzig
8010059,8011626,14,0,210,Leipzig
8010059,8013361,40,30,90,Leipzig
8010076,8010076,65,30,540,Leipzig
8010076,8012141,0,0,0,Leipzig
8010076,8012478,76,30,450,Leipzig
8010076,8012629,77,30,540,Leipzig
8010076,8013428,46,30,330,Leipzig
8010080,8010080,34,15,180,Leipzig
8010080,8012232,35,30,90,Leipzig
8010080,8013295,15,0,60,Leipzig
8010080,8013424,8,0,90,Leipzig
8010095,8010095,26,0,720,Leipzig
8010095,8010161,6,0,60,Leipzig
8010095,8010351,21,0,120,Leipzig
8010095,8011959,45,0,630,Leipzig
8010095,8011983,30,30,60,Leipzig
8010095,8013093,24,30,60,Leipzig
8010122,8010122,126,60,510,Leipzig
8010122,8010238,113,60,480,Leipzig
8010122,8011077,131,60,450,Leipzig
8010122,8011588,114,120,270,Leipzig
8010122,8013095,28,0,120,Leipzig
8010144,8010144,21,0,150,Leipzig
8010144,8011705,60,15,210,Leipzig
8010144,8013087,-3,0,0,Leipzig
8010161,8010095,70,30,810,Leipzig
8010161,8010161,62,30,840,Leipzig
8010161,8011387,34,30,150,Leipzig
8010186,8010186,11,0,60,Leipzig
8010186,8012344,3,0,30,Leipzig
8010186,8013070,19,30,60,Leipzig
8010207,8010207,36,30,180,Leipzig
8010207,8012193,49,60,150,Leipzig
8010207,8012236,10,0,90,Leipzig
8010207,8012817,19,0,240,Leipzig
8010208,8010208,44,30,240,Leipzig
8010208,8011491,39,0,150,Leipzig
8010208,8011495,40,30,210,Leipzig
8010208,8080930,23,0,90,Leipzig
8010209,8010209,16,0,150,Leipzig
8010209,8011771,6,0,30,Leipzig
8010209,8012192,24,30,90,Leipzig
8010209,8012193,60,60,60,Leipzig
8010209,8012236,5,0,60,Leipzig
8010228,8010228,30,30,720,Leipzig
8010228,8011598,26,0,690,Leipzig
8010228,8012308,34,30,90,Leipzig
8010238,8010122,140,90,390,Leipzig
8010238,8010238,118,60,450,Leipzig
8010238,8011297,91,45,420,Leipzig
8010269,8010269,20,0,270,Leipzig
8010269,8012682,31,0,360,Leipzig
8010269,8013447,22,0,270,Leipzig
8010351,8010095,36,30,90,Leipzig
8010351,8010351,33,30,120,Leipzig
8010351,8011131,14,0,90,Leipzig
8010351,8012371,90,90,660,Leipzig
8010359,8010359,39,30,210,Leipzig
8010359,8012946,35,30,90,Leipzig
8010359,8013033,38,30,210,Leipzig
8011018,8011018,36,30,240,Leipzig
8011018,8012284,51,60,150,Leipzig
8011018,8013362,26,30,270,Leipzig
8011077,8010122,91,30,420,Leipzig
8011077,8011077,78,30,480,Leipzig
8011077,8011132,0,0,0,Leipzig
8011077,8011914,116,60,420,Leipzig
8011077,8012178,30,30,120,Leipzig
8011077,8012228,120,120,120,Leipzig
8011131,8010103,33,0,240,Leipzig
8011131,8010351,51,60,90,Leipzig
8011131,8011131,27,30,90,Leipzig
8011131,8012734,36,30,60,Leipzig
8011132,8011077,0,0,0,Leipzig
8011132,8011132,48,30,180,Leipzig
8011132,8012228,30,30,30,Leipzig
8011132,8012526,52,60,180,Leipzig
8011132,8012597,37,0,180,Leipzig
8011242,8011242,25,0,150,Leipzig
8011242,8012241,58,60,270,Leipzig
8011242,8012623,7,0,30,Leipzig
8011339,8011339,21,0,90,Leipzig
8011339,8012117,12,0,60,Leipzig
8011339,8013461,22,0,90,Leipzig
8011387,8010161,104,60,840,Leipzig
8011387,8011387,59,30,810,Leipzig
8011387,8012371,20,0,120,Leipzig
8011491,8010008,32,0,240,Leipzig
8011491,8010059,27,0,120,Leipzig
8011491,8010208,41,30,120,Leipzig
8011491,8011491,25,0,180,Leipzig
8011495,8010208,50,30,150,Leipzig
8011495,8011495,49,30,180,Leipzig
8011495,8012375,38,30,180,Leipzig
8011588,8010122,6,0,30,Leipzig
8011588,8011588,26,0,240,Leipzig
8011588,8012463,51,30,240,Leipzig
8011598,8010228,3,0,60,Leipzig
8011598,8011598,10,0,60,Leipzig
8011598,8011745,12,0,60,Leipzig
8011626,8010059,38,30,120,Leipzig
8011626,8011626,30,30,240,Leipzig
8011626,8012284,30,30,270,Leipzig
8011705,8010144,0,0,0,Leipzig
8011705,8011705,26,0,150,Leipzig
8011705,8011763,39,30,120,Leipzig
8011745,8011598,32,30,90,Leipzig
