from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8010046,8010046,37,54,229,60,1380,Leipzig
8010046,8010059,21,27,243,60,1410,Leipzig
8010046,8012416,17,27,223,120,1050,Leipzig
8010059,8010046,18,27,227,120,1050,Leipzig
8010059,8010059,131,172,179,90,1380,Leipzig
8010059,8011491,60,86,170,60,1230,Leipzig
8010059,8011626,24,39,102,30,540,Leipzig
8010059,8013361,19,20,256,90,1410,Leipzig
8010076,8010076,89,107,447,120,6660,Leipzig
8010076,8012478,13,17,1308,150,6600,Leipzig
8010076,8012629,34,38,249,150,1320,Leipzig
8010076,8013335,16,16,712,135,6210,Leipzig
8010076,8013428,28,39,181,60,2190,Leipzig
8010080,8010080,30,46,-7,30,90,Leipzig
8010080,8013033,16,19,38,30,120,Leipzig
8010080,8013424,4,19,8,0,60,Leipzig
8010095,8010161,11,34,43,0,360,Leipzig
8010095,8010351,0,2,0,0,0,Leipzig
8010095,8011983,7,10,42,60,60,Leipzig
8010122,8010122,29,38,52,30,210,Leipzig
8010122,8010238,14,19,49,30,180,Leipzig
8010122,8011077,11,19,32,30,120,Leipzig
8010122,8011588,13,20,84,105,390,Leipzig
8010122,8013095,2,18,3,0,30,Leipzig
8010144,8010144,26,34,340,210,1020,Leipzig
8010144,8011705,12,17,318,180,930,Leipzig
8010144,8012198,17,17,411,450,1050,Leipzig
8010161,8010095,24,35,177,30,2160,Leipzig
8010161,8010161,30,69,102,0,2100,Leipzig
8010161,8011387,12,34,44,0,360,Leipzig
8010186,8010186,48,137,27,0,750,Leipzig
8010186,8012344,26,68,44,0,690,Leipzig
8010186,8013070,22,69,9,0,60,Leipzig
8010207,8010207,89,179,90,0,1620,Leipzig
8010207,8012193,56,91,131,30,1620,Leipzig
8010207,8012236,16,68,40,0,840,Leipzig
8010207,8012817,9,20,38,0,180,Leipzig
8010208,8010208,59,90,149,60,1170,Leipzig
8010208,8011491,15,27,194,30,990,Leipzig
8010208,8011495,15,18,32,30,60,Leipzig
8010208,8080930,16,27,216,60,1110,Leipzig
8010209,8010209,86,192,55,0,1260,Leipzig
8010209,8011771,23,68,45,0,810,Leipzig
8010209,8012192,15,28,55,30,510,Leipzig
8010209,8012193,1,2,75,75,150,Leipzig
8010209,8012236,27,69,11,0,120,Leipzig
8010228,8010228,119,140,94,60,780,Leipzig
8010228,8011598,56,69,129,90,750,Leipzig
8010228,8012308,63,70,56,30,390,Leipzig
8010228,8013471,1,1,60,60,60,Leipzig
8010238,8010122,13,19,47,60,120,Leipzig
8010238,8010238,24,38,46,45,180,Leipzig
8010238,8011297,11,19,43,30,180,Leipzig
8010269,8010269,24,55,89,0,1050,Leipzig
8010269,8012682,3,28,17,0,360,Leipzig
8010269,8013447,21,27,176,120,1080,Leipzig
8010351,8010351,25,34,446,75,4170,Leipzig
8010351,8011131,6,17,522,0,4140,Leipzig
8010351,8012371,18,35,189,30,2220,Leipzig
8010359,8010359,24,38,27,30,90,Leipzig
8010359,8012946,13,19,25,30,90,Leipzig
8010359,8013033,11,19,21,30,60,Leipzig
8011018,8011018,57,78,110,45,540,Leipzig
8011018,8012284,32,39,127,60,540,Leipzig
8011018,8013362,25,39,104,60,540,Leipzig
8011077,8010122,15,19,58,30,210,Leipzig
8011077,8011077,52,74,49,60,180,Leipzig
8011077,8011132,0,1,0,0,0,Leipzig
