from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8000051,8000051,94,30,1230,Luneburg
8000051,8001168,139,60,1170,Luneburg
8000051,8004702,65,60,180,Luneburg
8000056,8000056,468,300,2520,Luneburg
8000056,8005788,140,45,840,Luneburg
8000088,8000088,379,330,2130,Luneburg
8000088,8001502,633,585,2070,Luneburg
8000088,8004183,130,60,300,Luneburg
8000088,8005594,481,510,1020,Luneburg
8000088,8006090,3,0,30,Luneburg
8000089,8000089,66,60,300,Luneburg
8000089,8000434,69,30,930,Luneburg
8000089,8002565,30,30,240,Luneburg
8000089,8003002,95,75,270,Luneburg
8000413,8000413,119,30,1530,Luneburg
8000413,8000586,140,60,570,Luneburg
8000413,8000773,195,195,270,Luneburg
8000413,8001160,72,30,630,Luneburg
8000413,8001489,166,30,1500,Luneburg
8000440,8000440,31,0,210,Luneburg
8000440,8000445,30,0,120,Luneburg
8000440,8010172,40,0,150,Luneburg
8000440,8012673,40,30,90,Luneburg
8000445,8000440,35,0,210,Luneburg
8000445,8000445,45,30,270,Luneburg
8000445,8006402,50,45,120,Luneburg
8000586,8000413,66,60,210,Luneburg
8000586,8000586,116,60,600,Luneburg
8000586,8001489,225,225,330,Luneburg
8000586,8001924,30,30,60,Luneburg
8000586,8006090,143,90,570,Luneburg
8000773,8000413,52,45,90,Luneburg
8000773,8000773,116,105,270,Luneburg
8000773,8001924,180,165,300,Luneburg
8000815,8000815,38,30,240,Luneburg
8000815,8002674,48,30,270,Luneburg
8000815,8006475,28,0,180,Luneburg
8000935,8000935,140,60,300,Luneburg
8001168,8000051,42,30,210,Luneburg
8001185,8001185,60,0,300,Luneburg
8001185,8001645,90,30,240,Luneburg
8001185,8004183,13,0,60,Luneburg
8001258,8001258,558,450,2880,Luneburg
8001258,8002575,245,90,1530,Luneburg
8001258,8002967,798,555,2430,Luneburg
8001315,8001315,93,30,1290,Luneburg
8001315,8003002,56,30,300,Luneburg
8001315,8004247,106,60,990,Luneburg
8001315,8004302,156,45,1290,Luneburg
8001316,8001316,46,30,240,Luneburg
8001316,8004727,48,30,180,Luneburg
8001316,8006475,50,30,270,Luneburg
8001352,8004727,16,0,180,Luneburg
8001489,8000413,96,30,600,Luneburg
8001489,8000586,37,45,60,Luneburg
8001489,8001489,132,30,1500,Luneburg
8001489,8001949,171,45,1500,Luneburg
8001502,8000088,291,315,690,Luneburg
8001502,8001502,467,405,2070,Luneburg
8001502,8001958,640,600,2070,Luneburg
8001645,8001185,23,30,60,Luneburg
8001645,8001645,41,30,150,Luneburg
8001924,8000586,255,270,360,Luneburg
8001924,8000773,22,0,90,Luneburg
8001924,8001924,123,105,330,Luneburg
8001958,8001502,278,270,690,Luneburg
8001958,8001958,443,360,2040,Luneburg
8001958,8006193,613,555,2010,Luneburg
8002565,8000089,68,60,300,Luneburg
8002565,8002565,42,0,300,Luneburg
8002565,8002843,15,0,180,Luneburg
8002575,8001258,838,600,2280,Luneburg
8002575,8002575,594,465,2220,Luneburg
8002575,8006489,588,540,2040,Luneburg
8002674,8000815,50,0,240,Luneburg
8002674,8002674,51,30,270,Luneburg
8002674,8002843,66,60,300,Luneburg
8002843,8002565,90,75,330,Luneburg
8002843,8002674,56,30,210,Luneburg
8002843,8002843,63,60,330,Luneburg
8002884,8002884,422,330,1920,Luneburg
