from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000051,8000051,1,2,225,225,450,Luneburg
8000051,8001168,1,1,390,390,390,Luneburg
8000051,8004702,1,1,300,300,300,Luneburg
8000056,8005788,14,20,98,60,240,Luneburg
8000088,8000088,45,53,306,270,990,Luneburg
8000088,8001502,16,20,435,435,1020,Luneburg
8000088,8004183,7,11,68,60,240,Luneburg
8000088,8005594,17,22,398,450,960,Luneburg
8000088,8006090,6,11,172,60,1140,Luneburg
8000089,8000089,22,37,105,30,1080,Luneburg
8000089,8000434,23,41,168,30,3300,Luneburg
8000089,8001493,0,1,-30,-30,-30,Luneburg
8000089,8002565,8,20,15,0,90,Luneburg
8000089,8003002,15,19,264,60,1740,Luneburg
8000413,8000413,53,67,208,90,2580,Luneburg
8000413,8000586,12,14,103,90,210,Luneburg
8000413,8000773,2,3,50,30,120,Luneburg
8000413,8001160,27,32,230,105,1680,Luneburg
8000413,8001489,14,18,255,90,2460,Luneburg
8000440,8000440,13,22,147,60,1260,Luneburg
8000440,8000445,8,11,188,90,1260,Luneburg
8000440,8010172,5,8,120,30,630,Luneburg
8000440,8012673,1,3,10,0,30,Luneburg
8000445,8000440,4,11,85,0,660,Luneburg
8000445,8000445,14,22,139,45,1260,Luneburg
8000445,8006402,9,11,196,90,1260,Luneburg
8000586,8000413,13,17,148,120,510,Luneburg
8000586,8000586,30,38,110,60,510,Luneburg
8000586,8001160,1,1,330,330,330,Luneburg
8000586,8001489,3,4,75,30,240,Luneburg
8000586,8001924,1,3,30,0,90,Luneburg
8000586,8006090,9,13,88,30,300,Luneburg
8000773,8000413,1,3,20,0,60,Luneburg
8000773,8000773,2,6,20,0,90,Luneburg
8000773,8001924,1,3,20,0,60,Luneburg
8000815,8000815,21,40,75,30,420,Luneburg
8000815,8002674,12,20,86,30,360,Luneburg
8000815,8006475,9,20,104,0,480,Luneburg
8000935,8000935,3,4,75,90,120,Luneburg
8000935,8003545,1,1,120,120,120,Luneburg
8001168,8000051,0,1,0,0,0,Luneburg
8001185,8001185,7,21,37,0,180,Luneburg
8001185,8001645,3,11,33,0,150,Luneburg
8001185,8004183,3,10,24,0,90,Luneburg
8001258,8001258,38,42,462,180,1860,Luneburg
8001258,8002575,18,20,99,60,240,Luneburg
8001258,8002967,21,22,784,525,1830,Luneburg
8001315,8001315,85,122,199,45,3150,Luneburg
8001315,8003002,7,19,43,0,210,Luneburg
8001315,8004247,57,84,138,45,1050,Luneburg
8001315,8004302,29,42,290,60,3750,Luneburg
8001316,8001316,29,40,94,30,540,Luneburg
8001316,8004727,15,20,123,30,540,Luneburg
8001316,8006475,14,20,64,30,210,Luneburg
8001352,8004727,1,20,78,0,1560,Luneburg
8001489,8000413,10,12,302,105,1590,Luneburg
8001489,8000586,5,10,39,15,180,Luneburg
8001489,8001160,1,1,330,330,330,Luneburg
8001489,8001489,30,46,173,30,2370,Luneburg
8001489,8001949,17,23,207,60,2340,Luneburg
8001502,8000088,18,21,334,300,1080,Luneburg
8001502,8001502,35,41,416,390,1110,Luneburg
8001502,8001958,19,20,518,495,1620,Luneburg
8001645,8001185,4,10,39,0,150,Luneburg
8001645,8001645,7,21,31,0,150,Luneburg
8001924,8000586,2,3,30,30,60,Luneburg
8001924,8000773,1,3,10,0,30,Luneburg
8001924,8001924,2,6,15,0,60,Luneburg
8001958,8001502,20,21,366,330,1080,Luneburg
8001958,8001958,37,41,436,390,1710,Luneburg
8001958,8006193,16,20,480,465,1080,Luneburg
8002565,8000089,10,20,81,15,420,Luneburg
8002565,8002565,15,40,46,0,390,Luneburg
8002565,8002843,3,20,6,0,60,Luneburg
8002575,8001258,20,22,796,510,1890,Luneburg
8002575,8002575,34,42,479,270,1860,Luneburg
8002575,8006489,19,20,360,165,2220,Luneburg
8002674,8000815,8,20,87,0,420,Luneburg
8002674,8002674,20,40,82,15,390,Luneburg
8002674,8002843,12,20,94,60,390,Luneburg
8002843,8002565,14,20,105,60,390,Luneburg
8002843,8002674,11,20,60,30,270,Luneburg
8002843,8002843,24,40,68,30,390,Luneburg
8002884,8002884,35,41,344,300,1200,Luneburg
8002884,8005457,17,20,398,360,1200,Luneburg
8002884,8006193,18,21,364,300,1140,Luneburg
8002967,8001258,17,20,93,60,240,Luneburg
8002967,8002967,38,42,458,225,1800,Luneburg
8002967,8005788,21,22,769,510,1770,Luneburg
8003002,8000089,7,19,30,0,120,Luneburg
8003002,8001315,13,19,245,30,1710,Luneburg
8003002,8001493,24,42,229,30,2370,Luneburg
8003002,8003002,73,122,186,30,3300,Luneburg
8003002,8004302,34,42,206,75,1560,Luneburg
8003700,8003700,38,40,333,255,1260,Luneburg
8003700,8003957,19,20,429,330,1320,Luneburg
8003700,8005457,19,20,268,225,660,Luneburg
8004183,8000088,5,11,27,0,150,Luneburg
8004183,8001185,5,11,57,0,210,Luneburg
8004183,8004183,10,21,44,0,240,Luneburg
8004702,8000051,1,1,240,240,240,Luneburg
