from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8010047,8010047,74,30,600,Magdeburg
8010047,8010226,120,120,120,Magdeburg
8010047,8011630,102,15,630,Magdeburg
8010047,8011673,30,30,30,Magdeburg
8010047,8012066,21,30,90,Magdeburg
8010047,8013455,102,60,450,Magdeburg
8010070,8010070,109,60,1680,Magdeburg
8010070,8010084,47,60,120,Magdeburg
8010070,8011323,13,0,90,Magdeburg
8010070,8012830,145,60,1680,Magdeburg
8010071,8010071,43,30,150,Magdeburg
8010071,8011323,53,0,180,Magdeburg
8010071,8012507,43,30,120,Magdeburg
8010084,8010070,178,60,1710,Magdeburg
8010084,8010084,112,60,1710,Magdeburg
8010084,8013465,58,60,150,Magdeburg
8010086,8010086,70,60,540,Magdeburg
8010086,8012289,55,60,180,Magdeburg
8010086,8073410,91,60,570,Magdeburg
8010096,8010096,147,60,1980,Magdeburg
8010096,8012599,35,15,120,Magdeburg
8010096,8013248,244,120,1980,Magdeburg
8010123,8010123,122,60,600,Magdeburg
8010123,8010151,172,120,600,Magdeburg
8010123,8013365,62,0,420,Magdeburg
8010151,8010123,58,0,480,Magdeburg
8010151,8010151,113,45,630,Magdeburg
8010151,8011294,182,120,660,Magdeburg
8010157,8010157,27,30,120,Magdeburg
8010157,8010169,6,0,60,Magdeburg
8010157,8010254,17,0,60,Magdeburg
8010157,8010364,7,0,30,Magdeburg
8010157,8010374,7,0,30,Magdeburg
8010157,8011599,15,0,180,Magdeburg
8010157,8011808,55,30,360,Magdeburg
8010157,8011838,0,0,0,Magdeburg
8010158,8010158,8,0,120,Magdeburg
8010158,8010226,0,0,0,Magdeburg
8010158,8011544,24,0,240,Magdeburg
8010158,8013180,15,0,150,Magdeburg
8010169,8010157,21,0,150,Magdeburg
8010169,8010169,16,0,150,Magdeburg
8010169,8010374,6,0,60,Magdeburg
8010172,8000440,23,0,150,Magdeburg
8010172,8010172,105,0,2730,Magdeburg
8010172,8011277,42,0,330,Magdeburg
8010172,8012014,346,0,2730,Magdeburg
8010172,8013083,36,30,120,Magdeburg
8010226,8010047,60,60,60,Magdeburg
8010226,8010226,81,30,2280,Magdeburg
8010226,8011294,28,30,90,Magdeburg
8010226,8012289,62,60,540,Magdeburg
8010226,8012292,81,90,120,Magdeburg
8010226,8013455,65,30,570,Magdeburg
8010226,8073410,90,90,150,Magdeburg
8010226,8080660,35,30,150,Magdeburg
8010254,8010157,20,30,90,Magdeburg
8010254,8010254,4,0,60,Magdeburg
8010254,8010266,0,0,30,Magdeburg
8010261,8010261,14,0,150,Magdeburg
8010261,8011228,0,0,0,Magdeburg
8010261,8012352,13,0,120,Magdeburg
8010266,8010254,0,0,30,Magdeburg
8010266,8010266,-4,0,30,Magdeburg
8010266,8011794,0,0,0,Magdeburg
8010266,8012572,0,0,0,Magdeburg
8010290,8010290,16,0,60,Magdeburg
8010290,8011383,5,0,60,Magdeburg
8010290,8012423,3,0,30,Magdeburg
8010318,8010070,0,0,0,Magdeburg
8010318,8010318,81,30,990,Magdeburg
8010318,8010332,37,30,150,Magdeburg
8010318,8012287,56,60,180,Magdeburg
8010318,8012907,45,30,180,Magdeburg
8010318,8013456,76,0,900,Magdeburg
8010318,8013465,168,60,1680,Magdeburg
8010318,8081260,81,60,300,Magdeburg
8010318,8081270,54,30,510,Magdeburg
8010364,8010157,42,30,150,Magdeburg
8010364,8010364,25,0,120,Magdeburg
8010364,8011383,23,0,90,Magdeburg
8010364,8011838,25,0,120,Magdeburg
8010374,8010157,67,90,90,Magdeburg
8010374,8010169,27,0,150,Magdeburg
8010374,8010374,23,0,180,Magdeburg
8010374,8011933,21,0,90,Magdeburg
8010374,8013286,16,0,60,Magdeburg
8011111,8011111,55,60,210,Magdeburg
8011111,8012289,83,60,240,Magdeburg
8011111,8012328,18,0,90,Magdeburg
8011181,8011181,16,0,90,Magdeburg
8011181,8011388,20,30,90,Magdeburg
8011181,8013485,10,0,30,Magdeburg
8011190,8011190,36,60,120,Magdeburg
8011190,8012354,41,60,120,Magdeburg
8011190,8013046,30,30,60,Magdeburg
8011226,8011226,18,0,120,Magdeburg
8011226,8012161,17,0,60,Magdeburg
8011226,8013439,12,0,60,Magdeburg
8011228,8010261,32,0,210,Magdeburg
8011228,8011228,19,0,240,Magdeburg
8011228,8012705,10,0,60,Magdeburg
8011277,8010172,360,30,2760,Magdeburg
8011277,8011277,181,0,2760,Magdeburg
8011277,8011545,33,0,300,Magdeburg
8011294,8010151,55,0,450,Magdeburg
8011294,8010226,172,120,630,Magdeburg
8011294,8011294,115,60,660,Magdeburg
8011294,8012381,51,0,270,Magdeburg
8011323,8010070,83,90,180,Magdeburg
8011323,8010071,63,60,120,Magdeburg
8011323,8011323,50,30,180,Magdeburg
8011346,8011346,21,0,90,Magdeburg
8011346,8011933,24,15,60,Magdeburg
8011346,8013286,32,0,90,Magdeburg
8011383,8010290,43,60,120,Magdeburg
8011383,8010364,33,30,120,Magdeburg
8011383,8011383,25,30,90,Magdeburg
8011388,8011181,7,0,30,Magdeburg
8011388,8011388,7,0,30,Magdeburg
8011388,8012572,4,0,30,Magdeburg
8011415,8011415,152,60,1980,Magdeburg
8011415,8012546,45,30,120,Magdeburg
8011415,8012599,242,120,1980,Magdeburg
8011455,8011455,82,30,540,Magdeburg
8011455,8011462,60,0,300,Magdeburg
8011455,8012907,120,60,540,Magdeburg
8011462,8011455,90,30,540,Magdeburg
8011462,8011462,81,30,540,Magdeburg
8011462,8011549,73,30,360,Magdeburg
8011544,8010158,0,0,0,Magdeburg
8011544,8011544,10,0,210,Magdeburg
8011544,8013250,24,0,240,Magdeburg
8011545,8011277,346,30,2760,Magdeburg
8011545,8011545,173,0,2760,Magdeburg
8011545,8012673,27,0,240,Magdeburg
8011549,8010332,81,30,300,Magdeburg
8011549,8011462,80,30,540,Magdeburg
8011549,8011549,72,30,510,Magdeburg
8011596,8011596,38,30,210,Magdeburg
8011596,8011946,45,30,210,Magdeburg
8011596,8013005,36,30,90,Magdeburg
8011630,8010047,81,60,330,Magdeburg
8011630,8011630,91,60,630,Magdeburg
8011630,8012381,102,15,600,Magdeburg
