from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8010047,8010047,49,60,175,90,2970,Magdeburg
8010047,8010226,1,1,60,60,60,Magdeburg
8010047,8011630,10,12,380,90,2940,Magdeburg
8010047,8011673,0,1,0,0,0,Magdeburg
8010047,8012066,13,18,120,90,330,Magdeburg
8010047,8013455,26,28,133,90,660,Magdeburg
8010070,8010070,28,39,83,60,510,Magdeburg
8010070,8010084,8,19,58,0,480,Magdeburg
8010070,8011323,2,9,17,0,120,Magdeburg
8010070,8012830,13,20,90,60,480,Magdeburg
8010071,8010071,13,18,48,30,210,Magdeburg
8010071,8011323,8,9,93,60,240,Magdeburg
8010071,8012507,5,9,53,60,120,Magdeburg
8010084,8010070,16,19,106,60,510,Magdeburg
8010084,8010084,28,38,87,30,510,Magdeburg
8010084,8013465,12,19,71,30,510,Magdeburg
8010086,8010086,34,42,89,60,990,Magdeburg
8010086,8012289,11,21,96,30,960,Magdeburg
8010086,8073410,17,21,96,60,390,Magdeburg
8010096,8010096,19,25,263,60,4050,Magdeburg
8010096,8012599,7,12,82,60,420,Magdeburg
8010096,8013248,10,13,422,60,4050,Magdeburg
8010123,8010123,24,42,239,60,2880,Magdeburg
8010123,8010151,11,21,200,30,1290,Magdeburg
8010123,8013365,14,21,269,60,2910,Magdeburg
8010151,8010123,13,21,279,60,2880,Magdeburg
8010151,8010151,29,42,235,30,2880,Magdeburg
8010151,8011294,16,21,226,60,1320,Magdeburg
8010157,8010157,42,80,51,30,450,Magdeburg
8010157,8010169,2,10,75,0,660,Magdeburg
8010157,8010254,9,34,67,0,360,Magdeburg
8010157,8010364,7,25,17,0,150,Magdeburg
8010157,8010374,3,8,30,0,180,Magdeburg
8010157,8011599,3,14,66,0,630,Magdeburg
8010157,8011808,12,12,48,30,150,Magdeburg
8010157,8011838,0,1,0,0,0,Magdeburg
8010158,8010158,16,22,132,60,1320,Magdeburg
8010158,8010226,1,1,390,390,390,Magdeburg
8010158,8011544,6,11,57,30,330,Magdeburg
8010158,8013180,10,18,132,30,1290,Magdeburg
8010169,8010157,5,10,51,15,330,Magdeburg
8010169,8010169,7,20,66,0,660,Magdeburg
8010169,8010374,2,10,72,0,630,Magdeburg
8010172,8000440,3,9,17,0,60,Magdeburg
8010172,8010172,19,38,37,15,300,Magdeburg
8010172,8011277,3,10,36,0,300,Magdeburg
8010172,8012014,6,9,67,90,210,Magdeburg
8010172,8013083,5,9,20,30,60,Magdeburg
8010226,8010047,1,1,60,60,60,Magdeburg
8010226,8010226,153,202,130,60,2880,Magdeburg
8010226,8011294,14,18,127,90,780,Magdeburg
8010226,8012289,28,41,57,60,270,Magdeburg
8010226,8012292,7,7,94,60,300,Magdeburg
8010226,8013455,28,30,212,75,2940,Magdeburg
8010226,8073410,11,11,85,60,270,Magdeburg
8010226,8080660,11,20,92,30,930,Magdeburg
8010254,8010157,16,33,25,0,210,Magdeburg
8010254,8010254,13,67,35,0,360,Magdeburg
8010254,8010266,9,34,53,0,360,Magdeburg
8010261,8010261,11,35,15,0,120,Magdeburg
8010261,8011228,1,11,3,0,30,Magdeburg
8010261,8012352,0,9,0,0,0,Magdeburg
8010266,8010254,13,33,26,0,270,Magdeburg
8010266,8010266,22,67,42,0,360,Magdeburg
8010266,8011794,6,12,118,15,360,Magdeburg
8010266,8012572,4,28,19,0,150,Magdeburg
8010290,8010290,12,36,19,0,120,Magdeburg
8010290,8011383,2,18,7,0,60,Magdeburg
8010290,8012423,6,18,20,0,120,Magdeburg
8010318,8010070,0,1,0,0,0,Magdeburg
8010318,8010318,83,119,79,30,1110,Magdeburg
8010318,8010332,6,8,90,45,480,Magdeburg
8010318,8012287,9,19,68,0,480,Magdeburg
8010318,8012907,5,8,34,45,60,Magdeburg
8010318,8013456,7,16,84,0,960,Magdeburg
8010318,8013465,16,19,106,60,480,Magdeburg
8010318,8081260,14,25,104,30,1080,Magdeburg
8010318,8081270,10,23,21,0,90,Magdeburg
8010364,8010157,20,26,57,30,270,Magdeburg
8010364,8010364,28,51,38,30,270,Magdeburg
8010364,8011383,8,18,32,0,150,Magdeburg
8010364,8011838,2,7,17,0,90,Magdeburg
8010374,8010157,8,8,172,90,510,Magdeburg
8010374,8010169,6,10,60,30,330,Magdeburg
8010374,8010374,18,36,78,15,600,Magdeburg
8010374,8011933,2,7,94,0,600,Magdeburg
8010374,8013286,3,11,35,0,210,Magdeburg
