from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8010016,8010016,43,30,150,Mecklenburg-Vorpommern
8010016,8011031,18,0,120,Mecklenburg-Vorpommern
8010016,8012729,13,0,120,Mecklenburg-Vorpommern
8010051,8010051,94,0,1050,Mecklenburg-Vorpommern
8010051,8010153,43,30,240,Mecklenburg-Vorpommern
8010051,8010322,122,30,390,Mecklenburg-Vorpommern
8010051,8012264,450,450,900,Mecklenburg-Vorpommern
8010051,8013186,86,0,1230,Mecklenburg-Vorpommern
8010141,8010141,109,30,540,Mecklenburg-Vorpommern
8010141,8011702,79,30,450,Mecklenburg-Vorpommern
8010141,8012651,103,30,300,Mecklenburg-Vorpommern
8010141,8012902,150,120,360,Mecklenburg-Vorpommern
8010153,8010051,30,30,90,Mecklenburg-Vorpommern
8010153,8010153,41,30,150,Mecklenburg-Vorpommern
8010153,8010201,54,60,150,Mecklenburg-Vorpommern
8010153,8010284,4,0,60,Mecklenburg-Vorpommern
8010153,8011215,0,0,0,Mecklenburg-Vorpommern
8010153,8012269,5,0,60,Mecklenburg-Vorpommern
8010156,8010156,143,60,1800,Mecklenburg-Vorpommern
8010156,8010173,15,15,60,Mecklenburg-Vorpommern
8010156,8011798,64,0,270,Mecklenburg-Vorpommern
8010156,8012009,180,105,510,Mecklenburg-Vorpommern
8010156,8012474,112,75,300,Mecklenburg-Vorpommern
8010156,8012677,230,60,1800,Mecklenburg-Vorpommern
8010156,8012951,195,75,780,Mecklenburg-Vorpommern
8010156,8013069,48,0,270,Mecklenburg-Vorpommern
8010173,8010173,125,60,660,Mecklenburg-Vorpommern
8010173,8012951,118,60,660,Mecklenburg-Vorpommern
8010173,8013073,127,60,510,Mecklenburg-Vorpommern
8010173,8013370,186,90,480,Mecklenburg-Vorpommern
8010176,8010176,23,30,150,Mecklenburg-Vorpommern
8010176,8010381,30,0,180,Mecklenburg-Vorpommern
8010176,8011995,31,30,60,Mecklenburg-Vorpommern
8010179,8010179,52,0,360,Mecklenburg-Vorpommern
8010179,8011536,114,75,360,Mecklenburg-Vorpommern
8010179,8012418,30,30,90,Mecklenburg-Vorpommern
8010179,8012839,35,0,180,Mecklenburg-Vorpommern
8010179,8013131,30,0,180,Mecklenburg-Vorpommern
8010199,8010199,18,0,180,Mecklenburg-Vorpommern
8010199,8010284,28,30,180,Mecklenburg-Vorpommern
8010199,8012436,13,15,30,Mecklenburg-Vorpommern
8010201,8010153,54,45,90,Mecklenburg-Vorpommern
8010201,8010201,54,45,270,Mecklenburg-Vorpommern
8010201,8012093,63,60,210,Mecklenburg-Vorpommern
8010210,8010210,17,0,90,Mecklenburg-Vorpommern
8010210,8012683,5,0,90,Mecklenburg-Vorpommern
8010210,8012832,31,0,90,Mecklenburg-Vorpommern
8010210,8013104,11,0,90,Mecklenburg-Vorpommern
8010213,8010213,88,60,330,Mecklenburg-Vorpommern
8010213,8011689,108,135,180,Mecklenburg-Vorpommern
8010213,8013393,66,0,330,Mecklenburg-Vorpommern
8010227,8010227,51,30,630,Mecklenburg-Vorpommern
8010227,8010348,99,60,630,Mecklenburg-Vorpommern
8010227,8012758,23,0,150,Mecklenburg-Vorpommern
8010241,8010241,131,30,990,Mecklenburg-Vorpommern
8010241,8011025,128,0,930,Mecklenburg-Vorpommern
8010241,8011293,121,30,660,Mecklenburg-Vorpommern
8010241,8012376,31,0,480,Mecklenburg-Vorpommern
8010241,8012758,30,30,30,Mecklenburg-Vorpommern
8010267,8011403,18,0,270,Mecklenburg-Vorpommern
8010267,8013018,15,0,180,Mecklenburg-Vorpommern
8010273,8010273,37,30,240,Mecklenburg-Vorpommern
8010273,8010284,26,0,240,Mecklenburg-Vorpommern
8010273,8013072,51,30,120,Mecklenburg-Vorpommern
8010284,8010153,59,30,240,Mecklenburg-Vorpommern
8010284,8010199,11,0,30,Mecklenburg-Vorpommern
8010284,8010273,3,0,60,Mecklenburg-Vorpommern
8010284,8010284,28,0,240,Mecklenburg-Vorpommern
8010300,8010300,35,30,210,Mecklenburg-Vorpommern
8010300,8011611,30,0,120,Mecklenburg-Vorpommern
8010300,8012377,45,60,120,Mecklenburg-Vorpommern
8010300,8012582,17,0,210,Mecklenburg-Vorpommern
8010322,8010051,57,30,450,Mecklenburg-Vorpommern
8010322,8010322,47,30,360,Mecklenburg-Vorpommern
8010322,8011924,58,60,240,Mecklenburg-Vorpommern
8010322,8012362,23,30,60,Mecklenburg-Vorpommern
8010325,8010325,129,75,540,Mecklenburg-Vorpommern
8010325,8012940,114,105,240,Mecklenburg-Vorpommern
8010325,8012951,153,60,540,Mecklenburg-Vorpommern
8010339,8010339,23,0,180,Mecklenburg-Vorpommern
8010339,8011213,40,30,150,Mecklenburg-Vorpommern
8010339,8012555,15,0,120,Mecklenburg-Vorpommern
8010348,8010153,0,0,0,Mecklenburg-Vorpommern
8010348,8010227,8,0,60,Mecklenburg-Vorpommern
8010348,8010348,47,30,420,Mecklenburg-Vorpommern
8010348,8012436,18,0,210,Mecklenburg-Vorpommern
8010381,8010176,15,15,30,Mecklenburg-Vorpommern
8010381,8012321,4,0,60,Mecklenburg-Vorpommern
8010392,8010392,0,0,0,Mecklenburg-Vorpommern
8010392,8013132,0,0,0,Mecklenburg-Vorpommern
8010392,8013133,0,0,0,Mecklenburg-Vorpommern
8010392,8013385,0,0,0,Mecklenburg-Vorpommern
8011017,8011017,20,0,210,Mecklenburg-Vorpommern
8011017,8012711,28,0,180,Mecklenburg-Vorpommern
8011017,8013062,4,0,30,Mecklenburg-Vorpommern
8011025,8010241,111,30,660,Mecklenburg-Vorpommern
8011025,8011025,113,0,870,Mecklenburg-Vorpommern
8011025,8011646,137,30,900,Mecklenburg-Vorpommern
8011027,8011027,44,30,240,Mecklenburg-Vorpommern
8011027,8011281,76,0,480,Mecklenburg-Vorpommern
8011027,8012762,18,15,60,Mecklenburg-Vorpommern
8011031,8010016,54,60,120,Mecklenburg-Vorpommern
8011031,8011031,26,0,120,Mecklenburg-Vorpommern
8011031,8012609,12,0,120,Mecklenburg-Vorpommern
8011044,8010282,60,60,90,Mecklenburg-Vorpommern
8011044,8011044,34,0,240,Mecklenburg-Vorpommern
8011044,8011438,6,0,30,Mecklenburg-Vorpommern
8011044,8012021,51,15,210,Mecklenburg-Vorpommern
8011044,8012418,600,600,600,Mecklenburg-Vorpommern
8011108,8011108,0,0,0,Mecklenburg-Vorpommern
8011108,8013132,0,0,0,Mecklenburg-Vorpommern
8011108,8013341,0,0,0,Mecklenburg-Vorpommern
8011109,8011109,0,0,0,Mecklenburg-Vorpommern
8011109,8012892,0,0,0,Mecklenburg-Vorpommern
8011109,8087026,0,0,0,Mecklenburg-Vorpommern
8011114,8012005,0,0,0,Mecklenburg-Vorpommern
