from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8010016,8010016,30,36,41,30,150,Mecklenburg-Vorpommern
8010016,8011031,7,24,19,0,120,Mecklenburg-Vorpommern
8010016,8012729,5,18,15,0,60,Mecklenburg-Vorpommern
8010051,8010051,18,42,34,0,420,Mecklenburg-Vorpommern
8010051,8010153,6,9,27,30,90,Mecklenburg-Vorpommern
8010051,8010322,10,12,62,45,210,Mecklenburg-Vorpommern
8010051,8012264,1,2,30,30,60,Mecklenburg-Vorpommern
8010051,8013186,9,19,38,0,390,Mecklenburg-Vorpommern
8010141,8010141,16,38,47,0,360,Mecklenburg-Vorpommern
8010141,8011702,5,11,22,0,90,Mecklenburg-Vorpommern
8010141,8012651,3,9,53,0,300,Mecklenburg-Vorpommern
8010141,8012902,6,8,82,60,210,Mecklenburg-Vorpommern
8010153,8010051,6,9,23,30,60,Mecklenburg-Vorpommern
8010153,8010153,49,56,229,60,4980,Mecklenburg-Vorpommern
8010153,8010201,10,10,396,105,1830,Mecklenburg-Vorpommern
8010153,8010284,7,19,88,0,960,Mecklenburg-Vorpommern
8010153,8012269,4,18,60,0,540,Mecklenburg-Vorpommern
8010156,8010156,50,57,161,120,1440,Mecklenburg-Vorpommern
8010156,8011798,8,13,48,30,180,Mecklenburg-Vorpommern
8010156,8012009,3,4,142,135,300,Mecklenburg-Vorpommern
8010156,8012474,3,3,320,300,510,Mecklenburg-Vorpommern
8010156,8012677,13,15,176,60,1410,Mecklenburg-Vorpommern
8010156,8012951,11,12,280,270,660,Mecklenburg-Vorpommern
8010156,8013069,4,10,69,0,360,Mecklenburg-Vorpommern
8010173,8010173,38,52,84,45,330,Mecklenburg-Vorpommern
8010173,8012951,19,26,98,60,360,Mecklenburg-Vorpommern
8010173,8013073,15,21,81,60,360,Mecklenburg-Vorpommern
8010173,8013370,4,5,72,30,240,Mecklenburg-Vorpommern
8010176,8010176,22,36,25,30,90,Mecklenburg-Vorpommern
8010176,8010381,7,18,25,0,120,Mecklenburg-Vorpommern
8010176,8011995,15,18,30,30,60,Mecklenburg-Vorpommern
8010179,8010179,34,42,88,60,480,Mecklenburg-Vorpommern
8010179,8011536,9,10,126,105,480,Mecklenburg-Vorpommern
8010179,8012418,9,9,87,90,180,Mecklenburg-Vorpommern
8010179,8012839,10,11,63,60,120,Mecklenburg-Vorpommern
8010179,8013131,8,11,44,30,150,Mecklenburg-Vorpommern
8010199,8010199,20,36,98,30,990,Mecklenburg-Vorpommern
8010199,8010284,13,18,92,30,810,Mecklenburg-Vorpommern
8010199,8012436,11,18,118,45,990,Mecklenburg-Vorpommern
8010201,8010153,10,10,579,120,4920,Mecklenburg-Vorpommern
8010201,8010201,16,20,459,75,4890,Mecklenburg-Vorpommern
8010201,8012093,9,10,351,120,1620,Mecklenburg-Vorpommern
8010210,8010210,26,38,213,30,1200,Mecklenburg-Vorpommern
8010210,8012683,11,16,251,60,1110,Mecklenburg-Vorpommern
8010210,8012832,14,19,219,90,1110,Mecklenburg-Vorpommern
8010210,8013104,11,19,172,30,930,Mecklenburg-Vorpommern
8010227,8010227,27,36,87,60,690,Mecklenburg-Vorpommern
8010227,8010348,18,18,127,120,300,Mecklenburg-Vorpommern
8010227,8012758,19,19,88,30,690,Mecklenburg-Vorpommern
8010241,8010241,43,65,62,30,360,Mecklenburg-Vorpommern
8010241,8011025,8,17,23,0,150,Mecklenburg-Vorpommern
8010241,8011293,17,19,81,60,210,Mecklenburg-Vorpommern
8010241,8012376,11,18,33,30,120,Mecklenburg-Vorpommern
8010241,8013017,9,17,48,30,240,Mecklenburg-Vorpommern
8010267,8011403,3,19,5,0,30,Mecklenburg-Vorpommern
8010267,8013018,5,13,48,0,300,Mecklenburg-Vorpommern
8010273,8010273,0,1,-30,-30,-30,Mecklenburg-Vorpommern
8010273,8013072,0,1,0,0,0,Mecklenburg-Vorpommern
8010284,8010153,14,18,97,30,810,Mecklenburg-Vorpommern
8010284,8010199,10,18,112,45,990,Mecklenburg-Vorpommern
8010284,8010273,0,1,-30,-30,-30,Mecklenburg-Vorpommern
8010284,8010284,23,37,96,30,990,Mecklenburg-Vorpommern
8010300,8010300,49,58,232,105,1380,Mecklenburg-Vorpommern
8010300,8011611,12,15,368,300,1290,Mecklenburg-Vorpommern
8010300,8012377,15,16,159,90,480,Mecklenburg-Vorpommern
8010300,8012582,8,17,79,0,420,Mecklenburg-Vorpommern
8010322,8010051,6,12,65,15,480,Mecklenburg-Vorpommern
8010322,8010322,48,60,93,30,630,Mecklenburg-Vorpommern
8010322,8011924,17,18,133,60,600,Mecklenburg-Vorpommern
8010322,8012362,17,18,113,60,480,Mecklenburg-Vorpommern
8010325,8010325,30,63,45,0,270,Mecklenburg-Vorpommern
8010325,8012940,15,32,50,0,240,Mecklenburg-Vorpommern
8010325,8012951,7,11,38,30,180,Mecklenburg-Vorpommern
8010325,8013354,15,20,69,45,270,Mecklenburg-Vorpommern
8010339,8010339,16,34,32,0,180,Mecklenburg-Vorpommern
8010339,8011213,16,17,67,60,210,Mecklenburg-Vorpommern
8010339,8012555,5,17,19,0,120,Mecklenburg-Vorpommern
8010348,8010227,6,18,58,0,720,Mecklenburg-Vorpommern
8010348,8010348,34,36,108,60,870,Mecklenburg-Vorpommern
8010348,8012436,9,18,73,15,840,Mecklenburg-Vorpommern
8010381,8010176,14,18,27,30,60,Mecklenburg-Vorpommern
8010381,8012321,3,21,7,0,90,Mecklenburg-Vorpommern
8010392,8010392,3,39,11,0,240,Mecklenburg-Vorpommern
8010392,8013132,0,19,0,0,0,Mecklenburg-Vorpommern
8010392,8013133,0,18,0,0,0,Mecklenburg-Vorpommern
8010392,8013385,3,21,20,0,240,Mecklenburg-Vorpommern
8011017,8011017,21,38,232,45,1350,Mecklenburg-Vorpommern
8011017,8012711,13,19,256,90,1320,Mecklenburg-Vorpommern
8011017,8013062,8,19,159,0,900,Mecklenburg-Vorpommern
8011025,8010241,13,17,113,150,210,Mecklenburg-Vorpommern
8011025,8011025,18,34,56,30,270,Mecklenburg-Vorpommern
8011025,8011646,9,17,34,30,120,Mecklenburg-Vorpommern
8011027,8011027,17,21,343,180,1620,Mecklenburg-Vorpommern
8011027,8011281,8,11,409,420,1590,Mecklenburg-Vorpommern
8011027,8012762,6,10,249,75,780,Mecklenburg-Vorpommern
8011031,8010016,23,25,73,60,300,Mecklenburg-Vorpommern
8011031,8011031,26,49,36,30,270,Mecklenburg-Vorpommern
8011031,8012609,5,24,12,0,90,Mecklenburg-Vorpommern
8011044,8010282,4,4,135,135,210,Mecklenburg-Vorpommern
8011044,8011044,13,28,77,0,480,Mecklenburg-Vorpommern
8011044,8011438,7,10,153,120,450,Mecklenburg-Vorpommern
8011044,8012021,3,10,33,0,240,Mecklenburg-Vorpommern
