from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8000365,8000365,88,60,360,Mittelfranken
8000365,8003664,19,0,120,Mittelfranken
8000365,8005388,160,90,390,Mittelfranken
8000385,8000385,79,0,1200,Mittelfranken
8000385,8000534,46,0,600,Mittelfranken
8000385,8003554,4,0,30,Mittelfranken
8000385,8004731,166,0,900,Mittelfranken
8000420,8000420,109,30,630,Mittelfranken
8000420,8001877,166,90,660,Mittelfranken
8000420,8007856,61,0,360,Mittelfranken
8000498,8000498,230,60,2340,Mittelfranken
8000498,8003256,255,15,2310,Mittelfranken
8000504,8000504,9,0,120,Mittelfranken
8000504,8000509,4,0,30,Mittelfranken
8000504,8003762,9,0,120,Mittelfranken
8000511,8000511,57,30,240,Mittelfranken
8000511,8002153,66,30,240,Mittelfranken
8000511,8006664,60,60,240,Mittelfranken
8000534,8000385,102,30,1260,Mittelfranken
8000534,8000534,72,30,1260,Mittelfranken
8000534,8005907,63,30,600,Mittelfranken
8000767,8000767,16,0,150,Mittelfranken
8000767,8003058,6,0,120,Mittelfranken
8000767,8003083,28,30,180,Mittelfranken
8000783,8000783,37,0,240,Mittelfranken
8000783,8001223,26,0,240,Mittelfranken
8000783,8003238,41,0,210,Mittelfranken
8000850,8000850,60,30,360,Mittelfranken
8000850,8004478,99,60,330,Mittelfranken
8000850,8005209,38,30,180,Mittelfranken
8001223,8000783,56,30,240,Mittelfranken
8001223,8001223,41,0,270,Mittelfranken
8001223,8001846,24,0,240,Mittelfranken
8001277,8001277,13,0,180,Mittelfranken
8001277,8004724,26,0,180,Mittelfranken
8001278,8001278,56,0,810,Mittelfranken
8001278,8004521,39,0,180,Mittelfranken
8001278,8005947,106,30,780,Mittelfranken
8001317,8001674,26,30,120,Mittelfranken
8001450,8001450,30,0,180,Mittelfranken
8001450,8001548,18,0,180,Mittelfranken
8001450,8004323,47,0,180,Mittelfranken
8001548,8001450,42,0,180,Mittelfranken
8001548,8001548,26,0,180,Mittelfranken
8001548,8003083,14,0,150,Mittelfranken
8001655,8001655,5,0,60,Mittelfranken
8001655,8002838,8,0,60,Mittelfranken
8001655,8003734,-3,0,30,Mittelfranken
8001674,8001317,85,60,300,Mittelfranken
8001674,8001674,55,30,270,Mittelfranken
8001674,8006267,64,60,180,Mittelfranken
8001749,8001749,161,60,1770,Mittelfranken
8001749,8004835,141,60,1380,Mittelfranken
8001749,8006298,170,30,1770,Mittelfranken
8001762,8001762,54,0,420,Mittelfranken
8001762,8001845,66,30,390,Mittelfranken
8001762,8006052,34,0,300,Mittelfranken
8001783,8001783,81,30,600,Mittelfranken
8001783,8002517,141,60,600,Mittelfranken
8001783,8004323,60,30,360,Mittelfranken
8001783,8004336,30,0,150,Mittelfranken
8001783,8005557,57,15,270,Mittelfranken
8001845,8001762,52,0,360,Mittelfranken
8001845,8001845,54,30,330,Mittelfranken
8001845,8001846,74,60,330,Mittelfranken
8001846,8001223,56,0,300,Mittelfranken
8001846,8001845,32,0,300,Mittelfranken
8001846,8001846,48,30,330,Mittelfranken
8001875,8001875,18,0,90,Mittelfranken
8001875,8002029,15,0,60,Mittelfranken
8001875,8002416,12,0,120,Mittelfranken
8001877,8000420,68,0,450,Mittelfranken
8001877,8001877,105,30,630,Mittelfranken
8001877,8003878,148,75,600,Mittelfranken
8001978,8001978,46,30,330,Mittelfranken
8001978,8001988,46,30,240,Mittelfranken
8001978,8001989,55,60,210,Mittelfranken
8001978,8002520,11,0,90,Mittelfranken
8001989,8001978,18,0,300,Mittelfranken
8001989,8001989,38,30,330,Mittelfranken
8001989,8004493,39,60,180,Mittelfranken
8002029,8001875,18,0,120,Mittelfranken
8002029,8002029,18,0,120,Mittelfranken
8002029,8005219,3,0,60,Mittelfranken
8002149,8002149,58,30,270,Mittelfranken
8002149,8002153,11,0,150,Mittelfranken
8002152,8002152,85,30,780,Mittelfranken
8002152,8002155,111,60,750,Mittelfranken
8002152,8005557,53,0,630,Mittelfranken
8002153,8000511,53,30,240,Mittelfranken
8002153,8002149,77,30,270,Mittelfranken
8002153,8002153,45,30,240,Mittelfranken
8002155,8002152,58,0,540,Mittelfranken
8002155,8002155,78,30,750,Mittelfranken
8002237,8002237,105,60,1320,Mittelfranken
8002237,8004115,70,60,300,Mittelfranken
8002237,8005995,150,60,1320,Mittelfranken
8002416,8001875,28,30,90,Mittelfranken
8002416,8002416,22,30,90,Mittelfranken
8002416,8003154,45,60,120,Mittelfranken
8002517,8001783,49,30,180,Mittelfranken
8002517,8002517,93,60,600,Mittelfranken
8002517,8004901,135,60,630,Mittelfranken
8002517,8005557,240,240,240,Mittelfranken
8002520,8001978,37,30,180,Mittelfranken
8002520,8002520,30,30,120,Mittelfranken
8002520,8006476,54,60,150,Mittelfranken
8002578,8002578,86,45,390,Mittelfranken
8002578,8002793,83,30,270,Mittelfranken
8002578,8004858,90,60,390,Mittelfranken
8002596,8002596,141,75,780,Mittelfranken
8002596,8003552,110,15,690,Mittelfranken
8002596,8003567,175,90,750,Mittelfranken
8002609,8002609,5,0,90,Mittelfranken
8002609,8005485,3,0,60,Mittelfranken
8002612,8001929,136,120,720,Mittelfranken
8002612,8002612,213,180,720,Mittelfranken
8002612,8002794,282,270,720,Mittelfranken
8002612,8004858,66,30,270,Mittelfranken
8002678,8002678,38,30,210,Mittelfranken
8002678,8005383,33,30,120,Mittelfranken
8002678,8005572,36,15,210,Mittelfranken
8002705,8002705,39,30,360,Mittelfranken
8002705,8004797,15,0,150,Mittelfranken
8002705,8004926,40,0,360,Mittelfranken
8002705,8005177,26,0,120,Mittelfranken
8002705,8006390,100,90,240,Mittelfranken
8002751,8002751,44,0,420,Mittelfranken
8002751,8002793,80,60,420,Mittelfranken
8002751,8004725,22,0,150,Mittelfranken
8002782,8002782,14,0,120,Mittelfranken
8002782,8002783,22,0,90,Mittelfranken
8002782,8004469,12,0,120,Mittelfranken
8002783,8002782,36,30,150,Mittelfranken
8002783,8002783,31,30,150,Mittelfranken
8002783,8003154,18,0,60,Mittelfranken
8002793,8002578,86,30,390,Mittelfranken
8002793,8002751,27,0,180,Mittelfranken
8002793,8002793,72,30,420,Mittelfranken
8002794,8002612,96,90,750,Mittelfranken
8002794,8002794,119,60,840,Mittelfranken
8002794,8002956,51,30,240,Mittelfranken
8002794,8004284,135,90,720,Mittelfranken
8002794,8004759,40,30,120,Mittelfranken
8002794,8005005,76,60,420,Mittelfranken
8002838,8001655,0,0,0,Mittelfranken
8002956,8002794,93,60,330,Mittelfranken
8002956,8002956,74,30,390,Mittelfranken
8002956,8006120,61,30,270,Mittelfranken
8003058,8000767,36,0,240,Mittelfranken
8003058,8003058,30,0,240,Mittelfranken
8003058,8004724,12,0,90,Mittelfranken
8003083,8000767,23,0,150,Mittelfranken
8003083,8001548,26,0,150,Mittelfranken
8003083,8003083,30,0,180,Mittelfranken
8003154,8002416,20,30,60,Mittelfranken
8003154,8002783,23,0,120,Mittelfranken
8003154,8003154,33,30,120,Mittelfranken
8003552,8002596,163,90,780,Mittelfranken
8003552,8003552,141,60,780,Mittelfranken
8003552,8004923,118,0,660,Mittelfranken
8003554,8000385,81,90,150,Mittelfranken
8003554,8003554,38,15,150,Mittelfranken
8003554,8004933,25,30,30,Mittelfranken
8003567,8002596,108,15,660,Mittelfranken
8003567,8003567,142,60,750,Mittelfranken
8003567,8006448,165,90,780,Mittelfranken
8003580,8003580,55,30,270,Mittelfranken
8003580,8003587,30,30,150,Mittelfranken
8003580,8004725,57,30,420,Mittelfranken
8003581,8003581,65,30,360,Mittelfranken
8003581,8003768,99,60,420,Mittelfranken
8003581,8004310,42,30,240,Mittelfranken
8003587,8003580,87,60,300,Mittelfranken
8003587,8003587,46,30,240,Mittelfranken
8003587,8005142,25,0,150,Mittelfranken
8003664,8000365,88,60,300,Mittelfranken
8003664,8003664,56,30,270,Mittelfranken
8003664,8005250,50,60,120,Mittelfranken
