from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000365,8000365,19,20,507,210,2310,Mittelfranken
8000365,8003664,17,20,448,45,2310,Mittelfranken
8000365,8005388,8,10,156,180,420,Mittelfranken
8000385,8000385,31,43,158,60,1020,Mittelfranken
8000385,8000534,15,21,153,90,660,Mittelfranken
8000385,8003554,7,16,28,0,90,Mittelfranken
8000385,8004731,0,3,0,0,0,Mittelfranken
8000420,8000420,25,41,42,30,270,Mittelfranken
8000420,8001877,13,20,62,45,300,Mittelfranken
8000420,8007856,8,21,24,0,240,Mittelfranken
8000498,8000498,21,25,298,240,1140,Mittelfranken
8000498,8003256,11,13,316,390,630,Mittelfranken
8000504,8000504,34,97,31,0,600,Mittelfranken
8000504,8000509,23,49,45,0,570,Mittelfranken
8000504,8003762,9,48,8,0,60,Mittelfranken
8000511,8000511,45,68,53,30,300,Mittelfranken
8000511,8002153,27,34,74,60,300,Mittelfranken
8000511,8006664,22,34,44,30,240,Mittelfranken
8000534,8000385,16,22,164,75,1020,Mittelfranken
8000534,8000534,34,43,150,60,1020,Mittelfranken
8000534,8005907,19,21,180,120,630,Mittelfranken
8000767,8000767,17,38,24,0,120,Mittelfranken
8000767,8003058,4,19,13,0,60,Mittelfranken
8000767,8003083,6,19,33,0,150,Mittelfranken
8000783,8000783,53,78,123,30,1440,Mittelfranken
8000783,8001223,25,39,51,30,270,Mittelfranken
8000783,8003238,29,39,186,90,1440,Mittelfranken
8000850,8000850,43,49,176,60,1350,Mittelfranken
8000850,8003768,2,2,135,135,240,Mittelfranken
8000850,8004471,1,1,90,90,90,Mittelfranken
8000850,8004478,21,21,253,180,540,Mittelfranken
8000850,8005209,19,24,156,60,1380,Mittelfranken
8001223,8000783,31,39,205,120,1440,Mittelfranken
8001223,8001223,57,78,136,75,1440,Mittelfranken
8001223,8001846,24,39,68,30,270,Mittelfranken
8001277,8001277,17,38,27,0,150,Mittelfranken
8001277,8004724,10,19,30,30,150,Mittelfranken
8001278,8001278,30,40,127,60,1560,Mittelfranken
8001278,8004521,13,20,189,60,1530,Mittelfranken
8001278,8005947,16,20,87,60,240,Mittelfranken
8001317,8001674,9,34,17,0,240,Mittelfranken
8001450,8001450,20,38,42,30,210,Mittelfranken
8001450,8001548,10,19,46,30,210,Mittelfranken
8001450,8004323,7,19,28,0,120,Mittelfranken
8001548,8001450,7,19,39,0,180,Mittelfranken
8001548,8001548,16,38,36,0,210,Mittelfranken
8001548,8003083,6,19,28,0,180,Mittelfranken
8001655,8001655,17,38,51,0,300,Mittelfranken
8001655,8002838,11,19,92,60,300,Mittelfranken
8001655,8003734,8,19,6,0,30,Mittelfranken
8001674,8001317,32,34,80,60,330,Mittelfranken
8001674,8001674,47,68,49,30,330,Mittelfranken
8001674,8006267,21,34,41,30,240,Mittelfranken
8001749,8001749,52,68,152,90,870,Mittelfranken
8001749,8004835,22,34,105,60,900,Mittelfranken
8001749,8006298,27,34,198,120,780,Mittelfranken
8001762,8001762,79,96,179,150,1410,Mittelfranken
8001762,8001845,41,48,213,150,1440,Mittelfranken
8001762,8006052,36,48,142,90,540,Mittelfranken
8001783,8001783,55,77,152,60,1440,Mittelfranken
8001783,8002517,16,23,142,60,720,Mittelfranken
8001783,8004323,14,18,163,135,450,Mittelfranken
8001783,8004336,13,21,170,60,1410,Mittelfranken
8001783,8005557,10,15,104,120,270,Mittelfranken
8001845,8001762,38,48,154,90,600,Mittelfranken
8001845,8001845,80,96,169,135,1440,Mittelfranken
8001845,8001846,44,48,221,180,1440,Mittelfranken
8001846,8001223,31,39,216,120,1440,Mittelfranken
8001846,8001845,34,48,98,60,390,Mittelfranken
8001846,8001846,77,96,148,120,1440,Mittelfranken
8001875,8001875,30,42,59,30,480,Mittelfranken
8001875,8002029,13,19,66,60,240,Mittelfranken
8001875,8002340,2,2,60,60,90,Mittelfranken
8001875,8002416,15,24,44,30,150,Mittelfranken
8001875,8002783,1,3,10,0,30,Mittelfranken
8001877,8000420,14,21,39,60,120,Mittelfranken
8001877,8001877,26,41,39,30,300,Mittelfranken
8001877,8003878,10,20,42,15,300,Mittelfranken
8001978,8001978,150,191,84,60,720,Mittelfranken
8001978,8001988,27,47,113,60,690,Mittelfranken
8001978,8001989,42,54,72,60,300,Mittelfranken
8001978,8002520,26,49,55,30,660,Mittelfranken
8001989,8001978,28,56,55,15,690,Mittelfranken
8001989,8001989,83,110,67,60,690,Mittelfranken
8001989,8004493,36,54,62,60,240,Mittelfranken
8002029,8001875,15,21,60,60,210,Mittelfranken
8002029,8002029,30,40,63,60,210,Mittelfranken
8002029,8005219,11,19,51,60,180,Mittelfranken
8002149,8002149,43,68,68,60,360,Mittelfranken
8002149,8002153,8,34,19,0,210,Mittelfranken
8002152,8002152,55,84,111,30,1500,Mittelfranken
8002152,8002155,26,43,99,30,720,Mittelfranken
8002152,8005557,26,41,118,60,1500,Mittelfranken
8002153,8000511,19,34,40,30,240,Mittelfranken
8002153,8002149,30,34,95,90,330,Mittelfranken
8002153,8002153,44,68,52,30,300,Mittelfranken
8002155,8002152,30,41,135,60,1500,Mittelfranken
8002155,8002155,55,84,115,60,1530,Mittelfranken
8002237,8002237,56,70,165,120,870,Mittelfranken
8002237,8004115,18,21,234,150,720,Mittelfranken
8002237,8004835,12,14,154,135,360,Mittelfranken
8002237,8005185,9,12,72,60,180,Mittelfranken
8002237,8005995,20,23,164,120,870,Mittelfranken
8002416,8001875,23,27,77,60,360,Mittelfranken
8002416,8002416,41,51,58,30,180,Mittelfranken
8002416,8003154,20,24,78,60,240,Mittelfranken
8002517,8001783,15,21,194,90,1440,Mittelfranken
8002517,8002517,31,44,164,60,1470,Mittelfranken
8002517,8004901,14,22,128,45,720,Mittelfranken
8002517,8005557,1,1,420,420,420,Mittelfranken
8002520,8001978,37,48,56,60,270,Mittelfranken
8002520,8002520,82,97,59,30,690,Mittelfranken
8002520,8006476,45,49,98,60,690,Mittelfranken
8002578,8002578,39,44,162,90,990,Mittelfranken
8002578,8002793,20,22,146,105,540,Mittelfranken
8002578,8004858,19,22,180,90,1050,Mittelfranken
8002596,8002596,26,41,42,30,210,Mittelfranken
8002596,8003552,9,21,31,0,150,Mittelfranken
8002596,8003567,16,20,62,60,240,Mittelfranken
8002609,8002609,24,36,74,60,270,Mittelfranken
8002609,8005485,6,18,32,0,240,Mittelfranken
8002612,8001929,33,41,231,120,2760,Mittelfranken
8002612,8002612,72,79,238,180,2760,Mittelfranken
8002612,8002794,36,38,242,240,690,Mittelfranken
8002612,8004858,18,22,136,75,570,Mittelfranken
8002678,8002678,31,40,112,45,540,Mittelfranken
8002678,8005383,13,20,57,30,360,Mittelfranken
8002678,8005572,17,20,168,135,540,Mittelfranken
8002705,8002705,93,111,137,60,2700,Mittelfranken
8002705,8004797,36,46,73,45,270,Mittelfranken
8002705,8004926,37,46,102,60,480,Mittelfranken
8002705,8005177,7,9,617,270,2700,Mittelfranken
8002705,8006390,8,10,81,45,240,Mittelfranken
8002751,8002751,52,79,95,30,900,Mittelfranken
8002751,8002793,34,39,147,90,900,Mittelfranken
8002751,8004725,22,40,58,30,450,Mittelfranken
8002782,8002782,28,54,47,30,210,Mittelfranken
8002782,8002783,20,27,50,30,210,Mittelfranken
8002782,8004469,18,27,68,30,240,Mittelfranken
8002783,8002782,22,27,77,60,240,Mittelfranken
8002783,8002783,43,54,63,30,240,Mittelfranken
8002783,8003154,14,27,44,30,210,Mittelfranken
8002793,8002578,20,22,173,90,900,Mittelfranken
8002793,8002751,19,40,64,0,480,Mittelfranken
8002793,8002793,38,46,151,90,900,Mittelfranken
8002793,8003580,2,2,225,225,300,Mittelfranken
8002794,8000269,2,2,150,150,150,Mittelfranken
8002794,8002612,33,41,210,60,2760,Mittelfranken
8002794,8002794,149,174,218,120,2850,Mittelfranken
8002794,8002956,18,22,205,135,1740,Mittelfranken
8002794,8003581,1,1,240,240,240,Mittelfranken
8002794,8004284,6,13,53,0,240,Mittelfranken
8002794,8004759,9,13,65,60,300,Mittelfranken
8002794,8005005,21,24,221,150,600,Mittelfranken
8002838,8001655,0,19,-5,0,0,Mittelfranken
8002956,8002794,18,21,227,120,660,Mittelfranken
8002956,8002956,42,43,218,120,1770,Mittelfranken
8002956,8006120,21,22,225,150,1770,Mittelfranken
8003058,8000767,4,19,17,0,120,Mittelfranken
8003058,8003058,17,38,28,0,120,Mittelfranken
8003058,8004724,10,19,36,30,150,Mittelfranken
8003083,8000767,8,19,43,0,210,Mittelfranken
8003083,8001548,5,19,28,0,120,Mittelfranken
8003083,8003083,14,38,35,0,210,Mittelfranken
8003154,8002416,24,27,62,30,180,Mittelfranken
8003154,8002783,16,24,64,45,210,Mittelfranken
8003154,8003154,43,51,71,60,240,Mittelfranken
8003552,8002596,8,20,40,0,180,Mittelfranken
8003552,8003552,18,41,43,0,180,Mittelfranken
8003552,8004923,10,21,47,0,180,Mittelfranken
8003554,8000385,15,16,144,120,360,Mittelfranken
8003554,8003554,20,32,75,60,360,Mittelfranken
8003554,8004933,6,16,73,0,600,Mittelfranken
8003567,8002596,12,21,37,30,180,Mittelfranken
8003567,8003567,28,41,42,30,240,Mittelfranken
8003567,8006448,12,20,46,30,240,Mittelfranken
8003580,8003580,70,81,111,60,930,Mittelfranken
8003580,8003587,38,57,57,30,390,Mittelfranken
8003580,8004725,29,39,119,60,900,Mittelfranken
8003581,8002794,5,6,70,30,270,Mittelfranken
8003581,8003581,76,88,150,90,1380,Mittelfranken
8003581,8003768,21,22,239,225,600,Mittelfranken
8003581,8004310,36,41,150,90,1380,Mittelfranken
8003581,8004471,5,6,55,30,180,Mittelfranken
8003581,8005209,12,12,110,60,300,Mittelfranken
8003587,8003580,50,57,160,120,1410,Mittelfranken
8003587,8003587,80,114,96,30,1350,Mittelfranken
8003587,8005142,30,57,52,30,390,Mittelfranken
8003664,8000365,16,20,111,120,390,Mittelfranken
8003664,8003664,35,40,286,90,2340,Mittelfranken
8003664,8005250,10,11,60,60,120,Mittelfranken
8003664,8006390,8,8,765,360,2460,Mittelfranken
8003734,8001655,16,19,106,60,330,Mittelfranken
8003734,8003734,30,38,69,30,360,Mittelfranken
8003734,8005185,13,19,36,30,210,Mittelfranken
8003762,8000504,31,49,60,30,630,Mittelfranken
8003762,8003762,51,97,47,30,660,Mittelfranken
8003762,8006476,15,48,23,0,300,Mittelfranken
8003768,8003581,22,26,156,60,1380,Mittelfranken
8003768,8003768,40,48,191,90,1380,Mittelfranken
8003768,8005209,18,22,218,180,570,Mittelfranken
8003876,8003081,12,20,100,60,330,Mittelfranken
8003876,8003876,24,40,123,60,480,Mittelfranken
8003876,8004323,14,22,142,75,570,Mittelfranken
8003878,8001877,2,21,3,0,30,Mittelfranken
8004115,8002237,21,25,148,60,900,Mittelfranken
8004115,8004115,39,46,178,90,870,Mittelfranken
8004115,8004835,18,21,224,120,750,Mittelfranken
8004268,8004268,20,38,46,30,420,Mittelfranken
8004268,8004774,11,19,39,30,120,Mittelfranken
8004268,8006473,7,19,51,0,390,Mittelfranken
8004284,8002794,12,13,505,360,1200,Mittelfranken
8004284,8004284,59,70,217,120,1140,Mittelfranken
8004284,8004759,26,36,91,60,420,Mittelfranken
8004284,8006067,11,21,154,30,630,Mittelfranken
8004310,8003581,36,40,176,120,600,Mittelfranken
8004310,8004310,68,81,159,120,1500,Mittelfranken
8004310,8005005,19,24,171,60,1620,Mittelfranken
8004310,8005625,16,20,129,105,420,Mittelfranken
8004323,8001450,11,19,49,30,240,Mittelfranken
8004323,8001783,11,14,133,105,390,Mittelfranken
8004323,8003876,12,20,106,60,360,Mittelfranken
8004323,8004323,26,42,129,90,690,Mittelfranken
8004323,8004336,13,25,106,30,690,Mittelfranken
8004336,8001783,14,24,110,30,690,Mittelfranken
8004336,8004323,18,21,197,60,1320,Mittelfranken
8004336,8004336,32,46,140,30,1350,Mittelfranken
8004336,8005557,1,1,60,60,60,Mittelfranken
8004442,8004442,172,223,98,60,1740,Mittelfranken
8004442,8004470,42,57,105,60,1380,Mittelfranken
8004442,8004487,90,96,139,90,1680,Mittelfranken
8004442,8005304,22,56,43,0,690,Mittelfranken
8004469,8002782,8,27,16,0,120,Mittelfranken
8004470,8004442,54,56,168,90,1770,Mittelfranken
8004470,8004470,107,113,129,60,1770,Mittelfranken
8004470,8004481,53,57,115,60,1350,Mittelfranken
8004471,8003581,5,7,39,30,90,Mittelfranken
8004471,8004471,46,64,137,60,1350,Mittelfranken
8004471,8004478,9,23,110,0,1320,Mittelfranken
8004471,8005209,2,3,30,30,60,Mittelfranken
8004473,8002154,42,48,192,150,1470,Mittelfranken
8004473,8004473,87,96,172,120,1530,Mittelfranken
8004473,8004487,42,48,159,120,570,Mittelfranken
8004476,8004476,90,110,61,30,690,Mittelfranken
8004476,8004493,53,56,70,30,720,Mittelfranken
8004476,8005304,37,54,56,30,240,Mittelfranken
8004478,8000850,17,25,121,30,1350,Mittelfranken
8004478,8004471,19,22,224,165,540,Mittelfranken
8004478,8004478,38,47,174,60,1350,Mittelfranken
8004480,8004480,90,114,95,60,1410,Mittelfranken
8004480,8004491,41,57,66,30,330,Mittelfranken
8004480,8005451,40,57,114,60,1380,Mittelfranken
8004481,8004470,43,56,128,60,1770,Mittelfranken
8004481,8004481,89,113,105,60,1350,Mittelfranken
8004481,8004491,46,57,108,30,1380,Mittelfranken
8004485,8004485,77,93,106,60,570,Mittelfranken
8004485,8004486,24,46,42,30,300,Mittelfranken
8004486,8004485,43,46,169,150,570,Mittelfranken
8004486,8004486,74,94,114,90,570,Mittelfranken
8004486,8005177,1,2,30,30,60,Mittelfranken
8004486,8005976,37,46,81,60,360,Mittelfranken
8004487,8004442,93,95,135,90,810,Mittelfranken
8004487,8004473,46,48,204,150,1560,Mittelfranken
8004487,8004484,44,54,97,60,540,Mittelfranken
8004487,8004487,182,204,156,120,1590,Mittelfranken
8004491,8004480,51,57,127,60,1410,Mittelfranken
8004491,8004481,40,56,69,30,330,Mittelfranken
8004491,8004491,86,114,88,30,1380,Mittelfranken
8004493,8001989,49,56,84,60,720,Mittelfranken
8004493,8004476,48,54,66,30,270,Mittelfranken
8004493,8004493,97,110,73,60,720,Mittelfranken
8004521,8001278,15,20,64,60,270,Mittelfranken
8004521,8004521,31,40,129,60,1500,Mittelfranken
8004521,8005907,17,20,166,75,1260,Mittelfranken
