from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8000047,8000047,138,15,2160,Munster
8000047,8001107,209,60,2160,Munster
8000047,8001904,64,0,360,Munster
8000062,8000062,68,30,420,Munster
8000062,8004001,43,0,330,Munster
8000062,8005712,37,30,210,Munster
8000066,8000066,28,30,60,Munster
8000066,8001343,2,0,30,Munster
8000066,8002972,0,0,30,Munster
8000066,8003658,6,0,60,Munster
8000083,8000083,312,120,3120,Munster
8000083,8000145,225,90,1740,Munster
8000083,8001266,342,210,1230,Munster
8000083,8003658,152,150,240,Munster
8000083,8003783,4,0,60,Munster
8000083,8005811,210,90,1290,Munster
8000083,8006361,1148,840,3300,Munster
8000125,8000125,136,30,2010,Munster
8000125,8001107,74,30,390,Munster
8000125,8002224,171,30,1380,Munster
8000145,8000083,956,720,3120,Munster
8000145,8000145,447,180,3120,Munster
8000145,8003890,100,30,480,Munster
8000145,8003891,226,105,1290,Munster
8000145,8005811,315,180,1200,Munster
8000382,8000382,14,0,150,Munster
8000382,8001808,-21,0,30,Munster
8000382,8004613,31,30,90,Munster
8000382,8400011,25,0,180,Munster
8000437,8000437,7,0,60,Munster
8000437,8001808,4,0,60,Munster
8000437,8003608,10,0,60,Munster
8000441,8000441,211,90,1740,Munster
8000441,8002680,145,60,960,Munster
8000441,8004251,292,90,1740,Munster
8000462,8000462,249,120,1260,Munster
8000462,8001065,190,90,1290,Munster
8000518,8000518,76,30,510,Munster
8000518,8004426,76,0,420,Munster
8000518,8004461,78,0,480,Munster
8000569,8000569,191,120,570,Munster
8000569,8001390,171,120,840,Munster
8000595,8000595,258,120,1290,Munster
8000595,8001065,302,150,1170,Munster
8000595,8001266,201,90,1290,Munster
8000623,8000623,151,105,840,Munster
8000623,8001323,105,75,810,Munster
8000623,8001390,145,60,630,Munster
8000846,8000846,43,0,390,Munster
8000846,8001335,61,30,360,Munster
8000846,8006206,58,30,360,Munster
8000887,8000164,176,90,570,Munster
8000887,8000317,338,180,1590,Munster
8000887,8000887,248,90,1530,Munster
8000887,8003891,357,210,1140,Munster
8000970,8000970,47,30,150,Munster
8000970,8002670,22,30,60,Munster
8000970,8003804,111,120,180,Munster
8001065,8000462,301,165,1170,Munster
8001065,8000595,211,105,1350,Munster
8001065,8001065,258,120,1350,Munster
8001096,8001096,80,60,480,Munster
8001096,8004461,50,30,180,Munster
8001096,8005712,95,60,450,Munster
8001183,8001183,419,90,3450,Munster
8001183,8003212,511,240,3060,Munster
8001183,8003640,1332,990,3450,Munster
8001183,8006361,178,60,1860,Munster
8001266,8000083,190,90,1320,Munster
8001266,8000595,328,180,1200,Munster
8001266,8001266,266,120,1290,Munster
8001323,8000623,85,60,360,Munster
8001323,8001323,98,60,750,Munster
8001323,8006348,195,105,720,Munster
8001327,8000164,149,90,1200,Munster
8001327,8001327,170,90,1680,Munster
8001327,8001543,184,60,1680,Munster
8001328,8001328,139,120,360,Munster
8001328,8001329,94,60,360,Munster
8001328,8002779,188,210,330,Munster
8001329,8001328,156,120,360,Munster
8001329,8001329,122,120,360,Munster
8001329,8001528,120,120,390,Munster
8001343,8000066,7,0,30,Munster
8001343,8001343,15,15,60,Munster
8001343,8003804,52,60,120,Munster
8001390,8000569,216,195,570,Munster
8001390,8000623,191,135,840,Munster
8001390,8001390,191,150,870,Munster
8001558,8001061,635,180,3240,Munster
8001558,8001558,344,90,7260,Munster
8001558,8002841,1159,300,7230,Munster
8001558,8003986,66,30,420,Munster
8001558,8005102,173,120,810,Munster
8001782,8001782,113,30,1590,Munster
8001782,8002369,111,0,720,Munster
8001782,8004000,49,0,390,Munster
8001782,8004972,48,30,180,Munster
8001808,8000382,27,15,120,Munster
8001808,8000437,6,0,60,Munster
8001808,8001808,11,0,90,Munster
8001867,8001867,90,45,420,Munster
8001867,8002915,121,105,390,Munster
8001867,8003036,75,60,240,Munster
8001972,8001972,65,45,210,Munster
8001972,8002284,96,90,210,Munster
8001972,8006709,49,15,180,Munster
