from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000047,8000047,54,74,199,90,1560,Munster
8000047,8001107,29,37,191,90,1230,Munster
8000047,8001904,28,41,188,60,1080,Munster
8000062,8000062,41,48,98,90,360,Munster
8000062,8004001,17,26,68,30,270,Munster
8000062,8005712,22,27,80,90,330,Munster
8000066,8000066,27,33,474,90,2970,Munster
8000066,8001343,2,28,3,0,60,Munster
8000066,8002972,7,17,473,0,2760,Munster
8000066,8003658,9,18,415,15,2580,Munster
8000083,8000083,132,147,349,180,2640,Munster
8000083,8000145,26,27,200,180,450,Munster
8000083,8001266,35,37,491,360,2070,Munster
8000083,8003658,18,18,543,105,2670,Munster
8000083,8003783,8,18,413,0,2580,Munster
8000083,8005811,27,29,158,120,660,Munster
8000083,8006361,16,16,394,285,1260,Munster
8000125,8000125,59,74,213,120,1230,Munster
8000125,8001107,30,37,219,90,1170,Munster
8000125,8002224,14,19,216,90,1230,Munster
8000125,8002795,14,18,168,105,960,Munster
8000145,8000083,18,18,323,195,1200,Munster
8000145,8000145,100,111,278,150,2130,Munster
8000145,8003890,14,19,155,60,840,Munster
8000145,8003891,34,40,184,105,1050,Munster
8000145,8005811,36,37,463,330,2100,Munster
8000382,8000382,36,69,106,30,2160,Munster
8000382,8001808,5,17,26,0,240,Munster
8000382,8004613,12,22,42,30,270,Munster
8000382,8400011,16,37,122,0,1560,Munster
8000437,8000437,14,34,295,0,2730,Munster
8000437,8001808,6,17,441,0,2760,Munster
8000437,8003608,8,17,214,0,1440,Munster
8000441,8000441,65,75,336,120,2340,Munster
8000441,8002680,28,37,118,60,900,Munster
8000441,8004251,33,38,528,255,2370,Munster
8000462,8000462,45,53,323,210,1650,Munster
8000462,8001065,22,26,181,90,690,Munster
8000518,8000518,46,55,89,60,420,Munster
8000518,8004426,22,27,97,60,390,Munster
8000518,8004461,18,28,71,60,300,Munster
8000569,8000569,33,40,158,90,810,Munster
8000569,8001390,15,20,140,75,450,Munster
8000595,8000595,69,75,305,150,1830,Munster
8000595,8001065,32,37,415,270,1620,Munster
8000595,8001266,34,38,174,120,690,Munster
8000623,8000623,29,40,148,105,840,Munster
8000623,8001323,13,20,92,60,420,Munster
8000623,8001390,14,20,136,75,810,Munster
8000846,8000846,16,35,41,0,210,Munster
8000846,8001335,12,19,51,30,240,Munster
8000846,8006206,9,19,44,0,210,Munster
8000887,8000164,15,19,259,90,3090,Munster
8000887,8000317,18,18,327,180,990,Munster
8000887,8000887,107,119,314,150,3120,Munster
8000887,8003891,39,41,509,360,2250,Munster
8000970,8000970,45,56,162,120,510,Munster
