from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8000072,8003136,9,0,180,Niederbayern
8000217,8000217,150,90,1500,Niederbayern
8000217,8000688,111,90,300,Niederbayern
8000217,8001203,120,120,120,Niederbayern
8000217,8001835,118,75,420,Niederbayern
8000217,8002078,120,120,120,Niederbayern
8000217,8002457,65,0,480,Niederbayern
8000217,8003514,41,30,240,Niederbayern
8000217,8004084,161,90,1290,Niederbayern
8000217,8006537,107,60,630,Niederbayern
8000451,8000451,36,0,270,Niederbayern
8000451,8001678,43,0,300,Niederbayern
8000451,8006084,30,0,120,Niederbayern
8000590,8000590,188,120,480,Niederbayern
8000590,8000988,173,120,480,Niederbayern
8000590,8004786,222,240,480,Niederbayern
8000688,8000217,143,60,720,Niederbayern
8000688,8000688,138,75,750,Niederbayern
8000688,8001679,73,45,300,Niederbayern
8000688,8001835,193,60,720,Niederbayern
8000688,8004554,73,0,600,Niederbayern
8000710,8000710,157,120,480,Niederbayern
8000710,8001792,150,120,420,Niederbayern
8000710,8002146,165,75,570,Niederbayern
8000828,8000828,199,120,540,Niederbayern
8000828,8000988,228,195,540,Niederbayern
8000828,8003191,172,60,480,Niederbayern
8000988,8000590,210,180,480,Niederbayern
8000988,8000828,181,60,480,Niederbayern
8000988,8000988,197,150,510,Niederbayern
8000988,8004786,60,60,60,Niederbayern
8001069,8005279,15,0,300,Niederbayern
8001203,8001203,58,0,420,Niederbayern
8001203,8002457,44,0,270,Niederbayern
8001203,8004084,74,30,390,Niederbayern
8001466,8001466,271,210,1230,Niederbayern
8001466,8003506,342,240,1410,Niederbayern
8001466,8006537,321,285,750,Niederbayern
8001676,8001676,151,60,480,Niederbayern
8001676,8001677,211,180,480,Niederbayern
8001676,8002671,98,60,420,Niederbayern
8001677,8001676,111,60,480,Niederbayern
8001677,8001677,158,90,480,Niederbayern
8001677,8003910,195,180,450,Niederbayern
8001792,8000710,160,45,480,Niederbayern
8001792,8001792,150,60,450,Niederbayern
8001792,8005793,148,120,420,Niederbayern
8001835,8000217,223,60,1620,Niederbayern
8001835,8000688,168,150,450,Niederbayern
8001835,8001679,22,15,120,Niederbayern
8001835,8001835,176,90,1650,Niederbayern
8002146,8000710,151,120,420,Niederbayern
8002146,8002146,120,60,540,Niederbayern
8002146,8004298,105,60,420,Niederbayern
8002209,8002209,75,60,360,Niederbayern
8002209,8004770,51,0,390,Niederbayern
8002209,8005259,83,60,240,Niederbayern
8002211,8002211,63,30,540,Niederbayern
8002211,8003514,85,30,540,Niederbayern
8002211,8006084,58,30,210,Niederbayern
8002457,8000217,60,0,270,Niederbayern
8002457,8001203,65,0,420,Niederbayern
8002457,8002457,57,0,450,Niederbayern
8002671,8001676,202,180,480,Niederbayern
8002671,8002671,154,120,480,Niederbayern
8002671,8004786,98,45,450,Niederbayern
8003100,8003100,39,0,300,Niederbayern
8003100,8005279,70,60,300,Niederbayern
8003100,8006745,15,0,300,Niederbayern
8003136,8000072,253,270,450,Niederbayern
8003136,8003136,97,30,420,Niederbayern
8003136,8003883,126,120,240,Niederbayern
8003191,8000828,225,165,540,Niederbayern
8003191,8003191,197,120,540,Niederbayern
8003191,8004845,183,90,480,Niederbayern
8003488,8003488,69,60,390,Niederbayern
8003488,8003830,69,60,240,Niederbayern
8003488,8005259,55,0,390,Niederbayern
8003506,8001466,174,150,450,Niederbayern
8003506,8003506,270,210,1500,Niederbayern
8003506,8006181,357,285,1560,Niederbayern
8003514,8000217,124,60,570,Niederbayern
8003514,8002211,36,30,180,Niederbayern
8003514,8003514,73,30,570,Niederbayern
8003830,8003488,70,30,390,Niederbayern
8003830,8003830,69,60,420,Niederbayern
8003830,8004391,66,60,240,Niederbayern
8003910,8000720,123,90,420,Niederbayern
8003910,8001677,115,90,450,Niederbayern
8003910,8003910,111,60,480,Niederbayern
8004298,8002146,44,0,330,Niederbayern
8004298,8004298,74,0,420,Niederbayern
8004298,8084074,103,60,420,Niederbayern
8004391,8003830,78,60,420,Niederbayern
8004391,8004391,71,30,480,Niederbayern
8004391,8004554,85,60,360,Niederbayern
8004554,8000688,97,90,330,Niederbayern
8004554,8004391,65,15,570,Niederbayern
8004554,8004554,88,60,600,Niederbayern
8004700,8004700,153,60,1500,Niederbayern
8004700,8006086,255,165,1470,Niederbayern
8004700,8006181,115,105,300,Niederbayern
8004770,8002209,104,90,240,Niederbayern
8004770,8004770,85,60,420,Niederbayern
8004770,8004917,71,30,390,Niederbayern
8004786,8000590,172,120,480,Niederbayern
8004786,8002671,220,180,510,Niederbayern
8004786,8004786,189,150,540,Niederbayern
8004845,8003191,228,195,540,Niederbayern
8004845,8004845,210,180,540,Niederbayern
8004845,8005223,153,45,480,Niederbayern
8004917,8004770,97,60,240,Niederbayern
8004917,8004917,95,90,330,Niederbayern
8004917,8006745,93,90,270,Niederbayern
8005223,8004845,157,120,420,Niederbayern
8005223,8005223,148,90,480,Niederbayern
8005223,8005793,168,60,480,Niederbayern
8005259,8002209,51,0,360,Niederbayern
8005259,8003488,82,60,240,Niederbayern
8005259,8005259,65,30,360,Niederbayern
8005279,8001069,73,60,300,Niederbayern
8005279,8003100,15,0,300,Niederbayern
8005279,8005279,47,0,300,Niederbayern
8005793,8001792,155,60,420,Niederbayern
8005793,8005223,142,120,390,Niederbayern
8005793,8005793,150,90,450,Niederbayern
8006084,8000451,35,0,270,Niederbayern
8006084,8000720,10,0,30,Niederbayern
8006084,8002211,61,0,390,Niederbayern
8006084,8006084,47,30,300,Niederbayern
8006086,8004700,57,60,180,Niederbayern
8006086,8006086,162,60,1440,Niederbayern
8006181,8003506,178,150,450,Niederbayern
8006181,8004700,307,210,1530,Niederbayern
8006181,8006181,260,210,1560,Niederbayern
8006537,8000217,311,300,630,Niederbayern
8006537,8001466,313,345,690,Niederbayern
8006537,8006537,276,255,690,Niederbayern
8006745,8003100,70,60,300,Niederbayern
8006745,8004917,121,90,270,Niederbayern
8006745,8006745,69,60,300,Niederbayern
8084074,8004298,47,0,360,Niederbayern
8084074,8084074,93,60,420,Niederbayern
