from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000072,8003136,4,19,25,0,210,Niederbayern
8000217,8000217,86,101,320,120,3420,Niederbayern
8000217,8000688,5,7,214,60,660,Niederbayern
8000217,8001203,1,1,420,420,420,Niederbayern
8000217,8001835,21,26,160,90,570,Niederbayern
8000217,8002078,1,1,2550,2550,2550,Niederbayern
8000217,8002457,11,17,194,60,1170,Niederbayern
8000217,8003514,11,17,39,30,210,Niederbayern
8000217,8004084,34,47,359,120,3360,Niederbayern
8000217,8006537,16,20,291,75,1440,Niederbayern
8000451,8000451,18,25,174,90,870,Niederbayern
8000451,8001678,10,14,139,60,750,Niederbayern
8000451,8006084,8,11,224,240,840,Niederbayern
8000590,8000590,31,36,286,240,630,Niederbayern
8000590,8000988,17,19,300,300,600,Niederbayern
8000590,8004786,15,17,298,210,630,Niederbayern
8000688,8000217,8,9,220,210,660,Niederbayern
8000688,8000688,36,46,167,120,600,Niederbayern
8000688,8001679,17,24,132,60,510,Niederbayern
8000688,8001835,9,13,115,120,450,Niederbayern
8000688,8004554,15,18,180,60,1560,Niederbayern
8000710,8000710,26,35,195,180,540,Niederbayern
8000710,8001792,14,17,178,210,390,Niederbayern
8000710,8002146,12,18,202,75,540,Niederbayern
8000828,8000828,32,37,306,240,660,Niederbayern
8000828,8000988,15,18,307,210,660,Niederbayern
8000828,8003191,17,19,300,300,600,Niederbayern
8000988,8000590,14,17,282,180,630,Niederbayern
8000988,8000828,17,19,306,300,600,Niederbayern
8000988,8000988,32,37,295,210,660,Niederbayern
8000988,8004786,1,1,150,150,150,Niederbayern
8001069,8005279,7,20,174,0,1200,Niederbayern
8001203,8001203,22,35,207,30,1500,Niederbayern
8001203,8002457,8,17,205,0,1470,Niederbayern
8001203,8004084,10,18,197,30,1380,Niederbayern
8001466,8001466,39,40,656,285,3300,Niederbayern
8001466,8003506,19,20,651,300,3090,Niederbayern
8001466,8006537,20,20,864,315,3360,Niederbayern
8001676,8001676,31,35,301,330,630,Niederbayern
8001676,8001677,17,17,323,270,660,Niederbayern
8001676,8002671,16,18,288,330,600,Niederbayern
8001677,8001676,17,18,307,345,660,Niederbayern
8001677,8001677,34,35,322,360,660,Niederbayern
8001677,8003910,17,17,318,240,630,Niederbayern
8001792,8000710,11,18,207,45,540,Niederbayern
8001792,8001792,25,35,189,180,540,Niederbayern
8001792,8005793,14,17,178,180,390,Niederbayern
8001835,8000217,19,23,133,60,660,Niederbayern
8001835,8000688,17,18,192,150,540,Niederbayern
8001835,8001679,6,8,146,45,540,Niederbayern
8001835,8001835,43,49,143,90,600,Niederbayern
8002146,8000710,14,17,182,210,390,Niederbayern
8002146,8002146,28,35,138,120,390,Niederbayern
8002146,8004298,14,18,102,105,240,Niederbayern
8002209,8002209,28,37,293,90,1350,Niederbayern
8002209,8004770,13,18,293,60,1350,Niederbayern
8002209,8005259,14,19,319,120,1170,Niederbayern
8002211,8002211,21,35,98,30,480,Niederbayern
8002211,8003514,13,18,125,105,330,Niederbayern
8002211,8006084,9,17,41,30,180,Niederbayern
8002457,8000217,8,17,208,0,1440,Niederbayern
8002457,8001203,13,17,203,60,1380,Niederbayern
8002457,8002457,20,34,197,30,1440,Niederbayern
8002671,8001676,15,17,309,270,600,Niederbayern
8002671,8002671,32,35,297,300,600,Niederbayern
8002671,8004786,18,18,302,330,630,Niederbayern
8003100,8003100,17,40,211,0,1200,Niederbayern
8003100,8005279,13,20,256,45,1230,Niederbayern
8003100,8006745,7,20,176,0,1200,Niederbayern
8003136,8000072,14,18,272,90,1860,Niederbayern
8003136,8003136,18,37,152,0,1950,Niederbayern
8003136,8003883,4,19,17,0,120,Niederbayern
8003191,8000828,15,18,303,210,660,Niederbayern
8003191,8003191,32,37,298,240,660,Niederbayern
8003191,8004845,17,19,297,240,660,Niederbayern
8003488,8003488,26,37,294,120,1350,Niederbayern
8003488,8003830,12,19,322,120,1170,Niederbayern
8003488,8005259,13,18,255,60,1350,Niederbayern
8003506,8001466,20,20,558,255,3270,Niederbayern
8003506,8003506,40,40,575,300,3240,Niederbayern
8003506,8006181,20,20,712,375,2940,Niederbayern
8003514,8000217,15,18,150,150,390,Niederbayern
8003514,8002211,7,17,26,0,180,Niederbayern
8003514,8003514,26,35,90,30,360,Niederbayern
8003830,8003488,16,18,282,90,1350,Niederbayern
8003830,8003830,27,37,301,120,1380,Niederbayern
8003830,8004391,11,19,328,120,1470,Niederbayern
8003910,8000720,16,17,275,300,630,Niederbayern
8003910,8001677,16,18,305,360,660,Niederbayern
8003910,8003910,33,35,260,240,630,Niederbayern
8004298,8002146,5,17,44,0,270,Niederbayern
8004298,8004298,18,35,66,30,270,Niederbayern
8004298,8084074,13,18,90,90,240,Niederbayern
8004391,8003830,15,18,290,120,1380,Niederbayern
8004391,8004391,27,37,295,90,1800,Niederbayern
8004391,8004554,11,19,382,90,1800,Niederbayern
8004554,8000688,14,19,371,120,1770,Niederbayern
8004554,8004391,14,18,167,60,1560,Niederbayern
