from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8000119,8000119,125,60,1350,Oberbayern
8000119,8000195,121,60,1350,Oberbayern
8000119,8002141,129,30,1110,Oberbayern
8000119,8005920,65,30,360,Oberbayern
8000119,8098261,131,75,450,Oberbayern
8000183,8000010,210,195,510,Oberbayern
8000183,8000183,205,30,4800,Oberbayern
8000183,8000256,88,60,360,Oberbayern
8000183,8000678,96,90,360,Oberbayern
8000183,8003076,52,0,690,Oberbayern
8000195,8000119,122,60,1080,Oberbayern
8000195,8000144,56,60,180,Oberbayern
8000195,8000195,118,60,1350,Oberbayern
8000195,8000962,90,90,120,Oberbayern
8000195,8001004,55,60,120,Oberbayern
8000195,8003901,120,120,120,Oberbayern
8000195,8004584,125,120,180,Oberbayern
8000220,8000220,365,270,1530,Oberbayern
8000220,8003024,170,180,360,Oberbayern
8000220,8004185,285,300,300,Oberbayern
8000220,8005927,330,270,1080,Oberbayern
8000220,8098261,1057,1140,1680,Oberbayern
8000256,8000183,178,30,690,Oberbayern
8000256,8000256,143,90,1440,Oberbayern
8000256,8000678,146,30,1410,Oberbayern
8000256,8004781,116,90,510,Oberbayern
8000258,8000258,87,75,210,Oberbayern
8000258,8000576,25,0,120,Oberbayern
8000258,8000720,57,60,180,Oberbayern
8000258,8002184,138,75,390,Oberbayern
8000258,8005145,38,30,120,Oberbayern
8000258,8005883,18,0,120,Oberbayern
8000258,8005923,25,0,180,Oberbayern
8000258,8006164,72,30,390,Oberbayern
8000419,8000419,75,30,900,Oberbayern
8000419,8001708,44,0,480,Oberbayern
8000419,8005828,102,60,900,Oberbayern
8000459,8000459,90,90,150,Oberbayern
8000459,8002570,90,90,90,Oberbayern
8000515,8000515,86,90,270,Oberbayern
8000515,8005302,80,90,180,Oberbayern
8000515,8005975,41,15,180,Oberbayern
8000524,8000524,47,30,300,Oberbayern
8000524,8000653,43,30,120,Oberbayern
8000524,8001825,51,60,330,Oberbayern
8000533,8000533,134,60,540,Oberbayern
8000533,8005687,173,180,510,Oberbayern
8000533,8005912,97,30,600,Oberbayern
8000545,8000545,41,0,270,Oberbayern
8000545,8002623,32,15,180,Oberbayern
8000545,8003982,46,15,270,Oberbayern
8000555,8000555,22,0,180,Oberbayern
8000555,8002703,24,0,300,Oberbayern
8000555,8003205,30,0,150,Oberbayern
8000576,8000258,91,90,270,Oberbayern
8000576,8000576,80,60,330,Oberbayern
8000576,8005495,55,60,150,Oberbayern
8000621,8005962,0,0,0,Oberbayern
8000653,8000524,49,30,300,Oberbayern
8000653,8000653,49,45,300,Oberbayern
8000653,8005652,30,30,120,Oberbayern
8000675,8000675,40,30,180,Oberbayern
8000675,8001578,35,30,150,Oberbayern
8000675,8004761,44,0,240,Oberbayern
8000678,8000183,121,30,1350,Oberbayern
8000678,8000256,115,90,360,Oberbayern
8000678,8000678,112,60,1380,Oberbayern
8000716,8000716,67,60,210,Oberbayern
8000716,8000717,60,15,240,Oberbayern
8000716,8002343,110,150,180,Oberbayern
8000717,8000716,40,60,90,Oberbayern
8000717,8000717,63,60,240,Oberbayern
8000717,8005302,90,60,270,Oberbayern
8000720,8000258,58,45,180,Oberbayern
8000720,8000720,39,30,210,Oberbayern
8000720,8001678,27,30,90,Oberbayern
8000720,8003910,7,0,90,Oberbayern
8000720,8005145,26,0,210,Oberbayern
8000720,8006084,51,30,150,Oberbayern
8000737,8000737,277,285,510,Oberbayern
8000737,8000738,150,150,270,Oberbayern
8000737,8004815,240,240,240,Oberbayern
8000738,8000737,360,360,360,Oberbayern
8000738,8000738,200,240,330,Oberbayern
8000738,8000831,165,165,270,Oberbayern
8000781,8000781,40,30,270,Oberbayern
8000781,8001231,49,45,240,Oberbayern
8000781,8002955,49,0,240,Oberbayern
8000785,8000785,40,30,360,Oberbayern
8000785,8006059,19,0,120,Oberbayern
8000785,8006671,70,60,360,Oberbayern
8000831,8000738,300,300,300,Oberbayern
8000831,8000831,270,300,390,Oberbayern
8000831,8000997,270,270,390,Oberbayern
8000869,8000869,63,60,390,Oberbayern
8000869,8000945,45,60,90,Oberbayern
8000869,8003355,41,0,300,Oberbayern
8000885,8000997,165,165,300,Oberbayern
8000918,8000918,126,90,480,Oberbayern
8000918,8005508,126,90,480,Oberbayern
8000918,8005927,96,90,330,Oberbayern
8000945,8000869,143,90,480,Oberbayern
8000945,8000945,119,90,480,Oberbayern
8000945,8004767,136,90,450,Oberbayern
8000997,8000737,300,300,300,Oberbayern
8000997,8000831,300,300,300,Oberbayern
8000997,8000885,195,195,270,Oberbayern
8000997,8000997,187,195,300,Oberbayern
8001229,8001229,68,30,570,Oberbayern
8001229,8002141,39,0,300,Oberbayern
8001229,8005406,46,0,630,Oberbayern
8001231,8000781,47,30,270,Oberbayern
8001231,8001231,58,30,270,Oberbayern
8001231,8002899,59,30,270,Oberbayern
8001284,8001288,1,0,30,Oberbayern
8001288,8001284,18,15,120,Oberbayern
8001288,8001288,13,0,120,Oberbayern
8001288,8002234,0,0,0,Oberbayern
8001354,8001354,60,30,1080,Oberbayern
8001354,8004150,8,0,90,Oberbayern
8001354,8004775,82,30,540,Oberbayern
8001354,8006189,78,0,1080,Oberbayern
8001404,8001404,25,0,180,Oberbayern
8001404,8002161,10,0,150,Oberbayern
8001404,8005299,26,30,150,Oberbayern
8001495,8001495,75,30,420,Oberbayern
8001495,8001708,99,90,270,Oberbayern
8001495,8005593,61,30,420,Oberbayern
8001499,8001499,94,90,360,Oberbayern
8001499,8002912,258,255,420,Oberbayern
8001499,8005495,91,90,210,Oberbayern
8001499,8005852,140,150,180,Oberbayern
8001499,8006190,225,225,240,Oberbayern
8001578,8000675,14,0,210,Oberbayern
8001578,8001578,25,0,180,Oberbayern
8001578,8002894,13,0,120,Oberbayern
8001621,8001621,42,30,300,Oberbayern
8001621,8002955,35,0,180,Oberbayern
8001621,8003039,50,0,300,Oberbayern
8001634,8001634,58,45,240,Oberbayern
8001634,8002348,28,0,270,Oberbayern
8001634,8005709,45,15,180,Oberbayern
8001647,8001647,151,60,2970,Oberbayern
8001647,8003735,171,90,1110,Oberbayern
8001647,8004279,138,60,3000,Oberbayern
8001669,8001669,36,30,270,Oberbayern
8001669,8002028,51,30,480,Oberbayern
8001669,8006220,28,0,270,Oberbayern
8001678,8000451,16,0,60,Oberbayern
8001678,8000720,17,0,90,Oberbayern
8001678,8001678,20,0,120,Oberbayern
8001682,8001682,49,30,360,Oberbayern
8001682,8003290,52,45,360,Oberbayern
8001682,8006671,14,0,120,Oberbayern
8001702,8001702,50,0,510,Oberbayern
8001702,8002141,58,0,510,Oberbayern
8001702,8004893,49,0,300,Oberbayern
8001708,8000419,102,60,900,Oberbayern
8001708,8001495,28,0,420,Oberbayern
8001708,8001708,61,30,480,Oberbayern
8001734,8001734,80,45,900,Oberbayern
8001734,8002171,86,30,900,Oberbayern
