from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000119,8000119,68,78,423,210,2580,Oberbayern
8000119,8000195,30,39,320,180,1950,Oberbayern
8000119,8002141,13,13,482,180,1770,Oberbayern
8000119,8005920,31,40,141,75,450,Oberbayern
8000183,8000010,3,4,900,540,2520,Oberbayern
8000183,8000183,100,125,494,150,4620,Oberbayern
8000183,8000256,14,15,584,240,3000,Oberbayern
8000183,8000678,16,19,177,120,810,Oberbayern
8000183,8003076,30,37,383,120,2790,Oberbayern
8000183,8005185,1,1,360,360,360,Oberbayern
8000195,8000119,38,39,446,240,2490,Oberbayern
8000195,8000144,8,9,193,90,720,Oberbayern
8000195,8000195,60,78,354,195,2430,Oberbayern
8000195,8000962,1,1,30,30,30,Oberbayern
8000195,8001004,2,3,140,30,390,Oberbayern
8000195,8002458,6,6,1050,600,2430,Oberbayern
8000195,8003901,2,2,120,120,120,Oberbayern
8000195,8004584,3,3,360,150,840,Oberbayern
8000220,8000220,35,38,220,150,1020,Oberbayern
8000220,8003024,14,19,202,90,960,Oberbayern
8000220,8005927,27,33,149,90,810,Oberbayern
8000256,8000183,14,16,591,510,1950,Oberbayern
8000256,8000256,62,69,463,180,2970,Oberbayern
8000256,8000678,16,19,561,210,3780,Oberbayern
8000256,8004781,32,34,386,165,2970,Oberbayern
8000258,8000258,11,14,379,345,1560,Oberbayern
8000258,8000576,9,18,68,15,450,Oberbayern
8000258,8000720,21,23,175,150,480,Oberbayern
8000258,8002184,4,7,141,60,480,Oberbayern
8000258,8005145,7,10,111,75,330,Oberbayern
8000258,8005883,6,18,48,0,240,Oberbayern
8000258,8005923,11,36,33,0,330,Oberbayern
8000258,8006164,15,21,249,210,930,Oberbayern
8000419,8000419,32,38,321,135,2640,Oberbayern
8000419,8001708,14,19,423,120,2580,Oberbayern
8000419,8005828,18,19,221,150,780,Oberbayern
8000515,8000515,31,36,127,90,600,Oberbayern
8000515,8005302,14,18,73,90,120,Oberbayern
8000515,8005975,17,18,165,135,450,Oberbayern
8000524,8000524,71,77,162,60,2220,Oberbayern
8000524,8000653,34,38,133,60,1530,Oberbayern
8000524,8001825,34,39,212,90,2190,Oberbayern
8000533,8000533,11,15,150,120,570,Oberbayern
8000533,8005687,7,8,161,105,540,Oberbayern
8000533,8005912,4,7,116,30,450,Oberbayern
8000545,8000545,23,29,292,90,2430,Oberbayern
8000545,8002623,9,14,493,150,2430,Oberbayern
8000545,8003982,14,15,116,90,360,Oberbayern
8000555,8000555,17,35,46,0,330,Oberbayern
8000555,8002703,7,17,39,0,180,Oberbayern
8000555,8003205,8,18,47,0,330,Oberbayern
8000556,8003317,3,21,4,0,30,Oberbayern
8000576,8000258,19,19,374,390,840,Oberbayern
8000576,8000576,29,37,248,180,900,Oberbayern
8000576,8005495,17,17,134,90,480,Oberbayern
8000576,8006258,0,1,0,0,0,Oberbayern
8000603,8000603,5,42,8,0,120,Oberbayern
8000603,8001829,3,21,-13,-30,90,Oberbayern
8000603,8003072,2,21,6,0,60,Oberbayern
8000621,8005962,0,16,0,0,0,Oberbayern
8000653,8000524,34,39,215,90,2190,Oberbayern
8000653,8000653,71,77,169,60,2190,Oberbayern
8000653,8005652,19,38,107,15,1500,Oberbayern
8000675,8000675,41,42,184,60,1260,Oberbayern
8000675,8001578,31,39,53,30,180,Oberbayern
8000675,8004761,19,21,270,90,1170,Oberbayern
8000678,8000183,16,19,559,210,3690,Oberbayern
8000678,8000256,17,19,155,90,690,Oberbayern
8000678,8000678,33,38,353,120,3750,Oberbayern
8000685,8000685,6,42,14,0,210,Oberbayern
8000685,8001355,2,21,10,0,120,Oberbayern
8000685,8005442,2,21,-13,-30,180,Oberbayern
8000716,8000716,36,36,178,165,420,Oberbayern
8000716,8000717,18,18,140,135,390,Oberbayern
8000716,8002343,18,18,223,210,570,Oberbayern
8000717,8000716,18,18,122,120,300,Oberbayern
8000717,8000717,35,36,111,90,360,Oberbayern
8000717,8005302,17,18,135,90,390,Oberbayern
8000720,8000258,20,25,365,300,2250,Oberbayern
