from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8000028,8000028,58,60,210,Oberfranken
8000028,8000267,135,135,180,Oberfranken
8000028,8000974,20,0,60,Oberfranken
8000028,8001348,8,0,30,Oberfranken
8000028,8004126,218,120,720,Oberfranken
8000028,8004759,51,30,210,Oberfranken
8000028,8005895,37,30,90,Oberfranken
8000173,8000173,30,0,90,Oberfranken
8000173,8000247,60,60,60,Oberfranken
8000173,8000287,0,0,0,Oberfranken
8000173,8005133,0,0,0,Oberfranken
8000201,8000201,114,60,540,Oberfranken
8000201,8000247,30,30,120,Oberfranken
8000201,8000328,45,45,90,Oberfranken
8000201,8002523,60,60,60,Oberfranken
8000201,8003063,0,0,0,Oberfranken
8000201,8004759,186,150,480,Oberfranken
8000247,8000173,0,0,0,Oberfranken
8000247,8000201,107,75,390,Oberfranken
8000247,8000247,47,30,300,Oberfranken
8000247,8000287,30,30,30,Oberfranken
8000247,8002924,132,60,420,Oberfranken
8000247,8005352,102,60,240,Oberfranken
8000247,8006155,30,30,30,Oberfranken
8000267,8000267,94,60,750,Oberfranken
8000267,8003476,180,120,720,Oberfranken
8000267,8003887,63,30,330,Oberfranken
8000267,8005895,107,90,270,Oberfranken
8000267,8006017,43,30,150,Oberfranken
8000287,8000173,60,60,60,Oberfranken
8000287,8000287,72,60,300,Oberfranken
8000287,8002924,95,60,270,Oberfranken
8000287,8005466,66,60,180,Oberfranken
8000328,8000328,73,30,360,Oberfranken
8000328,8001348,57,0,360,Oberfranken
8000328,8004759,114,60,330,Oberfranken
8000974,8000028,52,60,120,Oberfranken
8000974,8000974,51,60,120,Oberfranken
8000974,8002605,60,60,60,Oberfranken
8000974,8004936,15,15,30,Oberfranken
8001149,8001149,147,90,1200,Oberfranken
8001149,8001623,240,240,240,Oberfranken
8001149,8001640,195,60,1170,Oberfranken
8001149,8002542,69,60,300,Oberfranken
8001149,8002853,237,270,600,Oberfranken
8001149,8005670,280,300,390,Oberfranken
8001149,8006634,200,75,750,Oberfranken
8001289,8001289,89,60,720,Oberfranken
8001289,8002878,165,90,720,Oberfranken
8001289,8003476,50,30,150,Oberfranken
8001289,8003813,60,60,180,Oberfranken
8001289,8005670,75,75,150,Oberfranken
8001310,8001310,123,120,360,Oberfranken
8001310,8001680,202,165,360,Oberfranken
8001310,8002853,66,60,120,Oberfranken
8001334,8001334,127,75,1560,Oberfranken
8001334,8001338,110,90,360,Oberfranken
8001334,8001484,140,30,1530,Oberfranken
8001338,8001334,148,60,1530,Oberfranken
8001338,8001338,163,60,2370,Oberfranken
8001338,8001347,30,0,180,Oberfranken
8001338,8001636,112,105,240,Oberfranken
8001338,8002434,77,30,270,Oberfranken
8001347,8001338,40,30,60,Oberfranken
8001347,8001347,45,30,150,Oberfranken
8001347,8002434,55,30,120,Oberfranken
8001348,8000028,45,30,300,Oberfranken
8001348,8000328,43,30,150,Oberfranken
8001348,8001348,30,0,360,Oberfranken
8001348,8004759,33,30,120,Oberfranken
8001484,8001334,90,60,240,Oberfranken
8001484,8001484,103,45,1530,Oberfranken
8001484,8004633,150,60,1530,Oberfranken
8001623,8001623,119,60,1110,Oberfranken
8001623,8005670,161,60,1110,Oberfranken
8001623,8006634,72,60,330,Oberfranken
8001636,8001338,264,330,510,Oberfranken
8001636,8001636,135,30,1260,Oberfranken
8001636,8002434,150,45,1140,Oberfranken
8001636,8005391,48,15,120,Oberfranken
8001636,8005670,165,120,450,Oberfranken
8001640,8001149,72,60,300,Oberfranken
8001640,8001640,124,45,1170,Oberfranken
