from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000028,8000028,12,16,45,30,150,Oberfranken
8000028,8000267,2,2,90,90,90,Oberfranken
8000028,8000974,3,3,110,150,150,Oberfranken
8000028,8001348,11,18,35,30,150,Oberfranken
8000028,8004126,6,7,69,60,150,Oberfranken
8000028,8004759,7,7,64,60,90,Oberfranken
8000028,8005895,10,13,44,30,90,Oberfranken
8000173,8000173,1,3,80,0,240,Oberfranken
8000173,8000247,0,1,0,0,0,Oberfranken
8000173,8000287,1,1,180,180,180,Oberfranken
8000173,8005133,0,1,0,0,0,Oberfranken
8000201,8000201,18,30,61,60,420,Oberfranken
8000201,8000247,7,14,30,15,150,Oberfranken
8000201,8000328,0,1,0,0,0,Oberfranken
8000201,8002523,0,1,0,0,0,Oberfranken
8000201,8003063,1,1,30,30,30,Oberfranken
8000201,8004759,11,13,83,60,360,Oberfranken
8000247,8000173,1,2,120,120,240,Oberfranken
8000247,8000201,11,14,58,60,120,Oberfranken
8000247,8000247,12,28,56,0,270,Oberfranken
8000247,8000287,1,1,150,150,150,Oberfranken
8000247,8002924,3,7,26,0,90,Oberfranken
8000247,8005352,2,5,90,0,360,Oberfranken
8000267,8000267,38,64,44,30,240,Oberfranken
8000267,8003476,6,17,32,0,180,Oberfranken
8000267,8003763,0,1,0,0,0,Oberfranken
8000267,8003887,10,16,49,30,240,Oberfranken
8000267,8005895,12,17,51,30,240,Oberfranken
8000267,8006017,10,14,58,60,120,Oberfranken
8000287,8000173,0,1,0,0,0,Oberfranken
8000287,8000287,8,11,76,30,330,Oberfranken
8000287,8002924,4,6,100,75,240,Oberfranken
8000287,8005466,4,4,38,30,60,Oberfranken
8000328,8000328,7,19,27,0,150,Oberfranken
8000328,8001348,7,9,43,30,180,Oberfranken
8000328,8004759,7,10,54,45,150,Oberfranken
8000974,8000028,2,4,60,30,180,Oberfranken
8000974,8000974,6,7,77,30,180,Oberfranken
8000974,8002605,1,1,150,150,150,Oberfranken
8000974,8004936,2,2,60,60,90,Oberfranken
8001149,8001149,55,68,131,60,1260,Oberfranken
8001149,8001623,2,2,30,30,30,Oberfranken
8001149,8001640,12,16,116,60,390,Oberfranken
8001149,8002542,7,13,25,30,90,Oberfranken
8001149,8002853,20,21,180,120,1350,Oberfranken
8001149,8005670,8,10,120,60,420,Oberfranken
8001149,8006634,6,6,305,165,840,Oberfranken
8001289,8001289,30,64,39,0,180,Oberfranken
8001289,8002878,7,22,35,0,180,Oberfranken
8001289,8003476,16,26,25,30,90,Oberfranken
8001289,8003813,3,6,90,90,180,Oberfranken
8001289,8005670,4,4,75,75,90,Oberfranken
8001310,8001310,4,8,262,105,1080,Oberfranken
8001310,8001680,3,4,338,210,1050,Oberfranken
8001310,8002853,1,4,172,0,690,Oberfranken
