from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8000027,8000027,109,90,300,Oberpfalz
8000027,8000566,78,30,390,Oberpfalz
8000027,8001054,450,450,450,Oberpfalz
8000027,8002075,30,30,30,Oberpfalz
8000027,8003922,108,90,270,Oberpfalz
8000204,8000204,51,0,420,Oberpfalz
8000204,8000540,50,0,300,Oberpfalz
8000204,8006266,24,0,180,Oberpfalz
8000269,8000269,204,180,780,Oberpfalz
8000269,8001929,347,330,720,Oberpfalz
8000269,8005800,146,90,750,Oberpfalz
8000269,8006085,188,165,510,Oberpfalz
8000540,8000204,8,0,90,Oberpfalz
8000540,8000540,28,0,300,Oberpfalz
8000540,8004332,43,0,270,Oberpfalz
8000566,8000027,110,90,390,Oberpfalz
8000566,8000566,116,60,420,Oberpfalz
8000566,8002075,240,240,390,Oberpfalz
8000566,8003086,510,510,510,Oberpfalz
8000566,8005800,100,60,420,Oberpfalz
8000606,8000606,195,195,360,Oberpfalz
8000606,8006264,30,30,30,Oberpfalz
8000822,8000822,405,405,630,Oberpfalz
8000822,8001400,660,660,660,Oberpfalz
8000822,8004305,180,180,180,Oberpfalz
8000882,8000882,317,120,1950,Oberpfalz
8000882,8001679,285,90,1320,Oberpfalz
8000882,8003921,270,270,270,Oberpfalz
8000882,8004755,313,120,1950,Oberpfalz
8000882,8005966,330,330,570,Oberpfalz
8001054,8000027,0,0,0,Oberpfalz
8001054,8001054,240,240,480,Oberpfalz
8001054,8004250,450,450,450,Oberpfalz
8001298,8001298,174,60,480,Oberpfalz
8001298,8004592,60,60,60,Oberpfalz
8001330,8001330,180,180,360,Oberpfalz
8001330,8003413,360,360,360,Oberpfalz
8001330,8004849,0,0,0,Oberpfalz
8001400,8001400,660,660,660,Oberpfalz
8001400,8004305,660,660,660,Oberpfalz
8001430,8001430,270,270,270,Oberpfalz
8001430,8003485,270,270,270,Oberpfalz
8001679,8000688,140,60,1350,Oberpfalz
8001679,8000882,330,60,1890,Oberpfalz
8001679,8001679,153,30,1860,Oberpfalz
8001679,8001835,225,45,1680,Oberpfalz
8001679,8002506,60,0,570,Oberpfalz
8001679,8005966,60,60,60,Oberpfalz
8001925,8001925,270,270,270,Oberpfalz
8001925,8005966,270,270,270,Oberpfalz
8001929,8000269,129,90,450,Oberpfalz
8001929,8001929,222,180,690,Oberpfalz
8001929,8002612,320,330,690,Oberpfalz
8002075,8000027,300,300,420,Oberpfalz
8002075,8000566,30,30,30,Oberpfalz
8002075,8002075,180,120,390,Oberpfalz
8002076,8002076,94,30,450,Oberpfalz
8002076,8005139,0,0,0,Oberpfalz
8002076,8005855,75,75,120,Oberpfalz
8002076,8006085,35,0,270,Oberpfalz
8002076,8006266,174,180,450,Oberpfalz
8002506,8001679,178,90,1740,Oberpfalz
8002506,8002506,106,30,1710,Oberpfalz
8002506,8003357,65,0,510,Oberpfalz
8003063,8003063,60,60,120,Oberpfalz
8003063,8004321,45,45,90,Oberpfalz
8003086,8000027,510,510,510,Oberpfalz
8003086,8003086,540,540,540,Oberpfalz
8003357,8002506,138,60,1680,Oberpfalz
8003357,8003357,105,30,1680,Oberpfalz
8003357,8004592,72,30,510,Oberpfalz
8003413,8001330,0,0,0,Oberpfalz
8003413,8003413,180,180,360,Oberpfalz
8003413,8006264,360,360,360,Oberpfalz
8003485,8000882,300,300,300,Oberpfalz
8003485,8003485,270,270,270,Oberpfalz
8003921,8003921,270,270,270,Oberpfalz
8003921,8004755,330,330,330,Oberpfalz
8003922,8000027,55,30,120,Oberpfalz
8003922,8003922,104,90,300,Oberpfalz
8003922,8004987,127,105,300,Oberpfalz
8004250,8001054,0,0,0,Oberpfalz
8004250,8004250,225,225,450,Oberpfalz
8004250,8005121,450,450,450,Oberpfalz
8004305,8004305,230,90,1860,Oberpfalz
8004305,8004755,123,90,330,Oberpfalz
8004305,8004847,63,30,390,Oberpfalz
8004321,8004321,30,30,60,Oberpfalz
8004321,8006155,15,15,30,Oberpfalz
8004332,8000540,10,0,120,Oberpfalz
8004592,8001298,202,150,480,Oberpfalz
8004592,8003357,137,60,1230,Oberpfalz
8004592,8004592,90,60,480,Oberpfalz
8004755,8000882,323,240,1230,Oberpfalz
8004755,8004305,300,90,1890,Oberpfalz
8004755,8004755,273,120,1920,Oberpfalz
8004755,8005543,420,420,600,Oberpfalz
8004849,8001330,390,390,390,Oberpfalz
8004849,8004849,210,210,420,Oberpfalz
8004849,8005121,0,0,0,Oberpfalz
8004983,8000882,180,180,180,Oberpfalz
8004983,8001925,270,270,270,Oberpfalz
