from_stop_id,to_stop_id,delay_count,entries_count,avg_delay,median_delay,max_delay,region_name
8000027,8000027,9,17,41,30,150,Oberpfalz
8000027,8000566,13,18,80,30,300,Oberpfalz
8000027,8001054,1,1,150,150,150,Oberpfalz
8000027,8002075,0,1,0,0,0,Oberpfalz
8000027,8003922,7,8,64,60,150,Oberpfalz
8000204,8000204,14,26,44,30,330,Oberpfalz
8000204,8000540,4,13,37,0,180,Oberpfalz
8000204,8006266,11,17,32,30,210,Oberpfalz
8000269,8000269,64,71,207,180,630,Oberpfalz
8000269,8001929,34,34,355,360,660,Oberpfalz
8000269,8005800,12,19,129,90,600,Oberpfalz
8000269,8006085,15,18,182,150,480,Oberpfalz
8000540,8000204,3,14,4,0,30,Oberpfalz
8000540,8000540,6,27,21,0,180,Oberpfalz
8000540,8004332,4,13,30,0,180,Oberpfalz
8000566,8000027,11,15,90,30,420,Oberpfalz
8000566,8000566,28,36,109,60,450,Oberpfalz
8000566,8002075,2,2,120,120,150,Oberpfalz
8000566,8003086,1,1,270,270,270,Oberpfalz
8000566,8005800,17,18,125,105,480,Oberpfalz
8000606,8000606,2,2,105,105,180,Oberpfalz
8000606,8006264,1,1,30,30,30,Oberpfalz
8000822,8000822,1,2,105,105,210,Oberpfalz
8000822,8001400,1,1,120,120,120,Oberpfalz
8000822,8004305,0,1,0,0,0,Oberpfalz
8000882,8000882,17,19,303,270,870,Oberpfalz
8000882,8001679,6,6,195,165,390,Oberpfalz
8000882,8003921,1,1,90,90,90,Oberpfalz
8000882,8004755,9,9,567,570,1350,Oberpfalz
8000882,8005966,2,2,45,45,60,Oberpfalz
8001054,8000027,0,1,0,0,0,Oberpfalz
8001054,8001054,2,2,150,150,270,Oberpfalz
8001054,8004250,1,1,270,270,270,Oberpfalz
8001330,8001330,1,2,90,90,180,Oberpfalz
8001330,8003413,1,1,180,180,180,Oberpfalz
8001330,8004849,0,1,0,0,0,Oberpfalz
8001400,8001400,0,1,0,0,0,Oberpfalz
8001400,8004305,1,1,90,90,90,Oberpfalz
8001430,8001430,1,1,30,30,30,Oberpfalz
8001430,8003485,1,1,60,60,60,Oberpfalz
8001679,8000688,15,18,130,105,480,Oberpfalz
8001679,8000882,7,7,330,300,540,Oberpfalz
8001679,8001679,41,57,96,60,540,Oberpfalz
8001679,8001835,9,10,69,45,210,Oberpfalz
8001679,8002506,4,21,20,0,240,Oberpfalz
8001679,8005966,1,1,510,510,510,Oberpfalz
8001925,8001925,1,1,30,30,30,Oberpfalz
8001925,8005966,1,1,30,30,30,Oberpfalz
8001929,8000269,33,37,157,120,600,Oberpfalz
8001929,8001929,65,71,253,210,660,Oberpfalz
8001929,8002612,34,34,356,390,660,Oberpfalz
8002075,8000027,2,2,135,135,150,Oberpfalz
8002075,8000566,1,1,30,30,30,Oberpfalz
