from_stop_id,to_stop_id,avg_delay,median_delay,max_delay,region_name
8000007,8000007,413,255,2190,Rheinhessen-Pfalz
8000007,8000468,358,240,1740,Rheinhessen-Pfalz
8000007,8000558,178,150,540,Rheinhessen-Pfalz
8000007,8000602,406,120,2190,Rheinhessen-Pfalz
8000007,8001813,75,75,120,Rheinhessen-Pfalz
8000007,8007474,782,780,1920,Rheinhessen-Pfalz
8000121,8000021,342,240,1410,Rheinhessen-Pfalz
8000121,8000121,183,90,1440,Rheinhessen-Pfalz
8000121,8000976,228,225,600,Rheinhessen-Pfalz
8000121,8003075,150,105,360,Rheinhessen-Pfalz
8000121,8004614,32,15,240,Rheinhessen-Pfalz
8000121,8006312,134,90,510,Rheinhessen-Pfalz
8000137,8000137,213,120,1440,Rheinhessen-Pfalz
8000137,8002444,235,90,1440,Rheinhessen-Pfalz
8000137,8003285,163,120,600,Rheinhessen-Pfalz
8000137,8070096,41,30,120,Rheinhessen-Pfalz
8000216,8000216,137,30,1770,Rheinhessen-Pfalz
8000216,8001663,0,0,0,Rheinhessen-Pfalz
8000216,8002875,150,150,150,Rheinhessen-Pfalz
8000216,8003080,297,45,2220,Rheinhessen-Pfalz
8000216,8003349,108,15,1770,Rheinhessen-Pfalz
8000216,8003507,64,30,240,Rheinhessen-Pfalz
8000216,8005713,750,750,750,Rheinhessen-Pfalz
8000216,8006468,85,30,780,Rheinhessen-Pfalz
8000254,8000254,114,30,1980,Rheinhessen-Pfalz
8000254,8003125,35,30,90,Rheinhessen-Pfalz
8000254,8003172,136,45,990,Rheinhessen-Pfalz
8000254,8003186,895,735,1950,Rheinhessen-Pfalz
8000254,8006531,90,60,360,Rheinhessen-Pfalz
8000254,8006536,111,30,1890,Rheinhessen-Pfalz
8000254,8079045,47,0,180,Rheinhessen-Pfalz
8000254,8079143,51,0,360,Rheinhessen-Pfalz
8000254,8084067,87,60,900,Rheinhessen-Pfalz
8000257,8000257,198,120,1410,Rheinhessen-Pfalz
8000257,8000332,192,120,780,Rheinhessen-Pfalz
8000257,8001032,141,135,810,Rheinhessen-Pfalz
8000257,8002872,411,210,1350,Rheinhessen-Pfalz
8000257,8002934,68,30,390,Rheinhessen-Pfalz
8000257,8004714,109,60,1200,Rheinhessen-Pfalz
8000257,8004788,73,30,330,Rheinhessen-Pfalz
8000257,8100002,180,180,180,Rheinhessen-Pfalz
8000326,8000326,168,90,1260,Rheinhessen-Pfalz
8000326,8000332,223,90,600,Rheinhessen-Pfalz
8000326,8001057,198,120,1170,Rheinhessen-Pfalz
8000326,8002056,90,90,90,Rheinhessen-Pfalz
8000326,8003687,90,60,900,Rheinhessen-Pfalz
8000326,8003759,60,60,60,Rheinhessen-Pfalz
8000326,8005345,211,90,1230,Rheinhessen-Pfalz
8000326,8005628,373,150,930,Rheinhessen-Pfalz
8000327,8000327,573,330,1920,Rheinhessen-Pfalz
8000327,8000340,772,750,1890,Rheinhessen-Pfalz
8000327,8007474,382,150,1290,Rheinhessen-Pfalz
8000332,8000257,264,150,1230,Rheinhessen-Pfalz
8000332,8000326,240,165,750,Rheinhessen-Pfalz
8000332,8000332,257,150,1980,Rheinhessen-Pfalz
8000332,8001032,329,180,1950,Rheinhessen-Pfalz
8000332,8002014,0,0,0,Rheinhessen-Pfalz
8000332,8002025,200,150,960,Rheinhessen-Pfalz
8000332,8003759,221,60,1050,Rheinhessen-Pfalz
8000332,8003766,180,180,330,Rheinhessen-Pfalz
8000340,8000327,393,120,1290,Rheinhessen-Pfalz
8000340,8000340,569,345,1860,Rheinhessen-Pfalz
8000340,8000652,766,720,1860,Rheinhessen-Pfalz
8000359,8000359,169,60,1560,Rheinhessen-Pfalz
8000359,8003816,360,360,360,Rheinhessen-Pfalz
8000359,8003819,187,60,1530,Rheinhessen-Pfalz
8000359,8004193,126,15,1470,Rheinhessen-Pfalz
8000372,8000372,118,90,660,Rheinhessen-Pfalz
8000372,8002875,132,120,330,Rheinhessen-Pfalz
8000372,8006483,30,30,30,Rheinhessen-Pfalz
8000372,8087062,101,60,480,Rheinhessen-Pfalz
8000374,8000374,190,120,1050,Rheinhessen-Pfalz
8000374,8001860,41,30,210,Rheinhessen-Pfalz
8000374,8002798,226,120,1470,Rheinhessen-Pfalz
8000374,8006292,173,120,600,Rheinhessen-Pfalz
8000375,8000121,480,480,480,Rheinhessen-Pfalz
8000375,8000375,224,120,1470,Rheinhessen-Pfalz
8000375,8000683,30,30,30,Rheinhessen-Pfalz
8000375,8000975,250,195,750,Rheinhessen-Pfalz
8000375,8003075,165,60,960,Rheinhessen-Pfalz
8000375,8004614,349,270,1470,Rheinhessen-Pfalz
8000375,8005896,450,450,450,Rheinhessen-Pfalz
8000376,8000376,246,90,1200,Rheinhessen-Pfalz
8000376,8002239,91,0,1440,Rheinhessen-Pfalz
8000376,8003702,68,30,780,Rheinhessen-Pfalz
8000376,8004813,441,60,1290,Rheinhessen-Pfalz
8000376,8005067,930,930,930,Rheinhessen-Pfalz
8000376,8005628,222,105,630,Rheinhessen-Pfalz
8000466,8000466,110,90,390,Rheinhessen-Pfalz
8000466,8000582,129,120,420,Rheinhessen-Pfalz
8000466,8005551,113,120,360,Rheinhessen-Pfalz
8000468,8000007,150,75,750,Rheinhessen-Pfalz
8000468,8000468,252,150,1710,Rheinhessen-Pfalz
8000468,8000602,348,240,1680,Rheinhessen-Pfalz
8000491,8000491,106,60,570,Rheinhessen-Pfalz
8000491,8004929,138,90,510,Rheinhessen-Pfalz
8000491,8005857,79,30,420,Rheinhessen-Pfalz
8000505,8000505,98,60,360,Rheinhessen-Pfalz
8000505,8000726,0,0,0,Rheinhessen-Pfalz
8000505,8002879,105,60,360,Rheinhessen-Pfalz
8000505,8005111,140,105,390,Rheinhessen-Pfalz
8000506,8000506,172,60,1410,Rheinhessen-Pfalz
8000506,8002474,170,60,1170,Rheinhessen-Pfalz
8000506,8004003,174,30,1410,Rheinhessen-Pfalz
8000547,8003739,114,60,480,Rheinhessen-Pfalz
8000558,8000007,255,210,690,Rheinhessen-Pfalz
8000558,8000558,212,180,630,Rheinhessen-Pfalz
8000558,8001813,240,210,660,Rheinhessen-Pfalz
8000582,8000466,124,120,420,Rheinhessen-Pfalz
8000582,8000582,106,90,390,Rheinhessen-Pfalz
8000582,8003508,30,30,60,Rheinhessen-Pfalz
8000582,8005257,112,90,360,Rheinhessen-Pfalz
8000602,8000007,462,225,1320,Rheinhessen-Pfalz
8000602,8000468,174,105,660,Rheinhessen-Pfalz
8000602,8000602,320,210,2310,Rheinhessen-Pfalz
8000602,8006183,248,285,570,Rheinhessen-Pfalz
8000602,8006534,454,270,2400,Rheinhessen-Pfalz
8000615,8000241,138,75,720,Rheinhessen-Pfalz
8000615,8000615,171,120,1050,Rheinhessen-Pfalz
8000615,8002872,132,90,420,Rheinhessen-Pfalz
8000615,8006404,216,120,1080,Rheinhessen-Pfalz
8000625,8000625,139,30,1440,Rheinhessen-Pfalz
8000625,8002444,54,30,510,Rheinhessen-Pfalz
8000625,8003988,236,90,1470,Rheinhessen-Pfalz
8000652,8000340,398,60,1260,Rheinhessen-Pfalz
8000663,8000663,186,150,660,Rheinhessen-Pfalz
8000663,8002958,1,0,60,Rheinhessen-Pfalz
8000663,8004345,193,150,570,Rheinhessen-Pfalz
8000663,8004788,170,120,660,Rheinhessen-Pfalz
8000683,8000375,180,180,180,Rheinhessen-Pfalz
8000683,8000683,214,150,1080,Rheinhessen-Pfalz
8000683,8003075,145,60,480,Rheinhessen-Pfalz
8000683,8004379,241,45,1080,Rheinhessen-Pfalz
8000683,8004601,209,195,600,Rheinhessen-Pfalz
8000691,8003175,0,0,0,Rheinhessen-Pfalz
8000698,8000698,59,30,510,Rheinhessen-Pfalz
8000698,8000708,63,30,270,Rheinhessen-Pfalz
8000698,8006125,59,0,900,Rheinhessen-Pfalz
8000708,8000698,103,90,330,Rheinhessen-Pfalz
8000708,8000708,85,60,300,Rheinhessen-Pfalz
8000708,8001860,87,45,360,Rheinhessen-Pfalz
8000802,8000802,21,0,300,Rheinhessen-Pfalz
8000802,8003175,45,0,300,Rheinhessen-Pfalz
8000802,8006468,6,0,30,Rheinhessen-Pfalz
8000876,8000876,32,30,210,Rheinhessen-Pfalz
8000876,8004822,12,0,120,Rheinhessen-Pfalz
8000876,8005113,44,0,240,Rheinhessen-Pfalz
8000876,8005843,19,0,150,Rheinhessen-Pfalz
8000876,8006156,15,0,90,Rheinhessen-Pfalz
8000894,8000894,161,60,1260,Rheinhessen-Pfalz
8000894,8002704,227,120,1290,Rheinhessen-Pfalz
8000894,8005628,123,60,840,Rheinhessen-Pfalz
8000975,8000375,223,90,840,Rheinhessen-Pfalz
8000975,8000975,223,120,810,Rheinhessen-Pfalz
8000975,8000976,244,180,750,Rheinhessen-Pfalz
8000976,8000121,83,30,480,Rheinhessen-Pfalz
8000976,8000975,210,105,810,Rheinhessen-Pfalz
8000976,8000976,211,90,900,Rheinhessen-Pfalz
8000976,8003075,120,120,210,Rheinhessen-Pfalz
8000976,8005896,261,210,840,Rheinhessen-Pfalz
8001032,8000257,337,180,1920,Rheinhessen-Pfalz
8001032,8000332,196,165,900,Rheinhessen-Pfalz
8001032,8001032,258,150,1950,Rheinhessen-Pfalz
8001043,8001043,37,30,150,Rheinhessen-Pfalz
8001043,8002958,42,30,180,Rheinhessen-Pfalz
8001043,8070096,45,30,180,Rheinhessen-Pfalz
8001057,8000326,54,30,360,Rheinhessen-Pfalz
8001057,8001057,124,60,1170,Rheinhessen-Pfalz
8001057,8002056,240,240,390,Rheinhessen-Pfalz
8001057,8002632,197,120,1200,Rheinhessen-Pfalz
8001200,8001200,65,30,480,Rheinhessen-Pfalz
8001200,8002655,67,30,510,Rheinhessen-Pfalz
8001200,8003684,68,60,210,Rheinhessen-Pfalz
8001200,8005649,180,180,240,Rheinhessen-Pfalz
8001237,8001237,210,165,1290,Rheinhessen-Pfalz
8001237,8002692,195,195,210,Rheinhessen-Pfalz
8001237,8003821,349,210,1290,Rheinhessen-Pfalz
8001237,8005950,75,90,750,Rheinhessen-Pfalz
8001237,8006404,30,30,30,Rheinhessen-Pfalz
8001341,8001341,152,120,450,Rheinhessen-Pfalz
8001341,8005673,200,180,480,Rheinhessen-Pfalz
8001341,8006680,111,60,360,Rheinhessen-Pfalz
8001399,8001399,91,60,870,Rheinhessen-Pfalz
8001399,8004189,121,90,840,Rheinhessen-Pfalz
8001399,8006125,45,30,390,Rheinhessen-Pfalz
8001406,8001406,125,90,360,Rheinhessen-Pfalz
8001406,8001407,99,60,300,Rheinhessen-Pfalz
8001406,8005673,111,60,360,Rheinhessen-Pfalz
8001407,8001406,95,60,240,Rheinhessen-Pfalz
8001407,8001407,77,45,300,Rheinhessen-Pfalz
8001407,8005094,101,60,300,Rheinhessen-Pfalz
8001448,8001448,173,30,1440,Rheinhessen-Pfalz
8001448,8002474,180,30,1410,Rheinhessen-Pfalz
8001448,8004680,183,60,1290,Rheinhessen-Pfalz
8001638,8001638,130,30,1410,Rheinhessen-Pfalz
8001638,8001728,189,60,1410,Rheinhessen-Pfalz
8001638,8003988,54,30,480,Rheinhessen-Pfalz
8001663,8000216,150,150,150,Rheinhessen-Pfalz
8001663,8001663,98,30,1680,Rheinhessen-Pfalz
8001663,8001665,109,60,780,Rheinhessen-Pfalz
8001663,8003809,90,30,1680,Rheinhessen-Pfalz
8001665,8001663,95,15,1710,Rheinhessen-Pfalz
8001665,8001665,105,45,1710,Rheinhessen-Pfalz
8001665,8003349,99,60,780,Rheinhessen-Pfalz
8001720,8001720,103,60,510,Rheinhessen-Pfalz
8001720,8003257,108,90,330,Rheinhessen-Pfalz
8001720,8004938,144,90,390,Rheinhessen-Pfalz
8001720,8006100,84,30,480,Rheinhessen-Pfalz
8001727,8001727,123,60,600,Rheinhessen-Pfalz
8001727,8004993,91,60,420,Rheinhessen-Pfalz
8001727,8005857,157,105,600,Rheinhessen-Pfalz
8001728,8001638,21,0,420,Rheinhessen-Pfalz
8001728,8001728,77,0,1440,Rheinhessen-Pfalz
8001728,8004935,161,0,1440,Rheinhessen-Pfalz
8001813,8000558,143,90,480,Rheinhessen-Pfalz
8001813,8001813,213,180,690,Rheinhessen-Pfalz
8001813,8002473,276,225,690,Rheinhessen-Pfalz
8001860,8000374,115,60,630,Rheinhessen-Pfalz
8001860,8000708,88,90,300,Rheinhessen-Pfalz
8001860,8001860,90,60,360,Rheinhessen-Pfalz
8002014,8000332,75,75,150,Rheinhessen-Pfalz
8002014,8002014,218,165,660,Rheinhessen-Pfalz
8002014,8002025,234,150,660,Rheinhessen-Pfalz
8002014,8003498,244,210,660,Rheinhessen-Pfalz
8002025,8000332,316,180,1980,Rheinhessen-Pfalz
8002025,8002014,228,180,630,Rheinhessen-Pfalz
8002025,8002025,267,180,1980,Rheinhessen-Pfalz
8002025,8003759,210,210,210,Rheinhessen-Pfalz
8002025,8003766,220,135,960,Rheinhessen-Pfalz
8002036,8002036,130,75,1170,Rheinhessen-Pfalz
8002036,8002875,183,120,1200,Rheinhessen-Pfalz
8002036,8006261,72,60,420,Rheinhessen-Pfalz
8002056,8000308,208,120,690,Rheinhessen-Pfalz
8002056,8001057,255,255,360,Rheinhessen-Pfalz
8002056,8002025,180,180,180,Rheinhessen-Pfalz
8002056,8002056,131,30,660,Rheinhessen-Pfalz
8002056,8003687,10,0,30,Rheinhessen-Pfalz
8002056,8003765,195,195,300,Rheinhessen-Pfalz
8002175,8002175,28,0,150,Rheinhessen-Pfalz
8002175,8002943,10,0,90,Rheinhessen-Pfalz
8002191,8002191,187,120,540,Rheinhessen-Pfalz
8002191,8005637,245,255,570,Rheinhessen-Pfalz
8002191,8006183,146,90,510,Rheinhessen-Pfalz
8002286,8002286,132,60,600,Rheinhessen-Pfalz
8002286,8004396,134,60,600,Rheinhessen-Pfalz
8002286,8004993,163,120,600,Rheinhessen-Pfalz
8002300,8002300,96,60,360,Rheinhessen-Pfalz
8002300,8003508,80,60,330,Rheinhessen-Pfalz
8002300,8005551,100,60,390,Rheinhessen-Pfalz
8002444,8000137,73,30,420,Rheinhessen-Pfalz
8002444,8000625,228,90,1440,Rheinhessen-Pfalz
8002444,8002444,144,30,1440,Rheinhessen-Pfalz
8002473,8001813,178,120,510,Rheinhessen-Pfalz
8002473,8002473,226,195,660,Rheinhessen-Pfalz
8002473,8004345,259,225,720,Rheinhessen-Pfalz
8002474,8000506,180,30,1410,Rheinhessen-Pfalz
8002474,8001448,168,60,1170,Rheinhessen-Pfalz
8002474,8002474,177,60,1410,Rheinhessen-Pfalz
8002474,8004680,240,240,390,Rheinhessen-Pfalz
8002474,8004714,160,150,180,Rheinhessen-Pfalz
8002632,8000326,30,30,30,Rheinhessen-Pfalz
8002632,8001057,61,30,360,Rheinhessen-Pfalz
8002632,8002632,134,90,1170,Rheinhessen-Pfalz
8002632,8004489,203,120,1170,Rheinhessen-Pfalz
8002648,8002648,64,30,300,Rheinhessen-Pfalz
8002648,8002649,67,30,270,Rheinhessen-Pfalz
8002648,8006441,51,60,180,Rheinhessen-Pfalz
8002649,8002648,42,0,240,Rheinhessen-Pfalz
8002649,8002649,63,30,270,Rheinhessen-Pfalz
